B16006_001E,B16006_001EA,B16006_001M,B16006_001MA,B16006_002E,B16006_002EA,B16006_002M,B16006_002MA,B16006_003E,B16006_003EA,B16006_003M,B16006_003MA,B16006_004E,B16006_004EA,B16006_004M,B16006_004MA,B16006_005E,B16006_005EA,B16006_005M,B16006_005MA,B16006_006E,B16006_006EA,B16006_006M,B16006_006MA,B16006_007E,B16006_007EA,B16006_007M,B16006_007MA,B16006_008E,B16006_008EA,B16006_008M,B16006_008MA,GEO_ID,NAME,state
122069,null,2400,null,32267,null,3206,null,89224,null,3788,null,32438,null,3279,null,16112,null,1927,null,27601,null,2889,null,13073,null,1741,null,578,null,462,null,0400000US01,Alabama,01
38719,null,689,null,18600,null,2393,null,19073,null,2520,null,12350,null,1852,null,4769,null,1667,null,1674,null,682,null,280,null,193,null,1046,null,499,null,0400000US02,Alaska,02
1789542,null,1063,null,558880,null,17406,null,1224927,null,17359,null,704381,null,14355,null,187056,null,8385,null,195031,null,8844,null,138459,null,10374,null,5735,null,1783,null,0400000US04,Arizona,04
147229,null,2198,null,34950,null,3285,null,112211,null,3662,null,50184,null,3645,null,24598,null,2508,null,24037,null,2960,null,13392,null,2580,null,68,null,114,null,0400000US05,Arkansas,05
12212282,null,896,null,2776597,null,40755,null,9403228,null,39917,null,4815735,null,36324,null,1748659,null,25446,null,1753576,null,24373,null,1085258,null,20760,null,32457,null,3362,null,0400000US06,California,06
897034,null,633,null,398441,null,13300,null,495386,null,13249,null,253597,null,8685,null,98670,null,7095,null,99326,null,6917,null,43793,null,4387,null,3207,null,1353,null,0400000US08,Colorado,08
389394,null,756,null,82904,null,5290,null,304861,null,5364,null,168222,null,6701,null,55742,null,4445,null,56201,null,5064,null,24696,null,3300,null,1629,null,551,null,0400000US09,Connecticut,09
54627,null,0,*****,18127,null,2604,null,36206,null,2609,null,16373,null,2296,null,7497,null,1577,null,9127,null,2264,null,3209,null,1166,null,294,null,305,null,0400000US10,Delaware,10
47174,null,0,*****,17731,null,2769,null,29235,null,2764,null,16016,null,2404,null,6980,null,1482,null,4573,null,1575,null,1666,null,867,null,208,null,206,null,0400000US11,District of Columbia,11
3631432,null,2072,null,519525,null,18209,null,3096562,null,17854,null,1585605,null,22802,null,591569,null,15131,null,573428,null,14156,null,345960,null,13325,null,15345,null,2809,null,0400000US12,Florida,12
695493,null,3007,null,120777,null,7797,null,572441,null,8012,null,242052,null,8832,null,105746,null,6444,null,144449,null,7845,null,80194,null,7704,null,2275,null,849,null,0400000US13,Georgia,13
100012,null,0,*****,76871,null,3143,null,16064,null,2403,null,11226,null,2069,null,3720,null,1069,null,1118,null,560,null,0,null,275,null,7077,null,2257,null,0400000US15,Hawaii,15
