B08105G_001E,B08105G_001EA,B08105G_001M,B08105G_001MA,B08105G_002E,B08105G_002EA,B08105G_002M,B08105G_002MA,B08105G_003E,B08105G_003EA,B08105G_003M,B08105G_003MA,B08105G_004E,B08105G_004EA,B08105G_004M,B08105G_004MA,B08105G_005E,B08105G_005EA,B08105G_005M,B08105G_005MA,B08105G_006E,B08105G_006EA,B08105G_006M,B08105G_006MA,B08105G_007E,B08105G_007EA,B08105G_007M,B08105G_007MA,GEO_ID,NAME,state
16698,null,2381,null,13500,null,2026,null,2112,null,857,null,109,null,125,null,457,null,373,null,303,null,327,null,217,null,223,null,0400000US01,Alabama,01
16668,null,2145,null,10471,null,1796,null,2464,null,954,null,551,null,436,null,1343,null,420,null,1197,null,652,null,642,null,503,null,0400000US02,Alaska,02
50155,null,4420,null,35812,null,3900,null,8108,null,1686,null,1880,null,945,null,1016,null,497,null,1092,null,519,null,2247,null,764,null,0400000US04,Arizona,04
16647,null,2289,null,13166,null,1934,null,2432,null,873,null,103,null,142,null,169,null,175,null,0,null,273,null,777,null,573,null,0400000US05,Arkansas,05
445829,null,13529,null,317906,null,12069,null,52536,null,3914,null,27248,null,2931,null,13840,null,2249,null,11853,null,2137,null,22446,null,2462,null,0400000US06,California,06
52220,null,4285,null,38649,null,3285,null,5844,null,1251,null,2099,null,839,null,1301,null,539,null,1772,null,841,null,2555,null,892,null,0400000US08,Colorado,08
23136,null,2442,null,16388,null,1986,null,2605,null,966,null,1262,null,576,null,1925,null,761,null,601,null,450,null,355,null,312,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
4935,null,1088,null,895,null,488,null,278,null,279,null,1842,null,642,null,1184,null,646,null,274,null,242,null,462,null,355,null,0400000US11,District of Columbia,11
113486,null,6630,null,88091,null,5649,null,12778,null,1976,null,2969,null,1008,null,2335,null,809,null,2247,null,1039,null,5066,null,1130,null,0400000US12,Florida,12
