C17001G_001E,C17001G_001EA,C17001G_001M,C17001G_001MA,C17001G_002E,C17001G_002EA,C17001G_002M,C17001G_002MA,C17001G_003E,C17001G_003EA,C17001G_003M,C17001G_003MA,C17001G_004E,C17001G_004EA,C17001G_004M,C17001G_004MA,C17001G_005E,C17001G_005EA,C17001G_005M,C17001G_005MA,C17001G_006E,C17001G_006EA,C17001G_006M,C17001G_006MA,C17001G_007E,C17001G_007EA,C17001G_007M,C17001G_007MA,C17001G_008E,C17001G_008EA,C17001G_008M,C17001G_008MA,C17001G_009E,C17001G_009EA,C17001G_009M,C17001G_009MA,C17001G_010E,C17001G_010EA,C17001G_010M,C17001G_010MA,C17001G_011E,C17001G_011EA,C17001G_011M,C17001G_011MA,C17001G_012E,C17001G_012EA,C17001G_012M,C17001G_012MA,C17001G_013E,C17001G_013EA,C17001G_013M,C17001G_013MA,C17001G_014E,C17001G_014EA,C17001G_014M,C17001G_014MA,C17001G_015E,C17001G_015EA,C17001G_015M,C17001G_015MA,C17001G_016E,C17001G_016EA,C17001G_016M,C17001G_016MA,C17001G_017E,C17001G_017EA,C17001G_017M,C17001G_017MA,C17001G_018E,C17001G_018EA,C17001G_018M,C17001G_018MA,C17001G_019E,C17001G_019EA,C17001G_019M,C17001G_019MA,GEO_ID,NAME,state
62554,null,5496,null,17106,null,2749,null,7597,null,1610,null,4873,null,1374,null,2376,null,703,null,348,null,243,null,9509,null,1857,null,5086,null,1083,null,4018,null,1269,null,405,null,252,null,45448,null,4943,null,23885,null,3175,null,9440,null,2090,null,11658,null,1841,null,2787,null,859,null,21563,null,2715,null,8219,null,1710,null,11055,null,1572,null,2289,null,617,null,0400000US01,Alabama,01
49475,null,3882,null,4988,null,1488,null,2362,null,843,null,1303,null,590,null,1059,null,565,null,0,null,244,null,2626,null,1016,null,1246,null,671,null,1371,null,624,null,9,null,18,null,44487,null,3519,null,21317,null,1948,null,11338,null,1271,null,9236,null,1522,null,743,null,380,null,23170,null,2569,null,11114,null,1604,null,11469,null,1598,null,587,null,327,null,0400000US02,Alaska,02
180655,null,10307,null,31571,null,5355,null,15861,null,2944,null,9316,null,1937,null,5940,null,1432,null,605,null,299,null,15710,null,3314,null,8317,null,2424,null,7090,null,1546,null,303,null,210,null,149084,null,9516,null,71384,null,5303,null,38611,null,3917,null,30179,null,3423,null,2594,null,743,null,77700,null,6068,null,37690,null,3406,null,36214,null,3949,null,3796,null,901,null,0400000US04,Arizona,04
55367,null,4382,null,15356,null,2850,null,6998,null,1494,null,4977,null,1194,null,2004,null,848,null,17,null,33,null,8358,null,1653,null,4790,null,1162,null,3061,null,854,null,507,null,349,null,40011,null,4048,null,21335,null,2544,null,8763,null,1773,null,11073,null,1697,null,1499,null,544,null,18676,null,2912,null,6033,null,1646,null,10582,null,1980,null,2061,null,601,null,0400000US05,Arkansas,05
1370566,null,27798,null,169035,null,10978,null,82278,null,5883,null,41621,null,4550,null,38669,null,4076,null,1988,null,616,null,86757,null,7050,null,37401,null,4583,null,46151,null,3790,null,3205,null,744,null,1201531,null,26278,null,601268,null,16639,null,293236,null,11177,null,283808,null,9436,null,24224,null,2290,null,600263,null,13783,null,274256,null,8813,null,292014,null,8811,null,33993,null,2860,null,0400000US06,California,06
158269,null,8518,null,25008,null,3336,null,11058,null,1833,null,5844,null,1487,null,4853,null,1087,null,361,null,298,null,13950,null,2358,null,7805,null,2009,null,5529,null,1156,null,616,null,391,null,133261,null,8460,null,66292,null,4648,null,33690,null,3195,null,30236,null,3046,null,2366,null,660,null,66969,null,5261,null,33104,null,3674,null,31011,null,3032,null,2854,null,756,null,0400000US08,Colorado,08
75471,null,5680,null,11073,null,2711,null,5288,null,1495,null,3359,null,1299,null,1929,null,692,null,0,null,277,null,5785,null,1731,null,3027,null,1084,null,2674,null,844,null,84,null,101,null,64398,null,5194,null,32320,null,3503,null,19274,null,2610,null,11820,null,1621,null,1226,null,636,null,32078,null,2887,null,15942,null,2098,null,15060,null,1854,null,1076,null,419,null,0400000US09,Connecticut,09
18393,null,2837,null,2641,null,1373,null,1104,null,689,null,851,null,658,null,253,null,205,null,0,null,263,null,1537,null,854,null,872,null,716,null,497,null,378,null,168,null,195,null,15752,null,2693,null,6779,null,1282,null,3414,null,970,null,3269,null,865,null,96,null,120,null,8973,null,1927,null,4537,null,1321,null,3691,null,1051,null,745,null,620,null,0400000US10,Delaware,10
10407,null,1955,null,1217,null,684,null,420,null,415,null,337,null,383,null,32,null,58,null,51,null,87,null,797,null,568,null,0,null,296,null,744,null,547,null,53,null,88,null,9190,null,1838,null,4489,null,1102,null,2038,null,795,null,2451,null,820,null,0,null,296,null,4701,null,1260,null,1681,null,754,null,2659,null,830,null,361,null,256,null,0400000US11,District of Columbia,11
349507,null,15504,null,57525,null,5848,null,24571,null,3154,null,13227,null,2350,null,9895,null,2091,null,1449,null,638,null,32954,null,3656,null,16467,null,2929,null,13991,null,1744,null,2496,null,839,null,291982,null,14243,null,145986,null,9352,null,67396,null,5796,null,70058,null,5673,null,8532,null,1707,null,145996,null,7819,null,60052,null,5246,null,74850,null,4991,null,11094,null,1796,null,0400000US12,Florida,12
154579,null,10302,null,24845,null,3925,null,11613,null,2328,null,7791,null,2028,null,3595,null,1060,null,227,null,190,null,13232,null,2288,null,6649,null,1557,null,6101,null,1544,null,482,null,268,null,129734,null,9633,null,63773,null,6551,null,34171,null,4291,null,27896,null,3495,null,1706,null,596,null,65961,null,5662,null,32073,null,3497,null,31717,null,3486,null,2171,null,731,null,0400000US13,Georgia,13
299317,null,12914,null,36440,null,5575,null,16683,null,2905,null,10161,null,2034,null,6052,null,1517,null,470,null,299,null,19757,null,3397,null,8864,null,2150,null,10087,null,1855,null,806,null,341,null,262877,null,12854,null,134265,null,7464,null,48822,null,3634,null,78131,null,5346,null,7312,null,964,null,128612,null,7341,null,49059,null,3976,null,71346,null,4738,null,8207,null,1081,null,0400000US15,Hawaii,15
37072,null,3864,null,7859,null,2394,null,2860,null,1200,null,1454,null,873,null,1398,null,749,null,8,null,27,null,4999,null,1469,null,2650,null,1068,null,2244,null,824,null,105,null,123,null,29213,null,3200,null,15049,null,2143,null,8582,null,1636,null,5688,null,1129,null,779,null,360,null,14164,null,1875,null,6992,null,1305,null,6785,null,1352,null,387,null,259,null,0400000US16,Idaho,16
225680,null,12382,null,43272,null,6057,null,21121,null,3545,null,16066,null,3275,null,4747,null,1190,null,308,null,232,null,22151,null,3410,null,13592,null,2477,null,7881,null,1631,null,678,null,317,null,182408,null,10191,null,93104,null,6071,null,51295,null,5131,null,38677,null,3488,null,3132,null,782,null,89304,null,5866,null,46208,null,4223,null,39160,null,3163,null,3936,null,1126,null,0400000US17,Illinois,17
112261,null,7038,null,34068,null,4477,null,15656,null,2190,null,9527,null,1776,null,5853,null,1208,null,276,null,249,null,18412,null,3029,null,11374,null,1979,null,6494,null,1590,null,544,null,340,null,78193,null,6344,null,39032,null,3757,null,20321,null,2947,null,17121,null,2070,null,1590,null,555,null,39161,null,3813,null,20414,null,2924,null,16620,null,2105,null,2127,null,641,null,0400000US18,Indiana,18
52109,null,4581,null,13068,null,3143,null,6874,null,1888,null,4529,null,1494,null,2285,null,893,null,60,null,84,null,6194,null,1841,null,3280,null,1148,null,2726,null,1049,null,188,null,193,null,39041,null,4250,null,19711,null,2512,null,11344,null,1713,null,7890,null,1485,null,477,null,347,null,19330,null,2642,null,11699,null,2134,null,6960,null,1165,null,671,null,408,null,0400000US19,Iowa,19
77624,null,5911,null,18954,null,3435,null,8493,null,1966,null,6076,null,1540,null,2417,null,1042,null,0,null,244,null,10461,null,1962,null,6300,null,1414,null,4044,null,923,null,117,null,105,null,58670,null,4896,null,30099,null,3379,null,14641,null,2049,null,13769,null,2160,null,1689,null,607,null,28571,null,2907,null,14587,null,1975,null,13027,null,1708,null,957,null,402,null,0400000US20,Kansas,20
68297,null,5631,null,22611,null,3378,null,10257,null,1766,null,7264,null,1508,null,2592,null,986,null,401,null,352,null,12354,null,2209,null,7190,null,1697,null,4885,null,1258,null,279,null,245,null,45686,null,4526,null,21793,null,2834,null,11403,null,1911,null,8608,null,1630,null,1782,null,644,null,23893,null,2639,null,12464,null,1697,null,9021,null,1514,null,2408,null,981,null,0400000US21,Kentucky,21
