B15002H_001E,B15002H_001EA,B15002H_001M,B15002H_001MA,B15002H_002E,B15002H_002EA,B15002H_002M,B15002H_002MA,B15002H_003E,B15002H_003EA,B15002H_003M,B15002H_003MA,B15002H_004E,B15002H_004EA,B15002H_004M,B15002H_004MA,B15002H_005E,B15002H_005EA,B15002H_005M,B15002H_005MA,B15002H_006E,B15002H_006EA,B15002H_006M,B15002H_006MA,B15002H_007E,B15002H_007EA,B15002H_007M,B15002H_007MA,B15002H_008E,B15002H_008EA,B15002H_008M,B15002H_008MA,B15002H_009E,B15002H_009EA,B15002H_009M,B15002H_009MA,B15002H_010E,B15002H_010EA,B15002H_010M,B15002H_010MA,B15002H_011E,B15002H_011EA,B15002H_011M,B15002H_011MA,B15002H_012E,B15002H_012EA,B15002H_012M,B15002H_012MA,B15002H_013E,B15002H_013EA,B15002H_013M,B15002H_013MA,B15002H_014E,B15002H_014EA,B15002H_014M,B15002H_014MA,B15002H_015E,B15002H_015EA,B15002H_015M,B15002H_015MA,B15002H_016E,B15002H_016EA,B15002H_016M,B15002H_016MA,B15002H_017E,B15002H_017EA,B15002H_017M,B15002H_017MA,B15002H_018E,B15002H_018EA,B15002H_018M,B15002H_018MA,B15002H_019E,B15002H_019EA,B15002H_019M,B15002H_019MA,GEO_ID,NAME,state
2227745,null,2818,null,1066722,null,1853,null,56574,null,3791,null,113229,null,4790,null,254124,null,6189,null,68528,null,3700,null,237085,null,7197,null,64647,null,4064,null,176871,null,5846,null,95664,null,3944,null,1161023,null,1845,null,56358,null,3184,null,124252,null,5211,null,296634,null,6404,null,65092,null,4111,null,253356,null,7662,null,91571,null,4848,null,177201,null,5164,null,96559,null,4685,null,0400000US01,Alabama,01
303541,null,1176,null,158597,null,873,null,1612,null,545,null,6579,null,1349,null,35345,null,2982,null,8769,null,1764,null,46982,null,2880,null,12931,null,1657,null,29262,null,2358,null,17117,null,1571,null,144944,null,618,null,1774,null,766,null,5986,null,1412,null,25039,null,2229,null,6008,null,1297,null,44457,null,2618,null,12456,null,1433,null,33384,null,2540,null,15840,null,1979,null,0400000US02,Alaska,02
2760906,null,2184,null,1338967,null,1414,null,26310,null,2981,null,77549,null,4755,null,246934,null,8536,null,62298,null,3663,null,372222,null,9239,null,106180,null,5283,null,279552,null,8167,null,167922,null,5689,null,1421939,null,1266,null,23979,null,3630,null,79073,null,4650,null,316213,null,7911,null,44916,null,3753,null,408128,null,8872,null,131201,null,5072,null,267768,null,5665,null,150661,null,6882,null,0400000US04,Arizona,04
1509150,null,3392,null,723287,null,2317,null,45021,null,3600,null,70321,null,3753,null,210900,null,6576,null,49658,null,4014,null,163935,null,5626,null,34249,null,3263,null,100775,null,4419,null,48428,null,3567,null,785863,null,1747,null,40222,null,2997,null,67833,null,3815,null,227244,null,6355,null,49061,null,3240,null,182725,null,6546,null,59472,null,3797,null,107768,null,4981,null,51538,null,3008,null,0400000US05,Arkansas,05
11250383,null,4498,null,5501336,null,3266,null,94546,null,5479,null,268863,null,9810,null,921636,null,14324,null,148263,null,6422,null,1365588,null,16609,null,450924,null,10828,null,1352839,null,18370,null,898677,null,12116,null,5749047,null,2676,null,118456,null,6425,null,258720,null,7968,null,1089023,null,14943,null,95834,null,5342,null,1520367,null,17559,null,545399,null,12333,null,1346065,null,17382,null,775183,null,12328,null,0400000US06,California,06
2487371,null,3154,null,1220143,null,2690,null,16258,null,2418,null,46035,null,3933,null,210962,null,7041,null,50783,null,4311,null,281906,null,7531,null,96550,null,4228,null,324974,null,7434,null,192675,null,5510,null,1267228,null,1232,null,15605,null,2215,null,45531,null,3203,null,240080,null,6237,null,31569,null,2841,null,308426,null,6481,null,115244,null,4584,null,334689,null,7192,null,176084,null,5740,null,0400000US08,Colorado,08
1821786,null,2091,null,866241,null,1296,null,22514,null,2055,null,47032,null,3019,null,207244,null,6789,null,32792,null,3308,null,148401,null,4751,null,53893,null,3645,null,201595,null,5586,null,152770,null,4644,null,955545,null,1077,null,26215,null,2532,null,44642,null,3394,null,251187,null,6274,null,21372,null,1929,null,165023,null,4802,null,84852,null,4268,null,202348,null,5685,null,159906,null,5270,null,0400000US09,Connecticut,09
426060,null,396,null,202252,null,225,null,6046,null,1306,null,15239,null,1861,null,54209,null,2849,null,7629,null,1222,null,40201,null,2943,null,13354,null,1533,null,39746,null,2647,null,25828,null,2298,null,223808,null,241,null,5337,null,1152,null,15871,null,1606,null,67197,null,3244,null,5446,null,1123,null,41696,null,2404,null,21006,null,2373,null,41461,null,3174,null,25794,null,2196,null,0400000US10,Delaware,10
149499,null,436,null,75532,null,193,null,0,null,296,null,758,null,460,null,2195,null,805,null,545,null,450,null,6183,null,1292,null,694,null,346,null,25045,null,1992,null,40112,null,2189,null,73967,null,437,null,526,null,508,null,467,null,397,null,2156,null,735,null,214,null,238,null,5254,null,1436,null,1167,null,508,null,25059,null,2113,null,39124,null,2166,null,0400000US11,District of Columbia,11
8189165,null,4013,null,3932728,null,2542,null,107675,null,5703,null,291482,null,9453,null,909269,null,14233,null,217355,null,8194,null,894508,null,13052,null,313557,null,9868,null,748902,null,11183,null,449980,null,10033,null,4256437,null,2509,null,104140,null,5583,null,286470,null,8821,null,1220847,null,15826,null,164907,null,6255,null,992711,null,13409,null,392104,null,11202,null,718038,null,11151,null,377220,null,9508,null,0400000US12,Florida,12
