B27001F_001E,B27001F_001EA,B27001F_001M,B27001F_001MA,B27001F_002E,B27001F_002EA,B27001F_002M,B27001F_002MA,B27001F_003E,B27001F_003EA,B27001F_003M,B27001F_003MA,B27001F_004E,B27001F_004EA,B27001F_004M,B27001F_004MA,B27001F_005E,B27001F_005EA,B27001F_005M,B27001F_005MA,B27001F_006E,B27001F_006EA,B27001F_006M,B27001F_006MA,B27001F_007E,B27001F_007EA,B27001F_007M,B27001F_007MA,B27001F_008E,B27001F_008EA,B27001F_008M,B27001F_008MA,B27001F_009E,B27001F_009EA,B27001F_009M,B27001F_009MA,B27001F_010E,B27001F_010EA,B27001F_010M,B27001F_010MA,B27001F_011E,B27001F_011EA,B27001F_011M,B27001F_011MA,B27001F_012E,B27001F_012EA,B27001F_012M,B27001F_012MA,B27001F_013E,B27001F_013EA,B27001F_013M,B27001F_013MA,B27001F_014E,B27001F_014EA,B27001F_014M,B27001F_014MA,B27001F_015E,B27001F_015EA,B27001F_015M,B27001F_015MA,B27001F_016E,B27001F_016EA,B27001F_016M,B27001F_016MA,B27001F_017E,B27001F_017EA,B27001F_017M,B27001F_017MA,B27001F_018E,B27001F_018EA,B27001F_018M,B27001F_018MA,B27001F_019E,B27001F_019EA,B27001F_019M,B27001F_019MA,B27001F_020E,B27001F_020EA,B27001F_020M,B27001F_020MA,B27001F_021E,B27001F_021EA,B27001F_021M,B27001F_021MA,B27001F_022E,B27001F_022EA,B27001F_022M,B27001F_022MA,B27001F_023E,B27001F_023EA,B27001F_023M,B27001F_023MA,B27001F_024E,B27001F_024EA,B27001F_024M,B27001F_024MA,B27001F_025E,B27001F_025EA,B27001F_025M,B27001F_025MA,B27001F_026E,B27001F_026EA,B27001F_026M,B27001F_026MA,B27001F_027E,B27001F_027EA,B27001F_027M,B27001F_027MA,B27001F_028E,B27001F_028EA,B27001F_028M,B27001F_028MA,GEO_ID,NAME,state
42188,null,5289,null,7593,null,1688,null,6872,null,1507,null,721,null,574,null,7514,null,1519,null,5304,null,1309,null,2210,null,1010,null,3882,null,1074,null,1204,null,581,null,2678,null,771,null,11978,null,2100,null,3891,null,1332,null,8087,null,1818,null,5328,null,1136,null,2198,null,858,null,3130,null,985,null,3360,null,874,null,853,null,527,null,2507,null,783,null,1731,null,921,null,938,null,580,null,793,null,660,null,219,null,245,null,74,null,127,null,145,null,207,null,583,null,414,null,174,null,163,null,409,null,365,null,0400000US01,Alabama,01
11576,null,2551,null,772,null,579,null,772,null,579,null,0,null,244,null,1738,null,868,null,1415,null,829,null,323,null,441,null,2685,null,943,null,1670,null,926,null,1015,null,707,null,1240,null,609,null,648,null,457,null,592,null,368,null,1975,null,775,null,1136,null,565,null,839,null,637,null,2078,null,844,null,1759,null,753,null,319,null,249,null,692,null,427,null,669,null,423,null,23,null,42,null,205,null,189,null,205,null,189,null,0,null,244,null,191,null,223,null,191,null,223,null,0,null,244,null,0400000US02,Alaska,02
403160,null,20140,null,52077,null,5240,null,46461,null,4643,null,5616,null,1922,null,94942,null,6446,null,81104,null,5702,null,13838,null,3090,null,40339,null,4597,null,25357,null,3251,null,14982,null,2755,null,73480,null,6753,null,46996,null,4824,null,26484,null,4399,null,61569,null,4445,null,44136,null,4181,null,17433,null,2815,null,40175,null,4146,null,30259,null,3026,null,9916,null,2343,null,22932,null,2898,null,17284,null,2378,null,5648,null,1638,null,10367,null,1475,null,9278,null,1445,null,1089,null,757,null,7279,null,1219,null,6894,null,1254,null,385,null,315,null,0400000US04,Arizona,04
65327,null,6118,null,9905,null,1961,null,8699,null,1833,null,1206,null,681,null,16687,null,2184,null,12447,null,2015,null,4240,null,1224,null,8454,null,1790,null,5185,null,1484,null,3269,null,1153,null,11057,null,1505,null,4029,null,1206,null,7028,null,1599,null,9701,null,1909,null,4016,null,1468,null,5685,null,1433,null,4786,null,1291,null,2258,null,832,null,2528,null,1034,null,2948,null,942,null,1554,null,702,null,1394,null,703,null,1038,null,754,null,935,null,744,null,103,null,122,null,751,null,390,null,652,null,366,null,99,null,119,null,0400000US05,Arkansas,05
5025245,null,73330,null,604630,null,15636,null,540857,null,15460,null,63773,null,5379,null,1056591,null,21836,null,869980,null,19025,null,186611,null,11407,null,604800,null,15110,null,302688,null,10554,null,302112,null,10959,null,905426,null,18717,null,486654,null,15390,null,418772,null,17309,null,794520,null,16417,null,449669,null,13786,null,344851,null,10916,null,565968,null,13094,null,351795,null,10142,null,214173,null,9598,null,288165,null,8993,null,193089,null,8368,null,95076,null,5814,null,123775,null,5224,null,112875,null,4860,null,10900,null,1917,null,81370,null,4486,null,75859,null,4290,null,5511,null,1652,null,0400000US06,California,06
229067,null,15873,null,30060,null,4018,null,25609,null,3769,null,4451,null,1366,null,51674,null,4969,null,38846,null,4275,null,12828,null,2763,null,23001,null,2538,null,12082,null,2068,null,10919,null,2225,null,42870,null,5378,null,20624,null,3059,null,22246,null,4276,null,33514,null,3766,null,20448,null,2733,null,13066,null,2492,null,26278,null,2653,null,17980,null,1989,null,8298,null,1853,null,12895,null,1667,null,9205,null,1418,null,3690,null,1125,null,5462,null,1144,null,5025,null,1051,null,437,null,502,null,3313,null,851,null,3022,null,764,null,291,null,371,null,0400000US08,Colorado,08
180461,null,11558,null,20514,null,2453,null,18548,null,2501,null,1966,null,1238,null,38286,null,3932,null,34701,null,3743,null,3585,null,1294,null,24256,null,3361,null,14611,null,2196,null,9645,null,2075,null,33035,null,3346,null,18711,null,2415,null,14324,null,2420,null,29419,null,2852,null,20421,null,2516,null,8998,null,2258,null,20345,null,2622,null,14798,null,2059,null,5547,null,1630,null,7946,null,1545,null,6052,null,1255,null,1894,null,978,null,4422,null,1126,null,3946,null,1085,null,476,null,355,null,2238,null,701,null,2156,null,692,null,82,null,133,null,0400000US09,Connecticut,09
15970,null,3254,null,2667,null,996,null,2426,null,908,null,241,null,298,null,2350,null,826,null,1964,null,710,null,386,null,330,null,1850,null,830,null,1174,null,764,null,676,null,334,null,3172,null,1020,null,1517,null,772,null,1655,null,601,null,2093,null,572,null,849,null,403,null,1244,null,532,null,1910,null,731,null,1300,null,678,null,610,null,254,null,1685,null,716,null,1128,null,617,null,557,null,458,null,88,null,132,null,88,null,132,null,0,null,263,null,155,null,232,null,155,null,232,null,0,null,263,null,0400000US10,Delaware,10
17562,null,3915,null,3162,null,1286,null,3162,null,1286,null,0,null,296,null,2902,null,1224,null,2342,null,1066,null,560,null,500,null,1907,null,911,null,1355,null,663,null,552,null,504,null,2555,null,845,null,2046,null,711,null,509,null,451,null,3479,null,981,null,2664,null,863,null,815,null,654,null,2240,null,844,null,1409,null,676,null,831,null,606,null,1161,null,600,null,1161,null,600,null,0,null,296,null,156,null,197,null,156,null,197,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
507713,null,26184,null,52449,null,5696,null,42444,null,4738,null,10005,null,2744,null,90200,null,6615,null,64825,null,5725,null,25375,null,3435,null,68928,null,5808,null,27911,null,3601,null,41017,null,4268,null,94734,null,8756,null,41493,null,4674,null,53241,null,6267,null,81175,null,6311,null,38321,null,4055,null,42854,null,4914,null,64140,null,5338,null,37017,null,3662,null,27123,null,3868,null,30520,null,3743,null,18860,null,2628,null,11660,null,2759,null,15637,null,2302,null,14198,null,2093,null,1439,null,902,null,9930,null,2056,null,9448,null,1978,null,482,null,475,null,0400000US12,Florida,12
