C15002H_001E,C15002H_001EA,C15002H_001M,C15002H_001MA,C15002H_002E,C15002H_002EA,C15002H_002M,C15002H_002MA,C15002H_003E,C15002H_003EA,C15002H_003M,C15002H_003MA,C15002H_004E,C15002H_004EA,C15002H_004M,C15002H_004MA,C15002H_005E,C15002H_005EA,C15002H_005M,C15002H_005MA,C15002H_006E,C15002H_006EA,C15002H_006M,C15002H_006MA,C15002H_007E,C15002H_007EA,C15002H_007M,C15002H_007MA,C15002H_008E,C15002H_008EA,C15002H_008M,C15002H_008MA,C15002H_009E,C15002H_009EA,C15002H_009M,C15002H_009MA,C15002H_010E,C15002H_010EA,C15002H_010M,C15002H_010MA,C15002H_011E,C15002H_011EA,C15002H_011M,C15002H_011MA,GEO_ID,NAME,state
2227745,null,2818,null,1066722,null,1853,null,169803,null,5658,null,322652,null,6756,null,301732,null,7552,null,272535,null,6219,null,1161023,null,1845,null,180610,null,5930,null,361726,null,6846,null,344927,null,7980,null,273760,null,6644,null,0400000US01,Alabama,01
303541,null,1176,null,158597,null,873,null,8191,null,1487,null,44114,null,2727,null,59913,null,3010,null,46379,null,2744,null,144944,null,618,null,7760,null,1610,null,31047,null,2401,null,56913,null,2793,null,49224,null,2966,null,0400000US02,Alaska,02
2760906,null,2184,null,1338967,null,1414,null,103859,null,4898,null,309232,null,9418,null,478402,null,9613,null,447474,null,8132,null,1421939,null,1266,null,103052,null,5526,null,361129,null,8324,null,539329,null,9883,null,418429,null,8245,null,0400000US04,Arizona,04
1509150,null,3392,null,723287,null,2317,null,115342,null,5427,null,260558,null,6824,null,198184,null,6130,null,149203,null,4674,null,785863,null,1747,null,108055,null,3968,null,276305,null,6788,null,242197,null,6517,null,159306,null,5236,null,0400000US05,Arkansas,05
11250383,null,4498,null,5501336,null,3266,null,363409,null,10960,null,1069899,null,15978,null,1816512,null,18716,null,2251516,null,19493,null,5749047,null,2676,null,377176,null,9580,null,1184857,null,14366,null,2065766,null,16913,null,2121248,null,18914,null,0400000US06,California,06
2487371,null,3154,null,1220143,null,2690,null,62293,null,4647,null,261745,null,7898,null,378456,null,7892,null,517649,null,8276,null,1267228,null,1232,null,61136,null,4180,null,271649,null,6583,null,423670,null,7575,null,510773,null,8590,null,0400000US08,Colorado,08
1821786,null,2091,null,866241,null,1296,null,69546,null,3809,null,240036,null,7052,null,202294,null,5533,null,354365,null,6272,null,955545,null,1077,null,70857,null,4439,null,272559,null,6486,null,249875,null,5506,null,362254,null,5615,null,0400000US09,Connecticut,09
426060,null,396,null,202252,null,225,null,21285,null,2260,null,61838,null,2888,null,53555,null,3303,null,65574,null,3150,null,223808,null,241,null,21208,null,2008,null,72643,null,3006,null,62702,null,3003,null,67255,null,3356,null,0400000US10,Delaware,10
149499,null,436,null,75532,null,193,null,758,null,460,null,2740,null,897,null,6877,null,1345,null,65157,null,1835,null,73967,null,437,null,993,null,621,null,2370,null,714,null,6421,null,1618,null,64183,null,1921,null,0400000US11,District of Columbia,11
8189165,null,4013,null,3932728,null,2542,null,399157,null,11413,null,1126624,null,17005,null,1208065,null,16135,null,1198882,null,15004,null,4256437,null,2509,null,390610,null,9540,null,1385754,null,15835,null,1384815,null,15007,null,1095258,null,14036,null,0400000US12,Florida,12
