B01001H_001E,B01001H_001EA,B01001H_001M,B01001H_001MA,B01001H_002E,B01001H_002EA,B01001H_002M,B01001H_002MA,B01001H_003E,B01001H_003EA,B01001H_003M,B01001H_003MA,B01001H_004E,B01001H_004EA,B01001H_004M,B01001H_004MA,B01001H_005E,B01001H_005EA,B01001H_005M,B01001H_005MA,B01001H_006E,B01001H_006EA,B01001H_006M,B01001H_006MA,B01001H_007E,B01001H_007EA,B01001H_007M,B01001H_007MA,B01001H_008E,B01001H_008EA,B01001H_008M,B01001H_008MA,B01001H_009E,B01001H_009EA,B01001H_009M,B01001H_009MA,B01001H_010E,B01001H_010EA,B01001H_010M,B01001H_010MA,B01001H_011E,B01001H_011EA,B01001H_011M,B01001H_011MA,B01001H_012E,B01001H_012EA,B01001H_012M,B01001H_012MA,B01001H_013E,B01001H_013EA,B01001H_013M,B01001H_013MA,B01001H_014E,B01001H_014EA,B01001H_014M,B01001H_014MA,B01001H_015E,B01001H_015EA,B01001H_015M,B01001H_015MA,B01001H_016E,B01001H_016EA,B01001H_016M,B01001H_016MA,B01001H_017E,B01001H_017EA,B01001H_017M,B01001H_017MA,B01001H_018E,B01001H_018EA,B01001H_018M,B01001H_018MA,B01001H_019E,B01001H_019EA,B01001H_019M,B01001H_019MA,B01001H_020E,B01001H_020EA,B01001H_020M,B01001H_020MA,B01001H_021E,B01001H_021EA,B01001H_021M,B01001H_021MA,B01001H_022E,B01001H_022EA,B01001H_022M,B01001H_022MA,B01001H_023E,B01001H_023EA,B01001H_023M,B01001H_023MA,B01001H_024E,B01001H_024EA,B01001H_024M,B01001H_024MA,B01001H_025E,B01001H_025EA,B01001H_025M,B01001H_025MA,B01001H_026E,B01001H_026EA,B01001H_026M,B01001H_026MA,B01001H_027E,B01001H_027EA,B01001H_027M,B01001H_027MA,B01001H_028E,B01001H_028EA,B01001H_028M,B01001H_028MA,B01001H_029E,B01001H_029EA,B01001H_029M,B01001H_029MA,B01001H_030E,B01001H_030EA,B01001H_030M,B01001H_030MA,B01001H_031E,B01001H_031EA,B01001H_031M,B01001H_031MA,GEO_ID,NAME,state
3198640,null,1785,null,1563580,null,2448,null,91872,null,1372,null,100347,null,3850,null,96696,null,3869,null,62349,null,1212,null,43782,null,1776,null,101812,null,1903,null,101613,null,1333,null,93500,null,1292,null,214096,null,1578,null,236463,null,1326,null,200636,null,166,null,130100,null,766,null,73695,null,1789,null,16619,null,1722,null,1635060,null,2627,null,90125,null,1287,null,90529,null,3961,null,94602,null,3989,null,57820,null,1477,null,40008,null,2141,null,100953,null,1691,null,101100,null,1631,null,94527,null,1102,null,211041,null,1257,null,241534,null,986,null,213538,null,351,null,151336,null,311,null,104166,null,2652,null,43781,null,2710,null,0400000US01,Alabama,01
454124,null,704,null,238942,null,783,null,15196,null,569,null,12028,null,1540,null,16283,null,1487,null,9146,null,374,null,7643,null,903,null,20049,null,890,null,20280,null,905,null,15607,null,896,null,31729,null,897,null,39235,null,117,null,32630,null,348,null,12596,null,254,null,5292,null,471,null,1228,null,413,null,215182,null,866,null,14045,null,594,null,12045,null,1317,null,14016,null,1259,null,8688,null,411,null,6253,null,877,null,15191,null,965,null,16525,null,634,null,13785,null,293,null,29518,null,526,null,37791,null,350,null,27940,null,137,null,11423,null,566,null,5661,null,732,null,2301,null,514,null,0400000US02,Alaska,02
3767988,null,3913,null,1857955,null,2312,null,102939,null,1218,null,101399,null,4671,null,102457,null,4733,null,63597,null,770,null,41269,null,900,null,107327,null,1101,null,126323,null,1086,null,114949,null,932,null,244258,null,900,null,278875,null,787,null,251174,null,556,null,172523,null,440,null,116443,null,2736,null,34422,null,2738,null,1910033,null,2821,null,96423,null,1465,null,92597,null,4208,null,100681,null,4187,null,61266,null,946,null,35939,null,862,null,101188,null,1270,null,121807,null,1016,null,111026,null,831,null,234757,null,948,null,287516,null,649,null,275145,null,292,null,193247,null,486,null,139687,null,3143,null,58754,null,3035,null,0400000US04,Arizona,04
2166895,null,1752,null,1060735,null,1940,null,65779,null,1421,null,66215,null,3386,null,66173,null,3393,null,41941,null,1365,null,28800,null,2184,null,68540,null,2066,null,71107,null,2427,null,67324,null,1479,null,137370,null,1426,null,154917,null,637,null,135385,null,296,null,90795,null,568,null,49809,null,1839,null,16580,null,1761,null,1106160,null,2139,null,63581,null,1618,null,62178,null,2712,null,65374,null,2746,null,37888,null,1373,null,26429,null,2067,null,64847,null,2236,null,71783,null,1391,null,64590,null,1261,null,139526,null,1441,null,159726,null,504,null,144354,null,608,null,102571,null,641,null,71609,null,2616,null,31704,null,2644,null,0400000US05,Arkansas,05
15325751,null,6499,null,7608700,null,4658,null,372603,null,1460,null,364678,null,6572,null,408079,null,6528,null,267533,null,1418,null,193731,null,1687,null,500740,null,2034,null,516982,null,1601,null,453832,null,1391,null,1030059,null,1810,null,1299096,null,1395,null,1078285,null,949,null,616892,null,736,null,362641,null,4980,null,143549,null,4875,null,7717051,null,4621,null,353419,null,1843,null,343915,null,7257,null,385194,null,6891,null,252712,null,1373,null,176771,null,1505,null,455993,null,1624,null,485670,null,1215,null,428778,null,1013,null,983035,null,1580,null,1271513,null,1236,null,1105811,null,714,null,692533,null,735,null,502449,null,6208,null,279258,null,6176,null,0400000US06,California,06
3540663,null,3902,null,1766091,null,2718,null,103988,null,658,null,103317,null,3567,null,98509,null,3531,null,64874,null,725,null,47260,null,1586,null,128000,null,1890,null,129270,null,1254,null,116475,null,738,null,254395,null,1736,null,288126,null,521,null,234125,null,474,null,117781,null,343,null,59811,null,1474,null,20160,null,1541,null,1774572,null,2222,null,97067,null,916,null,94638,null,3902,null,94979,null,3828,null,60415,null,922,null,42079,null,1331,null,118166,null,1607,null,124596,null,1048,null,112398,null,491,null,244175,null,536,null,293921,null,408,null,239952,null,117,null,129648,null,681,null,80402,null,2581,null,42136,null,2702,null,0400000US08,Colorado,08
2562302,null,3868,null,1244641,null,1872,null,62144,null,435,null,68576,null,2826,null,81978,null,2808,null,50638,null,237,null,36165,null,662,null,78899,null,350,null,67661,null,485,null,62318,null,436,null,168181,null,797,null,220230,null,293,null,169923,null,204,null,97706,null,183,null,58789,null,1571,null,21433,null,1588,null,1317661,null,2264,null,59970,null,335,null,65319,null,2917,null,76056,null,2823,null,48816,null,126,null,35844,null,162,null,76111,null,499,null,65215,null,290,null,62588,null,523,null,174483,null,430,null,224907,null,384,null,178746,null,627,null,113090,null,145,null,85822,null,2478,null,50694,null,2480,null,0400000US09,Connecticut,09
596365,null,638,null,289212,null,433,null,16306,null,263,null,15782,null,1650,null,17713,null,1606,null,10969,null,88,null,8153,null,263,null,18037,null,71,null,18461,null,71,null,16681,null,263,null,36820,null,263,null,45489,null,127,null,38722,null,147,null,25729,null,263,null,14832,null,980,null,5518,null,980,null,307153,null,357,null,15584,null,77,null,15783,null,1482,null,15796,null,1489,null,10597,null,263,null,8430,null,263,null,17155,null,181,null,17948,null,182,null,17795,null,263,null,38191,null,263,null,47890,null,123,null,42564,null,140,null,29608,null,263,null,18932,null,1250,null,10880,null,1250,null,0400000US10,Delaware,10
199898,null,1211,null,98828,null,496,null,4970,null,295,null,3480,null,688,null,2268,null,688,null,540,null,324,null,4800,null,856,null,7238,null,856,null,13420,null,296,null,11579,null,111,null,17571,null,113,null,12179,null,108,null,10567,null,296,null,6244,null,296,null,2501,null,498,null,1471,null,498,null,101070,null,962,null,4806,null,296,null,2296,null,667,null,2695,null,679,null,1856,null,324,null,6579,null,1160,null,8871,null,1111,null,15518,null,296,null,11507,null,296,null,14995,null,296,null,9649,null,311,null,10715,null,325,null,6149,null,296,null,2874,null,678,null,2560,null,678,null,0400000US11,District of Columbia,11
10988592,null,6103,null,5372979,null,4369,null,258237,null,1450,null,254361,null,7626,null,304613,null,7899,null,182453,null,1599,null,126159,null,3993,null,314428,null,4382,null,323166,null,1871,null,280523,null,991,null,663383,null,1906,null,819743,null,1189,null,737311,null,821,null,547885,null,753,null,416268,null,4990,null,144449,null,5043,null,5615613,null,3693,null,246398,null,1363,null,251497,null,5628,null,274981,null,5867,null,175949,null,1441,null,115050,null,1733,null,295301,null,2149,null,311493,null,1532,null,270761,null,1677,null,654355,null,1512,null,841355,null,800,null,801134,null,1425,null,620594,null,832,null,508429,null,7962,null,248316,null,8028,null,0400000US12,Florida,12
