B27001D_001E,B27001D_001EA,B27001D_001M,B27001D_001MA,B27001D_002E,B27001D_002EA,B27001D_002M,B27001D_002MA,B27001D_003E,B27001D_003EA,B27001D_003M,B27001D_003MA,B27001D_004E,B27001D_004EA,B27001D_004M,B27001D_004MA,B27001D_005E,B27001D_005EA,B27001D_005M,B27001D_005MA,B27001D_006E,B27001D_006EA,B27001D_006M,B27001D_006MA,B27001D_007E,B27001D_007EA,B27001D_007M,B27001D_007MA,B27001D_008E,B27001D_008EA,B27001D_008M,B27001D_008MA,B27001D_009E,B27001D_009EA,B27001D_009M,B27001D_009MA,B27001D_010E,B27001D_010EA,B27001D_010M,B27001D_010MA,B27001D_011E,B27001D_011EA,B27001D_011M,B27001D_011MA,B27001D_012E,B27001D_012EA,B27001D_012M,B27001D_012MA,B27001D_013E,B27001D_013EA,B27001D_013M,B27001D_013MA,B27001D_014E,B27001D_014EA,B27001D_014M,B27001D_014MA,B27001D_015E,B27001D_015EA,B27001D_015M,B27001D_015MA,B27001D_016E,B27001D_016EA,B27001D_016M,B27001D_016MA,B27001D_017E,B27001D_017EA,B27001D_017M,B27001D_017MA,B27001D_018E,B27001D_018EA,B27001D_018M,B27001D_018MA,B27001D_019E,B27001D_019EA,B27001D_019M,B27001D_019MA,B27001D_020E,B27001D_020EA,B27001D_020M,B27001D_020MA,B27001D_021E,B27001D_021EA,B27001D_021M,B27001D_021MA,B27001D_022E,B27001D_022EA,B27001D_022M,B27001D_022MA,B27001D_023E,B27001D_023EA,B27001D_023M,B27001D_023MA,B27001D_024E,B27001D_024EA,B27001D_024M,B27001D_024MA,B27001D_025E,B27001D_025EA,B27001D_025M,B27001D_025MA,B27001D_026E,B27001D_026EA,B27001D_026M,B27001D_026MA,B27001D_027E,B27001D_027EA,B27001D_027M,B27001D_027MA,B27001D_028E,B27001D_028EA,B27001D_028M,B27001D_028MA,GEO_ID,NAME,state
50551,null,2140,null,5222,null,1300,null,5156,null,1295,null,66,null,91,null,8024,null,1489,null,7015,null,1475,null,1009,null,604,null,4771,null,1267,null,3672,null,1166,null,1099,null,538,null,9257,null,1141,null,7720,null,1135,null,1537,null,698,null,8647,null,1615,null,6416,null,1363,null,2231,null,883,null,6735,null,1474,null,5668,null,1505,null,1067,null,517,null,4236,null,873,null,3718,null,893,null,518,null,349,null,2839,null,617,null,2647,null,642,null,192,null,198,null,820,null,447,null,578,null,350,null,242,null,317,null,0400000US01,Alabama,01
33396,null,1805,null,2146,null,449,null,1976,null,438,null,170,null,162,null,5350,null,834,null,4379,null,917,null,971,null,546,null,2631,null,566,null,1575,null,590,null,1056,null,566,null,4449,null,613,null,2653,null,620,null,1796,null,473,null,6847,null,1101,null,4964,null,1040,null,1883,null,739,null,5485,null,911,null,4226,null,904,null,1259,null,607,null,3447,null,536,null,2476,null,654,null,971,null,595,null,1745,null,706,null,1713,null,714,null,32,null,61,null,1296,null,488,null,1296,null,488,null,0,null,244,null,0400000US02,Alaska,02
167012,null,3802,null,13440,null,1422,null,12918,null,1509,null,522,null,478,null,23946,null,2289,null,21435,null,2417,null,2511,null,1119,null,16550,null,2066,null,12306,null,2033,null,4244,null,1382,null,29595,null,1455,null,24115,null,1958,null,5480,null,1702,null,32089,null,960,null,27657,null,1476,null,4432,null,1517,null,21787,null,1039,null,18095,null,1255,null,3692,null,938,null,14677,null,892,null,11677,null,1129,null,3000,null,977,null,8018,null,753,null,7135,null,1014,null,883,null,645,null,6910,null,768,null,6548,null,715,null,362,null,333,null,0400000US04,Arizona,04
31799,null,2555,null,3948,null,1119,null,3341,null,1201,null,607,null,518,null,4167,null,808,null,2770,null,836,null,1397,null,655,null,4751,null,1449,null,2765,null,1099,null,1986,null,873,null,4914,null,1269,null,3325,null,985,null,1589,null,753,null,4238,null,1195,null,3293,null,1079,null,945,null,667,null,4368,null,1319,null,3128,null,1104,null,1240,null,641,null,3080,null,672,null,2462,null,561,null,618,null,394,null,1402,null,515,null,1298,null,491,null,104,null,118,null,931,null,422,null,827,null,421,null,104,null,118,null,0400000US05,Arkansas,05
4587872,null,13994,null,318109,null,6860,null,300863,null,6625,null,17246,null,3184,null,637547,null,6355,null,586922,null,7232,null,50625,null,4588,null,395632,null,4611,null,299024,null,6274,null,96608,null,4691,null,744018,null,5679,null,598805,null,9108,null,145213,null,8830,null,759134,null,4566,null,653386,null,6683,null,105748,null,5425,null,687922,null,3734,null,567406,null,6495,null,120516,null,5535,null,519208,null,2260,null,432733,null,5401,null,86475,null,4808,null,290147,null,2106,null,278568,null,3221,null,11579,null,2048,null,236155,null,2438,null,232029,null,2620,null,4126,null,917,null,0400000US06,California,06
128631,null,3479,null,9952,null,1446,null,8996,null,1408,null,956,null,499,null,20075,null,1731,null,18120,null,1838,null,1955,null,919,null,12910,null,1618,null,10290,null,1480,null,2620,null,875,null,22422,null,1854,null,17119,null,1583,null,5303,null,1313,null,24500,null,1824,null,20628,null,2051,null,3872,null,1103,null,16772,null,1230,null,14792,null,1413,null,1980,null,677,null,10616,null,866,null,8931,null,861,null,1685,null,698,null,6079,null,1001,null,5884,null,1017,null,195,null,204,null,5305,null,977,null,5305,null,977,null,0,null,279,null,0400000US08,Colorado,08
123760,null,2249,null,12293,null,1044,null,12034,null,1079,null,259,null,264,null,18429,null,1472,null,17763,null,1539,null,666,null,482,null,12282,null,824,null,10901,null,936,null,1381,null,533,null,22529,null,1308,null,19981,null,1437,null,2548,null,955,null,24351,null,834,null,22154,null,1113,null,2197,null,814,null,16125,null,841,null,14986,null,946,null,1139,null,497,null,10507,null,848,null,9130,null,923,null,1377,null,790,null,5502,null,779,null,5186,null,817,null,316,null,296,null,1742,null,606,null,1361,null,515,null,381,null,358,null,0400000US09,Connecticut,09
26954,null,948,null,2894,null,728,null,2894,null,728,null,0,null,263,null,3879,null,831,null,3761,null,841,null,118,null,153,null,1835,null,272,null,1752,null,272,null,83,null,101,null,5533,null,440,null,4999,null,650,null,534,null,557,null,4783,null,397,null,4598,null,460,null,185,null,217,null,3483,null,495,null,2859,null,592,null,624,null,325,null,2627,null,478,null,2162,null,617,null,465,null,550,null,1293,null,589,null,1217,null,548,null,76,null,118,null,627,null,441,null,627,null,441,null,0,null,263,null,0400000US10,Delaware,10
17194,null,1011,null,769,null,642,null,769,null,642,null,0,null,296,null,1049,null,741,null,1049,null,741,null,0,null,296,null,2245,null,486,null,2092,null,472,null,153,null,235,null,5128,null,458,null,4908,null,533,null,220,null,289,null,3458,null,679,null,3224,null,705,null,234,null,281,null,1589,null,671,null,1237,null,611,null,352,null,431,null,1764,null,300,null,1252,null,371,null,512,null,395,null,576,null,275,null,576,null,275,null,0,null,296,null,616,null,321,null,616,null,321,null,0,null,296,null,0400000US11,District of Columbia,11
440450,null,6183,null,35601,null,2347,null,31849,null,2379,null,3752,null,1178,null,65159,null,3536,null,54807,null,3862,null,10352,null,2706,null,37805,null,2228,null,24305,null,2137,null,13500,null,1683,null,70894,null,3346,null,49742,null,3222,null,21152,null,2739,null,80550,null,2641,null,61408,null,3257,null,19142,null,2789,null,63709,null,2402,null,46786,null,2454,null,16923,null,2141,null,45623,null,1782,null,34713,null,2118,null,10910,null,1693,null,27037,null,1786,null,26195,null,1840,null,842,null,475,null,14072,null,1590,null,13044,null,1478,null,1028,null,631,null,0400000US12,Florida,12
