C27012_001E,C27012_001EA,C27012_001M,C27012_001MA,C27012_002E,C27012_002EA,C27012_002M,C27012_002MA,C27012_003E,C27012_003EA,C27012_003M,C27012_003MA,C27012_004E,C27012_004EA,C27012_004M,C27012_004MA,C27012_005E,C27012_005EA,C27012_005M,C27012_005MA,C27012_006E,C27012_006EA,C27012_006M,C27012_006MA,C27012_007E,C27012_007EA,C27012_007M,C27012_007MA,C27012_008E,C27012_008EA,C27012_008M,C27012_008MA,C27012_009E,C27012_009EA,C27012_009M,C27012_009MA,C27012_010E,C27012_010EA,C27012_010M,C27012_010MA,C27012_011E,C27012_011EA,C27012_011M,C27012_011MA,C27012_012E,C27012_012EA,C27012_012M,C27012_012MA,C27012_013E,C27012_013EA,C27012_013M,C27012_013MA,C27012_014E,C27012_014EA,C27012_014M,C27012_014MA,C27012_015E,C27012_015EA,C27012_015M,C27012_015MA,C27012_016E,C27012_016EA,C27012_016M,C27012_016MA,C27012_017E,C27012_017EA,C27012_017M,C27012_017MA,C27012_018E,C27012_018EA,C27012_018M,C27012_018MA,C27012_019E,C27012_019EA,C27012_019M,C27012_019MA,C27012_020E,C27012_020EA,C27012_020M,C27012_020MA,C27012_021E,C27012_021EA,C27012_021M,C27012_021MA,C27012_022E,C27012_022EA,C27012_022M,C27012_022MA,C27012_023E,C27012_023EA,C27012_023M,C27012_023MA,C27012_024E,C27012_024EA,C27012_024M,C27012_024MA,C27012_025E,C27012_025EA,C27012_025M,C27012_025MA,C27012_026E,C27012_026EA,C27012_026M,C27012_026MA,C27012_027E,C27012_027EA,C27012_027M,C27012_027MA,C27012_028E,C27012_028EA,C27012_028M,C27012_028MA,C27012_029E,C27012_029EA,C27012_029M,C27012_029MA,C27012_030E,C27012_030EA,C27012_030M,C27012_030MA,C27012_031E,C27012_031EA,C27012_031M,C27012_031MA,C27012_032E,C27012_032EA,C27012_032M,C27012_032MA,C27012_033E,C27012_033EA,C27012_033M,C27012_033MA,C27012_034E,C27012_034EA,C27012_034M,C27012_034MA,C27012_035E,C27012_035EA,C27012_035M,C27012_035MA,C27012_036E,C27012_036EA,C27012_036M,C27012_036MA,C27012_037E,C27012_037EA,C27012_037M,C27012_037MA,C27012_038E,C27012_038EA,C27012_038M,C27012_038MA,C27012_039E,C27012_039EA,C27012_039M,C27012_039MA,C27012_040E,C27012_040EA,C27012_040M,C27012_040MA,C27012_041E,C27012_041EA,C27012_041M,C27012_041MA,C27012_042E,C27012_042EA,C27012_042M,C27012_042MA,C27012_043E,C27012_043EA,C27012_043M,C27012_043MA,C27012_044E,C27012_044EA,C27012_044M,C27012_044MA,C27012_045E,C27012_045EA,C27012_045M,C27012_045MA,C27012_046E,C27012_046EA,C27012_046M,C27012_046MA,GEO_ID,NAME,state
3491801,null,2890,null,1421526,null,13634,null,1377976,null,14255,null,1216745,null,15058,null,1115535,null,15991,null,129809,null,6688,null,4620,null,933,null,31232,null,3111,null,161231,null,8242,null,43550,null,2990,null,43325,null,2977,null,27864,null,2441,null,12920,null,1447,null,39425,null,2840,null,4237,null,1173,null,225,null,222,null,835732,null,13707,null,771276,null,13632,null,527784,null,10595,null,382243,null,9570,null,95587,null,5555,null,9385,null,1473,null,61235,null,4173,null,243492,null,10275,null,64456,null,2898,null,64356,null,2886,null,29151,null,2332,null,25096,null,2061,null,63471,null,2874,null,5951,null,971,null,100,null,167,null,1234543,null,12567,null,718464,null,13131,null,556177,null,10626,null,253746,null,8896,null,91020,null,5137,null,148090,null,6372,null,186603,null,6402,null,162287,null,7347,null,516079,null,4887,null,513507,null,5022,null,176972,null,5380,null,199314,null,5764,null,510025,null,4995,null,101204,null,5092,null,2572,null,1024,null,0400000US01,Alabama,01
494820,null,2691,null,204489,null,5787,null,199142,null,5739,null,164341,null,5422,null,148518,null,5306,null,14376,null,2454,null,518,null,326,null,4237,null,954,null,34801,null,3768,null,5347,null,1055,null,5313,null,1060,null,3070,null,850,null,1412,null,597,null,4568,null,832,null,270,null,194,null,34,null,57,null,182201,null,5650,null,172641,null,5557,null,110738,null,4608,null,82704,null,4582,null,10986,null,1999,null,1644,null,632,null,12891,null,2182,null,61903,null,4511,null,9560,null,1154,null,9402,null,1159,null,4646,null,863,null,2211,null,872,null,8958,null,1145,null,892,null,490,null,158,null,118,null,108130,null,4217,null,71944,null,4022,null,50988,null,3371,null,25049,null,2325,null,4862,null,1370,null,6790,null,1278,null,16963,null,2275,null,20956,null,1917,null,36186,null,1753,null,36028,null,1748,null,16345,null,1715,null,6452,null,988,null,35761,null,1767,null,9629,null,1493,null,158,null,126,null,0400000US02,Alaska,02
4771717,null,2419,null,1953715,null,17592,null,1902256,null,17104,null,1576532,null,17007,null,1376933,null,16874,null,140917,null,7595,null,6604,null,1566,null,92541,null,6244,null,325724,null,12295,null,51459,null,3953,null,50540,null,3936,null,28855,null,3061,null,13399,null,1940,null,43747,null,3432,null,4022,null,936,null,919,null,457,null,1204708,null,18519,null,1112624,null,18197,null,766456,null,13660,null,481395,null,12169,null,117658,null,6395,null,13595,null,2500,null,178096,null,7278,null,346168,null,14287,null,92084,null,4651,null,90550,null,4584,null,33739,null,2517,null,35831,null,2928,null,88311,null,4474,null,8977,null,1530,null,1534,null,504,null,1613294,null,18893,null,902761,null,17829,null,666838,null,16286,null,274894,null,10207,null,105544,null,4788,null,98509,null,5361,null,267973,null,11868,null,235923,null,9463,null,710533,null,6425,null,702149,null,6633,null,232400,null,7528,null,260278,null,7513,null,692304,null,6614,null,103479,null,5333,null,8384,null,2083,null,0400000US04,Arizona,04
2126707,null,2256,null,882790,null,14566,null,858193,null,14319,null,720089,null,14312,null,643100,null,14658,null,82620,null,5082,null,3199,null,1088,null,26773,null,2518,null,138104,null,7007,null,24597,null,2044,null,24433,null,2010,null,12093,null,1400,null,7836,null,1178,null,22232,null,1832,null,2512,null,649,null,164,null,251,null,513793,null,10924,null,472753,null,10635,null,284034,null,8446,null,190914,null,6864,null,52695,null,4044,null,10852,null,1801,null,42866,null,4060,null,188719,null,7477,null,41040,null,2496,null,40814,null,2492,null,12692,null,1468,null,18310,null,1613,null,40112,null,2456,null,3881,null,754,null,226,null,233,null,730124,null,11422,null,403936,null,11008,null,294357,null,9420,null,110821,null,5518,null,39688,null,2913,null,94407,null,4643,null,111583,null,7305,null,109579,null,6082,null,326188,null,4179,null,324468,null,4099,null,80327,null,3600,null,140186,null,4890,null,323220,null,4074,null,59670,null,3476,null,1720,null,690,null,0400000US05,Arkansas,05
26954252,null,6400,null,11062151,null,44495,null,10753998,null,43517,null,8964044,null,39223,null,7922573,null,38967,null,1005529,null,19574,null,38340,null,3071,null,360479,null,11139,null,1789954,null,31771,null,308153,null,7933,null,300053,null,7824,null,186442,null,6420,null,76294,null,4244,null,236971,null,6723,null,19175,null,2171,null,8100,null,1741,null,7468639,null,37374,null,7029165,null,38283,null,4730263,null,30659,null,3180400,null,29248,null,955826,null,17706,null,78235,null,5350,null,744966,null,16985,null,2298902,null,29428,null,439474,null,8633,null,430485,null,8615,null,185523,null,5414,null,148437,null,5628,null,410827,null,8297,null,41824,null,2982,null,8989,null,1717,null,8423462,null,34394,null,5146673,null,32278,null,3639779,null,31667,null,1674935,null,24321,null,660353,null,13815,null,464184,null,10715,null,1296869,null,22790,null,1506894,null,25049,null,3276789,null,11716,null,3221278,null,12262,null,1050370,null,15874,null,969272,null,12856,null,3162170,null,12804,null,747822,null,13578,null,55511,null,4705,null,0400000US06,California,06
3704931,null,3378,null,1695384,null,15317,null,1656061,null,15232,null,1434247,null,15831,null,1263694,null,16071,null,162692,null,6466,null,2997,null,847,null,34742,null,3221,null,221814,null,9654,null,39323,null,2370,null,39108,null,2372,null,23283,null,1996,null,11814,null,1497,null,33365,null,2300,null,2190,null,576,null,215,null,171,null,1080383,null,14419,null,1008053,null,14169,null,714617,null,10715,null,482535,null,10515,null,161150,null,7554,null,11310,null,1570,null,72937,null,5133,null,293436,null,11498,null,72330,null,3240,null,71902,null,3251,null,29110,null,2241,null,29438,null,2158,null,70157,null,3167,null,4798,null,911,null,428,null,271,null,929164,null,12141,null,524175,null,11335,null,391375,null,9212,null,200889,null,7683,null,76264,null,4639,null,56660,null,3742,null,98963,null,5400,null,132800,null,6205,null,404989,null,4102,null,400254,null,4061,null,147326,null,4511,null,159852,null,4897,null,395117,null,4029,null,60451,null,3658,null,4735,null,1378,null,0400000US08,Colorado,08
2650057,null,1440,null,1177624,null,12077,null,1137813,null,11636,null,1055476,null,11937,null,969726,null,12672,null,91799,null,4624,null,3855,null,1213,null,36862,null,3013,null,82337,null,6449,null,39811,null,2858,null,39644,null,2868,null,28924,null,2573,null,9436,null,1504,null,33026,null,2628,null,2145,null,626,null,167,null,210,null,761894,null,11447,null,691181,null,11314,null,560874,null,10026,null,413517,null,9057,null,86869,null,4473,null,10077,null,1660,null,80508,null,4770,null,130307,null,6666,null,70713,null,3159,null,70174,null,3154,null,34521,null,2384,null,27803,null,2128,null,67853,null,3227,null,5827,null,1015,null,539,null,348,null,710539,null,9252,null,361072,null,8508,null,302185,null,7615,null,161738,null,5466,null,47297,null,3483,null,45659,null,3057,null,89677,null,5566,null,58887,null,4486,null,349467,null,3736,null,346927,null,3896,null,144227,null,4613,null,142235,null,3913,null,342503,null,4068,null,47802,null,3524,null,2540,null,1012,null,0400000US09,Connecticut,09
662719,null,1087,null,292493,null,6661,null,283968,null,6762,null,255032,null,6927,null,234101,null,6961,null,20369,null,2366,null,1121,null,525,null,11717,null,2050,null,28936,null,3075,null,8525,null,1265,null,8380,null,1248,null,5762,null,1010,null,1937,null,617,null,7146,null,1094,null,488,null,279,null,145,null,153,null,170410,null,5415,null,153486,null,5122,null,120165,null,4975,null,85479,null,4099,null,14247,null,1892,null,4151,null,1250,null,23909,null,2886,null,33321,null,3353,null,16924,null,1913,null,16924,null,1913,null,9198,null,1415,null,5990,null,973,null,16811,null,1903,null,1660,null,550,null,0,null,263,null,199816,null,5815,null,103938,null,5392,null,89139,null,4874,null,47744,null,3650,null,8191,null,1307,null,15501,null,1975,null,31233,null,3238,null,14799,null,2290,null,95878,null,2572,null,95290,null,2692,null,49662,null,2797,null,32371,null,2250,null,94637,null,2692,null,13799,null,1604,null,588,null,470,null,0400000US10,Delaware,10
475698,null,861,null,221239,null,5539,null,212477,null,5472,null,199101,null,5566,null,178531,null,5378,null,27188,null,4216,null,1571,null,859,null,14545,null,2189,null,13376,null,1866,null,8762,null,1286,null,8713,null,1273,null,6875,null,1159,null,2138,null,724,null,6846,null,1222,null,952,null,546,null,49,null,84,null,109765,null,5675,null,100821,null,5381,null,86417,null,4705,null,48367,null,3412,null,21969,null,2528,null,1444,null,610,null,25734,null,3123,null,14404,null,2070,null,8944,null,1243,null,8921,null,1241,null,4726,null,932,null,2543,null,678,null,8382,null,1299,null,1639,null,721,null,23,null,38,null,144694,null,5045,null,96636,null,4774,null,86712,null,4806,null,33305,null,3552,null,23092,null,3237,null,7978,null,1657,null,42699,null,3654,null,9924,null,1845,null,48058,null,1953,null,47640,null,1903,null,23374,null,2070,null,13966,null,1613,null,45121,null,2012,null,13017,null,1719,null,418,null,403,null,0400000US11,District of Columbia,11
14142123,null,4762,null,5625050,null,36098,null,5434384,null,34584,null,4307845,null,28681,null,3827188,null,28595,null,464923,null,12885,null,18300,null,2816,null,128366,null,6907,null,1126539,null,21263,null,190666,null,5634,null,186315,null,5790,null,103746,null,4392,null,47864,null,2865,null,160920,null,5069,null,13068,null,1648,null,4351,null,1215,null,3404884,null,30499,null,3082653,null,29583,null,1860341,null,22026,null,1258583,null,19077,null,363138,null,12027,null,40541,null,3895,null,241880,null,8947,null,1222312,null,22311,null,322231,null,7584,null,316271,null,7532,null,114346,null,4583,null,118218,null,4462,null,310478,null,7557,null,30029,null,2395,null,5960,null,1452,null,5112189,null,30167,null,2506681,null,27061,null,1700683,null,23561,null,772269,null,14847,null,322810,null,9945,null,313196,null,10871,null,524888,null,14303,null,805998,null,18546,null,2605508,null,12504,null,2575876,null,12860,null,804023,null,13801,null,971579,null,15408,null,2545214,null,13540,null,413212,null,9222,null,29632,null,3859,null,0400000US12,Florida,12
