B24081_001E,B24081_001EA,B24081_001M,B24081_001MA,B24081_002E,B24081_002EA,B24081_002M,B24081_002MA,B24081_003E,B24081_003EA,B24081_003M,B24081_003MA,B24081_004E,B24081_004EA,B24081_004M,B24081_004MA,B24081_005E,B24081_005EA,B24081_005M,B24081_005MA,B24081_006E,B24081_006EA,B24081_006M,B24081_006MA,B24081_007E,B24081_007EA,B24081_007M,B24081_007MA,B24081_008E,B24081_008EA,B24081_008M,B24081_008MA,B24081_009E,B24081_009EA,B24081_009M,B24081_009MA,GEO_ID,NAME,state
28784,null,322,null,27706,null,374,null,27124,null,473,null,44819,null,5098,null,27400,null,1547,null,34734,null,1629,null,36621,null,1432,null,52708,null,2806,null,19866,null,1220,null,0400000US01,Alabama,01
35613,null,1075,null,32637,null,1424,null,31794,null,1206,null,57686,null,6283,null,34820,null,3250,null,38655,null,3251,null,47249,null,2738,null,50827,null,2111,null,20676,null,3746,null,0400000US02,Alaska,02
30689,null,356,null,29856,null,362,null,29404,null,366,null,43297,null,3674,null,32580,null,1332,null,37227,null,1090,null,35386,null,858,null,49075,null,1804,null,18503,null,1066,null,0400000US04,Arizona,04
26416,null,414,null,26146,null,490,null,25735,null,474,null,37700,null,3095,null,25660,null,1399,null,28987,null,1611,null,31193,null,1241,null,47882,null,2403,null,16914,null,1276,null,0400000US05,Arkansas,05
33492,null,234,null,31531,null,210,null,30783,null,222,null,52596,null,2275,null,37876,null,540,null,46912,null,814,null,45157,null,1242,null,52687,null,679,null,24321,null,348,null,0400000US06,California,06
33045,null,401,null,32324,null,416,null,31565,null,450,null,46756,null,2479,null,33788,null,1271,null,38332,null,1081,null,38758,null,1458,null,52573,null,2070,null,21290,null,1316,null,0400000US08,Colorado,08
39717,null,446,null,38822,null,468,null,38054,null,505,null,63267,null,4186,null,37544,null,1333,null,46064,null,2227,null,52055,null,1869,null,54325,null,2392,null,31179,null,1742,null,0400000US09,Connecticut,09
33239,null,1209,null,31108,null,1207,null,30519,null,1238,null,46728,null,8069,null,35753,null,2280,null,41412,null,3341,null,40690,null,1484,null,57774,null,6455,null,23621,null,3683,null,0400000US10,Delaware,10
47639,null,1238,null,40571,null,2084,null,39475,null,2301,null,67845,null,23553,null,48814,null,2193,null,50379,null,6337,null,47665,null,8134,null,67729,null,6188,null,34716,null,10662,null,0400000US11,District of Columbia,11
28575,null,165,null,27515,null,183,null,26738,null,200,null,38696,null,892,null,31258,null,633,null,38216,null,349,null,35341,null,938,null,51131,null,841,null,18393,null,492,null,0400000US12,Florida,12
30349,null,300,null,29626,null,314,null,29103,null,328,null,43860,null,2370,null,31264,null,1003,null,35795,null,892,null,33476,null,1339,null,51775,null,1009,null,19431,null,916,null,0400000US13,Georgia,13
32245,null,629,null,30066,null,644,null,29788,null,628,null,39552,null,8794,null,35094,null,2335,null,47409,null,3945,null,40522,null,1648,null,52655,null,4394,null,23813,null,2472,null,0400000US15,Hawaii,15
26218,null,665,null,24704,null,530,null,24217,null,524,null,35812,null,2004,null,26503,null,2393,null,31539,null,960,null,36186,null,2221,null,52559,null,3406,null,19326,null,1076,null,0400000US16,Idaho,16
33175,null,259,null,32159,null,286,null,31546,null,286,null,50260,null,1270,null,33277,null,756,null,42309,null,878,null,41430,null,984,null,52186,null,1086,null,21690,null,651,null,0400000US17,Illinois,17
29832,null,248,null,29449,null,276,null,29094,null,283,null,42216,null,2282,null,29879,null,776,null,34022,null,1131,null,33260,null,1169,null,48580,null,1504,null,19724,null,879,null,0400000US18,Indiana,18
29407,null,309,null,28985,null,357,null,28642,null,375,null,40658,null,2700,null,25843,null,1327,null,36230,null,895,null,37808,null,1727,null,49122,null,1642,null,22332,null,1258,null,0400000US19,Iowa,19
29786,null,385,null,29509,null,451,null,29099,null,453,null,43607,null,3518,null,28434,null,1339,null,34820,null,1005,null,32188,null,1374,null,47291,null,3404,null,19758,null,1094,null,0400000US20,Kansas,20
27973,null,370,null,27347,null,518,null,26876,null,532,null,40750,null,2721,null,28235,null,917,null,30063,null,1409,null,35393,null,1077,null,47279,null,1550,null,17575,null,1208,null,0400000US21,Kentucky,21
29408,null,301,null,28852,null,344,null,28325,null,362,null,44668,null,3479,null,27612,null,1533,null,32477,null,1353,null,35746,null,1278,null,47690,null,2129,null,22108,null,1510,null,0400000US22,Louisiana,22
28775,null,462,null,27773,null,598,null,27103,null,690,null,41289,null,7369,null,30006,null,1072,null,34022,null,1493,null,38012,null,2370,null,44058,null,6617,null,20767,null,1558,null,0400000US23,Maine,23
40464,null,324,null,36211,null,526,null,35334,null,537,null,52058,null,3389,null,41535,null,1192,null,46234,null,1171,null,45249,null,1415,null,75606,null,1906,null,24560,null,1217,null,0400000US24,Maryland,24
39016,null,337,null,38212,null,412,null,37683,null,420,null,57914,null,3332,null,39678,null,1032,null,45429,null,1986,null,49288,null,1173,null,53253,null,1647,null,28328,null,1149,null,0400000US25,Massachusetts,25
29495,null,204,null,28596,null,240,null,28235,null,241,null,39726,null,1852,null,30851,null,630,null,39064,null,908,null,43700,null,1504,null,52125,null,1117,null,17636,null,747,null,0400000US26,Michigan,26
33519,null,308,null,33024,null,372,null,32518,null,367,null,44146,null,3165,null,34205,null,952,null,39763,null,927,null,40966,null,1397,null,51105,null,1587,null,22190,null,901,null,0400000US27,Minnesota,27
26621,null,524,null,25817,null,572,null,25329,null,547,null,38799,null,4530,null,25991,null,1694,null,28493,null,1623,null,31169,null,907,null,46980,null,2437,null,20003,null,1804,null,0400000US28,Mississippi,28
29226,null,244,null,28742,null,280,null,28454,null,277,null,39078,null,1727,null,30407,null,748,null,33843,null,1232,null,30313,null,727,null,48369,null,1349,null,19831,null,1008,null,0400000US29,Missouri,29
25836,null,763,null,24038,null,714,null,23436,null,737,null,35773,null,2769,null,27197,null,1382,null,32348,null,1758,null,32055,null,2951,null,42028,null,2951,null,19460,null,1798,null,0400000US30,Montana,30
28558,null,334,null,27864,null,438,null,27481,null,506,null,37379,null,2437,null,28825,null,1075,null,34435,null,1511,null,31937,null,1743,null,50597,null,2637,null,20343,null,2027,null,0400000US31,Nebraska,31
32388,null,486,null,31144,null,473,null,30649,null,499,null,49523,null,2321,null,29890,null,1960,null,45559,null,1861,null,46874,null,2827,null,52043,null,3885,null,21235,null,1472,null,0400000US32,Nevada,32
34779,null,746,null,34817,null,815,null,34210,null,772,null,51662,null,3779,null,35508,null,2147,null,35416,null,1909,null,38043,null,1985,null,54156,null,3993,null,26234,null,2305,null,0400000US33,New Hampshire,33
40797,null,350,null,39172,null,360,null,38478,null,365,null,54782,null,4939,null,39656,null,1135,null,50116,null,710,null,51231,null,964,null,56528,null,2165,null,28080,null,1102,null,0400000US34,New Jersey,34
27151,null,636,null,25049,null,716,null,24430,null,639,null,43576,null,3806,null,27063,null,2606,null,30683,null,1643,null,34879,null,2067,null,50717,null,1655,null,17860,null,1568,null,0400000US35,New Mexico,35
35994,null,264,null,33433,null,273,null,32643,null,285,null,49895,null,912,null,36650,null,732,null,47407,null,740,null,48750,null,665,null,51932,null,692,null,22620,null,572,null,0400000US36,New York,36
29138,null,227,null,28172,null,264,null,27741,null,278,null,42044,null,2276,null,30733,null,1013,null,33376,null,784,null,34902,null,711,null,49207,null,1221,null,19185,null,542,null,0400000US37,North Carolina,37
28690,null,496,null,28017,null,596,null,27573,null,743,null,46512,null,6054,null,27265,null,2015,null,29008,null,2407,null,33126,null,2504,null,42539,null,4777,null,27865,null,2228,null,0400000US38,North Dakota,38
30108,null,220,null,29174,null,214,null,28844,null,222,null,42468,null,2809,null,30300,null,650,null,38282,null,656,null,39698,null,1026,null,52156,null,759,null,20050,null,798,null,0400000US39,Ohio,39
