B07009_001E,B07009_001EA,B07009_001M,B07009_001MA,B07009_002E,B07009_002EA,B07009_002M,B07009_002MA,B07009_003E,B07009_003EA,B07009_003M,B07009_003MA,B07009_004E,B07009_004EA,B07009_004M,B07009_004MA,B07009_005E,B07009_005EA,B07009_005M,B07009_005MA,B07009_006E,B07009_006EA,B07009_006M,B07009_006MA,B07009_007E,B07009_007EA,B07009_007M,B07009_007MA,B07009_008E,B07009_008EA,B07009_008M,B07009_008MA,B07009_009E,B07009_009EA,B07009_009M,B07009_009MA,B07009_010E,B07009_010EA,B07009_010M,B07009_010MA,B07009_011E,B07009_011EA,B07009_011M,B07009_011MA,B07009_012E,B07009_012EA,B07009_012M,B07009_012MA,B07009_013E,B07009_013EA,B07009_013M,B07009_013MA,B07009_014E,B07009_014EA,B07009_014M,B07009_014MA,B07009_015E,B07009_015EA,B07009_015M,B07009_015MA,B07009_016E,B07009_016EA,B07009_016M,B07009_016MA,B07009_017E,B07009_017EA,B07009_017M,B07009_017MA,B07009_018E,B07009_018EA,B07009_018M,B07009_018MA,B07009_019E,B07009_019EA,B07009_019M,B07009_019MA,B07009_020E,B07009_020EA,B07009_020M,B07009_020MA,B07009_021E,B07009_021EA,B07009_021M,B07009_021MA,B07009_022E,B07009_022EA,B07009_022M,B07009_022MA,B07009_023E,B07009_023EA,B07009_023M,B07009_023MA,B07009_024E,B07009_024EA,B07009_024M,B07009_024MA,B07009_025E,B07009_025EA,B07009_025M,B07009_025MA,B07009_026E,B07009_026EA,B07009_026M,B07009_026MA,B07009_027E,B07009_027EA,B07009_027M,B07009_027MA,B07009_028E,B07009_028EA,B07009_028M,B07009_028MA,B07009_029E,B07009_029EA,B07009_029M,B07009_029MA,B07009_030E,B07009_030EA,B07009_030M,B07009_030MA,B07009_031E,B07009_031EA,B07009_031M,B07009_031MA,B07009_032E,B07009_032EA,B07009_032M,B07009_032MA,B07009_033E,B07009_033EA,B07009_033M,B07009_033MA,B07009_034E,B07009_034EA,B07009_034M,B07009_034MA,B07009_035E,B07009_035EA,B07009_035M,B07009_035MA,B07009_036E,B07009_036EA,B07009_036M,B07009_036MA,GEO_ID,NAME,state
3115982,null,5413,null,557565,null,11987,null,966912,null,12101,null,904962,null,14598,null,447402,null,9617,null,239141,null,7175,null,2729808,null,14077,null,479377,null,11210,null,857667,null,11801,null,782700,null,13744,null,395837,null,9084,null,214227,null,6877,null,232840,null,9196,null,50548,null,4801,null,70608,null,5331,null,73719,null,5327,null,25985,null,3160,null,11980,null,2306,null,78965,null,5564,null,19175,null,2755,null,21272,null,2354,null,23469,null,3018,null,10866,null,1895,null,4183,null,1024,null,66634,null,6307,null,7840,null,1822,null,15587,null,2458,null,22954,null,3515,null,12642,null,1766,null,7611,null,1557,null,7735,null,1539,null,625,null,370,null,1778,null,772,null,2120,null,838,null,2072,null,831,null,1140,null,452,null,0400000US01,Alabama,01
431178,null,2628,null,37072,null,2808,null,119495,null,4926,null,160076,null,5050,null,75816,null,4059,null,38719,null,3313,null,353911,null,5100,null,30921,null,2712,null,96536,null,4334,null,128238,null,4315,null,64427,null,3795,null,33789,null,2991,null,42072,null,3721,null,3974,null,1141,null,13808,null,2068,null,16399,null,2515,null,5718,null,1268,null,2173,null,752,null,10826,null,1928,null,1128,null,424,null,2969,null,943,null,4102,null,1181,null,1539,null,753,null,1088,null,578,null,21948,null,3322,null,840,null,546,null,5782,null,1310,null,10543,null,2405,null,3267,null,840,null,1516,null,738,null,2421,null,762,null,209,null,197,null,400,null,353,null,794,null,455,null,865,null,512,null,153,null,181,null,0400000US02,Alaska,02
4248231,null,3428,null,672320,null,14528,null,1057329,null,19643,null,1432829,null,18992,null,691996,null,11841,null,393757,null,10103,null,3500317,null,19364,null,547679,null,12565,null,860558,null,15747,null,1173735,null,18871,null,575886,null,10234,null,342459,null,9371,null,513727,null,17849,null,94387,null,7593,null,143042,null,8378,null,178235,null,10128,null,70172,null,6149,null,27891,null,3168,null,65248,null,5289,null,9303,null,1865,null,15737,null,2315,null,25021,null,3180,null,10036,null,2024,null,5151,null,1390,null,139885,null,8267,null,13539,null,2419,null,32312,null,3965,null,49957,null,4197,null,29271,null,3546,null,14806,null,2003,null,29054,null,4187,null,7412,null,2092,null,5680,null,1521,null,5881,null,1433,null,6631,null,1976,null,3450,null,971,null,0400000US04,Arizona,04
1903914,null,5373,null,335417,null,9706,null,662671,null,11417,null,546893,null,9619,null,242389,null,8186,null,116544,null,5614,null,1638709,null,12299,null,285720,null,9254,null,573850,null,11164,null,466356,null,10005,null,210114,null,7590,null,102669,null,5564,null,162067,null,9743,null,30865,null,3968,null,58563,null,5241,null,50009,null,4390,null,16921,null,2916,null,5709,null,1130,null,51612,null,4418,null,11526,null,2051,null,17467,null,2797,null,14166,null,2233,null,5706,null,1117,null,2747,null,996,null,48091,null,4331,null,6536,null,1833,null,12178,null,1957,null,15640,null,2390,null,8671,null,1745,null,5066,null,1672,null,3435,null,1002,null,770,null,448,null,613,null,418,null,722,null,374,null,977,null,735,null,353,null,303,null,0400000US05,Arkansas,05
23782109,null,5693,null,4609666,null,39751,null,4979576,null,38931,null,7082418,null,43815,null,4553969,null,34391,null,2556480,null,24881,null,20359525,null,42426,null,3953964,null,39301,null,4255600,null,37418,null,6063914,null,35795,null,3873098,null,32345,null,2212949,null,24007,null,2347714,null,35078,null,483988,null,15535,null,524758,null,16413,null,720000,null,17726,null,422190,null,13415,null,196778,null,7481,null,644097,null,16425,null,112758,null,7516,null,130474,null,6922,null,197210,null,7846,null,134052,null,7100,null,69603,null,5094,null,269188,null,11675,null,22518,null,3459,null,42699,null,3750,null,73827,null,4919,null,79234,null,5535,null,50910,null,3790,null,161585,null,9625,null,36438,null,4813,null,26045,null,4252,null,27467,null,3404,null,45395,null,4706,null,26240,null,2683,null,0400000US06,California,06
3293368,null,3707,null,351496,null,12278,null,743807,null,13708,null,1016471,null,14181,null,762038,null,12460,null,419556,null,9041,null,2778355,null,15208,null,283806,null,11549,null,620359,null,13115,null,853893,null,13740,null,654539,null,11486,null,365758,null,9231,null,260592,null,10681,null,37177,null,4212,null,65514,null,4930,null,83963,null,5389,null,50593,null,4142,null,23345,null,2242,null,134869,null,8074,null,15887,null,2533,null,33615,null,3993,null,46255,null,4361,null,26671,null,2772,null,12441,null,1887,null,103206,null,6713,null,9767,null,1972,null,21324,null,2991,null,28999,null,3666,null,26330,null,2597,null,16786,null,2394,null,16346,null,2360,null,4859,null,1699,null,2995,null,841,null,3361,null,1059,null,3905,null,1251,null,1226,null,419,null,0400000US08,Colorado,08
2370028,null,1849,null,271097,null,9750,null,667775,null,12641,null,587654,null,10144,null,475179,null,10488,null,368323,null,9106,null,2136916,null,7377,null,233620,null,8456,null,604891,null,11704,null,530277,null,9539,null,427426,null,9530,null,340702,null,8709,null,145552,null,6322,null,25559,null,3221,null,42652,null,3816,null,37427,null,3345,null,26568,null,2746,null,13346,null,1877,null,35163,null,3149,null,5177,null,940,null,11177,null,1922,null,9649,null,1493,null,6042,null,1185,null,3118,null,932,null,39472,null,3787,null,3827,null,1002,null,6606,null,1515,null,7446,null,1455,null,12220,null,1892,null,9373,null,1565,null,12925,null,2374,null,2914,null,1114,null,2449,null,982,null,2855,null,1031,null,2923,null,988,null,1784,null,726,null,0400000US09,Connecticut,09
595133,null,1337,null,75068,null,4537,null,185594,null,5665,null,163380,null,6456,null,103335,null,4893,null,67756,null,3866,null,524565,null,5652,null,65516,null,4022,null,164962,null,5118,null,143261,null,6002,null,91656,null,4588,null,59170,null,3798,null,45903,null,4379,null,6180,null,1708,null,14286,null,2424,null,14242,null,2741,null,6455,null,1456,null,4740,null,1344,null,3918,null,1138,null,1255,null,601,null,996,null,529,null,919,null,364,null,562,null,361,null,186,null,157,null,17785,null,2569,null,1897,null,820,null,3697,null,1048,null,4479,null,1094,null,4377,null,1129,null,3335,null,1148,null,2962,null,1539,null,220,null,197,null,1653,null,1387,null,479,null,390,null,285,null,224,null,325,null,274,null,0400000US10,Delaware,10
413396,null,601,null,53317,null,4067,null,82834,null,3980,null,76863,null,4467,null,84646,null,4637,null,115736,null,4241,null,353615,null,4969,null,46977,null,3888,null,73786,null,4027,null,67097,null,4111,null,69355,null,4464,null,96400,null,4291,null,30892,null,3487,null,4591,null,1389,null,6636,null,1234,null,4746,null,1161,null,7297,null,1630,null,7622,null,1359,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,23681,null,2755,null,1467,null,541,null,2150,null,913,null,4554,null,1269,null,6961,null,1404,null,8549,null,1591,null,5208,null,1620,null,282,null,337,null,262,null,211,null,466,null,593,null,1033,null,647,null,3165,null,1273,null,0400000US11,District of Columbia,11
12800944,null,8517,null,1884001,null,25491,null,3863394,null,31325,null,3819835,null,25316,null,2081848,null,19355,null,1151866,null,16998,null,10981946,null,29722,null,1584538,null,23987,null,3315746,null,32307,null,3274422,null,24055,null,1804525,null,17070,null,1002715,null,17292,null,1092604,null,22222,null,195786,null,11674,null,342003,null,12520,null,330479,null,10755,null,152058,null,7824,null,72278,null,4890,null,343044,null,14560,null,57581,null,4946,null,102091,null,7422,null,106861,null,7295,null,52242,null,4809,null,24269,null,2818,null,299426,null,13594,null,31026,null,3809,null,82561,null,6279,null,90178,null,6634,null,56056,null,4329,null,39605,null,3969,null,83924,null,7323,null,15070,null,2864,null,20993,null,3345,null,17895,null,2440,null,16967,null,2775,null,12999,null,2440,null,0400000US12,Florida,12
