B19013I_001E,B19013I_001EA,B19013I_001M,B19013I_001MA,GEO_ID,NAME,state
33825,null,2898,null,0400000US01,Alabama,01
57331,null,10677,null,0400000US02,Alaska,02
37796,null,1273,null,0400000US04,Arizona,04
30492,null,1836,null,0400000US05,Arkansas,05
45665,null,524,null,0400000US06,California,06
38299,null,1334,null,0400000US08,Colorado,08
39547,null,2116,null,0400000US09,Connecticut,09
35507,null,4477,null,0400000US10,Delaware,10
46821,null,7280,null,0400000US11,District of Columbia,11
39385,null,576,null,0400000US12,Florida,12
33797,null,1994,null,0400000US13,Georgia,13
51924,null,6051,null,0400000US15,Hawaii,15
32991,null,2095,null,0400000US16,Idaho,16
45638,null,1193,null,0400000US17,Illinois,17
36913,null,2556,null,0400000US18,Indiana,18
38135,null,3298,null,0400000US19,Iowa,19
37649,null,2413,null,0400000US20,Kansas,20
33440,null,3132,null,0400000US21,Kentucky,21
40060,null,2745,null,0400000US22,Louisiana,22
33264,null,10657,null,0400000US23,Maine,23
60311,null,2730,null,0400000US24,Maryland,24
33193,null,2472,null,0400000US25,Massachusetts,25
36413,null,1691,null,0400000US26,Michigan,26
38751,null,2761,null,0400000US27,Minnesota,27
38566,null,4632,null,0400000US28,Mississippi,28
35416,null,4241,null,0400000US29,Missouri,29
30117,null,6616,null,0400000US30,Montana,30
35464,null,2500,null,0400000US31,Nebraska,31
43571,null,2087,null,0400000US32,Nevada,32
40669,null,18257,null,0400000US33,New Hampshire,33
48442,null,1402,null,0400000US34,New Jersey,34
36282,null,1198,null,0400000US35,New Mexico,35
37781,null,784,null,0400000US36,New York,36
31449,null,1139,null,0400000US37,North Carolina,37
46919,null,13337,null,0400000US38,North Dakota,38
34461,null,2443,null,0400000US39,Ohio,39
32085,null,1656,null,0400000US40,Oklahoma,40
35861,null,1765,null,0400000US41,Oregon,41
32339,null,2048,null,0400000US42,Pennsylvania,42
31525,null,3934,null,0400000US44,Rhode Island,44
32265,null,2571,null,0400000US45,South Carolina,45
30560,null,6471,null,0400000US46,South Dakota,46
32022,null,3154,null,0400000US47,Tennessee,47
35628,null,461,null,0400000US48,Texas,48
40039,null,2085,null,0400000US49,Utah,49
55019,null,17610,null,0400000US50,Vermont,50
54848,null,2428,null,0400000US51,Virginia,51
42532,null,1682,null,0400000US53,Washington,53
44667,null,17368,null,0400000US54,West Virginia,54
36980,null,1629,null,0400000US55,Wisconsin,55
38329,null,5125,null,0400000US56,Wyoming,56
18240,null,332,null,0400000US72,Puerto Rico,72
