B12002A_001E,B12002A_001EA,B12002A_001M,B12002A_001MA,B12002A_002E,B12002A_002EA,B12002A_002M,B12002A_002MA,B12002A_003E,B12002A_003EA,B12002A_003M,B12002A_003MA,B12002A_004E,B12002A_004EA,B12002A_004M,B12002A_004MA,B12002A_005E,B12002A_005EA,B12002A_005M,B12002A_005MA,B12002A_006E,B12002A_006EA,B12002A_006M,B12002A_006MA,B12002A_007E,B12002A_007EA,B12002A_007M,B12002A_007MA,B12002A_008E,B12002A_008EA,B12002A_008M,B12002A_008MA,B12002A_009E,B12002A_009EA,B12002A_009M,B12002A_009MA,B12002A_010E,B12002A_010EA,B12002A_010M,B12002A_010MA,B12002A_011E,B12002A_011EA,B12002A_011M,B12002A_011MA,B12002A_012E,B12002A_012EA,B12002A_012M,B12002A_012MA,B12002A_013E,B12002A_013EA,B12002A_013M,B12002A_013MA,GEO_ID,NAME,state
2693221,null,3786,null,1306191,null,3314,null,335918,null,7197,null,771052,null,10300,null,20967,null,2312,null,34198,null,2596,null,144056,null,7458,null,1387030,null,3144,null,259507,null,6073,null,754779,null,10135,null,30904,null,3406,null,170239,null,5136,null,171601,null,6183,null,0400000US01,Alabama,01
386545,null,1977,null,204413,null,1532,null,69841,null,3188,null,105734,null,3374,null,3147,null,1012,null,3662,null,997,null,22029,null,2514,null,182132,null,996,null,45448,null,2402,null,96176,null,3503,null,4654,null,1280,null,10269,null,1394,null,25585,null,2945,null,0400000US02,Alaska,02
4205669,null,15472,null,2098654,null,9409,null,708481,null,12475,null,1074474,null,15732,null,30922,null,3388,null,55272,null,3834,null,229505,null,8454,null,2107015,null,8550,null,535379,null,10048,null,1029113,null,14604,null,41900,null,3871,null,193260,null,6338,null,307363,null,10943,null,0400000US04,Arizona,04
1839811,null,4318,null,895809,null,3162,null,221746,null,5846,null,522020,null,7662,null,14186,null,2063,null,28353,null,2447,null,109504,null,5498,null,944002,null,2573,null,171312,null,5654,null,511420,null,8676,null,22877,null,2889,null,111346,null,4016,null,127047,null,4549,null,0400000US05,Arkansas,05
18635420,null,54199,null,9291673,null,32097,null,3431991,null,28415,null,4653049,null,28477,null,159482,null,6559,null,224582,null,7363,null,822569,null,14875,null,9343747,null,26821,null,2707414,null,23637,null,4393710,null,27803,null,230887,null,7527,null,853452,null,10612,null,1158284,null,15468,null,0400000US06,California,06
3442164,null,10606,null,1724194,null,7050,null,572111,null,8760,null,926021,null,10355,null,24457,null,3107,null,32756,null,2815,null,168849,null,6401,null,1717970,null,5404,null,435675,null,7428,null,905982,null,10600,null,29694,null,2830,null,122343,null,4575,null,224276,null,6434,null,0400000US08,Colorado,08
2310365,null,7938,null,1110491,null,4811,null,360801,null,6301,null,607946,null,8181,null,9587,null,1566,null,31524,null,2592,null,100633,null,4672,null,1199874,null,4164,null,319061,null,6269,null,597743,null,9206,null,13500,null,1832,null,124142,null,3755,null,145428,null,4841,null,0400000US09,Connecticut,09
525708,null,2715,null,253243,null,1937,null,78583,null,2672,null,136071,null,3450,null,4850,null,1246,null,8828,null,1389,null,24911,null,1688,null,272465,null,1272,null,66088,null,2890,null,138940,null,3871,null,5025,null,1343,null,29192,null,1979,null,33220,null,2285,null,0400000US10,Delaware,10
205710,null,2705,null,101921,null,1402,null,56471,null,2406,null,36926,null,2437,null,718,null,405,null,1424,null,684,null,6382,null,1199,null,103789,null,1790,null,55399,null,2560,null,34608,null,2280,null,1102,null,574,null,4337,null,801,null,8343,null,1089,null,0400000US11,District of Columbia,11
11937621,null,21283,null,5833208,null,13189,null,1760467,null,18494,null,3103516,null,20151,null,103665,null,6046,null,198676,null,7016,null,666884,null,13446,null,6104413,null,11289,null,1346180,null,17809,null,2992646,null,23866,null,144491,null,7581,null,749577,null,11338,null,871519,null,15435,null,0400000US12,Florida,12
4859184,null,13073,null,2387500,null,10890,null,699859,null,12496,null,1347568,null,16036,null,35287,null,4024,null,57895,null,3324,null,246891,null,9114,null,2471684,null,7993,null,549611,null,12393,null,1328264,null,12869,null,45011,null,3902,null,240458,null,5466,null,308340,null,8981,null,0400000US13,Georgia,13
296121,null,2388,null,163640,null,1841,null,56439,null,2873,null,85531,null,3490,null,2468,null,925,null,3005,null,738,null,16197,null,1978,null,132481,null,1333,null,32474,null,1999,null,70616,null,2832,null,1670,null,543,null,10770,null,1044,null,16951,null,1742,null,0400000US15,Hawaii,15
1116328,null,3654,null,555518,null,2645,null,157640,null,5435,null,321031,null,6594,null,7875,null,1575,null,11917,null,1527,null,57055,null,3874,null,560810,null,2074,null,117114,null,3591,null,317702,null,6253,null,11092,null,1930,null,46387,null,2681,null,68515,null,3941,null,0400000US16,Idaho,16
7636441,null,17706,null,3742773,null,10877,null,1249872,null,14153,null,2022138,null,16445,null,39447,null,3269,null,97579,null,4148,null,333737,null,9748,null,3893668,null,9019,null,1038103,null,10252,null,1973571,null,14817,null,52350,null,3903,null,394226,null,7412,null,435418,null,8740,null,0400000US17,Illinois,17
4441642,null,5718,null,2169789,null,4207,null,640151,null,8709,null,1207625,null,11444,null,24447,null,2518,null,55524,null,3344,null,242042,null,7374,null,2271853,null,3479,null,531182,null,6420,null,1188246,null,12100,null,31956,null,3006,null,229668,null,5441,null,290801,null,8814,null,0400000US18,Indiana,18
2262981,null,3435,null,1101876,null,2073,null,328075,null,5905,null,629065,null,7788,null,10443,null,1684,null,29394,null,2198,null,104899,null,4559,null,1161105,null,2312,null,273791,null,5947,null,621394,null,8200,null,12393,null,1759,null,123774,null,3231,null,129753,null,5045,null,0400000US19,Iowa,19
1954563,null,5710,null,957616,null,3834,null,285415,null,5716,null,536569,null,7280,null,9430,null,1669,null,24627,null,2207,null,101575,null,4634,null,996947,null,3168,null,231061,null,5836,null,527246,null,7049,null,14092,null,1950,null,102119,null,3768,null,122429,null,5141,null,0400000US20,Kansas,20
3116953,null,4289,null,1509117,null,3416,null,429352,null,9078,null,846063,null,11072,null,25333,null,3124,null,40536,null,2333,null,167833,null,6031,null,1607836,null,2565,null,339782,null,8167,null,837019,null,12845,null,37040,null,3253,null,186480,null,5047,null,207515,null,7892,null,0400000US21,Kentucky,21
