C23002I_001E,C23002I_001EA,C23002I_001M,C23002I_001MA,C23002I_002E,C23002I_002EA,C23002I_002M,C23002I_002MA,C23002I_003E,C23002I_003EA,C23002I_003M,C23002I_003MA,C23002I_004E,C23002I_004EA,C23002I_004M,C23002I_004MA,C23002I_005E,C23002I_005EA,C23002I_005M,C23002I_005MA,C23002I_006E,C23002I_006EA,C23002I_006M,C23002I_006MA,C23002I_007E,C23002I_007EA,C23002I_007M,C23002I_007MA,C23002I_008E,C23002I_008EA,C23002I_008M,C23002I_008MA,C23002I_009E,C23002I_009EA,C23002I_009M,C23002I_009MA,C23002I_010E,C23002I_010EA,C23002I_010M,C23002I_010MA,C23002I_011E,C23002I_011EA,C23002I_011M,C23002I_011MA,C23002I_012E,C23002I_012EA,C23002I_012M,C23002I_012MA,C23002I_013E,C23002I_013EA,C23002I_013M,C23002I_013MA,C23002I_014E,C23002I_014EA,C23002I_014M,C23002I_014MA,C23002I_015E,C23002I_015EA,C23002I_015M,C23002I_015MA,C23002I_016E,C23002I_016EA,C23002I_016M,C23002I_016MA,C23002I_017E,C23002I_017EA,C23002I_017M,C23002I_017MA,C23002I_018E,C23002I_018EA,C23002I_018M,C23002I_018MA,C23002I_019E,C23002I_019EA,C23002I_019M,C23002I_019MA,C23002I_020E,C23002I_020EA,C23002I_020M,C23002I_020MA,C23002I_021E,C23002I_021EA,C23002I_021M,C23002I_021MA,C23002I_022E,C23002I_022EA,C23002I_022M,C23002I_022MA,C23002I_023E,C23002I_023EA,C23002I_023M,C23002I_023MA,C23002I_024E,C23002I_024EA,C23002I_024M,C23002I_024MA,C23002I_025E,C23002I_025EA,C23002I_025M,C23002I_025MA,C23002I_026E,C23002I_026EA,C23002I_026M,C23002I_026MA,C23002I_027E,C23002I_027EA,C23002I_027M,C23002I_027MA,GEO_ID,NAME,state
89608,null,2136,null,49563,null,2155,null,47875,null,2201,null,42656,null,2343,null,2101,null,573,null,40555,null,2175,null,36528,null,2392,null,4027,null,1271,null,5219,null,1313,null,1688,null,634,null,613,null,532,null,613,null,532,null,0,null,273,null,1075,null,533,null,40045,null,1617,null,36893,null,1559,null,19969,null,1787,null,92,null,108,null,19877,null,1784,null,16698,null,1877,null,3179,null,945,null,16924,null,1889,null,3152,null,881,null,312,null,205,null,161,null,146,null,151,null,145,null,2840,null,815,null,0400000US01,Alabama,01
29160,null,607,null,15534,null,711,null,15007,null,734,null,13113,null,890,null,568,null,327,null,12545,null,952,null,11728,null,1002,null,817,null,442,null,1894,null,750,null,527,null,280,null,75,null,88,null,75,null,88,null,0,null,244,null,452,null,286,null,13626,null,792,null,12878,null,890,null,9286,null,1050,null,259,null,262,null,9027,null,1039,null,8400,null,965,null,627,null,460,null,3592,null,879,null,748,null,277,null,0,null,244,null,0,null,244,null,0,null,244,null,748,null,277,null,0400000US02,Alaska,02
1347277,null,2428,null,709764,null,2016,null,667462,null,2064,null,521186,null,6609,null,4403,null,1148,null,516783,null,6660,null,447929,null,8074,null,68854,null,4697,null,146276,null,6970,null,42302,null,426,null,8428,null,1405,null,7749,null,1388,null,679,null,381,null,33874,null,1332,null,637513,null,1823,null,583434,null,1810,null,366252,null,7348,null,911,null,859,null,365341,null,7470,null,317686,null,7982,null,47655,null,4107,null,217182,null,7449,null,54079,null,422,null,4054,null,940,null,3865,null,911,null,189,null,161,null,50025,null,981,null,0400000US04,Arizona,04
105174,null,1828,null,55561,null,1691,null,53923,null,1666,null,46018,null,1822,null,200,null,216,null,45818,null,1820,null,41921,null,2015,null,3897,null,1158,null,7905,null,1453,null,1638,null,557,null,606,null,444,null,606,null,444,null,0,null,273,null,1032,null,433,null,49613,null,1513,null,46955,null,1651,null,27724,null,2305,null,116,null,136,null,27608,null,2304,null,24931,null,2298,null,2677,null,788,null,19231,null,2229,null,2658,null,815,null,245,null,200,null,181,null,174,null,64,null,108,null,2413,null,833,null,0400000US05,Arkansas,05
9446065,null,6754,null,4873950,null,4721,null,4561575,null,4600,null,3691930,null,12014,null,27315,null,2747,null,3664615,null,12683,null,3195529,null,19023,null,469086,null,14027,null,869645,null,12973,null,312375,null,936,null,60710,null,3286,null,54600,null,3236,null,6110,null,1023,null,251665,null,3318,null,4572115,null,5092,null,4152075,null,5174,null,2672290,null,15109,null,3731,null,1131,null,2668559,null,15438,null,2311224,null,16519,null,357335,null,8852,null,1479785,null,14842,null,420040,null,1228,null,41810,null,3019,null,38488,null,2969,null,3322,null,797,null,378230,null,3236,null,0400000US06,California,06
684502,null,2262,null,360578,null,1788,null,337213,null,1795,null,274054,null,4783,null,3170,null,904,null,270884,null,4728,null,234026,null,6323,null,36858,null,4096,null,63159,null,4561,null,23365,null,909,null,4812,null,1028,null,4095,null,751,null,717,null,611,null,18553,null,938,null,323924,null,2006,null,294948,null,2419,null,195312,null,4510,null,582,null,354,null,194730,null,4525,null,172562,null,4422,null,22168,null,2337,null,99636,null,3994,null,28976,null,1125,null,2639,null,646,null,2459,null,635,null,180,null,168,null,26337,null,1219,null,0400000US08,Colorado,08
304211,null,1120,null,153208,null,985,null,144313,null,962,null,115100,null,2901,null,920,null,448,null,114180,null,2995,null,95579,null,3216,null,18601,null,2226,null,29213,null,2999,null,8895,null,435,null,1804,null,458,null,1448,null,448,null,356,null,255,null,7091,null,583,null,151003,null,979,null,138347,null,1117,null,100875,null,2635,null,243,null,308,null,100632,null,2626,null,84377,null,2687,null,16255,null,2178,null,37472,null,2630,null,12656,null,554,null,1282,null,570,null,1282,null,570,null,0,null,277,null,11374,null,615,null,0400000US09,Connecticut,09
41422,null,374,null,22346,null,694,null,21787,null,751,null,18769,null,958,null,0,null,263,null,18769,null,958,null,16357,null,1047,null,2412,null,780,null,3018,null,817,null,559,null,343,null,82,null,140,null,82,null,140,null,0,null,263,null,477,null,321,null,19076,null,607,null,17523,null,901,null,10180,null,1324,null,163,null,208,null,10017,null,1301,null,8657,null,1263,null,1360,null,597,null,7343,null,1201,null,1553,null,631,null,222,null,201,null,222,null,201,null,0,null,263,null,1331,null,596,null,0400000US10,Delaware,10
39986,null,335,null,20898,null,279,null,19701,null,642,null,17298,null,992,null,120,null,111,null,17178,null,995,null,14830,null,1467,null,2348,null,1022,null,2403,null,879,null,1197,null,612,null,678,null,577,null,413,null,456,null,265,null,423,null,519,null,423,null,19088,null,376,null,17233,null,376,null,12801,null,1057,null,89,null,108,null,12712,null,1070,null,11878,null,997,null,834,null,405,null,4432,null,1066,null,1855,null,0,*****,231,null,192,null,231,null,192,null,0,null,296,null,1624,null,192,null,0400000US11,District of Columbia,11
3024465,null,3929,null,1531596,null,3464,null,1355725,null,3654,null,1128049,null,8742,null,7617,null,1462,null,1120432,null,9031,null,984221,null,11706,null,136211,null,8890,null,227676,null,8259,null,175871,null,1210,null,39970,null,2559,null,35145,null,2797,null,4825,null,1086,null,135901,null,2510,null,1492869,null,3222,null,1250858,null,3326,null,862885,null,9303,null,1276,null,669,null,861609,null,9270,null,753686,null,10072,null,107923,null,6046,null,387973,null,9525,null,242011,null,1378,null,24881,null,2534,null,21285,null,2464,null,3596,null,858,null,217130,null,2821,null,0400000US12,Florida,12
516343,null,3251,null,298770,null,3026,null,291992,null,3159,null,254695,null,4025,null,5337,null,921,null,249358,null,4094,null,222657,null,4568,null,26701,null,3364,null,37297,null,4048,null,6778,null,1360,null,3193,null,1052,null,2501,null,999,null,692,null,357,null,3585,null,866,null,217573,null,2748,null,205583,null,3075,null,121922,null,4621,null,823,null,419,null,121099,null,4640,null,104605,null,4610,null,16494,null,2224,null,83661,null,4261,null,11990,null,1428,null,1681,null,695,null,1681,null,695,null,0,null,296,null,10309,null,1379,null,0400000US13,Georgia,13
76107,null,477,null,40473,null,296,null,37812,null,402,null,31630,null,1049,null,3551,null,1175,null,28079,null,1367,null,24075,null,1718,null,4004,null,1099,null,6182,null,1054,null,2661,null,310,null,732,null,354,null,732,null,354,null,0,null,275,null,1929,null,463,null,35634,null,429,null,32882,null,520,null,23128,null,1328,null,727,null,481,null,22401,null,1455,null,20536,null,1502,null,1865,null,738,null,9754,null,1381,null,2752,null,353,null,168,null,215,null,100,null,167,null,68,null,124,null,2584,null,380,null,0400000US15,Hawaii,15
102819,null,1086,null,54595,null,1256,null,52409,null,1375,null,43073,null,1531,null,153,null,74,null,42920,null,1542,null,36106,null,1847,null,6814,null,1333,null,9336,null,1435,null,2186,null,549,null,876,null,338,null,809,null,327,null,67,null,91,null,1310,null,446,null,48224,null,1191,null,46011,null,1309,null,29335,null,2056,null,0,null,263,null,29335,null,2056,null,25568,null,2281,null,3767,null,1202,null,16676,null,1875,null,2213,null,853,null,452,null,294,null,452,null,294,null,0,null,263,null,1761,null,768,null,0400000US16,Idaho,16
1331226,null,2985,null,710163,null,2446,null,670744,null,2336,null,565462,null,5457,null,2155,null,867,null,563307,null,5595,null,493214,null,7402,null,70093,null,5317,null,105282,null,5822,null,39419,null,763,null,9214,null,1595,null,8196,null,1402,null,1018,null,659,null,30205,null,1565,null,621063,null,2060,null,574295,null,1943,null,383352,null,6788,null,797,null,682,null,382555,null,6766,null,334281,null,6988,null,48274,null,4045,null,190943,null,6506,null,46768,null,845,null,5104,null,1222,null,4878,null,1204,null,226,null,191,null,41664,null,1578,null,0400000US17,Illinois,17
