B25027_001E,B25027_001EA,B25027_001M,B25027_001MA,B25027_002E,B25027_002EA,B25027_002M,B25027_002MA,B25027_003E,B25027_003EA,B25027_003M,B25027_003MA,B25027_004E,B25027_004EA,B25027_004M,B25027_004MA,B25027_005E,B25027_005EA,B25027_005M,B25027_005MA,B25027_006E,B25027_006EA,B25027_006M,B25027_006MA,B25027_007E,B25027_007EA,B25027_007M,B25027_007MA,B25027_008E,B25027_008EA,B25027_008M,B25027_008MA,B25027_009E,B25027_009EA,B25027_009M,B25027_009MA,B25027_010E,B25027_010EA,B25027_010M,B25027_010MA,B25027_011E,B25027_011EA,B25027_011M,B25027_011MA,B25027_012E,B25027_012EA,B25027_012M,B25027_012MA,B25027_013E,B25027_013EA,B25027_013M,B25027_013MA,B25027_014E,B25027_014EA,B25027_014M,B25027_014MA,B25027_015E,B25027_015EA,B25027_015M,B25027_015MA,B25027_016E,B25027_016EA,B25027_016M,B25027_016MA,B25027_017E,B25027_017EA,B25027_017M,B25027_017MA,GEO_ID,NAME,state
1285879,null,10656,null,779325,null,11540,null,133096,null,5262,null,180890,null,5008,null,206110,null,5025,null,88592,null,3683,null,73997,null,3440,null,70401,null,3174,null,26239,null,2244,null,506554,null,9492,null,27603,null,2762,null,40096,null,2947,null,78255,null,4406,null,46869,null,3326,null,59987,null,3145,null,120974,null,4618,null,132770,null,3818,null,0400000US01,Alabama,01
154337,null,3768,null,104790,null,4016,null,18537,null,1881,null,22986,null,1963,null,32358,null,1769,null,13654,null,1593,null,7978,null,1279,null,6766,null,945,null,2511,null,738,null,49547,null,2899,null,2936,null,792,null,4927,null,922,null,11067,null,1330,null,7323,null,1150,null,6566,null,1146,null,9642,null,1119,null,7086,null,709,null,0400000US02,Alaska,02
1526790,null,12373,null,1076371,null,12607,null,166868,null,6637,null,245827,null,7049,null,274758,null,6790,null,116773,null,5231,null,104218,null,4166,null,115718,null,4730,null,52209,null,3440,null,450419,null,8066,null,17486,null,2342,null,21581,null,2092,null,53440,null,3292,null,43042,null,2589,null,50918,null,3705,null,114581,null,4608,null,149371,null,4219,null,0400000US04,Arizona,04
742860,null,10442,null,435512,null,8884,null,75094,null,4413,null,106115,null,4790,null,108781,null,4036,null,53617,null,2900,null,38688,null,2193,null,37575,null,2684,null,15642,null,1872,null,307348,null,6395,null,14626,null,1926,null,21000,null,2123,null,45207,null,3223,null,31298,null,1783,null,35794,null,2719,null,76212,null,2409,null,83211,null,3061,null,0400000US05,Arkansas,05
6910054,null,26866,null,5226588,null,27593,null,564226,null,11882,null,1206804,null,13055,null,1537418,null,17444,null,645495,null,10180,null,512416,null,7970,null,519192,null,8707,null,241037,null,6143,null,1683466,null,16569,null,46937,null,3719,null,87274,null,4490,null,200845,null,6299,null,151962,null,5463,null,191099,null,6641,null,405428,null,8297,null,599921,null,8692,null,0400000US06,California,06
1279955,null,10174,null,971804,null,9735,null,157780,null,5682,null,244093,null,5682,null,266284,null,4240,null,115095,null,4680,null,85981,null,3495,null,75075,null,2874,null,27496,null,2026,null,308151,null,6700,null,11172,null,1632,null,17381,null,2327,null,46265,null,2612,null,32087,null,2127,null,41198,null,3231,null,75246,null,2619,null,84802,null,2996,null,0400000US08,Colorado,08
913166,null,7185,null,659299,null,8016,null,76010,null,4306,null,167086,null,4396,null,203748,null,4143,null,78717,null,3396,null,58950,null,2791,null,55493,null,2811,null,19295,null,1977,null,253867,null,5724,null,5002,null,1124,null,11663,null,1751,null,31045,null,2008,null,24220,null,2354,null,32496,null,2572,null,65287,null,2878,null,84154,null,3063,null,0400000US09,Connecticut,09
240908,null,4399,null,168711,null,4461,null,24552,null,1983,null,39458,null,2560,null,46769,null,2354,null,19823,null,1483,null,16002,null,1520,null,15200,null,1424,null,6907,null,1177,null,72197,null,2671,null,2353,null,657,null,4166,null,1068,null,8253,null,1166,null,5844,null,981,null,9015,null,1399,null,19656,null,1535,null,22910,null,1381,null,0400000US10,Delaware,10
111618,null,3411,null,87382,null,3517,null,14519,null,1502,null,20393,null,1889,null,20683,null,2098,null,8873,null,1065,null,9150,null,1256,null,9587,null,1246,null,4177,null,830,null,24236,null,2203,null,790,null,445,null,1565,null,698,null,2276,null,836,null,1945,null,535,null,2397,null,638,null,6069,null,925,null,9194,null,1401,null,0400000US11,District of Columbia,11
4785064,null,27252,null,3093098,null,23983,null,381973,null,9759,null,673868,null,10912,null,834969,null,12123,null,351785,null,8400,null,305400,null,7611,null,356980,null,7693,null,188123,null,6058,null,1691966,null,17640,null,43508,null,3320,null,81707,null,4945,null,182282,null,6578,null,130437,null,5394,null,195541,null,5952,null,431241,null,7140,null,627250,null,11267,null,0400000US12,Florida,12
