B18108_001E,B18108_001EA,B18108_001M,B18108_001MA,B18108_002E,B18108_002EA,B18108_002M,B18108_002MA,B18108_003E,B18108_003EA,B18108_003M,B18108_003MA,B18108_004E,B18108_004EA,B18108_004M,B18108_004MA,B18108_005E,B18108_005EA,B18108_005M,B18108_005MA,B18108_006E,B18108_006EA,B18108_006M,B18108_006MA,B18108_007E,B18108_007EA,B18108_007M,B18108_007MA,B18108_008E,B18108_008EA,B18108_008M,B18108_008MA,B18108_009E,B18108_009EA,B18108_009M,B18108_009MA,B18108_010E,B18108_010EA,B18108_010M,B18108_010MA,B18108_011E,B18108_011EA,B18108_011M,B18108_011MA,B18108_012E,B18108_012EA,B18108_012M,B18108_012MA,B18108_013E,B18108_013EA,B18108_013M,B18108_013MA,B18108_014E,B18108_014EA,B18108_014M,B18108_014MA,B18108_015E,B18108_015EA,B18108_015M,B18108_015MA,B18108_016E,B18108_016EA,B18108_016M,B18108_016MA,B18108_017E,B18108_017EA,B18108_017M,B18108_017MA,B18108_018E,B18108_018EA,B18108_018M,B18108_018MA,B18108_019E,B18108_019EA,B18108_019M,B18108_019MA,B18108_020E,B18108_020EA,B18108_020M,B18108_020MA,B18108_021E,B18108_021EA,B18108_021M,B18108_021MA,B18108_022E,B18108_022EA,B18108_022M,B18108_022MA,B18108_023E,B18108_023EA,B18108_023M,B18108_023MA,B18108_024E,B18108_024EA,B18108_024M,B18108_024MA,B18108_025E,B18108_025EA,B18108_025M,B18108_025MA,GEO_ID,NAME,state
792969,null,1202,null,59673,null,1231,null,391,null,312,null,93,null,130,null,59189,null,1249,null,135152,null,1742,null,3792,null,885,null,1837,null,738,null,129523,null,2097,null,188210,null,2587,null,5822,null,1404,null,3664,null,1183,null,178724,null,2788,null,301393,null,2168,null,20972,null,2182,null,14201,null,1851,null,266220,null,3790,null,55821,null,1116,null,8248,null,1274,null,5261,null,1008,null,42312,null,1632,null,52720,null,1022,null,11078,null,1307,null,13322,null,1449,null,28320,null,1890,null,0400000US46,South Dakota,46
6188118,null,2269,null,422330,null,2822,null,2398,null,823,null,949,null,560,null,418983,null,2834,null,1065647,null,3311,null,42525,null,4544,null,16922,null,2489,null,1006200,null,6081,null,1396482,null,4944,null,53629,null,3898,null,37281,null,3521,null,1305572,null,7402,null,2502902,null,5255,null,208909,null,7479,null,224940,null,7898,null,2069053,null,11537,null,455826,null,2780,null,72663,null,3912,null,69405,null,3963,null,313758,null,4491,null,344931,null,3188,null,68661,null,3314,null,126663,null,4473,null,149607,null,4592,null,0400000US47,Tennessee,47
24291561,null,5368,null,2065194,null,4288,null,11907,null,2187,null,5140,null,1969,null,2048147,null,4950,null,4812536,null,5354,null,193189,null,7821,null,66379,null,4705,null,4552968,null,10399,null,5948162,null,10543,null,189486,null,8536,null,132668,null,6515,null,5626008,null,13928,null,9026720,null,11708,null,612880,null,13416,null,554874,null,14932,null,7858966,null,22449,null,1368314,null,5656,null,216623,null,7067,null,204219,null,7939,null,947472,null,9308,null,1070635,null,5473,null,205004,null,5788,null,389607,null,8846,null,476024,null,8548,null,0400000US48,Texas,48
2755284,null,1757,null,270963,null,1620,null,1197,null,620,null,701,null,465,null,269065,null,1853,null,597910,null,2092,null,17944,null,2075,null,6769,null,1388,null,573197,null,3498,null,773714,null,3412,null,24562,null,2725,null,14057,null,2121,null,735095,null,4242,null,867851,null,3191,null,55557,null,3548,null,37092,null,3090,null,775202,null,5380,null,136066,null,1594,null,17228,null,1642,null,14804,null,1692,null,104034,null,2667,null,108780,null,1649,null,21809,null,1812,null,33115,null,2657,null,53856,null,2415,null,0400000US49,Utah,49
615376,null,351,null,32433,null,557,null,363,null,314,null,0,null,211,null,32070,null,620,null,94049,null,813,null,5765,null,1214,null,1112,null,476,null,87172,null,1441,null,137523,null,1223,null,7114,null,1297,null,4491,null,940,null,125918,null,1697,null,265923,null,1097,null,19091,null,1912,null,15537,null,1548,null,231295,null,2644,null,46908,null,662,null,6056,null,898,null,4783,null,859,null,36069,null,1328,null,38540,null,720,null,7273,null,935,null,12306,null,1193,null,18961,null,1191,null,0400000US50,Vermont,50
7643783,null,8021,null,525246,null,3691,null,1525,null,600,null,494,null,560,null,523227,null,3842,null,1317313,null,4403,null,48037,null,3914,null,15029,null,1949,null,1254247,null,5810,null,1774009,null,8903,null,51722,null,4404,null,34568,null,3005,null,1687719,null,11262,null,3108456,null,7913,null,199215,null,7073,null,155070,null,6667,null,2754171,null,11530,null,526585,null,3282,null,72930,null,3591,null,57246,null,3075,null,396409,null,4962,null,392174,null,4023,null,74546,null,4401,null,121393,null,4693,null,196235,null,5154,null,0400000US51,Virginia,51
6546149,null,3943,null,450323,null,1536,null,3488,null,1094,null,1116,null,686,null,445719,null,1999,null,1119217,null,2290,null,39801,null,3601,null,14778,null,2546,null,1064638,null,4933,null,1526767,null,5149,null,60796,null,5822,null,39179,null,3834,null,1426792,null,7886,null,2668585,null,4760,null,182103,null,7101,null,155059,null,8335,null,2331423,null,10158,null,430928,null,2378,null,66703,null,3545,null,45862,null,3140,null,318363,null,4586,null,350329,null,2336,null,69626,null,3311,null,115053,null,4620,null,165650,null,5422,null,0400000US53,Washington,53
1793105,null,630,null,107120,null,1657,null,869,null,524,null,0,null,269,null,106251,null,1744,null,275763,null,2108,null,11702,null,1512,null,4058,null,1004,null,260003,null,2595,null,387230,null,2614,null,22028,null,2669,null,13360,null,2103,null,351842,null,4672,null,747084,null,2804,null,77288,null,4345,null,82267,null,4288,null,587529,null,6105,null,151231,null,1238,null,29178,null,2289,null,25896,null,1934,null,96157,null,3087,null,124677,null,1129,null,23750,null,2268,null,46101,null,2700,null,54826,null,2859,null,0400000US54,West Virginia,54
5566055,null,937,null,360496,null,1795,null,1365,null,564,null,1039,null,510,null,358092,null,1974,null,942341,null,2485,null,36163,null,3275,null,11434,null,1426,null,894744,null,3955,null,1265874,null,4629,null,41670,null,3498,null,23954,null,2220,null,1200250,null,5923,null,2271523,null,4312,null,141391,null,4892,null,104864,null,5107,null,2025268,null,7272,null,386872,null,1662,null,49298,null,2744,null,32701,null,1900,null,304873,null,3152,null,338949,null,1676,null,67808,null,2989,null,88423,null,4189,null,182718,null,4787,null,0400000US55,Wisconsin,55
533716,null,1089,null,39127,null,1228,null,372,null,306,null,33,null,55,null,38722,null,1239,null,89294,null,2092,null,4059,null,1071,null,1412,null,643,null,83823,null,2294,null,127184,null,2317,null,6377,null,1525,null,1917,null,789,null,118890,null,2999,null,213818,null,2273,null,18060,null,2259,null,11093,null,1594,null,184665,null,3172,null,35654,null,879,null,6248,null,969,null,3818,null,926,null,25588,null,1454,null,28639,null,1375,null,6004,null,1161,null,9496,null,1141,null,13139,null,1196,null,0400000US56,Wyoming,56
3938846,null,691,null,233526,null,1208,null,1789,null,731,null,1182,null,705,null,230555,null,1548,null,730004,null,1201,null,51659,null,3514,null,12864,null,2030,null,665481,null,3867,null,938376,null,3464,null,46082,null,3657,null,29640,null,3703,null,862654,null,5530,null,1484622,null,3615,null,173965,null,7341,null,189841,null,7221,null,1120816,null,9304,null,312122,null,1436,null,56806,null,3214,null,78617,null,3460,null,176699,null,3751,null,240196,null,2237,null,37483,null,2432,null,132059,null,3676,null,70654,null,2798,null,0400000US72,Puerto Rico,72
