B16005B_001E,B16005B_001EA,B16005B_001M,B16005B_001MA,B16005B_002E,B16005B_002EA,B16005B_002M,B16005B_002MA,B16005B_003E,B16005B_003EA,B16005B_003M,B16005B_003MA,B16005B_004E,B16005B_004EA,B16005B_004M,B16005B_004MA,B16005B_005E,B16005B_005EA,B16005B_005M,B16005B_005MA,B16005B_006E,B16005B_006EA,B16005B_006M,B16005B_006MA,B16005B_007E,B16005B_007EA,B16005B_007M,B16005B_007MA,B16005B_008E,B16005B_008EA,B16005B_008M,B16005B_008MA,B16005B_009E,B16005B_009EA,B16005B_009M,B16005B_009MA,B16005B_010E,B16005B_010EA,B16005B_010M,B16005B_010MA,B16005B_011E,B16005B_011EA,B16005B_011M,B16005B_011MA,GEO_ID,NAME,state
1138302,null,5145,null,1129249,null,5385,null,1116846,null,5779,null,12403,null,1893,null,9796,null,1828,null,2607,null,832,null,9053,null,2388,null,3457,null,1158,null,5596,null,1806,null,4856,null,1646,null,740,null,490,null,0400000US01,Alabama,01
24615,null,1374,null,22113,null,1455,null,21275,null,1525,null,838,null,405,null,729,null,389,null,109,null,112,null,2502,null,1028,null,474,null,412,null,2028,null,1051,null,732,null,416,null,1296,null,699,null,0400000US02,Alaska,02
229826,null,6285,null,205513,null,7493,null,196335,null,7168,null,9178,null,2653,null,8202,null,2550,null,976,null,532,null,24313,null,4252,null,7662,null,2438,null,16651,null,3418,null,9047,null,2228,null,7604,null,2137,null,0400000US04,Arizona,04
412157,null,4618,null,409335,null,4834,null,404484,null,5010,null,4851,null,1316,null,3864,null,1112,null,987,null,425,null,2822,null,1176,null,1252,null,754,null,1570,null,930,null,702,null,638,null,868,null,663,null,0400000US05,Arkansas,05
2099537,null,11468,null,1957738,null,14356,null,1886062,null,14235,null,71676,null,5727,null,62782,null,5230,null,8894,null,1580,null,141799,null,9087,null,50984,null,5850,null,90815,null,7616,null,58760,null,5377,null,32055,null,4259,null,0400000US06,California,06
178584,null,4909,null,158482,null,5728,null,152625,null,5906,null,5857,null,1916,null,4880,null,1674,null,977,null,540,null,20102,null,3471,null,3258,null,907,null,16844,null,3440,null,7760,null,2127,null,9084,null,2486,null,0400000US08,Colorado,08
313157,null,4649,null,239536,null,6471,null,222462,null,6351,null,17074,null,2575,null,14189,null,2329,null,2885,null,1102,null,73621,null,5834,null,43655,null,4297,null,29966,null,4344,null,16966,null,3240,null,13000,null,2545,null,0400000US09,Connecticut,09
169800,null,2851,null,155154,null,4627,null,150178,null,4822,null,4976,null,1529,null,4203,null,1493,null,773,null,384,null,14646,null,3739,null,8350,null,2914,null,6296,null,1851,null,3681,null,1271,null,2615,null,1207,null,0400000US10,Delaware,10
300130,null,2039,null,284724,null,3923,null,279310,null,3993,null,5414,null,1412,null,4575,null,1325,null,839,null,467,null,15406,null,3291,null,8875,null,2566,null,6531,null,1672,null,3573,null,1201,null,2958,null,906,null,0400000US11,District of Columbia,11
2659406,null,14517,null,2088395,null,19379,null,1933784,null,20823,null,154611,null,9709,null,130522,null,8477,null,24089,null,3298,null,571011,null,18338,null,257641,null,14529,null,313370,null,14803,null,114847,null,7894,null,198523,null,11449,null,0400000US12,Florida,12
2713353,null,11337,null,2558799,null,15010,null,2503214,null,14865,null,55585,null,5494,null,46577,null,5111,null,9008,null,1693,null,154554,null,11879,null,72935,null,7205,null,81619,null,9260,null,55910,null,6742,null,25709,null,4524,null,0400000US13,Georgia,13
27613,null,3226,null,25641,null,3149,null,24182,null,3283,null,1459,null,936,null,721,null,570,null,738,null,776,null,1972,null,1066,null,703,null,601,null,1269,null,886,null,794,null,557,null,475,null,759,null,0400000US15,Hawaii,15
9350,null,1846,null,6674,null,1681,null,6079,null,1520,null,595,null,569,null,544,null,499,null,51,null,89,null,2676,null,1212,null,585,null,452,null,2091,null,1156,null,233,null,248,null,1858,null,1077,null,0400000US16,Idaho,16
1742697,null,8276,null,1688420,null,9683,null,1654868,null,9917,null,33552,null,4017,null,26314,null,3688,null,7238,null,1719,null,54277,null,6362,null,15569,null,3156,null,38708,null,5294,null,25367,null,3874,null,13341,null,3173,null,0400000US17,Illinois,17
