B19001A_001E,B19001A_001EA,B19001A_001M,B19001A_001MA,B19001A_002E,B19001A_002EA,B19001A_002M,B19001A_002MA,B19001A_003E,B19001A_003EA,B19001A_003M,B19001A_003MA,B19001A_004E,B19001A_004EA,B19001A_004M,B19001A_004MA,B19001A_005E,B19001A_005EA,B19001A_005M,B19001A_005MA,B19001A_006E,B19001A_006EA,B19001A_006M,B19001A_006MA,B19001A_007E,B19001A_007EA,B19001A_007M,B19001A_007MA,B19001A_008E,B19001A_008EA,B19001A_008M,B19001A_008MA,B19001A_009E,B19001A_009EA,B19001A_009M,B19001A_009MA,B19001A_010E,B19001A_010EA,B19001A_010M,B19001A_010MA,B19001A_011E,B19001A_011EA,B19001A_011M,B19001A_011MA,B19001A_012E,B19001A_012EA,B19001A_012M,B19001A_012MA,B19001A_013E,B19001A_013EA,B19001A_013M,B19001A_013MA,B19001A_014E,B19001A_014EA,B19001A_014M,B19001A_014MA,B19001A_015E,B19001A_015EA,B19001A_015M,B19001A_015MA,B19001A_016E,B19001A_016EA,B19001A_016M,B19001A_016MA,B19001A_017E,B19001A_017EA,B19001A_017M,B19001A_017MA,GEO_ID,NAME,state
1319682,null,7402,null,106190,null,5725,null,82830,null,4027,null,83655,null,4189,null,74703,null,3761,null,75342,null,4333,null,73694,null,4536,null,73743,null,4687,null,71625,null,3852,null,62743,null,3207,null,113495,null,4816,null,131629,null,5187,null,155425,null,5499,null,89330,null,3905,null,47953,null,2815,null,41859,null,3024,null,35466,null,2257,null,0400000US01,Alabama,01
178988,null,2831,null,5558,null,1159,null,4940,null,1097,null,5187,null,1215,null,6044,null,1072,null,5665,null,1063,null,7380,null,1452,null,6605,null,1297,null,8146,null,1421,null,8173,null,1491,null,13710,null,1590,null,20377,null,2069,null,30994,null,2596,null,21468,null,2077,null,12894,null,1500,null,12525,null,1798,null,9322,null,1329,null,0400000US02,Alaska,02
1931808,null,11446,null,133330,null,5856,null,101513,null,5605,null,106435,null,5154,null,116593,null,5730,null,107821,null,4901,null,104012,null,5553,null,102344,null,5703,null,100569,null,4694,null,93199,null,4855,null,166482,null,6943,null,205670,null,6046,null,239287,null,7501,null,144940,null,5609,null,80467,null,4860,null,67918,null,3831,null,61228,null,3819,null,0400000US04,Arizona,04
898857,null,6889,null,76476,null,5002,null,66896,null,3734,null,61901,null,3684,null,63372,null,3757,null,59342,null,3839,null,53936,null,3826,null,53624,null,3454,null,47205,null,2821,null,46151,null,3573,null,79458,null,4562,null,87204,null,4451,null,89235,null,4607,null,51043,null,3047,null,24549,null,1988,null,19678,null,1790,null,18787,null,1920,null,0400000US05,Arkansas,05
8313921,null,24121,null,419923,null,9170,null,416105,null,11074,null,374024,null,10884,null,399061,null,9800,null,384922,null,8833,null,361203,null,8899,null,374800,null,10687,null,344432,null,9832,null,349006,null,9359,null,646490,null,12277,null,811641,null,16349,null,1068473,null,15526,null,761504,null,12153,null,497715,null,11443,null,544505,null,11374,null,560117,null,11220,null,0400000US06,California,06
1677418,null,9287,null,101753,null,5303,null,78131,null,4777,null,77994,null,4153,null,79541,null,4252,null,78040,null,4188,null,80407,null,5105,null,80087,null,4636,null,82306,null,5034,null,73074,null,4097,null,139905,null,5525,null,179953,null,7119,null,225176,null,7000,null,151648,null,5529,null,89146,null,4176,null,85970,null,3847,null,74287,null,3755,null,0400000US08,Colorado,08
1091612,null,5789,null,49749,null,3797,null,39454,null,2902,null,41772,null,3057,null,42782,null,2798,null,41284,null,3369,null,37800,null,3181,null,41789,null,2972,null,41000,null,3608,null,41984,null,3017,null,77992,null,4388,null,113023,null,4706,null,148718,null,5311,null,120989,null,4185,null,75020,null,4208,null,83325,null,4719,null,94931,null,4611,null,0400000US09,Connecticut,09
246942,null,3467,null,10888,null,1498,null,9175,null,1333,null,9492,null,1232,null,12978,null,1767,null,11446,null,1300,null,11694,null,1574,null,11366,null,1883,null,11354,null,1498,null,11248,null,1571,null,21397,null,2306,null,28285,null,2265,null,34913,null,2499,null,23453,null,1675,null,14504,null,1615,null,13378,null,1529,null,11371,null,1532,null,0400000US10,Delaware,10
108414,null,2600,null,4495,null,1162,null,1742,null,651,null,2097,null,940,null,2686,null,925,null,2082,null,867,null,2468,null,727,null,2877,null,942,null,4099,null,975,null,2535,null,761,null,6412,null,1148,null,9352,null,1530,null,13691,null,1705,null,11981,null,1677,null,7896,null,1184,null,13095,null,1803,null,20906,null,1826,null,0400000US11,District of Columbia,11
5659824,null,21930,null,392682,null,10138,null,315601,null,7238,null,333763,null,9885,null,352595,null,10313,null,344335,null,10068,null,329837,null,10745,null,326204,null,9347,null,309828,null,9759,null,279868,null,8506,null,482568,null,12412,null,587474,null,9552,null,633651,null,11710,null,373848,null,10508,null,205625,null,6929,null,193119,null,6429,null,198826,null,6456,null,0400000US12,Florida,12
2256819,null,13442,null,145268,null,5948,null,121001,null,5666,null,109324,null,5448,null,117994,null,6323,null,116303,null,6687,null,111916,null,5703,null,109875,null,5698,null,101560,null,4476,null,102405,null,5697,null,189139,null,7184,null,237552,null,8379,null,297742,null,7907,null,182789,null,5907,null,106066,null,5303,null,104854,null,4508,null,103031,null,4087,null,0400000US13,Georgia,13
150600,null,3735,null,8764,null,1678,null,6100,null,1344,null,5434,null,1581,null,5168,null,1376,null,5350,null,971,null,6338,null,1359,null,5909,null,1100,null,5690,null,1253,null,7258,null,1716,null,12425,null,1897,null,16351,null,2249,null,21883,null,2121,null,16376,null,2005,null,8607,null,1697,null,9804,null,1442,null,9143,null,1466,null,0400000US15,Hawaii,15
