C08011_001E,C08011_001EA,C08011_001M,C08011_001MA,C08011_002E,C08011_002EA,C08011_002M,C08011_002MA,C08011_003E,C08011_003EA,C08011_003M,C08011_003MA,C08011_004E,C08011_004EA,C08011_004M,C08011_004MA,C08011_005E,C08011_005EA,C08011_005M,C08011_005MA,C08011_006E,C08011_006EA,C08011_006M,C08011_006MA,C08011_007E,C08011_007EA,C08011_007M,C08011_007MA,C08011_008E,C08011_008EA,C08011_008M,C08011_008MA,C08011_009E,C08011_009EA,C08011_009M,C08011_009MA,C08011_010E,C08011_010EA,C08011_010M,C08011_010MA,C08011_011E,C08011_011EA,C08011_011M,C08011_011MA,C08011_012E,C08011_012EA,C08011_012M,C08011_012MA,C08011_013E,C08011_013EA,C08011_013M,C08011_013MA,C08011_014E,C08011_014EA,C08011_014M,C08011_014MA,C08011_015E,C08011_015EA,C08011_015M,C08011_015MA,C08011_016E,C08011_016EA,C08011_016M,C08011_016MA,C08011_017E,C08011_017EA,C08011_017M,C08011_017MA,C08011_018E,C08011_018EA,C08011_018M,C08011_018MA,C08011_019E,C08011_019EA,C08011_019M,C08011_019MA,C08011_020E,C08011_020EA,C08011_020M,C08011_020MA,C08011_021E,C08011_021EA,C08011_021M,C08011_021MA,C08011_022E,C08011_022EA,C08011_022M,C08011_022MA,C08011_023E,C08011_023EA,C08011_023M,C08011_023MA,C08011_024E,C08011_024EA,C08011_024M,C08011_024MA,C08011_025E,C08011_025EA,C08011_025M,C08011_025MA,C08011_026E,C08011_026EA,C08011_026M,C08011_026MA,C08011_027E,C08011_027EA,C08011_027M,C08011_027MA,C08011_028E,C08011_028EA,C08011_028M,C08011_028MA,C08011_029E,C08011_029EA,C08011_029M,C08011_029MA,C08011_030E,C08011_030EA,C08011_030M,C08011_030MA,C08011_031E,C08011_031EA,C08011_031M,C08011_031MA,C08011_032E,C08011_032EA,C08011_032M,C08011_032MA,C08011_033E,C08011_033EA,C08011_033M,C08011_033MA,GEO_ID,NAME,state
1911457,null,13974,null,106858,null,5438,null,96111,null,4780,null,113503,null,6766,null,197854,null,8208,null,223622,null,8633,null,314161,null,7828,null,251689,null,7426,null,145069,null,6346,null,65585,null,4209,null,397005,null,10603,null,1014193,null,11513,null,75047,null,4684,null,67202,null,4365,null,74993,null,5358,null,125165,null,5830,null,125010,null,5529,null,145846,null,6632,null,103724,null,4581,null,69153,null,4420,null,26076,null,2645,null,201977,null,7982,null,897264,null,10946,null,31811,null,2688,null,28909,null,2550,null,38510,null,3325,null,72689,null,4350,null,98612,null,5133,null,168315,null,5090,null,147965,null,5751,null,75916,null,3927,null,39509,null,3055,null,195028,null,7435,null,0400000US01,Alabama,01
319158,null,6709,null,9891,null,1515,null,9612,null,1566,null,14096,null,2162,null,25878,null,2820,null,28612,null,2809,null,40366,null,3379,null,51946,null,3315,null,32851,null,3347,null,22016,null,2248,null,83890,null,5408,null,171464,null,4221,null,5968,null,1181,null,6493,null,1314,null,10400,null,1746,null,18099,null,2307,null,16307,null,1896,null,22912,null,2639,null,23459,null,2104,null,14558,null,2272,null,8841,null,1400,null,44427,null,3807,null,147694,null,4220,null,3923,null,956,null,3119,null,1000,null,3696,null,996,null,7779,null,1400,null,12305,null,2052,null,17454,null,2092,null,28487,null,2688,null,18293,null,2266,null,13175,null,1563,null,39463,null,3130,null,0400000US02,Alaska,02
2610143,null,20023,null,165153,null,8835,null,142067,null,6587,null,152643,null,8310,null,265762,null,10610,null,257249,null,10741,null,365475,null,10595,null,289871,null,11353,null,233525,null,9386,null,109338,null,5225,null,629060,null,14466,null,1423767,null,14302,null,120974,null,7837,null,103562,null,5543,null,97481,null,6331,null,168323,null,7947,null,135034,null,7870,null,185017,null,7282,null,129335,null,6791,null,112439,null,6791,null,49212,null,3706,null,322390,null,10806,null,1186376,null,13073,null,44179,null,3460,null,38505,null,3635,null,55162,null,4903,null,97439,null,5958,null,122215,null,5955,null,180458,null,7164,null,160536,null,7804,null,121086,null,5883,null,60126,null,4243,null,306670,null,9046,null,0400000US04,Arizona,04
1180381,null,15272,null,45124,null,2880,null,41499,null,3484,null,68414,null,4576,null,107915,null,5370,null,141956,null,6801,null,194752,null,7047,null,186682,null,6916,null,96178,null,4681,null,43381,null,3665,null,254480,null,9247,null,626483,null,9811,null,32941,null,2594,null,29836,null,2786,null,42688,null,3562,null,70177,null,4192,null,83330,null,4904,null,92891,null,4441,null,75197,null,4724,null,51532,null,3591,null,17924,null,2302,null,129967,null,6263,null,553898,null,9256,null,12183,null,1834,null,11663,null,1708,null,25726,null,2983,null,37738,null,2910,null,58626,null,4682,null,101861,null,4909,null,111485,null,5124,null,44646,null,3345,null,25457,null,2818,null,124513,null,5940,null,0400000US05,Arkansas,05
15313455,null,42582,null,786551,null,15319,null,641948,null,15310,null,750588,null,17981,null,1299102,null,20430,null,1346531,null,20766,null,2100124,null,27301,null,1778184,null,23330,null,1796811,null,24442,null,903541,null,17208,null,3910075,null,35164,null,8445929,null,32635,null,576632,null,12805,null,479301,null,12200,null,522237,null,15945,null,862269,null,15401,null,761963,null,15759,null,1114197,null,20650,null,818023,null,16183,null,892263,null,18431,null,413641,null,12156,null,2005403,null,25515,null,6867526,null,27453,null,209919,null,7689,null,162647,null,7986,null,228351,null,7764,null,436833,null,14662,null,584568,null,11327,null,985927,null,16586,null,960161,null,15406,null,904548,null,16373,null,489900,null,10682,null,1904672,null,22604,null,0400000US06,California,06
2299264,null,15920,null,85917,null,5459,null,74080,null,4428,null,112823,null,5473,null,191746,null,7081,null,251403,null,6228,null,342073,null,9343,null,325445,null,9640,null,239458,null,8808,null,125002,null,5835,null,551317,null,12569,null,1249306,null,11995,null,57440,null,4009,null,56072,null,3711,null,71845,null,4012,null,124514,null,6516,null,147557,null,5307,null,180485,null,7173,null,158262,null,5884,null,121523,null,6469,null,54821,null,3824,null,276787,null,9267,null,1049958,null,10383,null,28477,null,3054,null,18008,null,1972,null,40978,null,3608,null,67232,null,3753,null,103846,null,4421,null,161588,null,5581,null,167183,null,6520,null,117935,null,4490,null,70181,null,4034,null,274530,null,7529,null,0400000US08,Colorado,08
1638117,null,11954,null,39748,null,3293,null,40338,null,3388,null,66768,null,4194,null,129865,null,6200,null,173341,null,6786,null,241359,null,6423,null,221518,null,7833,null,216395,null,8027,null,117963,null,5213,null,390822,null,9689,null,847849,null,8410,null,28924,null,2732,null,30066,null,2863,null,46390,null,3375,null,85250,null,5435,null,100145,null,4667,null,129913,null,5337,null,102145,null,5361,null,96946,null,5413,null,44556,null,2749,null,183514,null,7411,null,790268,null,8391,null,10824,null,1594,null,10272,null,1584,null,20378,null,2118,null,44615,null,2846,null,73196,null,3883,null,111446,null,4878,null,119373,null,6031,null,119449,null,5770,null,73407,null,3928,null,207308,null,6021,null,0400000US09,Connecticut,09
399458,null,5967,null,14355,null,2322,null,10936,null,1758,null,16210,null,2026,null,30090,null,2377,null,44167,null,3689,null,66409,null,4563,null,55256,null,3294,null,41497,null,3208,null,21975,null,2325,null,98563,null,5878,null,204181,null,4222,null,9566,null,1565,null,8031,null,1530,null,10964,null,1513,null,18895,null,2130,null,24596,null,2793,null,32066,null,3145,null,24436,null,2295,null,18273,null,2502,null,10287,null,1898,null,47067,null,3681,null,195277,null,4112,null,4789,null,1297,null,2905,null,809,null,5246,null,1160,null,11195,null,1379,null,19571,null,2070,null,34343,null,3042,null,30820,null,2544,null,23224,null,2357,null,11688,null,1427,null,51496,null,3541,null,0400000US10,Delaware,10
276042,null,5251,null,5324,null,1161,null,6177,null,1231,null,8073,null,1699,null,16336,null,2086,null,15495,null,1947,null,35851,null,3702,null,31816,null,3239,null,48095,null,3717,null,41510,null,2996,null,67365,null,4176,null,134290,null,3297,null,3242,null,1067,null,3291,null,846,null,5161,null,1340,null,8297,null,1397,null,7644,null,1438,null,18451,null,2428,null,14109,null,2093,null,22488,null,2192,null,20004,null,2210,null,31603,null,3142,null,141752,null,4008,null,2082,null,644,null,2886,null,963,null,2912,null,900,null,8039,null,1524,null,7851,null,1548,null,17400,null,2329,null,17707,null,1981,null,25607,null,2797,null,21506,null,2031,null,35762,null,2629,null,0400000US11,District of Columbia,11
7517421,null,35982,null,253003,null,10597,null,211821,null,8942,null,292555,null,8963,null,608295,null,15320,null,735973,null,17072,null,1152476,null,21570,null,951516,null,18050,null,974677,null,16572,null,461538,null,13378,null,1875567,null,27879,null,3944879,null,23433,null,165613,null,8682,null,149154,null,7563,null,192018,null,7896,null,389122,null,12087,null,407000,null,13563,null,598023,null,14632,null,429762,null,11154,null,478770,null,11573,null,201761,null,9446,null,933656,null,18008,null,3572542,null,23629,null,87390,null,5304,null,62667,null,5214,null,100537,null,5851,null,219173,null,7167,null,328973,null,8683,null,554453,null,14921,null,521754,null,12571,null,495907,null,11764,null,259777,null,8856,null,941911,null,19073,null,0400000US12,Florida,12
