B05010_001E,B05010_001EA,B05010_001M,B05010_001MA,B05010_002E,B05010_002EA,B05010_002M,B05010_002MA,B05010_003E,B05010_003EA,B05010_003M,B05010_003MA,B05010_004E,B05010_004EA,B05010_004M,B05010_004MA,B05010_005E,B05010_005EA,B05010_005M,B05010_005MA,B05010_006E,B05010_006EA,B05010_006M,B05010_006MA,B05010_007E,B05010_007EA,B05010_007M,B05010_007MA,B05010_008E,B05010_008EA,B05010_008M,B05010_008MA,B05010_009E,B05010_009EA,B05010_009M,B05010_009MA,B05010_010E,B05010_010EA,B05010_010M,B05010_010MA,B05010_011E,B05010_011EA,B05010_011M,B05010_011MA,B05010_012E,B05010_012EA,B05010_012M,B05010_012MA,B05010_013E,B05010_013EA,B05010_013M,B05010_013MA,B05010_014E,B05010_014EA,B05010_014M,B05010_014MA,B05010_015E,B05010_015EA,B05010_015M,B05010_015MA,B05010_016E,B05010_016EA,B05010_016M,B05010_016MA,B05010_017E,B05010_017EA,B05010_017M,B05010_017MA,B05010_018E,B05010_018EA,B05010_018M,B05010_018MA,B05010_019E,B05010_019EA,B05010_019M,B05010_019MA,B05010_020E,B05010_020EA,B05010_020M,B05010_020MA,B05010_021E,B05010_021EA,B05010_021M,B05010_021MA,B05010_022E,B05010_022EA,B05010_022M,B05010_022MA,B05010_023E,B05010_023EA,B05010_023M,B05010_023MA,B05010_024E,B05010_024EA,B05010_024M,B05010_024MA,B05010_025E,B05010_025EA,B05010_025M,B05010_025MA,GEO_ID,NAME,state
1059528,null,5998,null,253248,null,9859,null,66816,null,6928,null,51279,null,5865,null,13665,null,3096,null,1872,null,996,null,186432,null,9083,null,175096,null,8271,null,11336,null,2982,null,253236,null,10736,null,138200,null,8840,null,123013,null,8549,null,10196,null,2420,null,4991,null,2171,null,115036,null,7816,null,110304,null,7558,null,4732,null,1874,null,553044,null,11053,null,442458,null,9942,null,415069,null,10022,null,14526,null,2532,null,12863,null,2627,null,110586,null,6530,null,108542,null,6384,null,2044,null,946,null,0400000US01,Alabama,01
174634,null,1986,null,21261,null,3335,null,7241,null,1752,null,5273,null,1306,null,989,null,859,null,979,null,874,null,14020,null,2856,null,11647,null,2336,null,2373,null,1485,null,35345,null,4087,null,19239,null,3695,null,16653,null,3227,null,1947,null,1548,null,639,null,397,null,16106,null,2573,null,15300,null,2538,null,806,null,723,null,118028,null,4704,null,95228,null,4999,null,83608,null,5045,null,5434,null,1580,null,6186,null,1786,null,22800,null,3066,null,21497,null,3015,null,1303,null,671,null,0400000US02,Alaska,02
1645424,null,7639,null,374180,null,15782,null,145829,null,10959,null,45345,null,5852,null,82645,null,8541,null,17839,null,4412,null,228351,null,13486,null,149982,null,10483,null,78369,null,10082,null,400081,null,14808,null,225979,null,14820,null,114484,null,8701,null,81210,null,8352,null,30285,null,6380,null,174102,null,11308,null,136300,null,10004,null,37802,null,5665,null,871163,null,17128,null,672769,null,15759,null,518487,null,13825,null,78920,null,7003,null,75362,null,7193,null,198394,null,10698,null,176579,null,9831,null,21815,null,3825,null,0400000US04,Arizona,04
670246,null,4727,null,177363,null,8258,null,58417,null,6066,null,41245,null,4998,null,15057,null,4276,null,2115,null,1072,null,118946,null,7193,null,110151,null,7391,null,8795,null,2291,null,178056,null,10141,null,101489,null,8379,null,81325,null,7128,null,16524,null,3473,null,3640,null,1333,null,76567,null,6921,null,73007,null,6779,null,3560,null,1143,null,314827,null,9849,null,257107,null,10114,null,242025,null,9421,null,8467,null,2052,null,6615,null,1774,null,57720,null,4740,null,55426,null,4712,null,2294,null,808,null,0400000US05,Arkansas,05
8980424,null,16026,null,1739925,null,31030,null,722443,null,23333,null,128716,null,9686,null,514007,null,21486,null,79720,null,8175,null,1017482,null,29551,null,532604,null,23401,null,484878,null,18970,null,2111656,null,34794,null,1295329,null,29166,null,325501,null,14937,null,809398,null,22099,null,160430,null,11299,null,816327,null,25632,null,471635,null,16878,null,344692,null,17739,null,5128843,null,38392,null,4049037,null,35335,null,2244740,null,28677,null,1173447,null,21426,null,630850,null,19292,null,1079806,null,24037,null,787729,null,21531,null,292077,null,14649,null,0400000US06,California,06
1177386,null,5345,null,197206,null,11205,null,78235,null,8760,null,35018,null,5331,null,38707,null,6040,null,4510,null,1965,null,118971,null,9094,null,96026,null,8116,null,22945,null,4197,null,222437,null,11131,null,137461,null,9263,null,83413,null,7327,null,41245,null,5236,null,12803,null,2806,null,84976,null,7233,null,69164,null,6677,null,15812,null,3969,null,757743,null,10918,null,632327,null,11500,null,538299,null,10669,null,40142,null,5449,null,53886,null,5672,null,125416,null,7764,null,112798,null,7231,null,12618,null,2520,null,0400000US08,Colorado,08
780490,null,3389,null,89600,null,7704,null,18654,null,3819,null,9589,null,2728,null,7372,null,2422,null,1693,null,1041,null,70946,null,6525,null,54036,null,5535,null,16910,null,3953,null,107919,null,8366,null,49339,null,5925,null,27590,null,4111,null,16764,null,3500,null,4985,null,2035,null,58580,null,6536,null,50123,null,6031,null,8457,null,2451,null,582971,null,8429,null,479348,null,8899,null,379924,null,8065,null,60536,null,5202,null,38888,null,4660,null,103623,null,6549,null,89626,null,6438,null,13997,null,2859,null,0400000US09,Connecticut,09
195738,null,2341,null,31211,null,5463,null,7936,null,2762,null,5237,null,2293,null,2194,null,1274,null,505,null,616,null,23275,null,4738,null,21509,null,4494,null,1766,null,1074,null,39022,null,4949,null,16970,null,3791,null,11972,null,3734,null,4462,null,1596,null,536,null,462,null,22052,null,3434,null,19659,null,3262,null,2393,null,1106,null,125505,null,4919,null,97206,null,4846,null,80571,null,4580,null,10939,null,2105,null,5696,null,1290,null,28299,null,3609,null,26083,null,3421,null,2216,null,1292,null,0400000US10,Delaware,10
106701,null,1758,null,30383,null,4601,null,1626,null,1313,null,392,null,348,null,715,null,855,null,519,null,877,null,28757,null,4418,null,27591,null,4340,null,1166,null,644,null,20657,null,4254,null,6884,null,2501,null,2052,null,1234,null,4040,null,2071,null,792,null,739,null,13773,null,3593,null,11639,null,3362,null,2134,null,1193,null,55661,null,4439,null,33327,null,2956,null,22902,null,2624,null,5527,null,1840,null,4898,null,1725,null,22334,null,3717,null,19690,null,3393,null,2644,null,1207,null,0400000US11,District of Columbia,11
3853587,null,10368,null,794373,null,22778,null,247293,null,14894,null,114613,null,9540,null,103911,null,11044,null,28769,null,5403,null,547080,null,20680,null,415145,null,16676,null,131935,null,10183,null,949710,null,23796,null,516727,null,19560,null,278321,null,14579,null,179791,null,12570,null,58615,null,6119,null,432983,null,16712,null,315497,null,12751,null,117486,null,9690,null,2109504,null,24949,null,1637507,null,23609,null,1129220,null,21531,null,286225,null,14378,null,222062,null,10518,null,471997,null,15626,null,384542,null,14759,null,87455,null,7026,null,0400000US12,Florida,12
