B02001_001E,B02001_001EA,B02001_001M,B02001_001MA,B02001_002E,B02001_002EA,B02001_002M,B02001_002MA,B02001_003E,B02001_003EA,B02001_003M,B02001_003MA,B02001_004E,B02001_004EA,B02001_004M,B02001_004MA,B02001_005E,B02001_005EA,B02001_005M,B02001_005MA,B02001_006E,B02001_006EA,B02001_006M,B02001_006MA,B02001_007E,B02001_007EA,B02001_007M,B02001_007MA,B02001_008E,B02001_008EA,B02001_008M,B02001_008MA,B02001_009E,B02001_009EA,B02001_009M,B02001_009MA,B02001_010E,B02001_010EA,B02001_010M,B02001_010MA,GEO_ID,NAME,state
5987580,null,0,*****,5021359,null,6508,null,669157,null,6213,null,18777,null,2229,null,86834,null,2850,null,3809,null,931,null,60766,null,6365,null,126878,null,7738,null,9956,null,2059,null,116922,null,7342,null,0400000US29,Missouri,29
974989,null,0,*****,871719,null,1969,null,2944,null,1048,null,65711,null,2628,null,5250,null,1064,null,279,null,269,null,7350,null,1873,null,21736,null,2457,null,1638,null,769,null,20098,null,2292,null,0400000US30,Montana,30
1796622,null,0,*****,1583709,null,6127,null,76793,null,2808,null,16774,null,2724,null,29913,null,1785,null,955,null,845,null,50884,null,5280,null,37594,null,3291,null,6287,null,1540,null,31307,null,2839,null,0400000US31,Nebraska,31
2643085,null,0,*****,2013125,null,12227,null,202700,null,4022,null,31039,null,3106,null,174754,null,3442,null,13973,null,1074,null,119399,null,11427,null,88095,null,7261,null,16296,null,3269,null,71799,null,6529,null,0400000US32,Nevada,32
1324575,null,0,*****,1251946,null,2740,null,16641,null,1369,null,3222,null,1152,null,25036,null,1423,null,135,null,135,null,10706,null,2621,null,16889,null,2228,null,1443,null,657,null,15446,null,2084,null,0400000US33,New Hampshire,33
8707740,null,0,*****,6154878,null,20046,null,1188841,null,9583,null,22927,null,3207,null,677022,null,4571,null,1667,null,915,null,475348,null,20081,null,187057,null,11751,null,42161,null,5542,null,144896,null,9896,null,0400000US34,New Jersey,34
2009671,null,0,*****,1456668,null,14648,null,43413,null,3115,null,188420,null,5705,null,28263,null,1745,null,1307,null,641,null,230591,null,13391,null,61009,null,6380,null,21610,null,3877,null,39399,null,4718,null,0400000US35,New Mexico,35
19541453,null,0,*****,13162838,null,28090,null,3068887,null,16566,null,64231,null,5162,null,1373918,null,6821,null,6191,null,1513,null,1473739,null,27086,null,391649,null,15945,null,99567,null,7124,null,292082,null,13175,null,0400000US36,New York,36
9380884,null,0,*****,6609224,null,13647,null,1972003,null,11599,null,100271,null,3712,null,184275,null,3620,null,3076,null,1168,null,319170,null,13399,null,192865,null,11190,null,22440,null,3800,null,170425,null,10144,null,0400000US37,North Carolina,37
646844,null,0,*****,583263,null,1168,null,6962,null,817,null,37056,null,1815,null,5044,null,917,null,216,null,215,null,3924,null,1154,null,10379,null,1656,null,487,null,488,null,9892,null,1698,null,0400000US38,North Dakota,38
11542645,null,0,*****,9694632,null,8082,null,1363461,null,8833,null,19992,null,3158,null,179729,null,3694,null,2299,null,782,null,78010,null,7284,null,204522,null,9116,null,14292,null,2157,null,190230,null,8882,null,0400000US39,Ohio,39
3687050,null,0,*****,2778234,null,10183,null,268412,null,5648,null,223324,null,7217,null,59650,null,2790,null,3150,null,1426,null,90973,null,8981,null,263307,null,8630,null,11260,null,1763,null,252047,null,8486,null,0400000US40,Oklahoma,40
3825657,null,0,*****,3274965,null,13541,null,68196,null,4095,null,48611,null,6003,null,137749,null,3657,null,13705,null,1955,null,149204,null,13631,null,133227,null,7826,null,15770,null,2807,null,117457,null,7119,null,0400000US41,Oregon,41
12604767,null,0,*****,10525640,null,13378,null,1325314,null,9617,null,16761,null,1947,null,310990,null,4090,null,3020,null,1296,null,229560,null,11790,null,193482,null,9500,null,26904,null,3673,null,166578,null,8799,null,0400000US42,Pennsylvania,42
