C16006_001E,C16006_001EA,C16006_001M,C16006_001MA,C16006_002E,C16006_002EA,C16006_002M,C16006_002MA,C16006_003E,C16006_003EA,C16006_003M,C16006_003MA,C16006_004E,C16006_004EA,C16006_004M,C16006_004MA,C16006_005E,C16006_005EA,C16006_005M,C16006_005MA,C16006_006E,C16006_006EA,C16006_006M,C16006_006MA,GEO_ID,NAME,state
122069,null,2400,null,32267,null,3206,null,89224,null,3788,null,32438,null,3279,null,56786,null,3640,null,578,null,462,null,0400000US01,Alabama,01
38719,null,689,null,18600,null,2393,null,19073,null,2520,null,12350,null,1852,null,6723,null,2074,null,1046,null,499,null,0400000US02,Alaska,02
1789542,null,1063,null,558880,null,17406,null,1224927,null,17359,null,704381,null,14355,null,520546,null,15370,null,5735,null,1783,null,0400000US04,Arizona,04
147229,null,2198,null,34950,null,3285,null,112211,null,3662,null,50184,null,3645,null,62027,null,3766,null,68,null,114,null,0400000US05,Arkansas,05
12212282,null,896,null,2776597,null,40755,null,9403228,null,39917,null,4815735,null,36324,null,4587493,null,39270,null,32457,null,3362,null,0400000US06,California,06
897034,null,633,null,398441,null,13300,null,495386,null,13249,null,253597,null,8685,null,241789,null,11290,null,3207,null,1353,null,0400000US08,Colorado,08
389394,null,756,null,82904,null,5290,null,304861,null,5364,null,168222,null,6701,null,136639,null,6443,null,1629,null,551,null,0400000US09,Connecticut,09
54627,null,0,*****,18127,null,2604,null,36206,null,2609,null,16373,null,2296,null,19833,null,2545,null,294,null,305,null,0400000US10,Delaware,10
47174,null,0,*****,17731,null,2769,null,29235,null,2764,null,16016,null,2404,null,13219,null,2157,null,208,null,206,null,0400000US11,District of Columbia,11
3631432,null,2072,null,519525,null,18209,null,3096562,null,17854,null,1585605,null,22802,null,1510957,null,20658,null,15345,null,2809,null,0400000US12,Florida,12
695493,null,3007,null,120777,null,7797,null,572441,null,8012,null,242052,null,8832,null,330389,null,9426,null,2275,null,849,null,0400000US13,Georgia,13
100012,null,0,*****,76871,null,3143,null,16064,null,2403,null,11226,null,2069,null,4838,null,1176,null,7077,null,2257,null,0400000US15,Hawaii,15
143931,null,846,null,54145,null,4076,null,89092,null,4304,null,48137,null,3519,null,40955,null,3195,null,694,null,650,null,0400000US16,Idaho,16
