C17016_001E,C17016_001EA,C17016_001M,C17016_001MA,C17016_002E,C17016_002EA,C17016_002M,C17016_002MA,C17016_003E,C17016_003EA,C17016_003M,C17016_003MA,C17016_004E,C17016_004EA,C17016_004M,C17016_004MA,C17016_005E,C17016_005EA,C17016_005M,C17016_005MA,C17016_006E,C17016_006EA,C17016_006M,C17016_006MA,C17016_007E,C17016_007EA,C17016_007M,C17016_007MA,C17016_008E,C17016_008EA,C17016_008M,C17016_008MA,C17016_009E,C17016_009EA,C17016_009M,C17016_009MA,GEO_ID,NAME,state
1246056,null,11767,null,166703,null,5280,null,24061,null,2513,null,59658,null,3641,null,82984,null,4389,null,1079353,null,12047,null,602907,null,10050,null,188873,null,6878,null,287573,null,6749,null,0400000US01,Alabama,01
159940,null,3646,null,9850,null,1365,null,1018,null,586,null,5554,null,1018,null,3278,null,834,null,150090,null,3688,null,80213,null,3410,null,43738,null,2638,null,26139,null,1840,null,0400000US02,Alaska,02
1514235,null,13945,null,175498,null,7259,null,31845,null,3968,null,64066,null,4399,null,79587,null,4849,null,1338737,null,13081,null,724279,null,12543,null,266416,null,8944,null,348042,null,8269,null,0400000US04,Arizona,04
768492,null,8905,null,113410,null,4531,null,21796,null,2707,null,41093,null,3276,null,50521,null,3989,null,655082,null,7950,null,357302,null,7865,null,121930,null,5620,null,175850,null,5315,null,0400000US05,Arkansas,05
8366253,null,25708,null,887411,null,13879,null,160417,null,6911,null,333683,null,9252,null,393311,null,10703,null,7478842,null,27770,null,4151260,null,26176,null,1663237,null,18180,null,1664345,null,18503,null,0400000US06,California,06
1233139,null,11054,null,109626,null,5252,null,20058,null,3005,null,47183,null,3448,null,42385,null,3658,null,1123513,null,10157,null,660337,null,9632,null,249269,null,8091,null,213907,null,5895,null,0400000US08,Colorado,08
890530,null,9200,null,59484,null,4290,null,7557,null,1507,null,26382,null,2900,null,25545,null,2666,null,831046,null,9223,null,478397,null,8170,null,181072,null,6510,null,171577,null,5047,null,0400000US09,Connecticut,09
220655,null,4595,null,15627,null,2343,null,2575,null,1080,null,6363,null,1444,null,6689,null,1476,null,205028,null,4752,null,117231,null,4033,null,39505,null,2903,null,48292,null,3049,null,0400000US10,Delaware,10
109030,null,4490,null,15965,null,2196,null,1027,null,544,null,4772,null,1305,null,10166,null,1786,null,93065,null,4537,null,57625,null,3536,null,15128,null,2099,null,20312,null,1738,null,0400000US11,District of Columbia,11
4542466,null,26422,null,488257,null,11108,null,81583,null,4563,null,173054,null,8884,null,233620,null,7564,null,4054209,null,24841,null,2108273,null,19364,null,791146,null,14686,null,1154790,null,14023,null,0400000US12,Florida,12
2370143,null,18487,null,300948,null,7887,null,58419,null,4708,null,108543,null,6376,null,133986,null,4828,null,2069195,null,19185,null,1253074,null,15286,null,374716,null,9891,null,441405,null,10383,null,0400000US13,Georgia,13
310366,null,5604,null,23281,null,2354,null,3819,null,1046,null,8656,null,1634,null,10806,null,1628,null,287085,null,5680,null,163553,null,5087,null,52594,null,3928,null,70938,null,3012,null,0400000US15,Hawaii,15
397214,null,6069,null,39387,null,3021,null,7216,null,1354,null,19677,null,2214,null,12494,null,1843,null,357827,null,6663,null,194903,null,5605,null,81022,null,3938,null,81902,null,3279,null,0400000US16,Idaho,16
3120138,null,16955,null,309309,null,9787,null,56885,null,4645,null,115038,null,5605,null,137386,null,5332,null,2810829,null,16463,null,1624237,null,15054,null,586761,null,10981,null,599831,null,9512,null,0400000US17,Illinois,17
1657555,null,11425,null,177908,null,6746,null,31851,null,2760,null,74100,null,4286,null,71957,null,4144,null,1479647,null,12225,null,825533,null,11373,null,326567,null,7874,null,327547,null,7105,null,0400000US18,Indiana,18
798262,null,8113,null,61180,null,3975,null,13614,null,2047,null,25778,null,2695,null,21788,null,2586,null,737082,null,7320,null,450619,null,7420,null,143391,null,5202,null,143072,null,3529,null,0400000US19,Iowa,19
722181,null,7254,null,64861,null,3723,null,14000,null,1765,null,29844,null,2687,null,21017,null,2492,null,657320,null,7464,null,408586,null,6426,null,127403,null,4567,null,121331,null,3656,null,0400000US20,Kansas,20
1146621,null,11765,null,164977,null,6536,null,19405,null,2619,null,60375,null,4016,null,85197,null,5243,null,981644,null,10597,null,533917,null,9000,null,187711,null,5998,null,260016,null,5749,null,0400000US21,Kentucky,21
1128899,null,12816,null,149644,null,6791,null,29501,null,2895,null,50564,null,4173,null,69579,null,4756,null,979255,null,11421,null,571407,null,11218,null,167226,null,5664,null,240622,null,7469,null,0400000US22,Louisiana,22
347561,null,5549,null,28937,null,2543,null,2627,null,712,null,12934,null,1690,null,13376,null,1618,null,318624,null,5723,null,168266,null,4916,null,74868,null,3109,null,75490,null,3053,null,0400000US23,Maine,23
1391688,null,11881,null,85358,null,5051,null,13715,null,2128,null,30376,null,3307,null,41267,null,3353,null,1306330,null,11281,null,826054,null,10894,null,237683,null,8978,null,242593,null,6949,null,0400000US24,Maryland,24
1557057,null,14586,null,108611,null,5573,null,7784,null,1376,null,39861,null,3203,null,60966,null,4519,null,1448446,null,13792,null,821871,null,11908,null,330535,null,8918,null,296040,null,6935,null,0400000US25,Massachusetts,25
2523758,null,15653,null,292116,null,8264,null,40365,null,3419,null,121292,null,5583,null,130459,null,6285,null,2231642,null,15674,null,1135784,null,11404,null,511398,null,9435,null,584460,null,7943,null,0400000US26,Michigan,26
1349167,null,10514,null,94915,null,4456,null,14421,null,1794,null,41313,null,2635,null,39181,null,3073,null,1254252,null,10299,null,736145,null,9832,null,285423,null,6760,null,232684,null,4737,null,0400000US27,Minnesota,27
