B25115_001E,B25115_001EA,B25115_001M,B25115_001MA,B25115_002E,B25115_002EA,B25115_002M,B25115_002MA,B25115_003E,B25115_003EA,B25115_003M,B25115_003MA,B25115_004E,B25115_004EA,B25115_004M,B25115_004MA,B25115_005E,B25115_005EA,B25115_005M,B25115_005MA,B25115_006E,B25115_006EA,B25115_006M,B25115_006MA,B25115_007E,B25115_007EA,B25115_007M,B25115_007MA,B25115_008E,B25115_008EA,B25115_008M,B25115_008MA,B25115_009E,B25115_009EA,B25115_009M,B25115_009MA,B25115_010E,B25115_010EA,B25115_010M,B25115_010MA,B25115_011E,B25115_011EA,B25115_011M,B25115_011MA,B25115_012E,B25115_012EA,B25115_012M,B25115_012MA,B25115_013E,B25115_013EA,B25115_013M,B25115_013MA,B25115_014E,B25115_014EA,B25115_014M,B25115_014MA,B25115_015E,B25115_015EA,B25115_015M,B25115_015MA,B25115_016E,B25115_016EA,B25115_016M,B25115_016MA,B25115_017E,B25115_017EA,B25115_017M,B25115_017MA,B25115_018E,B25115_018EA,B25115_018M,B25115_018MA,B25115_019E,B25115_019EA,B25115_019M,B25115_019MA,B25115_020E,B25115_020EA,B25115_020M,B25115_020MA,B25115_021E,B25115_021EA,B25115_021M,B25115_021MA,B25115_022E,B25115_022EA,B25115_022M,B25115_022MA,B25115_023E,B25115_023EA,B25115_023M,B25115_023MA,B25115_024E,B25115_024EA,B25115_024M,B25115_024MA,B25115_025E,B25115_025EA,B25115_025M,B25115_025MA,B25115_026E,B25115_026EA,B25115_026M,B25115_026MA,B25115_027E,B25115_027EA,B25115_027M,B25115_027MA,GEO_ID,NAME,state
1848051,null,10312,null,1285879,null,10656,null,949655,null,11394,null,755603,null,10881,null,268472,null,6924,null,487131,null,8375,null,194052,null,6484,null,48724,null,3734,null,21000,null,2574,null,27724,null,2682,null,145328,null,5923,null,58155,null,3997,null,87173,null,4161,null,336224,null,7479,null,562172,null,10797,null,296401,null,7851,null,128930,null,5772,null,70507,null,4518,null,58423,null,3620,null,167471,null,6791,null,28309,null,3235,null,13609,null,2514,null,14700,null,2175,null,139162,null,6126,null,100990,null,5936,null,38172,null,2761,null,265771,null,8063,null,0400000US01,Alabama,01
236597,null,2353,null,154337,null,3768,null,115307,null,3308,null,92817,null,3177,null,39569,null,2612,null,53248,null,2595,null,22490,null,2359,null,8209,null,1554,null,3853,null,894,null,4356,null,1278,null,14281,null,1614,null,7467,null,1339,null,6814,null,900,null,39030,null,2584,null,82260,null,3476,null,44633,null,2843,null,26326,null,2276,null,15591,null,1686,null,10735,null,1701,null,18307,null,1984,null,5571,null,1085,null,3269,null,836,null,2302,null,771,null,12736,null,1723,null,10224,null,1457,null,2512,null,753,null,37627,null,2607,null,0400000US02,Alaska,02
2276865,null,11778,null,1526790,null,12373,null,1099323,null,11139,null,900748,null,10320,null,330684,null,7853,null,570064,null,8458,null,198575,null,7097,null,62907,null,4030,null,30140,null,3036,null,32767,null,2950,null,135668,null,5765,null,62650,null,4392,null,73018,null,4442,null,427467,null,9110,null,750075,null,11978,null,414912,null,10095,null,225077,null,8591,null,128827,null,6741,null,96250,null,5488,null,189835,null,7602,null,53883,null,4685,null,33773,null,3896,null,20110,null,3062,null,135952,null,6477,null,100142,null,5504,null,35810,null,3222,null,335163,null,9101,null,0400000US04,Arizona,04
1124947,null,8066,null,742860,null,10442,null,556372,null,8526,null,458627,null,8195,null,160915,null,5201,null,297712,null,6292,null,97745,null,4454,null,27828,null,3063,null,11236,null,2035,null,16592,null,2013,null,69917,null,3525,null,31032,null,3065,null,38885,null,2553,null,186488,null,6488,null,382087,null,9861,null,212120,null,7784,null,107770,null,5603,null,56594,null,3625,null,51176,null,4072,null,104350,null,5758,null,21674,null,2881,null,11248,null,2042,null,10426,null,1711,null,82676,null,4853,null,65754,null,4431,null,16922,null,2045,null,169967,null,7318,null,0400000US05,Arkansas,05
12214891,null,20992,null,6910054,null,26866,null,5239473,null,23542,null,4263281,null,22197,null,1820094,null,17829,null,2443187,null,16918,null,976192,null,15181,null,331284,null,9533,null,126528,null,5619,null,204756,null,8097,null,644908,null,11288,null,230338,null,6777,null,414570,null,9309,null,1670581,null,17420,null,5304837,null,27827,null,3126780,null,26764,null,1777929,null,21649,null,1054907,null,16404,null,723022,null,12809,null,1348851,null,22238,null,400285,null,12685,null,214698,null,9170,null,185587,null,8228,null,948566,null,16553,null,633150,null,13780,null,315416,null,9489,null,2178057,null,20576,null,0400000US06,California,06
1910146,null,9468,null,1279955,null,10174,null,935769,null,9150,null,800745,null,8984,null,325462,null,7803,null,475283,null,6429,null,135024,null,4784,null,42013,null,3705,null,20421,null,2528,null,21592,null,2608,null,93011,null,4323,null,45110,null,3151,null,47901,null,2937,null,344186,null,7478,null,630191,null,8889,null,297370,null,8752,null,169023,null,7369,null,95114,null,5102,null,73909,null,4777,null,128347,null,5527,null,34091,null,3285,null,18018,null,2761,null,16073,null,2327,null,94256,null,5056,null,71964,null,4845,null,22292,null,2387,null,332821,null,7899,null,0400000US08,Colorado,08
1326329,null,5869,null,913166,null,7185,null,682283,null,8079,null,573770,null,8342,null,244021,null,5690,null,329749,null,7211,null,108513,null,5095,null,30828,null,2495,null,11440,null,1665,null,19388,null,1750,null,77685,null,3985,null,35380,null,2921,null,42305,null,2763,null,230883,null,6378,null,413163,null,7387,null,208247,null,6590,null,94178,null,4737,null,48731,null,3571,null,45447,null,3583,null,114069,null,5089,null,24637,null,2653,null,13084,null,2044,null,11553,null,2019,null,89432,null,4674,null,62303,null,3893,null,27129,null,2605,null,204916,null,6460,null,0400000US09,Connecticut,09
327252,null,4316,null,240908,null,4399,null,173070,null,4039,null,138788,null,3866,null,51080,null,3092,null,87708,null,3059,null,34282,null,2971,null,9972,null,1738,null,4092,null,1053,null,5880,null,1245,null,24310,null,2289,null,12131,null,1852,null,12179,null,1533,null,67838,null,4014,null,86344,null,3763,null,47585,null,2896,null,21074,null,2197,null,10332,null,1866,null,10742,null,1297,null,26511,null,2412,null,5283,null,1319,null,3047,null,971,null,2236,null,841,null,21228,null,2203,null,14499,null,1844,null,6729,null,1328,null,38759,null,3329,null,0400000US10,Delaware,10
249280,null,3172,null,111618,null,3411,null,58739,null,3066,null,39768,null,2489,null,12032,null,1493,null,27736,null,1961,null,18971,null,1993,null,3082,null,768,null,1148,null,543,null,1934,null,678,null,15889,null,1882,null,4186,null,1048,null,11703,null,1599,null,52879,null,2992,null,137662,null,3905,null,50291,null,3095,null,16927,null,2054,null,6370,null,1306,null,10557,null,1652,null,33364,null,2711,null,5711,null,1404,null,2886,null,1068,null,2825,null,886,null,27653,null,2430,null,17502,null,2179,null,10151,null,1645,null,87371,null,3650,null,0400000US11,District of Columbia,11
6987647,null,25717,null,4785064,null,27252,null,3346375,null,22820,null,2717850,null,20613,null,869573,null,12353,null,1848277,null,14561,null,628525,null,12154,null,173476,null,6825,null,71640,null,5341,null,101836,null,4610,null,455049,null,10934,null,182586,null,6736,null,272463,null,9188,null,1438689,null,17530,null,2202583,null,21786,null,1196091,null,17855,null,617549,null,12926,null,314047,null,9628,null,303502,null,9256,null,578542,null,14716,null,136283,null,7358,null,75939,null,5935,null,60344,null,4438,null,442259,null,12789,null,316770,null,9448,null,125489,null,7400,null,1006492,null,15998,null,0400000US12,Florida,12
