B07003_001E,B07003_001EA,B07003_001M,B07003_001MA,B07003_002E,B07003_002EA,B07003_002M,B07003_002MA,B07003_003E,B07003_003EA,B07003_003M,B07003_003MA,B07003_004E,B07003_004EA,B07003_004M,B07003_004MA,B07003_005E,B07003_005EA,B07003_005M,B07003_005MA,B07003_006E,B07003_006EA,B07003_006M,B07003_006MA,B07003_007E,B07003_007EA,B07003_007M,B07003_007MA,B07003_008E,B07003_008EA,B07003_008M,B07003_008MA,B07003_009E,B07003_009EA,B07003_009M,B07003_009MA,B07003_010E,B07003_010EA,B07003_010M,B07003_010MA,B07003_011E,B07003_011EA,B07003_011M,B07003_011MA,B07003_012E,B07003_012EA,B07003_012M,B07003_012MA,B07003_013E,B07003_013EA,B07003_013M,B07003_013MA,B07003_014E,B07003_014EA,B07003_014M,B07003_014MA,B07003_015E,B07003_015EA,B07003_015M,B07003_015MA,B07003_016E,B07003_016EA,B07003_016M,B07003_016MA,B07003_017E,B07003_017EA,B07003_017M,B07003_017MA,B07003_018E,B07003_018EA,B07003_018M,B07003_018MA,GEO_ID,NAME,state
4654316,null,3501,null,2253789,null,5131,null,2400527,null,5053,null,3934818,null,21051,null,1891956,null,11732,null,2042862,null,12337,null,432958,null,14750,null,207615,null,9131,null,225343,null,9042,null,146857,null,10027,null,78144,null,6137,null,68713,null,5567,null,124075,null,10591,null,68499,null,6164,null,55576,null,5572,null,15608,null,3146,null,7575,null,1872,null,8033,null,1728,null,0400000US01,Alabama,01
686081,null,1526,null,353984,null,2065,null,332097,null,1659,null,533134,null,8989,null,271671,null,5531,null,261463,null,5302,null,87814,null,7290,null,46415,null,4670,null,41399,null,3982,null,19237,null,2898,null,10539,null,2001,null,8698,null,1608,null,40426,null,5529,null,22232,null,3599,null,18194,null,2740,null,5470,null,1993,null,3127,null,1169,null,2343,null,979,null,0400000US02,Alaska,02
6493751,null,5075,null,3254721,null,4363,null,3239030,null,4723,null,5165489,null,33273,null,2568742,null,19420,null,2596747,null,17386,null,940741,null,33318,null,473173,null,18945,null,467568,null,16915,null,115163,null,9775,null,68420,null,6007,null,46743,null,5212,null,225990,null,11927,null,118406,null,7249,null,107584,null,6705,null,46368,null,6415,null,25980,null,3955,null,20388,null,3487,null,0400000US04,Arizona,04
2853270,null,2585,null,1396669,null,3956,null,1456601,null,3739,null,2343627,null,19788,null,1142953,null,11978,null,1200674,null,11132,null,313172,null,18488,null,150835,null,9496,null,162337,null,10862,null,103573,null,8052,null,52646,null,4515,null,50927,null,5056,null,85553,null,7118,null,46355,null,4939,null,39198,null,4213,null,7345,null,1864,null,3880,null,1266,null,3465,null,981,null,0400000US05,Arkansas,05
36453973,null,11582,null,18251639,null,9474,null,18202334,null,8470,null,30501944,null,68591,null,15211544,null,39130,null,15290400,null,39878,null,4132831,null,56167,null,2082454,null,32216,null,2050377,null,32155,null,1105609,null,29577,null,585935,null,17452,null,519674,null,16240,null,458682,null,18008,null,241573,null,10066,null,217109,null,10910,null,254907,null,13197,null,130133,null,8580,null,124774,null,7352,null,0400000US06,California,06
4953832,null,3863,null,2493339,null,4016,null,2460493,null,3753,null,4021843,null,24365,null,2004260,null,14374,null,2017583,null,13671,null,490568,null,19036,null,251670,null,11347,null,238898,null,10556,null,230482,null,13080,null,122837,null,7867,null,107645,null,7331,null,182641,null,11246,null,97358,null,6711,null,85283,null,6056,null,28298,null,3473,null,17214,null,2709,null,11084,null,1875,null,0400000US08,Colorado,08
3480423,null,2842,null,1696790,null,2730,null,1783633,null,2323,null,3071985,null,13624,null,1495877,null,8541,null,1576108,null,7872,null,246946,null,11384,null,117347,null,6822,null,129599,null,6451,null,61286,null,5594,null,33420,null,3030,null,27866,null,3565,null,76341,null,6628,null,39210,null,3776,null,37131,null,3759,null,23865,null,3947,null,10936,null,2153,null,12929,null,2515,null,0400000US09,Connecticut,09
873485,null,1668,null,422913,null,1870,null,450572,null,1698,null,745654,null,9352,null,358333,null,5764,null,387321,null,5254,null,80610,null,8039,null,41285,null,4284,null,39325,null,4773,null,7299,null,1712,null,3951,null,1015,null,3348,null,1030,null,34879,null,5365,null,16061,null,3441,null,18818,null,2606,null,5043,null,2312,null,3283,null,1955,null,1760,null,915,null,0400000US10,Delaware,10
592109,null,1486,null,277879,null,1283,null,314230,null,1353,null,498478,null,7400,null,231641,null,4612,null,266837,null,4205,null,47156,null,5403,null,22318,null,3279,null,24838,null,3131,null,0,null,296,null,0,null,296,null,0,null,296,null,38760,null,3993,null,20123,null,2561,null,18637,null,2436,null,7715,null,2208,null,3797,null,1191,null,3918,null,1415,null,0400000US11,District of Columbia,11
18312099,null,7971,null,8998907,null,7654,null,9313192,null,8228,null,15272123,null,47750,null,7447572,null,28881,null,7824551,null,27584,null,1874708,null,38262,null,926718,null,21498,null,947990,null,20943,null,579372,null,23433,null,317016,null,14471,null,262356,null,13391,null,461088,null,19041,null,243729,null,11783,null,217359,null,10584,null,124808,null,9910,null,63872,null,6824,null,60936,null,4796,null,0400000US12,Florida,12
9685573,null,6316,null,4755476,null,9624,null,4930097,null,8526,null,8040786,null,37991,null,3934701,null,20723,null,4106085,null,23721,null,849418,null,32852,null,409689,null,16721,null,439729,null,19597,null,470744,null,21818,null,241401,null,13009,null,229343,null,11722,null,277990,null,12679,null,141435,null,7624,null,136555,null,7732,null,46635,null,6374,null,28250,null,4203,null,18385,null,3559,null,0400000US13,Georgia,13
