B20017H_001E,B20017H_001EA,B20017H_001M,B20017H_001MA,B20017H_002E,B20017H_002EA,B20017H_002M,B20017H_002MA,B20017H_003E,B20017H_003EA,B20017H_003M,B20017H_003MA,B20017H_004E,B20017H_004EA,B20017H_004M,B20017H_004MA,B20017H_005E,B20017H_005EA,B20017H_005M,B20017H_005MA,B20017H_006E,B20017H_006EA,B20017H_006M,B20017H_006MA,B20017H_007E,B20017H_007EA,B20017H_007M,B20017H_007MA,GEO_ID,NAME,state
28719,null,389,null,35160,null,748,null,46452,null,971,null,10568,null,599,null,22034,null,479,null,33670,null,651,null,7965,null,399,null,0400000US01,Alabama,01
37040,null,1164,null,44450,null,1566,null,57194,null,1948,null,19272,null,1705,null,28489,null,1717,null,41621,null,1532,null,12445,null,1279,null,0400000US02,Alaska,02
32236,null,350,null,38322,null,537,null,49757,null,479,null,12287,null,506,null,27363,null,574,null,38523,null,475,null,10815,null,321,null,0400000US04,Arizona,04
25911,null,474,null,30465,null,488,null,38811,null,725,null,10332,null,621,null,21153,null,548,null,29740,null,553,null,8578,null,400,null,0400000US05,Arkansas,05
39126,null,241,null,48015,null,291,null,64792,null,702,null,15053,null,393,null,31558,null,374,null,49270,null,347,null,12566,null,276,null,0400000US06,California,06
32454,null,454,null,39633,null,608,null,52146,null,736,null,12009,null,488,null,26891,null,551,null,40427,null,583,null,10356,null,342,null,0400000US08,Colorado,08
39642,null,555,null,49607,null,628,null,64328,null,1041,null,12233,null,535,null,31174,null,687,null,47823,null,835,null,12269,null,407,null,0400000US09,Connecticut,09
33712,null,1399,null,40702,null,1202,null,50759,null,1259,null,11984,null,892,null,27559,null,1141,null,40346,null,1590,null,9775,null,714,null,0400000US10,Delaware,10
64610,null,2223,null,74593,null,4492,null,95467,null,7446,null,20003,null,2629,null,59308,null,3449,null,72285,null,4583,null,18571,null,2935,null,0400000US11,District of Columbia,11
29327,null,223,null,34075,null,417,null,45817,null,683,null,11646,null,240,null,25062,null,320,null,36210,null,416,null,10359,null,198,null,0400000US12,Florida,12
31799,null,314,null,39041,null,447,null,50400,null,487,null,11320,null,451,null,25759,null,442,null,37857,null,465,null,9379,null,262,null,0400000US13,Georgia,13
36036,null,1419,null,40590,null,2163,null,51119,null,1958,null,14319,null,2588,null,28903,null,1362,null,41049,null,2580,null,13159,null,2077,null,0400000US15,Hawaii,15
23585,null,461,null,30081,null,719,null,42197,null,890,null,10651,null,684,null,18593,null,497,null,30144,null,813,null,7673,null,460,null,0400000US16,Idaho,16
32971,null,296,null,41330,null,372,null,55380,null,880,null,11687,null,286,null,25631,null,323,null,39916,null,303,null,9896,null,177,null,0400000US17,Illinois,17
27887,null,250,null,34722,null,417,null,45351,null,532,null,10876,null,342,null,21587,null,281,null,32474,null,379,null,8912,null,237,null,0400000US18,Indiana,18
27510,null,322,null,34052,null,553,null,43716,null,653,null,8639,null,374,null,21763,null,372,null,32088,null,439,null,8768,null,280,null,0400000US19,Iowa,19
28572,null,403,null,35085,null,694,null,45004,null,861,null,8889,null,459,null,22400,null,515,null,33864,null,792,null,8373,null,246,null,0400000US20,Kansas,20
