B17020I_001E,B17020I_001EA,B17020I_001M,B17020I_001MA,B17020I_002E,B17020I_002EA,B17020I_002M,B17020I_002MA,B17020I_003E,B17020I_003EA,B17020I_003M,B17020I_003MA,B17020I_004E,B17020I_004EA,B17020I_004M,B17020I_004MA,B17020I_005E,B17020I_005EA,B17020I_005M,B17020I_005MA,B17020I_006E,B17020I_006EA,B17020I_006M,B17020I_006MA,B17020I_007E,B17020I_007EA,B17020I_007M,B17020I_007MA,B17020I_008E,B17020I_008EA,B17020I_008M,B17020I_008MA,B17020I_009E,B17020I_009EA,B17020I_009M,B17020I_009MA,B17020I_010E,B17020I_010EA,B17020I_010M,B17020I_010MA,B17020I_011E,B17020I_011EA,B17020I_011M,B17020I_011MA,B17020I_012E,B17020I_012EA,B17020I_012M,B17020I_012MA,B17020I_013E,B17020I_013EA,B17020I_013M,B17020I_013MA,B17020I_014E,B17020I_014EA,B17020I_014M,B17020I_014MA,B17020I_015E,B17020I_015EA,B17020I_015M,B17020I_015MA,B17020I_016E,B17020I_016EA,B17020I_016M,B17020I_016MA,B17020I_017E,B17020I_017EA,B17020I_017M,B17020I_017MA,GEO_ID,NAME,state
144782,null,2065,null,48312,null,6141,null,12129,null,2420,null,1705,null,669,null,9602,null,1888,null,3389,null,935,null,20914,null,2854,null,214,null,233,null,359,null,393,null,96470,null,5765,null,13721,null,1987,null,2176,null,827,null,11791,null,1603,null,6945,null,1316,null,57570,null,3073,null,1950,null,741,null,2317,null,865,null,0400000US01,Alabama,01
42131,null,517,null,5868,null,1740,null,1039,null,543,null,337,null,289,null,1071,null,416,null,703,null,426,null,2706,null,1129,null,12,null,26,null,0,null,244,null,36263,null,1812,null,3501,null,841,null,445,null,294,null,3707,null,938,null,4342,null,842,null,23017,null,1260,null,808,null,496,null,443,null,263,null,0400000US02,Alaska,02
1989725,null,3513,null,522141,null,26240,null,89686,null,6636,null,15472,null,2680,null,77723,null,6660,null,64745,null,6421,null,257690,null,13058,null,10122,null,1635,null,6703,null,1523,null,1467584,null,27142,null,149240,null,6822,null,28797,null,3503,null,162634,null,7645,null,154218,null,6903,null,894369,null,13101,null,46242,null,1934,null,32084,null,1746,null,0400000US04,Arizona,04
168813,null,2143,null,60335,null,7246,null,11881,null,1999,null,1537,null,788,null,10069,null,1896,null,7272,null,1650,null,28471,null,3786,null,550,null,366,null,555,null,386,null,108478,null,7249,null,13077,null,2172,null,3214,null,912,null,13878,null,2023,null,10329,null,1740,null,64789,null,3832,null,2392,null,841,null,799,null,375,null,0400000US05,Arkansas,05
13428180,null,9176,null,2772597,null,49163,null,429963,null,12400,null,69997,null,4433,null,404841,null,13176,null,376946,null,12139,null,1391926,null,26296,null,52756,null,4398,null,46168,null,3748,null,10655583,null,50593,null,1008891,null,12131,null,179037,null,6426,null,1057212,null,14914,null,1126738,null,13560,null,6666603,null,27005,null,358520,null,4583,null,258582,null,3892,null,0400000US06,California,06
993297,null,2363,null,261976,null,16458,null,46997,null,4161,null,7721,null,1558,null,40046,null,4147,null,27882,null,3453,null,131213,null,10017,null,4595,null,1089,null,3522,null,799,null,731321,null,16474,null,72043,null,4218,null,12289,null,1840,null,79995,null,4632,null,73596,null,4934,null,450400,null,10229,null,26762,null,1531,null,16236,null,1419,null,0400000US08,Colorado,08
420466,null,1560,null,109432,null,8553,null,16568,null,1868,null,2172,null,1018,null,12848,null,2025,null,13141,null,2389,null,59033,null,4993,null,3825,null,820,null,1845,null,621,null,311034,null,8713,null,27658,null,2055,null,5144,null,1280,null,33090,null,2660,null,31608,null,2477,null,198634,null,5223,null,9235,null,866,null,5665,null,616,null,0400000US09,Connecticut,09
62043,null,506,null,14439,null,2924,null,2264,null,846,null,248,null,204,null,2440,null,911,null,1548,null,636,null,7614,null,1812,null,245,null,261,null,80,null,131,null,47604,null,2824,null,6690,null,861,null,1162,null,680,null,5415,null,932,null,4450,null,715,null,28122,null,1918,null,839,null,353,null,926,null,670,null,0400000US10,Delaware,10
52063,null,433,null,5566,null,1995,null,945,null,858,null,230,null,293,null,367,null,387,null,254,null,289,null,3486,null,1108,null,284,null,271,null,0,null,296,null,46497,null,2023,null,4822,null,853,null,211,null,243,null,4471,null,599,null,2494,null,559,null,31770,null,1328,null,1725,null,729,null,1004,null,500,null,0400000US11,District of Columbia,11
3928703,null,4652,null,757099,null,22356,null,99098,null,6452,null,13424,null,2243,null,82870,null,6511,null,70848,null,5112,null,404962,null,13127,null,43354,null,3617,null,42543,null,3576,null,3171604,null,22407,null,252386,null,6593,null,36271,null,3312,null,247320,null,7524,null,250932,null,7742,null,2059058,null,12581,null,177030,null,4115,null,148607,null,4396,null,0400000US12,Florida,12
793518,null,4279,null,272110,null,15145,null,50690,null,4513,null,8360,null,1602,null,44962,null,4274,null,27245,null,3652,null,137169,null,7872,null,2223,null,944,null,1461,null,786,null,521408,null,15286,null,66052,null,4392,null,11049,null,1853,null,55873,null,4225,null,48505,null,3928,null,325197,null,8401,null,9828,null,1716,null,4904,null,1414,null,0400000US13,Georgia,13
112086,null,922,null,16383,null,2909,null,3356,null,931,null,373,null,305,null,3442,null,1181,null,844,null,494,null,7641,null,1557,null,388,null,272,null,339,null,299,null,95703,null,2825,null,12473,null,933,null,1840,null,637,null,10516,null,1343,null,9505,null,1212,null,56756,null,1706,null,2781,null,653,null,1832,null,524,null,0400000US15,Hawaii,15
161603,null,627,null,46940,null,6120,null,8249,null,1464,null,1191,null,512,null,7525,null,1664,null,7229,null,1758,null,21984,null,3194,null,461,null,251,null,301,null,229,null,114663,null,6067,null,13057,null,1716,null,2335,null,645,null,15202,null,1854,null,13775,null,1862,null,66728,null,3488,null,2693,null,744,null,873,null,528,null,0400000US16,Idaho,16
1941134,null,3729,null,383255,null,18762,null,59929,null,4810,null,10882,null,1672,null,60731,null,5227,null,47855,null,4375,null,190487,null,9542,null,8126,null,1468,null,5245,null,1341,null,1557879,null,18657,null,161384,null,4351,null,24940,null,2405,null,173859,null,5840,null,155812,null,5904,null,970862,null,9705,null,44933,null,1797,null,26089,null,2032,null,0400000US17,Illinois,17
341049,null,2127,null,99726,null,9285,null,19427,null,2653,null,4273,null,1260,null,14854,null,2297,null,10287,null,1758,null,49194,null,4835,null,1016,null,397,null,675,null,432,null,241323,null,9131,null,27370,null,2456,null,4574,null,1039,null,28384,null,2677,null,24036,null,2334,null,146732,null,4864,null,5580,null,727,null,4647,null,785,null,0400000US18,Indiana,18
127529,null,1747,null,31240,null,4154,null,6183,null,1330,null,1617,null,642,null,4705,null,1217,null,3790,null,1212,null,14531,null,2306,null,41,null,67,null,373,null,526,null,96289,null,4394,null,10293,null,1430,null,2077,null,593,null,13078,null,1642,null,9880,null,1614,null,57028,null,2372,null,2130,null,764,null,1803,null,691,null,0400000US19,Iowa,19
256490,null,1327,null,66345,null,7342,null,13135,null,2095,null,1793,null,637,null,10360,null,1742,null,6355,null,1242,null,32245,null,4201,null,1295,null,549,null,1162,null,554,null,190145,null,7384,null,20578,null,1987,null,4213,null,937,null,24442,null,2066,null,19325,null,2060,null,113586,null,4345,null,5030,null,1226,null,2971,null,950,null,0400000US20,Kansas,20
109384,null,2884,null,34839,null,5176,null,9194,null,1990,null,1180,null,442,null,5328,null,1546,null,1918,null,743,null,16521,null,3087,null,361,null,288,null,337,null,265,null,74545,null,4361,null,9881,null,1629,null,912,null,503,null,10505,null,1836,null,6665,null,1140,null,44465,null,2877,null,1124,null,476,null,993,null,374,null,0400000US21,Kentucky,21
156147,null,2277,null,28535,null,4148,null,3515,null,1019,null,826,null,328,null,3675,null,1100,null,1988,null,774,null,17451,null,2599,null,498,null,395,null,582,null,356,null,127612,null,4361,null,13106,null,1478,null,1752,null,838,null,11629,null,1472,null,11927,null,1651,null,78457,null,2854,null,6425,null,924,null,4316,null,886,null,0400000US22,Louisiana,22
16340,null,524,null,3909,null,1478,null,883,null,486,null,60,null,45,null,556,null,402,null,442,null,367,null,1828,null,853,null,72,null,138,null,68,null,107,null,12431,null,1530,null,972,null,516,null,467,null,337,null,1460,null,608,null,1072,null,602,null,7865,null,994,null,423,null,271,null,172,null,148,null,0400000US23,Maine,23
403875,null,2407,null,53134,null,7679,null,8981,null,2201,null,753,null,579,null,5811,null,1589,null,4431,null,1217,null,31245,null,4755,null,470,null,283,null,1443,null,601,null,350741,null,8306,null,43863,null,2507,null,5925,null,1117,null,35642,null,2190,null,31456,null,2166,null,219418,null,4643,null,9118,null,790,null,5319,null,807,null,0400000US24,Maryland,24
564073,null,2038,null,163142,null,8950,null,22556,null,2327,null,3713,null,1013,null,26736,null,2801,null,19188,null,2597,null,84081,null,5333,null,3815,null,914,null,3053,null,758,null,400931,null,9116,null,36928,null,2369,null,6785,null,1316,null,37813,null,2843,null,38216,null,2616,null,263321,null,5466,null,11407,null,1013,null,6461,null,1029,null,0400000US25,Massachusetts,25
411191,null,2042,null,118563,null,8182,null,20969,null,2340,null,3265,null,903,null,18527,null,2481,null,12167,null,1805,null,61374,null,4507,null,1567,null,765,null,694,null,351,null,292628,null,8789,null,26295,null,2627,null,5635,null,1060,null,32667,null,2683,null,32438,null,2281,null,178489,null,4730,null,10343,null,1106,null,6761,null,878,null,0400000US26,Michigan,26
219292,null,1244,null,57634,null,6026,null,11303,null,1787,null,1944,null,677,null,9927,null,1588,null,5974,null,1275,null,27533,null,3047,null,637,null,486,null,316,null,169,null,161658,null,5773,null,20491,null,1705,null,3124,null,761,null,20647,null,2000,null,16568,null,1343,null,96766,null,3362,null,2604,null,792,null,1458,null,591,null,0400000US27,Minnesota,27
65111,null,3096,null,18765,null,4029,null,3418,null,1063,null,509,null,342,null,2380,null,941,null,1672,null,651,null,10371,null,2362,null,333,null,370,null,82,null,156,null,46346,null,3785,null,5501,null,1430,null,748,null,452,null,4859,null,1389,null,4089,null,1501,null,29143,null,2486,null,1535,null,687,null,471,null,380,null,0400000US28,Mississippi,28
196516,null,1673,null,54263,null,5836,null,11549,null,1856,null,1477,null,614,null,8486,null,1870,null,5182,null,1284,null,26527,null,3023,null,673,null,415,null,369,null,263,null,142253,null,5817,null,16975,null,2100,null,3103,null,800,null,16057,null,1748,null,14752,null,1571,null,82920,null,3041,null,5702,null,937,null,2744,null,767,null,0400000US29,Missouri,29
26416,null,920,null,9827,null,2127,null,2664,null,1084,null,393,null,341,null,1521,null,682,null,806,null,450,null,4292,null,1109,null,24,null,36,null,127,null,153,null,16589,null,2135,null,750,null,403,null,238,null,228,null,1277,null,497,null,1992,null,846,null,11212,null,1396,null,475,null,258,null,645,null,336,null,0400000US30,Montana,30
145536,null,1226,null,33623,null,4584,null,7194,null,1606,null,901,null,440,null,5912,null,1185,null,3368,null,1070,null,15762,null,2505,null,243,null,238,null,243,null,217,null,111913,null,5037,null,15505,null,1868,null,2596,null,724,null,14242,null,1568,null,10122,null,1387,null,64592,null,2924,null,3442,null,1087,null,1414,null,660,null,0400000US31,Nebraska,31
690660,null,2181,null,132892,null,11285,null,23392,null,3556,null,3318,null,1097,null,21301,null,3351,null,16339,null,2596,null,64696,null,5179,null,1981,null,963,null,1865,null,993,null,557768,null,11786,null,58680,null,3943,null,10385,null,1867,null,66068,null,3967,null,60080,null,3742,null,337502,null,5343,null,14520,null,1141,null,10533,null,1177,null,0400000US32,Nevada,32
34626,null,685,null,7303,null,1871,null,1176,null,505,null,119,null,208,null,1247,null,597,null,807,null,437,null,3875,null,1188,null,79,null,133,null,0,null,255,null,27323,null,2038,null,2447,null,596,null,511,null,334,null,3048,null,811,null,3116,null,567,null,17025,null,1427,null,628,null,355,null,548,null,332,null,0400000US33,New Hampshire,33
1429466,null,2126,null,261864,null,15868,null,41214,null,4486,null,6569,null,1487,null,32831,null,3589,null,30149,null,3579,null,132931,null,9203,null,10234,null,1614,null,7936,null,1616,null,1167602,null,15803,null,101471,null,4413,null,19787,null,2097,null,104526,null,4577,null,98997,null,4231,null,768973,null,9724,null,46262,null,1924,null,27586,null,1783,null,0400000US34,New Jersey,34
897081,null,2527,null,204265,null,13574,null,27444,null,3323,null,4897,null,1291,null,29171,null,3333,null,22220,null,3210,null,105639,null,7489,null,8375,null,1378,null,6519,null,1230,null,692816,null,13478,null,57200,null,3369,null,9966,null,1659,null,63717,null,3507,null,63464,null,3668,null,433025,null,7274,null,36453,null,1747,null,28991,null,1768,null,0400000US35,New Mexico,35
3200536,null,4575,null,807932,null,28264,null,99714,null,5280,null,18483,null,2087,null,94093,null,6746,null,100978,null,6030,null,434337,null,17208,null,33841,null,2496,null,26486,null,2504,null,2392604,null,28169,null,197195,null,5637,null,34682,null,2953,null,197115,null,6846,null,199375,null,6112,null,1584585,null,17529,null,110353,null,2678,null,69299,null,2747,null,0400000US36,New York,36
694473,null,3518,null,244254,null,14297,null,50667,null,5042,null,6619,null,1547,null,37603,null,4218,null,24613,null,2857,null,121925,null,7271,null,1966,null,784,null,861,null,540,null,450219,null,13967,null,56858,null,4518,null,9406,null,1644,null,52618,null,4396,null,44286,null,3621,null,274248,null,7396,null,8752,null,1731,null,4051,null,1083,null,0400000US37,North Carolina,37
12251,null,609,null,1564,null,598,null,116,null,168,null,59,null,84,null,1,null,3,null,59,null,121,null,1329,null,503,null,0,null,208,null,0,null,208,null,10687,null,629,null,832,null,276,null,776,null,410,null,1210,null,428,null,296,null,162,null,6829,null,690,null,271,null,195,null,473,null,365,null,0400000US38,North Dakota,38
313206,null,2268,null,94871,null,6026,null,18650,null,2287,null,2012,null,742,null,14228,null,1945,null,10685,null,1717,null,46702,null,3394,null,1374,null,598,null,1220,null,441,null,218335,null,6817,null,22280,null,2268,null,4440,null,978,null,24857,null,2668,null,23806,null,1865,null,130404,null,3856,null,7760,null,1077,null,4788,null,897,null,0400000US39,Ohio,39
290389,null,1871,null,83697,null,6879,null,16232,null,1947,null,2356,null,794,null,14042,null,2066,null,9514,null,1748,null,39969,null,4021,null,1128,null,554,null,456,null,346,null,206692,null,7125,null,26902,null,2236,null,4886,null,1014,null,22576,null,2077,null,22899,null,2023,null,120987,null,4192,null,6379,null,1158,null,2063,null,441,null,0400000US40,Oklahoma,40
419162,null,2166,null,102235,null,11075,null,17173,null,2477,null,2868,null,905,null,17823,null,2669,null,12227,null,2313,null,50173,null,6541,null,1590,null,843,null,381,null,250,null,316927,null,11311,null,39010,null,2691,null,6751,null,1548,null,40283,null,2743,null,33795,null,2991,null,186734,null,6771,null,7202,null,1062,null,3152,null,826,null,0400000US41,Oregon,41
