B27011_001E,B27011_001EA,B27011_001M,B27011_001MA,B27011_002E,B27011_002EA,B27011_002M,B27011_002MA,B27011_003E,B27011_003EA,B27011_003M,B27011_003MA,B27011_004E,B27011_004EA,B27011_004M,B27011_004MA,B27011_005E,B27011_005EA,B27011_005M,B27011_005MA,B27011_006E,B27011_006EA,B27011_006M,B27011_006MA,B27011_007E,B27011_007EA,B27011_007M,B27011_007MA,B27011_008E,B27011_008EA,B27011_008M,B27011_008MA,B27011_009E,B27011_009EA,B27011_009M,B27011_009MA,B27011_010E,B27011_010EA,B27011_010M,B27011_010MA,B27011_011E,B27011_011EA,B27011_011M,B27011_011MA,B27011_012E,B27011_012EA,B27011_012M,B27011_012MA,B27011_013E,B27011_013EA,B27011_013M,B27011_013MA,B27011_014E,B27011_014EA,B27011_014M,B27011_014MA,B27011_015E,B27011_015EA,B27011_015M,B27011_015MA,B27011_016E,B27011_016EA,B27011_016M,B27011_016MA,B27011_017E,B27011_017EA,B27011_017M,B27011_017MA,B27011_018E,B27011_018EA,B27011_018M,B27011_018MA,B27011_019E,B27011_019EA,B27011_019M,B27011_019MA,B27011_020E,B27011_020EA,B27011_020M,B27011_020MA,B27011_021E,B27011_021EA,B27011_021M,B27011_021MA,B27011_022E,B27011_022EA,B27011_022M,B27011_022MA,B27011_023E,B27011_023EA,B27011_023M,B27011_023MA,B27011_024E,B27011_024EA,B27011_024M,B27011_024MA,B27011_025E,B27011_025EA,B27011_025M,B27011_025MA,B27011_026E,B27011_026EA,B27011_026M,B27011_026MA,B27011_027E,B27011_027EA,B27011_027M,B27011_027MA,B27011_028E,B27011_028EA,B27011_028M,B27011_028MA,B27011_029E,B27011_029EA,B27011_029M,B27011_029MA,B27011_030E,B27011_030EA,B27011_030M,B27011_030MA,B27011_031E,B27011_031EA,B27011_031M,B27011_031MA,B27011_032E,B27011_032EA,B27011_032M,B27011_032MA,B27011_033E,B27011_033EA,B27011_033M,B27011_033MA,B27011_034E,B27011_034EA,B27011_034M,B27011_034MA,B27011_035E,B27011_035EA,B27011_035M,B27011_035MA,GEO_ID,NAME,state
3491801,null,2890,null,2201937,null,11746,null,1965682,null,13476,null,1879106,null,13591,null,1583965,null,15454,null,1536184,null,15813,null,99274,null,5120,null,295141,null,10745,null,86576,null,3824,null,86251,null,3809,null,67252,null,3184,null,81806,null,3671,null,325,null,286,null,236255,null,8236,null,231016,null,8206,null,102478,null,5521,null,71032,null,4355,null,36447,null,3697,null,128538,null,7594,null,5239,null,881,null,5139,null,870,null,3565,null,741,null,5139,null,870,null,100,null,126,null,1289864,null,11467,null,757594,null,12201,null,614263,null,11525,null,406771,null,11055,null,286414,null,7745,null,143331,null,6315,null,532270,null,4625,null,529798,null,4756,null,350408,null,6031,null,526720,null,4651,null,2472,null,994,null,0400000US01,Alabama,01
494820,null,2691,null,361565,null,5140,null,328175,null,5640,null,316230,null,5628,null,243179,null,5877,null,233612,null,5963,null,21808,null,2693,null,73051,null,5543,null,11945,null,1384,null,11825,null,1380,null,8753,null,1431,null,10636,null,1279,null,120,null,94,null,33390,null,2785,null,32885,null,2768,null,14281,null,1767,null,9474,null,1586,null,5230,null,947,null,18604,null,2589,null,505,null,249,null,445,null,220,null,228,null,191,null,445,null,220,null,60,null,99,null,133255,null,4937,null,94612,null,4929,null,68607,null,3976,null,49487,null,3013,null,24182,null,2578,null,26005,null,2749,null,38643,null,1771,null,38473,null,1774,null,22994,null,1814,null,38241,null,1780,null,170,null,128,null,0400000US02,Alaska,02
4771717,null,2419,null,3081932,null,19816,null,2763816,null,19912,null,2656940,null,18657,null,2120310,null,19236,null,1944259,null,20452,null,240913,null,9371,null,536630,null,15937,null,106876,null,5786,null,105039,null,5611,null,75268,null,4799,null,97248,null,5358,null,1837,null,639,null,318116,null,10542,null,308728,null,10251,null,165682,null,7585,null,84115,null,4731,null,87661,null,5886,null,143046,null,7866,null,9388,null,1466,null,8733,null,1384,null,5582,null,1081,null,8595,null,1361,null,655,null,406,null,1689785,null,19922,null,951973,null,18520,null,723834,null,17307,null,439957,null,11132,null,341628,null,11645,null,228139,null,10924,null,737812,null,5979,null,729467,null,6150,null,474599,null,8933,null,719585,null,6155,null,8345,null,2061,null,0400000US04,Arizona,04
2126707,null,2256,null,1349553,null,12049,null,1230169,null,14429,null,1176400,null,14049,null,922381,null,14619,null,878576,null,15360,null,80050,null,4544,null,254019,null,8473,null,53769,null,3034,null,53490,null,3009,null,39416,null,2682,null,51008,null,2831,null,279,null,312,null,119384,null,6327,null,117000,null,6393,null,46935,null,4103,null,31296,null,3241,null,18318,null,2796,null,70065,null,5280,null,2384,null,730,null,2320,null,732,null,963,null,430,null,2320,null,732,null,64,null,108,null,777154,null,11835,null,441482,null,11767,null,329164,null,9427,null,181927,null,6110,null,184544,null,8465,null,112318,null,7030,null,335672,null,3904,null,333905,null,3873,null,213522,null,4898,null,332731,null,3865,null,1767,null,677,null,0400000US05,Arkansas,05
26954252,null,6400,null,18368553,null,36807,null,16353117,null,41584,null,15752559,null,39645,null,12474108,null,44599,null,11718763,null,48457,null,1025773,null,16461,null,3278451,null,35795,null,600558,null,10958,null,585764,null,10708,null,437510,null,10075,null,508465,null,9866,null,14794,null,2370,null,2015436,null,23498,null,1966111,null,23539,null,1013346,null,17271,null,699094,null,14058,null,343758,null,10142,null,952765,null,15387,null,49325,null,3597,null,47922,null,3553,null,25982,null,2343,null,46668,null,3487,null,1403,null,574,null,8585699,null,36101,null,5211166,null,33099,null,3846632,null,30874,null,2550094,null,25741,null,1528919,null,22393,null,1364534,null,24096,null,3374533,null,12538,null,3318130,null,12712,null,1906503,null,19655,null,3259005,null,13423,null,56403,null,4728,null,0400000US06,California,06
3704931,null,3378,null,2668751,null,13358,null,2449203,null,14107,null,2361951,null,13449,null,1952260,null,15700,null,1880146,null,15688,null,115665,null,5899,null,409691,null,13771,null,87252,null,3436,null,86789,null,3403,null,67117,null,3420,null,79864,null,3178,null,463,null,279,null,219548,null,8165,null,213482,null,8254,null,112860,null,5597,null,87743,null,5407,null,29968,null,2639,null,100622,null,7090,null,6066,null,1265,null,5697,null,1125,null,3554,null,889,null,5606,null,1085,null,369,null,490,null,1036180,null,13415,null,612856,null,12105,null,475119,null,10687,null,363838,null,9464,null,147650,null,6457,null,137737,null,6153,null,423324,null,3983,null,418778,null,3936,null,295872,null,5670,null,413769,null,4050,null,4546,null,1434,null,0400000US08,Colorado,08
2650057,null,1440,null,1885573,null,10106,null,1717895,null,10863,null,1629917,null,9791,null,1464776,null,12364,null,1387381,null,12641,null,105661,null,5305,null,165141,null,8689,null,87978,null,3711,null,87499,null,3701,null,71595,null,3607,null,79059,null,3349,null,479,null,315,null,167678,null,5713,null,159409,null,5832,null,104450,null,4755,null,67072,null,3489,null,40229,null,3450,null,54959,null,3968,null,8269,null,1162,null,8042,null,1102,null,5182,null,877,null,7837,null,1138,null,227,null,272,null,764484,null,9804,null,400740,null,8437,null,349309,null,8119,null,254040,null,6787,null,116937,null,5598,null,51431,null,4081,null,363744,null,4168,null,361204,null,4380,null,257627,null,5032,null,356736,null,4540,null,2540,null,1012,null,0400000US09,Connecticut,09
662719,null,1087,null,448152,null,5277,null,411513,null,5754,null,391721,null,5349,null,342245,null,6214,null,319570,null,6964,null,33915,null,3758,null,49476,null,3681,null,19792,null,1960,null,19647,null,1935,null,16064,null,1793,null,18342,null,1854,null,145,null,153,null,36639,null,3093,null,34943,null,3025,null,22424,null,2292,null,12427,null,1735,null,11027,null,1941,null,12519,null,2257,null,1696,null,654,null,1696,null,654,null,1276,null,591,null,1653,null,649,null,0,null,263,null,214567,null,5234,null,114728,null,4765,null,99667,null,4500,null,67110,null,3567,null,40219,null,3397,null,15061,null,2065,null,99839,null,2368,null,99251,null,2461,null,75309,null,2905,null,98682,null,2427,null,588,null,470,null,0400000US10,Delaware,10
475698,null,861,null,328479,null,4639,null,293122,null,5019,null,278446,null,4738,null,256848,null,5284,null,234460,null,5807,null,31157,null,3087,null,21598,null,2647,null,14676,null,1589,null,14604,null,1588,null,11364,null,1504,null,12564,null,1399,null,72,null,92,null,35357,null,3726,null,34238,null,3716,null,26045,null,3227,null,10203,null,1469,null,17834,null,2822,null,8193,null,1834,null,1119,null,619,null,1119,null,619,null,569,null,390,null,903,null,562,null,0,null,296,null,147219,null,4720,null,97250,null,4692,null,89337,null,4476,null,52798,null,3441,null,42650,null,3637,null,7913,null,1440,null,49969,null,1986,null,49551,null,1959,null,32427,null,2146,null,47041,null,2078,null,418,null,403,null,0400000US11,District of Columbia,11
14142123,null,4762,null,8993882,null,30655,null,7935645,null,34931,null,7534635,null,31947,null,5652007,null,31537,null,5412457,null,32133,null,396878,null,11957,null,1882628,null,26170,null,401010,null,8217,null,392607,null,8607,null,268044,null,6662,null,363445,null,8266,null,8403,null,1828,null,1058237,null,20835,null,1014974,null,20537,null,423656,null,11752,null,291012,null,9786,null,150040,null,7185,null,591318,null,16352,null,43263,null,3323,null,40768,null,3237,null,20572,null,1874,null,40282,null,3231,null,2495,null,931,null,5148241,null,29868,null,2474109,null,26133,null,1793206,null,21888,null,1210360,null,17273,null,742208,null,16406,null,680903,null,17158,null,2674132,null,11987,null,2645087,null,12235,null,1656613,null,17652,null,2615276,null,12717,null,29045,null,3683,null,0400000US12,Florida,12
