C27001B_001E,C27001B_001EA,C27001B_001M,C27001B_001MA,C27001B_002E,C27001B_002EA,C27001B_002M,C27001B_002MA,C27001B_003E,C27001B_003EA,C27001B_003M,C27001B_003MA,C27001B_004E,C27001B_004EA,C27001B_004M,C27001B_004MA,C27001B_005E,C27001B_005EA,C27001B_005M,C27001B_005MA,C27001B_006E,C27001B_006EA,C27001B_006M,C27001B_006MA,C27001B_007E,C27001B_007EA,C27001B_007M,C27001B_007MA,C27001B_008E,C27001B_008EA,C27001B_008M,C27001B_008MA,C27001B_009E,C27001B_009EA,C27001B_009M,C27001B_009MA,C27001B_010E,C27001B_010EA,C27001B_010M,C27001B_010MA,GEO_ID,NAME,state
1197404,null,5901,null,337893,null,3082,null,317229,null,4218,null,20664,null,2998,null,749676,null,4564,null,559766,null,9431,null,189910,null,8171,null,109835,null,2678,null,109069,null,2699,null,766,null,414,null,0400000US01,Alabama,01
25501,null,1656,null,8312,null,1036,null,7599,null,1189,null,713,null,825,null,15958,null,1188,null,11705,null,1347,null,4253,null,1559,null,1231,null,330,null,1231,null,330,null,0,null,244,null,0400000US02,Alaska,02
243851,null,7642,null,80198,null,5114,null,72509,null,5333,null,7689,null,2490,null,147603,null,3993,null,116677,null,4763,null,30926,null,3937,null,16050,null,795,null,15926,null,783,null,124,null,160,null,0400000US04,Arizona,04
435174,null,4941,null,131315,null,2903,null,127455,null,3256,null,3860,null,1418,null,268814,null,3700,null,195027,null,5265,null,73787,null,4542,null,35045,null,1981,null,34317,null,1965,null,728,null,451,null,0400000US05,Arkansas,05
2146013,null,14108,null,576117,null,8730,null,531996,null,8658,null,44121,null,5917,null,1367487,null,7960,null,1067096,null,11355,null,300391,null,9846,null,202409,null,2377,null,200547,null,2506,null,1862,null,866,null,0400000US06,California,06
182942,null,5231,null,54853,null,3737,null,49832,null,4100,null,5021,null,1627,null,114961,null,2842,null,85065,null,3570,null,29896,null,3341,null,13128,null,836,null,13128,null,836,null,0,null,279,null,0400000US08,Colorado,08
325146,null,5431,null,90958,null,3665,null,85961,null,3648,null,4997,null,1815,null,207328,null,3037,null,172156,null,4350,null,35172,null,3525,null,26860,null,830,null,26009,null,944,null,851,null,563,null,0400000US09,Connecticut,09
178139,null,3405,null,49828,null,2540,null,48230,null,2682,null,1598,null,933,null,113358,null,1725,null,95083,null,3043,null,18275,null,2711,null,14953,null,271,null,14831,null,296,null,122,null,151,null,0400000US10,Delaware,10
312964,null,2514,null,71726,null,982,null,70135,null,1315,null,1591,null,861,null,200642,null,1668,null,177582,null,3227,null,23060,null,2794,null,40596,null,1146,null,40189,null,1287,null,407,null,392,null,0400000US11,District of Columbia,11
2787526,null,17000,null,830023,null,9597,null,695564,null,13291,null,134459,null,8752,null,1724893,null,10384,null,1140246,null,16944,null,584647,null,16945,null,232610,null,3658,null,226035,null,3768,null,6575,null,1629,null,0400000US12,Florida,12
2845972,null,12441,null,837661,null,6500,null,753251,null,8678,null,84410,null,6854,null,1809045,null,8955,null,1279216,null,16448,null,529829,null,15394,null,199266,null,3304,null,196739,null,3513,null,2527,null,963,null,0400000US13,Georgia,13
21068,null,4031,null,7415,null,2357,null,7221,null,2309,null,194,null,306,null,12390,null,2375,null,11569,null,2243,null,821,null,583,null,1263,null,567,null,1263,null,567,null,0,null,275,null,0400000US15,Hawaii,15
