C21001A_001E,C21001A_001EA,C21001A_001M,C21001A_001MA,C21001A_002E,C21001A_002EA,C21001A_002M,C21001A_002MA,C21001A_003E,C21001A_003EA,C21001A_003M,C21001A_003MA,C21001A_004E,C21001A_004EA,C21001A_004M,C21001A_004MA,C21001A_005E,C21001A_005EA,C21001A_005M,C21001A_005MA,C21001A_006E,C21001A_006EA,C21001A_006M,C21001A_006MA,C21001A_007E,C21001A_007EA,C21001A_007M,C21001A_007MA,C21001A_008E,C21001A_008EA,C21001A_008M,C21001A_008MA,C21001A_009E,C21001A_009EA,C21001A_009M,C21001A_009MA,C21001A_010E,C21001A_010EA,C21001A_010M,C21001A_010MA,C21001A_011E,C21001A_011EA,C21001A_011M,C21001A_011MA,C21001A_012E,C21001A_012EA,C21001A_012M,C21001A_012MA,C21001A_013E,C21001A_013EA,C21001A_013M,C21001A_013MA,C21001A_014E,C21001A_014EA,C21001A_014M,C21001A_014MA,C21001A_015E,C21001A_015EA,C21001A_015M,C21001A_015MA,GEO_ID,NAME,state
2550987,null,3951,null,1225373,null,3475,null,1004333,null,3444,null,162976,null,5882,null,841357,null,6150,null,221040,null,422,null,127354,null,2958,null,93686,null,3062,null,1325614,null,2379,null,1024143,null,2269,null,12515,null,1664,null,1011628,null,2700,null,301471,null,716,null,2733,null,605,null,298738,null,988,null,0400000US01,Alabama,01
355315,null,2616,null,184310,null,2210,null,164890,null,2344,null,38574,null,2757,null,126316,null,3066,null,19420,null,448,null,12012,null,1050,null,7408,null,1133,null,171005,null,1184,null,151223,null,1164,null,6157,null,1204,null,145066,null,1633,null,19782,null,289,null,627,null,480,null,19155,null,537,null,0400000US02,Alaska,02
3987716,null,14214,null,1978499,null,9110,null,1622059,null,9017,null,235147,null,7939,null,1386912,null,12119,null,356440,null,1356,null,210247,null,4361,null,146193,null,4098,null,2009217,null,7755,null,1575564,null,7373,null,23393,null,2201,null,1552171,null,7683,null,433653,null,1559,null,7120,null,1442,null,426533,null,2242,null,0400000US04,Arizona,04
1747896,null,4337,null,845008,null,3105,null,686997,null,3002,null,110833,null,4616,null,576164,null,5412,null,158011,null,639,null,90990,null,2619,null,67021,null,2657,null,902888,null,2243,null,695590,null,2181,null,8383,null,1802,null,687207,null,2641,null,207298,null,656,null,2441,null,776,null,204857,null,1022,null,0400000US05,Arkansas,05
17570018,null,51278,null,8699118,null,30539,null,7369132,null,29266,null,757776,null,12439,null,6611356,null,28212,null,1329986,null,4941,null,699156,null,8673,null,630830,null,9137,null,8870900,null,25394,null,7115933,null,23539,null,65996,null,4047,null,7049937,null,24085,null,1754967,null,5178,null,24423,null,2463,null,1730544,null,5777,null,0400000US06,California,06
3255754,null,10282,null,1618792,null,6939,null,1402477,null,7009,null,201599,null,6216,null,1200878,null,9719,null,216315,null,1247,null,129062,null,3298,null,87253,null,3314,null,1636962,null,5193,null,1363000,null,5138,null,20491,null,2676,null,1342509,null,5705,null,273962,null,1312,null,4624,null,740,null,269338,null,1529,null,0400000US08,Colorado,08
2193914,null,7434,null,1049338,null,4562,null,865733,null,4266,null,91396,null,3852,null,774337,null,6186,null,183605,null,832,null,104810,null,2764,null,78795,null,2795,null,1144576,null,3873,null,886694,null,3676,null,5047,null,1104,null,881647,null,3646,null,257882,null,993,null,2287,null,577,null,255595,null,1112,null,0400000US09,Connecticut,09
498631,null,2967,null,237712,null,2215,null,191242,null,2207,null,30444,null,2135,null,160798,null,2980,null,46470,null,302,null,28059,null,1322,null,18411,null,1313,null,260919,null,1188,null,200540,null,1085,null,3327,null,881,null,197213,null,1432,null,60379,null,462,null,499,null,308,null,59880,null,514,null,0400000US10,Delaware,10
200337,null,2810,null,99318,null,1661,null,88006,null,1554,null,5362,null,1161,null,82644,null,1960,null,11312,null,600,null,5284,null,806,null,6028,null,967,null,101019,null,1723,null,87797,null,1740,null,701,null,372,null,87096,null,1761,null,13222,null,228,null,195,null,166,null,13027,null,270,null,0400000US11,District of Columbia,11
11400873,null,21303,null,5538376,null,13316,null,4272327,null,13380,null,608634,null,11393,null,3663693,null,16787,null,1266049,null,2778,null,714317,null,6842,null,551732,null,6919,null,5862497,null,11075,null,4271689,null,10337,null,63435,null,4275,null,4208254,null,11419,null,1590808,null,2893,null,22901,null,2079,null,1567907,null,3692,null,0400000US12,Florida,12
4573076,null,12454,null,2221019,null,10324,null,1892633,null,10390,null,269529,null,7474,null,1623104,null,11574,null,328386,null,1264,null,191117,null,4175,null,137269,null,4500,null,2352057,null,7304,null,1908102,null,7183,null,26099,null,2635,null,1882003,null,7605,null,443955,null,1468,null,4387,null,943,null,439568,null,1669,null,0400000US13,Georgia,13
258534,null,3536,null,133375,null,3013,null,110775,null,3028,null,21310,null,2093,null,89465,null,3204,null,22600,null,399,null,13020,null,1139,null,9580,null,1140,null,125159,null,1550,null,101481,null,1508,null,2822,null,642,null,98659,null,1688,null,23678,null,464,null,337,null,262,null,23341,null,404,null,0400000US15,Hawaii,15
