C23002D_001E,C23002D_001EA,C23002D_001M,C23002D_001MA,C23002D_002E,C23002D_002EA,C23002D_002M,C23002D_002MA,C23002D_003E,C23002D_003EA,C23002D_003M,C23002D_003MA,C23002D_004E,C23002D_004EA,C23002D_004M,C23002D_004MA,C23002D_005E,C23002D_005EA,C23002D_005M,C23002D_005MA,C23002D_006E,C23002D_006EA,C23002D_006M,C23002D_006MA,C23002D_007E,C23002D_007EA,C23002D_007M,C23002D_007MA,C23002D_008E,C23002D_008EA,C23002D_008M,C23002D_008MA,C23002D_009E,C23002D_009EA,C23002D_009M,C23002D_009MA,C23002D_010E,C23002D_010EA,C23002D_010M,C23002D_010MA,C23002D_011E,C23002D_011EA,C23002D_011M,C23002D_011MA,C23002D_012E,C23002D_012EA,C23002D_012M,C23002D_012MA,C23002D_013E,C23002D_013EA,C23002D_013M,C23002D_013MA,C23002D_014E,C23002D_014EA,C23002D_014M,C23002D_014MA,C23002D_015E,C23002D_015EA,C23002D_015M,C23002D_015MA,C23002D_016E,C23002D_016EA,C23002D_016M,C23002D_016MA,C23002D_017E,C23002D_017EA,C23002D_017M,C23002D_017MA,C23002D_018E,C23002D_018EA,C23002D_018M,C23002D_018MA,C23002D_019E,C23002D_019EA,C23002D_019M,C23002D_019MA,C23002D_020E,C23002D_020EA,C23002D_020M,C23002D_020MA,C23002D_021E,C23002D_021EA,C23002D_021M,C23002D_021MA,C23002D_022E,C23002D_022EA,C23002D_022M,C23002D_022MA,C23002D_023E,C23002D_023EA,C23002D_023M,C23002D_023MA,C23002D_024E,C23002D_024EA,C23002D_024M,C23002D_024MA,C23002D_025E,C23002D_025EA,C23002D_025M,C23002D_025MA,C23002D_026E,C23002D_026EA,C23002D_026M,C23002D_026MA,C23002D_027E,C23002D_027EA,C23002D_027M,C23002D_027MA,GEO_ID,NAME,state
39729,null,1767,null,18623,null,1238,null,16920,null,1220,null,13384,null,1091,null,422,null,327,null,12962,null,1004,null,12566,null,1038,null,396,null,221,null,3536,null,1159,null,1703,null,446,null,755,null,424,null,691,null,434,null,64,null,102,null,948,null,393,null,21106,null,1506,null,19111,null,1451,null,10832,null,1677,null,199,null,275,null,10633,null,1656,null,10419,null,1690,null,214,null,231,null,8279,null,1434,null,1995,null,757,null,546,null,444,null,436,null,377,null,110,null,214,null,1449,null,622,null,0400000US01,Alabama,01
27362,null,1275,null,12376,null,857,null,11383,null,884,null,10075,null,981,null,128,null,138,null,9947,null,960,null,9005,null,1054,null,942,null,457,null,1308,null,654,null,993,null,479,null,267,null,262,null,267,null,262,null,0,null,244,null,726,null,450,null,14986,null,829,null,12925,null,928,null,9848,null,911,null,41,null,71,null,9807,null,919,null,9216,null,1004,null,591,null,416,null,3077,null,626,null,2061,null,495,null,399,null,325,null,399,null,325,null,0,null,244,null,1662,null,467,null,0400000US02,Alaska,02
133781,null,2621,null,62631,null,2315,null,56260,null,2357,null,46814,null,2620,null,260,null,328,null,46554,null,2574,null,42383,null,2711,null,4171,null,1165,null,9446,null,1874,null,6371,null,618,null,1879,null,695,null,1634,null,686,null,245,null,262,null,4492,null,844,null,71150,null,1654,null,62478,null,1537,null,41524,null,2412,null,71,null,117,null,41453,null,2384,null,37115,null,2229,null,4338,null,1023,null,20954,null,2197,null,8672,null,630,null,664,null,423,null,641,null,420,null,23,null,38,null,8008,null,800,null,0400000US04,Arizona,04
24580,null,1870,null,11735,null,1125,null,10434,null,1033,null,7762,null,1215,null,67,null,111,null,7695,null,1230,null,7165,null,1155,null,530,null,330,null,2672,null,1032,null,1301,null,501,null,627,null,394,null,627,null,394,null,0,null,273,null,674,null,384,null,12845,null,1258,null,11813,null,1142,null,7836,null,1134,null,0,null,273,null,7836,null,1134,null,7245,null,1067,null,591,null,413,null,3977,null,939,null,1032,null,424,null,49,null,91,null,49,null,91,null,0,null,273,null,983,null,417,null,0400000US05,Arkansas,05
3775494,null,9912,null,1779885,null,6504,null,1552312,null,6603,null,1236095,null,9223,null,9794,null,1865,null,1226301,null,9550,null,1117054,null,10351,null,109247,null,5981,null,316217,null,7737,null,227573,null,1650,null,40669,null,2575,null,37252,null,2507,null,3417,null,825,null,186904,null,2853,null,1995609,null,6895,null,1687028,null,6705,null,1152573,null,10325,null,1640,null,629,null,1150933,null,10415,null,1054979,null,11682,null,95954,null,4887,null,534455,null,10411,null,308581,null,1592,null,32097,null,2419,null,29673,null,2444,null,2424,null,719,null,276484,null,2961,null,0400000US06,California,06
102822,null,2836,null,46272,null,2048,null,41863,null,1895,null,34431,null,1870,null,626,null,428,null,33805,null,1894,null,32353,null,1986,null,1452,null,627,null,7432,null,1429,null,4409,null,706,null,671,null,347,null,671,null,347,null,0,null,279,null,3738,null,795,null,56550,null,1895,null,49408,null,1834,null,34311,null,2043,null,181,null,178,null,34130,null,2068,null,32437,null,2022,null,1693,null,583,null,15097,null,1757,null,7142,null,765,null,659,null,397,null,627,null,396,null,32,null,59,null,6483,null,710,null,0400000US08,Colorado,08
96202,null,1308,null,46817,null,929,null,43465,null,961,null,38133,null,1169,null,142,null,168,null,37991,null,1172,null,35693,null,1350,null,2298,null,738,null,5332,null,1008,null,3352,null,382,null,1054,null,461,null,618,null,337,null,436,null,358,null,2298,null,514,null,49385,null,1087,null,45452,null,1338,null,29736,null,1984,null,0,null,277,null,29736,null,1984,null,27446,null,1913,null,2290,null,749,null,15716,null,1596,null,3933,null,558,null,392,null,270,null,321,null,229,null,71,null,125,null,3541,null,624,null,0400000US09,Connecticut,09
20875,null,593,null,10375,null,489,null,9481,null,580,null,8547,null,698,null,131,null,170,null,8416,null,733,null,8056,null,702,null,360,null,349,null,934,null,455,null,894,null,466,null,193,null,174,null,193,null,174,null,0,null,263,null,701,null,416,null,10500,null,386,null,9427,null,437,null,6145,null,777,null,0,null,263,null,6145,null,777,null,5789,null,818,null,356,null,308,null,3282,null,727,null,1073,null,204,null,148,null,166,null,148,null,166,null,0,null,263,null,925,null,281,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
353790,null,4096,null,162034,null,3110,null,145012,null,3134,null,118730,null,3037,null,591,null,408,null,118139,null,2999,null,108928,null,3145,null,9211,null,1599,null,26282,null,2387,null,17022,null,1028,null,3930,null,899,null,3733,null,896,null,197,null,173,null,13092,null,1414,null,191756,null,2940,null,167294,null,2937,null,113571,null,4279,null,320,null,223,null,113251,null,4276,null,103146,null,4140,null,10105,null,1798,null,53723,null,3684,null,24462,null,1328,null,3487,null,843,null,3119,null,832,null,368,null,268,null,20975,null,1353,null,0400000US12,Florida,12
