B05009_001E,B05009_001EA,B05009_001M,B05009_001MA,B05009_002E,B05009_002EA,B05009_002M,B05009_002MA,B05009_003E,B05009_003EA,B05009_003M,B05009_003MA,B05009_004E,B05009_004EA,B05009_004M,B05009_004MA,B05009_005E,B05009_005EA,B05009_005M,B05009_005MA,B05009_006E,B05009_006EA,B05009_006M,B05009_006MA,B05009_007E,B05009_007EA,B05009_007M,B05009_007MA,B05009_008E,B05009_008EA,B05009_008M,B05009_008MA,B05009_009E,B05009_009EA,B05009_009M,B05009_009MA,B05009_010E,B05009_010EA,B05009_010M,B05009_010MA,B05009_011E,B05009_011EA,B05009_011M,B05009_011MA,B05009_012E,B05009_012EA,B05009_012M,B05009_012MA,B05009_013E,B05009_013EA,B05009_013M,B05009_013MA,B05009_014E,B05009_014EA,B05009_014M,B05009_014MA,B05009_015E,B05009_015EA,B05009_015M,B05009_015MA,B05009_016E,B05009_016EA,B05009_016M,B05009_016MA,B05009_017E,B05009_017EA,B05009_017M,B05009_017MA,B05009_018E,B05009_018EA,B05009_018M,B05009_018MA,B05009_019E,B05009_019EA,B05009_019M,B05009_019MA,B05009_020E,B05009_020EA,B05009_020M,B05009_020MA,B05009_021E,B05009_021EA,B05009_021M,B05009_021MA,B05009_022E,B05009_022EA,B05009_022M,B05009_022MA,B05009_023E,B05009_023EA,B05009_023M,B05009_023MA,B05009_024E,B05009_024EA,B05009_024M,B05009_024MA,B05009_025E,B05009_025EA,B05009_025M,B05009_025MA,B05009_026E,B05009_026EA,B05009_026M,B05009_026MA,B05009_027E,B05009_027EA,B05009_027M,B05009_027MA,B05009_028E,B05009_028EA,B05009_028M,B05009_028MA,B05009_029E,B05009_029EA,B05009_029M,B05009_029MA,B05009_030E,B05009_030EA,B05009_030M,B05009_030MA,B05009_031E,B05009_031EA,B05009_031M,B05009_031MA,B05009_032E,B05009_032EA,B05009_032M,B05009_032MA,B05009_033E,B05009_033EA,B05009_033M,B05009_033MA,B05009_034E,B05009_034EA,B05009_034M,B05009_034MA,B05009_035E,B05009_035EA,B05009_035M,B05009_035MA,B05009_036E,B05009_036EA,B05009_036M,B05009_036MA,B05009_037E,B05009_037EA,B05009_037M,B05009_037MA,GEO_ID,NAME,state
1059528,null,5998,null,357122,null,5639,null,215145,null,6726,null,212690,null,6783,null,2455,null,702,null,189112,null,6113,null,17402,null,2738,null,15886,null,2586,null,1516,null,709,null,8631,null,2080,null,8357,null,1978,null,274,null,332,null,141977,null,7121,null,141380,null,7110,null,597,null,434,null,132383,null,6584,null,9594,null,1836,null,9208,null,1794,null,386,null,319,null,702406,null,6077,null,432329,null,8510,null,421996,null,8590,null,10333,null,1593,null,400249,null,8542,null,20985,null,2426,null,12768,null,2319,null,8217,null,1468,null,11095,null,2300,null,10335,null,2131,null,760,null,639,null,270077,null,9222,null,268312,null,9156,null,1765,null,743,null,261559,null,9024,null,8518,null,1913,null,7143,null,1728,null,1375,null,658,null,0400000US01,Alabama,01
174634,null,1986,null,61489,null,2164,null,40813,null,2994,null,40654,null,2993,null,159,null,157,null,35529,null,2790,null,2201,null,788,null,2042,null,772,null,159,null,157,null,3083,null,1080,null,3083,null,1080,null,0,null,244,null,20676,null,2476,null,20676,null,2476,null,0,null,244,null,19147,null,2539,null,1529,null,840,null,1529,null,840,null,0,null,244,null,113145,null,2333,null,80895,null,2890,null,78110,null,2897,null,2785,null,1104,null,70005,null,3000,null,6169,null,1797,null,4125,null,1505,null,2044,null,1017,null,4721,null,1447,null,4343,null,1338,null,378,null,330,null,32250,null,3200,null,31512,null,3104,null,738,null,540,null,29297,null,2929,null,2953,null,1162,null,2344,null,929,null,609,null,496,null,0400000US02,Alaska,02
1645424,null,7639,null,591862,null,7390,null,365133,null,10500,null,361198,null,10503,null,3935,null,1117,null,234895,null,8242,null,82008,null,6694,null,78712,null,6708,null,3296,null,1065,null,48230,null,5914,null,47993,null,5932,null,237,null,287,null,226729,null,9653,null,224363,null,9654,null,2366,null,1393,null,179451,null,8938,null,47278,null,6944,null,44985,null,6658,null,2293,null,1398,null,1053562,null,8708,null,679444,null,13954,null,638505,null,13945,null,40939,null,4174,null,443421,null,10820,null,160767,null,9172,null,124613,null,8351,null,36154,null,4086,null,75256,null,6520,null,72243,null,6284,null,3013,null,947,null,374118,null,13092,null,355837,null,12667,null,18281,null,3023,null,283410,null,9583,null,90708,null,8306,null,74194,null,7263,null,16514,null,3042,null,0400000US04,Arizona,04
670246,null,4727,null,231937,null,4649,null,140428,null,5487,null,139238,null,5515,null,1190,null,695,null,120068,null,5497,null,14532,null,2425,null,14134,null,2388,null,398,null,351,null,5828,null,1805,null,5828,null,1805,null,0,null,273,null,91509,null,4838,null,91447,null,4829,null,62,null,88,null,85450,null,4795,null,6059,null,1582,null,5997,null,1590,null,62,null,88,null,438309,null,5455,null,276585,null,8466,null,268662,null,8551,null,7923,null,1653,null,244527,null,8616,null,25516,null,2692,null,18204,null,2598,null,7312,null,1597,null,6542,null,1515,null,6306,null,1527,null,236,null,201,null,161724,null,7842,null,160045,null,7744,null,1679,null,616,null,153134,null,7762,null,8590,null,1601,null,6989,null,1551,null,1601,null,610,null,0400000US05,Arkansas,05
8980424,null,16026,null,3122142,null,11850,null,2060767,null,19551,null,2018962,null,19715,null,41805,null,3989,null,929803,null,16137,null,776128,null,15056,null,739422,null,14742,null,36706,null,3741,null,354836,null,13059,null,351974,null,12934,null,2862,null,982,null,1061375,null,20175,null,1040089,null,20382,null,21286,null,3090,null,665936,null,16800,null,395439,null,14870,null,376553,null,14714,null,18886,null,3106,null,5858282,null,16850,null,4006042,null,29981,null,3670721,null,31472,null,335321,null,12358,null,1769154,null,23577,null,1720724,null,22910,null,1405735,null,22254,null,314989,null,12430,null,516164,null,17999,null,500622,null,17749,null,15542,null,2452,null,1852240,null,29133,null,1735471,null,27841,null,116769,null,7463,null,1126032,null,24426,null,726208,null,18744,null,614805,null,17095,null,111403,null,7307,null,0400000US06,California,06
1177386,null,5345,null,419960,null,5485,null,303644,null,7902,null,300293,null,7902,null,3351,null,1015,null,229733,null,7206,null,44222,null,4443,null,43228,null,4480,null,994,null,514,null,29689,null,3632,null,28845,null,3691,null,844,null,556,null,116316,null,6645,null,115911,null,6648,null,405,null,299,null,97180,null,6725,null,19136,null,2921,null,18978,null,2901,null,158,null,181,null,757426,null,5629,null,544379,null,9614,null,515211,null,10006,null,29168,null,4147,null,426997,null,8770,null,75872,null,6461,null,52953,null,4963,null,22919,null,3939,null,41510,null,4689,null,39655,null,4550,null,1855,null,721,null,213047,null,8741,null,205870,null,8655,null,7177,null,1987,null,180808,null,8596,null,32239,null,4091,null,26806,null,3672,null,5433,null,1646,null,0400000US08,Colorado,08
780490,null,3389,null,244527,null,2964,null,171353,null,4523,null,168097,null,4582,null,3256,null,959,null,120261,null,4204,null,34276,null,3464,null,32176,null,3444,null,2100,null,786,null,16816,null,2637,null,16773,null,2640,null,43,null,72,null,73174,null,3927,null,71977,null,3905,null,1197,null,594,null,59717,null,3909,null,13457,null,2248,null,12382,null,2067,null,1075,null,587,null,535963,null,4343,null,375988,null,7522,null,354878,null,7777,null,21110,null,3108,null,296842,null,6564,null,50396,null,4697,null,33632,null,3502,null,16764,null,2836,null,28750,null,3859,null,27520,null,3725,null,1230,null,658,null,159975,null,6860,null,150236,null,6406,null,9739,null,2128,null,134068,null,6117,null,25907,null,3566,null,17406,null,2638,null,8501,null,2104,null,0400000US09,Connecticut,09
195738,null,2341,null,67400,null,1940,null,41298,null,2778,null,39843,null,2836,null,1455,null,777,null,30842,null,2408,null,7430,null,1570,null,6255,null,1662,null,1175,null,721,null,3026,null,777,null,2982,null,764,null,44,null,86,null,26102,null,2656,null,26037,null,2646,null,65,null,117,null,23207,null,2530,null,2895,null,1426,null,2830,null,1388,null,65,null,117,null,128338,null,2627,null,80814,null,3810,null,77218,null,3999,null,3596,null,1281,null,66938,null,3904,null,10165,null,2097,null,7205,null,1764,null,2960,null,1192,null,3711,null,1154,null,3460,null,1063,null,251,null,288,null,47524,null,4112,null,46337,null,4117,null,1187,null,612,null,44044,null,4102,null,3480,null,1094,null,2344,null,948,null,1136,null,603,null,0400000US10,Delaware,10
106701,null,1758,null,40852,null,1485,null,20111,null,1814,null,19044,null,1907,null,1067,null,662,null,11557,null,1460,null,5376,null,1668,null,4532,null,1593,null,844,null,562,null,3178,null,1124,null,2955,null,1079,null,223,null,344,null,20741,null,2002,null,20438,null,1973,null,303,null,390,null,18284,null,1712,null,2457,null,1079,null,2154,null,1022,null,303,null,390,null,65849,null,1732,null,21726,null,2986,null,18859,null,2542,null,2867,null,1518,null,13789,null,2318,null,4906,null,1630,null,2562,null,848,null,2344,null,1362,null,3031,null,1236,null,2632,null,1083,null,399,null,455,null,44123,null,3267,null,42958,null,3419,null,1165,null,776,null,40636,null,3187,null,3487,null,1360,null,2412,null,1209,null,1075,null,760,null,0400000US11,District of Columbia,11
3853587,null,10368,null,1311773,null,8563,null,804624,null,12088,null,788927,null,11824,null,15697,null,2570,null,495221,null,10990,null,193698,null,10646,null,181504,null,9797,null,12194,null,2256,null,115705,null,7579,null,114420,null,7566,null,1285,null,704,null,507149,null,11707,null,501175,null,11662,null,5974,null,1799,null,397099,null,9283,null,110050,null,7393,null,104995,null,7161,null,5055,null,1557,null,2541814,null,9786,null,1596903,null,18334,null,1464767,null,18520,null,132136,null,7993,null,1026933,null,17334,null,376229,null,14822,null,260447,null,12995,null,115782,null,7311,null,193741,null,10003,null,181172,null,9725,null,12569,null,2364,null,944911,null,18240,null,887911,null,18141,null,57000,null,4499,null,718085,null,17977,null,226826,null,10075,null,171735,null,9491,null,55091,null,4457,null,0400000US12,Florida,12
