B10060_001E,B10060_001EA,B10060_001M,B10060_001MA,B10060_002E,B10060_002EA,B10060_002M,B10060_002MA,B10060_003E,B10060_003EA,B10060_003M,B10060_003MA,B10060_004E,B10060_004EA,B10060_004M,B10060_004MA,B10060_005E,B10060_005EA,B10060_005M,B10060_005MA,B10060_006E,B10060_006EA,B10060_006M,B10060_006MA,B10060_007E,B10060_007EA,B10060_007M,B10060_007MA,B10060_008E,B10060_008EA,B10060_008M,B10060_008MA,B10060_009E,B10060_009EA,B10060_009M,B10060_009MA,B10060_010E,B10060_010EA,B10060_010M,B10060_010MA,B10060_011E,B10060_011EA,B10060_011M,B10060_011MA,B10060_012E,B10060_012EA,B10060_012M,B10060_012MA,B10060_013E,B10060_013EA,B10060_013M,B10060_013MA,B10060_014E,B10060_014EA,B10060_014M,B10060_014MA,B10060_015E,B10060_015EA,B10060_015M,B10060_015MA,B10060_016E,B10060_016EA,B10060_016M,B10060_016MA,GEO_ID,NAME,state
116708,null,7329,null,87660,null,6160,null,48382,null,3907,null,32049,null,3348,null,16333,null,1884,null,39278,null,4005,null,7571,null,1780,null,4911,null,1492,null,3998,null,1541,null,913,null,452,null,2660,null,1077,null,21477,null,3265,null,11581,null,2432,null,9118,null,2193,null,2463,null,789,null,9896,null,1936,null,0400000US01,Alabama,01
16036,null,2164,null,13012,null,2132,null,6154,null,1588,null,3856,null,1017,null,2298,null,1231,null,6858,null,1440,null,1809,null,665,null,549,null,310,null,424,null,289,null,125,null,115,null,1260,null,585,null,1215,null,638,null,832,null,578,null,484,null,348,null,348,null,390,null,383,null,333,null,0400000US02,Alaska,02
167836,null,7898,null,135284,null,6632,null,50004,null,4708,null,32401,null,3975,null,17603,null,2282,null,85280,null,6098,null,13032,null,2849,null,4314,null,1380,null,3662,null,1295,null,652,null,406,null,8718,null,2604,null,19520,null,3682,null,10407,null,2506,null,7316,null,2122,null,3091,null,978,null,9113,null,2425,null,0400000US04,Arizona,04
64123,null,4447,null,52594,null,3881,null,30850,null,3301,null,19686,null,2619,null,11164,null,1776,null,21744,null,2770,null,2629,null,1099,null,2264,null,1072,null,2000,null,1088,null,264,null,191,null,365,null,301,null,8900,null,1884,null,4752,null,1273,null,3276,null,1156,null,1476,null,522,null,4148,null,1262,null,0400000US05,Arkansas,05
1041636,null,18527,null,855349,null,17464,null,238072,null,10436,null,148968,null,8267,null,89104,null,5962,null,617277,null,14798,null,156629,null,7677,null,49963,null,4750,null,35897,null,4432,null,14066,null,2148,null,106666,null,6283,null,29658,null,3717,null,10367,null,2127,null,6529,null,1784,null,3838,null,1216,null,19291,null,3078,null,0400000US06,California,06
81255,null,4785,null,68904,null,4458,null,27068,null,3096,null,18425,null,2595,null,8643,null,1462,null,41836,null,3827,null,7656,null,2003,null,3597,null,1294,null,2920,null,1205,null,677,null,348,null,4059,null,1306,null,4695,null,1249,null,2447,null,964,null,2150,null,896,null,297,null,250,null,2248,null,807,null,0400000US08,Colorado,08
71373,null,5706,null,52686,null,4528,null,14347,null,2176,null,8967,null,1895,null,5380,null,1171,null,38339,null,3721,null,18234,null,3365,null,9447,null,2522,null,6763,null,2047,null,2684,null,1118,null,8787,null,2093,null,453,null,530,null,180,null,288,null,180,null,288,null,0,null,277,null,273,null,438,null,0400000US09,Connecticut,09
17741,null,2101,null,14575,null,2129,null,6661,null,1501,null,4233,null,1181,null,2428,null,714,null,7914,null,1569,null,1286,null,815,null,774,null,543,null,695,null,523,null,79,null,103,null,512,null,448,null,1880,null,839,null,667,null,406,null,564,null,387,null,103,null,149,null,1213,null,636,null,0400000US10,Delaware,10
11948,null,1987,null,8164,null,1847,null,3156,null,1023,null,1833,null,697,null,1323,null,655,null,5008,null,1467,null,3784,null,1111,null,905,null,478,null,600,null,360,null,305,null,285,null,2879,null,1083,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
424475,null,12113,null,339281,null,12027,null,127069,null,7545,null,75988,null,5969,null,51081,null,4143,null,212212,null,10334,null,48083,null,4997,null,19055,null,2917,null,13054,null,2491,null,6001,null,1540,null,29028,null,3986,null,37111,null,3807,null,14592,null,2159,null,10074,null,1701,null,4518,null,1328,null,22519,null,3313,null,0400000US12,Florida,12
