B25032G_001E,B25032G_001EA,B25032G_001M,B25032G_001MA,B25032G_002E,B25032G_002EA,B25032G_002M,B25032G_002MA,B25032G_003E,B25032G_003EA,B25032G_003M,B25032G_003MA,B25032G_004E,B25032G_004EA,B25032G_004M,B25032G_004MA,B25032G_005E,B25032G_005EA,B25032G_005M,B25032G_005MA,B25032G_006E,B25032G_006EA,B25032G_006M,B25032G_006MA,B25032G_007E,B25032G_007EA,B25032G_007M,B25032G_007MA,B25032G_008E,B25032G_008EA,B25032G_008M,B25032G_008MA,B25032G_009E,B25032G_009EA,B25032G_009M,B25032G_009MA,B25032G_010E,B25032G_010EA,B25032G_010M,B25032G_010MA,B25032G_011E,B25032G_011EA,B25032G_011M,B25032G_011MA,GEO_ID,NAME,state
17707,null,1875,null,11919,null,1461,null,459,null,271,null,313,null,251,null,826,null,422,null,550,null,302,null,391,null,368,null,197,null,187,null,421,null,333,null,2631,null,785,null,0,null,273,null,0400000US01,Alabama,01
10910,null,1522,null,5549,null,1123,null,817,null,436,null,635,null,446,null,1846,null,698,null,533,null,377,null,209,null,168,null,222,null,237,null,22,null,39,null,1077,null,468,null,0,null,244,null,0400000US02,Alaska,02
33070,null,3060,null,19790,null,2175,null,1628,null,552,null,1125,null,790,null,1305,null,552,null,1688,null,759,null,1857,null,728,null,869,null,524,null,1544,null,613,null,3246,null,850,null,18,null,34,null,0400000US04,Arizona,04
16648,null,2018,null,11752,null,1809,null,470,null,503,null,182,null,157,null,859,null,469,null,149,null,175,null,831,null,503,null,304,null,248,null,216,null,208,null,1827,null,723,null,58,null,74,null,0400000US05,Arkansas,05
301207,null,7951,null,164536,null,5582,null,21249,null,2403,null,8656,null,1384,null,19940,null,2759,null,20539,null,2551,null,18835,null,2242,null,15792,null,2564,null,20547,null,2227,null,10167,null,1723,null,946,null,557,null,0400000US06,California,06
37763,null,2981,null,23968,null,2122,null,1728,null,582,null,697,null,495,null,1325,null,647,null,1001,null,360,null,2512,null,842,null,2344,null,861,null,1908,null,725,null,2280,null,638,null,0,null,279,null,0400000US08,Colorado,08
15219,null,1821,null,7482,null,1084,null,1400,null,598,null,1669,null,766,null,1772,null,753,null,993,null,484,null,412,null,247,null,123,null,141,null,1106,null,543,null,262,null,242,null,0,null,277,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
3573,null,860,null,187,null,186,null,921,null,442,null,178,null,293,null,364,null,307,null,76,null,98,null,172,null,171,null,355,null,339,null,1320,null,465,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
88716,null,4433,null,51099,null,3280,null,6536,null,1354,null,1779,null,706,null,3011,null,906,null,5174,null,1135,null,5286,null,1536,null,3871,null,966,null,5000,null,924,null,6771,null,1148,null,189,null,272,null,0400000US12,Florida,12
33950,null,3111,null,20735,null,2422,null,1458,null,616,null,1021,null,534,null,707,null,469,null,2391,null,1029,null,1622,null,561,null,1620,null,781,null,1624,null,737,null,2713,null,893,null,59,null,95,null,0400000US13,Georgia,13
72897,null,3871,null,42411,null,3244,null,4735,null,1089,null,2451,null,825,null,3106,null,1009,null,5307,null,1084,null,5505,null,1449,null,3088,null,998,null,6294,null,1340,null,0,null,275,null,0,null,275,null,0400000US15,Hawaii,15
8160,null,1480,null,4479,null,983,null,379,null,319,null,401,null,406,null,941,null,519,null,571,null,389,null,280,null,335,null,338,null,349,null,80,null,127,null,691,null,410,null,0,null,263,null,0400000US16,Idaho,16
46479,null,3701,null,21023,null,1815,null,3027,null,846,null,2992,null,885,null,4110,null,1132,null,4089,null,1153,null,3290,null,1039,null,3078,null,777,null,2767,null,798,null,2103,null,756,null,0,null,269,null,0400000US17,Illinois,17
26713,null,2234,null,16373,null,1683,null,1576,null,949,null,1026,null,574,null,1163,null,584,null,2016,null,825,null,1400,null,749,null,812,null,519,null,601,null,327,null,1746,null,572,null,0,null,269,null,0400000US18,Indiana,18
11178,null,1914,null,7407,null,1451,null,412,null,254,null,479,null,325,null,269,null,182,null,701,null,385,null,333,null,311,null,608,null,432,null,200,null,229,null,769,null,417,null,0,null,228,null,0400000US19,Iowa,19
19094,null,1692,null,12269,null,1381,null,1644,null,769,null,490,null,377,null,451,null,312,null,1083,null,626,null,391,null,375,null,574,null,422,null,433,null,312,null,1632,null,596,null,127,null,145,null,0400000US20,Kansas,20
16227,null,2134,null,9155,null,1515,null,487,null,324,null,686,null,423,null,1211,null,573,null,1424,null,578,null,667,null,429,null,254,null,216,null,299,null,254,null,2044,null,837,null,0,null,273,null,0400000US21,Kentucky,21
15125,null,2182,null,8618,null,1547,null,575,null,361,null,334,null,218,null,582,null,399,null,803,null,619,null,578,null,427,null,245,null,229,null,428,null,323,null,2962,null,1092,null,0,null,281,null,0400000US22,Louisiana,22
8041,null,1248,null,3227,null,727,null,221,null,284,null,784,null,516,null,1221,null,521,null,795,null,552,null,489,null,394,null,69,null,133,null,141,null,161,null,1094,null,527,null,0,null,230,null,0400000US23,Maine,23
26948,null,2604,null,11560,null,1634,null,5774,null,1068,null,233,null,185,null,382,null,299,null,2292,null,781,null,3439,null,1092,null,902,null,525,null,1998,null,975,null,368,null,276,null,0,null,285,null,0400000US24,Maryland,24
