B21001A_001E,B21001A_001EA,B21001A_001M,B21001A_001MA,B21001A_002E,B21001A_002EA,B21001A_002M,B21001A_002MA,B21001A_003E,B21001A_003EA,B21001A_003M,B21001A_003MA,B21001A_004E,B21001A_004EA,B21001A_004M,B21001A_004MA,B21001A_005E,B21001A_005EA,B21001A_005M,B21001A_005MA,B21001A_006E,B21001A_006EA,B21001A_006M,B21001A_006MA,B21001A_007E,B21001A_007EA,B21001A_007M,B21001A_007MA,B21001A_008E,B21001A_008EA,B21001A_008M,B21001A_008MA,B21001A_009E,B21001A_009EA,B21001A_009M,B21001A_009MA,B21001A_010E,B21001A_010EA,B21001A_010M,B21001A_010MA,B21001A_011E,B21001A_011EA,B21001A_011M,B21001A_011MA,B21001A_012E,B21001A_012EA,B21001A_012M,B21001A_012MA,B21001A_013E,B21001A_013EA,B21001A_013M,B21001A_013MA,B21001A_014E,B21001A_014EA,B21001A_014M,B21001A_014MA,B21001A_015E,B21001A_015EA,B21001A_015M,B21001A_015MA,B21001A_016E,B21001A_016EA,B21001A_016M,B21001A_016MA,B21001A_017E,B21001A_017EA,B21001A_017M,B21001A_017MA,B21001A_018E,B21001A_018EA,B21001A_018M,B21001A_018MA,B21001A_019E,B21001A_019EA,B21001A_019M,B21001A_019MA,B21001A_020E,B21001A_020EA,B21001A_020M,B21001A_020MA,B21001A_021E,B21001A_021EA,B21001A_021M,B21001A_021MA,B21001A_022E,B21001A_022EA,B21001A_022M,B21001A_022MA,B21001A_023E,B21001A_023EA,B21001A_023M,B21001A_023MA,B21001A_024E,B21001A_024EA,B21001A_024M,B21001A_024MA,B21001A_025E,B21001A_025EA,B21001A_025M,B21001A_025MA,B21001A_026E,B21001A_026EA,B21001A_026M,B21001A_026MA,B21001A_027E,B21001A_027EA,B21001A_027M,B21001A_027MA,B21001A_028E,B21001A_028EA,B21001A_028M,B21001A_028MA,B21001A_029E,B21001A_029EA,B21001A_029M,B21001A_029MA,B21001A_030E,B21001A_030EA,B21001A_030M,B21001A_030MA,B21001A_031E,B21001A_031EA,B21001A_031M,B21001A_031MA,B21001A_032E,B21001A_032EA,B21001A_032M,B21001A_032MA,B21001A_033E,B21001A_033EA,B21001A_033M,B21001A_033MA,GEO_ID,NAME,state
2550987,null,3951,null,1225373,null,3475,null,347170,null,3258,null,16726,null,2478,null,330444,null,4181,null,454874,null,2378,null,70740,null,3536,null,384134,null,3998,null,202289,null,696,null,75510,null,3302,null,126779,null,3184,null,130346,null,798,null,61659,null,2480,null,68687,null,2412,null,90694,null,798,null,65695,null,2044,null,24999,null,1984,null,1325614,null,2379,null,347996,null,2385,null,2737,null,890,null,345259,null,2280,null,461126,null,1699,null,6668,null,1166,null,454458,null,1884,null,215021,null,687,null,3110,null,951,null,211911,null,1201,null,152129,null,529,null,1079,null,430,null,151050,null,689,null,149342,null,646,null,1654,null,474,null,147688,null,791,null,0400000US01,Alabama,01
355315,null,2616,null,184310,null,2210,null,60856,null,2290,null,6924,null,1340,null,53932,null,2422,null,70856,null,1435,null,17066,null,1861,null,53790,null,2132,null,33178,null,538,null,14584,null,1260,null,18594,null,1200,null,12809,null,323,null,7152,null,899,null,5657,null,926,null,6611,null,339,null,4860,null,532,null,1751,null,524,null,171005,null,1184,null,53273,null,1155,null,1717,null,713,null,51556,null,1288,null,69418,null,742,null,3167,null,775,null,66251,null,1114,null,28532,null,335,null,1273,null,532,null,27259,null,625,null,11733,null,667,null,479,null,368,null,11254,null,744,null,8049,null,564,null,148,null,208,null,7901,null,665,null,0400000US02,Alaska,02
3987716,null,14214,null,1978499,null,9110,null,625147,null,6798,null,29969,null,3722,null,595178,null,7935,null,705420,null,5299,null,98518,null,5081,null,606902,null,7124,null,291492,null,1975,null,106660,null,3791,null,184832,null,4186,null,192523,null,1134,null,91597,null,3489,null,100926,null,3328,null,163917,null,1056,null,118650,null,2957,null,45267,null,2701,null,2009217,null,7755,null,567728,null,5449,null,4939,null,1165,null,562789,null,5471,null,689898,null,3770,null,13280,null,1736,null,676618,null,3985,null,317938,null,1862,null,5174,null,982,null,312764,null,2020,null,217287,null,1406,null,2451,null,808,null,214836,null,1626,null,216366,null,1226,null,4669,null,1143,null,211697,null,1824,null,0400000US04,Arizona,04
1747896,null,4337,null,845008,null,3105,null,248114,null,2824,null,16201,null,2645,null,231913,null,3955,null,301761,null,2089,null,43232,null,3438,null,258529,null,3640,null,137122,null,736,null,51400,null,2891,null,85722,null,2901,null,91397,null,773,null,43912,null,1853,null,47485,null,1930,null,66614,null,559,null,47078,null,1906,null,19536,null,1874,null,902888,null,2243,null,239044,null,2036,null,1348,null,688,null,237696,null,2175,null,310167,null,1864,null,4814,null,1099,null,305353,null,1969,null,146379,null,1022,null,2221,null,987,null,144158,null,1355,null,103609,null,848,null,1167,null,557,null,102442,null,1015,null,103689,null,639,null,1274,null,498,null,102415,null,833,null,0400000US05,Arkansas,05
17570018,null,51278,null,8699118,null,30539,null,2730176,null,18694,null,92788,null,6247,null,2637388,null,17903,null,3323566,null,14225,null,295124,null,8830,null,3028442,null,14407,null,1315390,null,5868,null,369864,null,8603,null,945526,null,9346,null,737508,null,3464,null,314438,null,6234,null,423070,null,6595,null,592478,null,2827,null,384718,null,5207,null,207760,null,5479,null,8870900,null,25394,null,2551668,null,13919,null,19293,null,2528,null,2532375,null,14450,null,3198231,null,11745,null,32829,null,2964,null,3165402,null,12303,null,1366034,null,5266,null,13874,null,1917,null,1352160,null,5409,null,841397,null,3700,null,8112,null,1206,null,833285,null,3890,null,913570,null,3222,null,16311,null,2090,null,897259,null,3879,null,0400000US06,California,06
3255754,null,10282,null,1618792,null,6939,null,517999,null,5149,null,23535,null,2438,null,494464,null,5596,null,629339,null,3850,null,90626,null,4210,null,538713,null,5944,null,255139,null,1773,null,87438,null,3838,null,167701,null,3903,null,129731,null,1209,null,66540,null,2644,null,63191,null,2713,null,86584,null,828,null,62522,null,2059,null,24062,null,2093,null,1636962,null,5193,null,484534,null,3430,null,4126,null,1095,null,480408,null,3566,null,615492,null,3008,null,12474,null,2045,null,603018,null,3750,null,262974,null,1441,null,3891,null,857,null,259083,null,1722,null,142170,null,1113,null,2100,null,587,null,140070,null,1203,null,131792,null,1167,null,2524,null,539,null,129268,null,1315,null,0400000US08,Colorado,08
2193914,null,7434,null,1049338,null,4562,null,273036,null,3080,null,8428,null,1419,null,264608,null,3316,null,414306,null,2062,null,34999,null,2704,null,379307,null,3560,null,178391,null,1001,null,47969,null,2651,null,130422,null,2888,null,101053,null,665,null,47379,null,2328,null,53674,null,2404,null,82552,null,460,null,57431,null,1545,null,25121,null,1538,null,1144576,null,3873,null,267411,null,2242,null,1192,null,637,null,266219,null,2278,null,430762,null,2239,null,2627,null,672,null,428135,null,2374,null,188521,null,1227,null,1228,null,516,null,187293,null,1393,null,118378,null,776,null,376,null,279,null,118002,null,836,null,139504,null,658,null,1911,null,540,null,137593,null,805,null,0400000US09,Connecticut,09
498631,null,2967,null,237712,null,2215,null,65576,null,1553,null,3357,null,1072,null,62219,null,1844,null,85728,null,909,null,11218,null,1484,null,74510,null,1663,null,39938,null,619,null,15869,null,1182,null,24069,null,1298,null,26046,null,274,null,12987,null,1063,null,13059,null,1102,null,20424,null,116,null,15072,null,906,null,5352,null,902,null,260919,null,1188,null,66897,null,704,null,765,null,461,null,66132,null,885,null,90669,null,651,null,2364,null,730,null,88305,null,940,null,42974,null,359,null,198,null,145,null,42776,null,376,null,30277,null,336,null,100,null,118,null,30177,null,341,null,30102,null,375,null,399,null,282,null,29703,null,461,null,0400000US10,Delaware,10
200337,null,2810,null,99318,null,1661,null,43008,null,1202,null,1296,null,673,null,41712,null,1306,null,33529,null,1078,null,2007,null,599,null,31522,null,1249,null,11469,null,542,null,2059,null,601,null,9410,null,932,null,7245,null,616,null,2263,null,619,null,4982,null,857,null,4067,null,155,null,3021,null,463,null,1046,null,495,null,101019,null,1723,null,47337,null,884,null,269,null,235,null,47068,null,921,null,28117,null,916,null,432,null,291,null,27685,null,950,null,12343,null,473,null,0,null,296,null,12343,null,473,null,6926,null,441,null,46,null,77,null,6880,null,447,null,6296,null,470,null,149,null,145,null,6147,null,487,null,0400000US11,District of Columbia,11
11400873,null,21303,null,5538376,null,13316,null,1454969,null,10249,null,59649,null,4743,null,1395320,null,10672,null,1947845,null,7518,null,262440,null,8675,null,1685405,null,11851,null,869513,null,2504,null,286545,null,7484,null,582968,null,8342,null,634697,null,2028,null,291225,null,5203,null,343472,null,5318,null,631352,null,2745,null,423092,null,5167,null,208260,null,5792,null,5862497,null,11075,null,1359386,null,7123,null,12665,null,2071,null,1346721,null,7456,null,1961040,null,5333,null,38376,null,3310,null,1922664,null,6196,null,951263,null,2635,null,12394,null,1682,null,938869,null,3120,null,729029,null,2040,null,7274,null,1183,null,721755,null,2489,null,861779,null,2289,null,15627,null,1856,null,846152,null,2986,null,0400000US12,Florida,12
