C27001A_001E,C27001A_001EA,C27001A_001M,C27001A_001MA,C27001A_002E,C27001A_002EA,C27001A_002M,C27001A_002MA,C27001A_003E,C27001A_003EA,C27001A_003M,C27001A_003MA,C27001A_004E,C27001A_004EA,C27001A_004M,C27001A_004MA,C27001A_005E,C27001A_005EA,C27001A_005M,C27001A_005MA,C27001A_006E,C27001A_006EA,C27001A_006M,C27001A_006MA,C27001A_007E,C27001A_007EA,C27001A_007M,C27001A_007MA,C27001A_008E,C27001A_008EA,C27001A_008M,C27001A_008MA,C27001A_009E,C27001A_009EA,C27001A_009M,C27001A_009MA,C27001A_010E,C27001A_010EA,C27001A_010M,C27001A_010MA,GEO_ID,NAME,state
3237402,null,5547,null,724181,null,3022,null,684187,null,5902,null,39994,null,4805,null,2010914,null,4078,null,1668893,null,10551,null,342021,null,10607,null,502307,null,2030,null,501210,null,2058,null,1097,null,601,null,0400000US01,Alabama,01
462018,null,3416,null,109695,null,1374,null,99540,null,2448,null,10155,null,2117,null,313717,null,2859,null,245437,null,4841,null,68280,null,4483,null,38606,null,600,null,38493,null,597,null,113,null,127,null,0400000US02,Alaska,02
5205918,null,22148,null,1269433,null,11195,null,1123238,null,11978,null,146195,null,8848,null,3158210,null,13466,null,2461206,null,17677,null,697004,null,18155,null,778275,null,3245,null,771487,null,3374,null,6788,null,1755,null,0400000US04,Arizona,04
2225065,null,6546,null,509835,null,3477,null,479153,null,4304,null,30682,null,3576,null,1368161,null,4322,null,1044479,null,11056,null,323682,null,11021,null,347069,null,1998,null,346097,null,2010,null,972,null,545,null,0400000US05,Arkansas,05
22810919,null,77809,null,5467570,null,34602,null,4989924,null,35306,null,477646,null,16324,null,14347250,null,48701,null,11203483,null,39321,null,3143767,null,35830,null,2996099,null,9414,null,2959972,null,9846,null,36127,null,4153,null,0400000US06,California,06
4178355,null,15617,null,965473,null,7649,null,874042,null,9504,null,91431,null,7639,null,2738923,null,10327,null,2222291,null,15752,null,516632,null,14953,null,473959,null,2559,null,469597,null,2766,null,4362,null,1254,null,0400000US08,Colorado,08
2740099,null,11296,null,581954,null,5174,null,564324,null,5779,null,17630,null,2776,null,1741672,null,7428,null,1562091,null,10436,null,179581,null,8970,null,416473,null,2117,null,415333,null,2138,null,1140,null,503,null,0400000US09,Connecticut,09
627129,null,4552,null,134554,null,2216,null,125954,null,3219,null,8600,null,2486,null,389410,null,2826,null,339737,null,4627,null,49673,null,4014,null,103165,null,729,null,102630,null,884,null,535,null,451,null,0400000US10,Delaware,10
228507,null,4660,null,29869,null,2056,null,28822,null,2280,null,1047,null,1013,null,175472,null,2748,null,165942,null,2991,null,9530,null,1526,null,23166,null,1752,null,23083,null,1769,null,83,null,142,null,0400000US11,District of Columbia,11
14040265,null,29165,null,2801059,null,11948,null,2407626,null,17642,null,393433,null,14547,null,8449039,null,21465,null,6205538,null,27632,null,2243501,null,32475,null,2790167,null,7893,null,2761720,null,8159,null,28447,null,3679,null,0400000US12,Florida,12
5957426,null,19109,null,1451750,null,8956,null,1316625,null,9491,null,135125,null,9464,null,3758441,null,12455,null,2963793,null,19009,null,794648,null,21459,null,747235,null,2436,null,742275,null,2621,null,4960,null,1711,null,0400000US13,Georgia,13
316595,null,4377,null,60753,null,2138,null,59426,null,2301,null,1327,null,533,null,211045,null,3432,null,185924,null,4422,null,25121,null,3053,null,44797,null,1048,null,44328,null,1025,null,469,null,361,null,0400000US15,Hawaii,15
1404940,null,5283,null,372099,null,3099,null,332422,null,5011,null,39677,null,4375,null,859328,null,3361,null,664285,null,7441,null,195043,null,7871,null,173513,null,1590,null,172487,null,1781,null,1026,null,809,null,0400000US16,Idaho,16
9232257,null,26116,null,2081163,null,12567,null,2004051,null,13553,null,77112,null,5955,null,5894979,null,15486,null,4993057,null,20435,null,901922,null,19148,null,1256115,null,5582,null,1247613,null,5735,null,8502,null,2128,null,0400000US17,Illinois,17
5420704,null,9062,null,1281609,null,4490,null,1173261,null,8816,null,108348,null,8044,null,3414713,null,5954,null,2813262,null,16860,null,601451,null,15894,null,724382,null,3346,null,722079,null,3541,null,2303,null,784,null,0400000US18,Indiana,18
2729408,null,5359,null,621179,null,3069,null,595037,null,4028,null,26142,null,3244,null,1702753,null,3379,null,1514248,null,8513,null,188505,null,8195,null,405476,null,1765,null,405025,null,1828,null,451,null,315,null,0400000US19,Iowa,19
