C05003I_001E,C05003I_001EA,C05003I_001M,C05003I_001MA,C05003I_002E,C05003I_002EA,C05003I_002M,C05003I_002MA,C05003I_003E,C05003I_003EA,C05003I_003M,C05003I_003MA,C05003I_004E,C05003I_004EA,C05003I_004M,C05003I_004MA,C05003I_005E,C05003I_005EA,C05003I_005M,C05003I_005MA,C05003I_006E,C05003I_006EA,C05003I_006M,C05003I_006MA,C05003I_007E,C05003I_007EA,C05003I_007M,C05003I_007MA,C05003I_008E,C05003I_008EA,C05003I_008M,C05003I_008MA,C05003I_009E,C05003I_009EA,C05003I_009M,C05003I_009MA,C05003I_010E,C05003I_010EA,C05003I_010M,C05003I_010MA,C05003I_011E,C05003I_011EA,C05003I_011M,C05003I_011MA,C05003I_012E,C05003I_012EA,C05003I_012M,C05003I_012MA,C05003I_013E,C05003I_013EA,C05003I_013M,C05003I_013MA,C05003I_014E,C05003I_014EA,C05003I_014M,C05003I_014MA,C05003I_015E,C05003I_015EA,C05003I_015M,C05003I_015MA,GEO_ID,NAME,state
148279,null,1956,null,79182,null,2397,null,30880,null,1660,null,26928,null,1954,null,3952,null,1167,null,48302,null,2026,null,11564,null,1582,null,36738,null,2050,null,69097,null,2208,null,30980,null,1963,null,27188,null,1864,null,3792,null,1030,null,38117,null,1486,null,13903,null,1648,null,24214,null,1406,null,0400000US01,Alabama,01
43373,null,231,null,23189,null,828,null,8109,null,583,null,7525,null,751,null,584,null,614,null,15080,null,724,null,9491,null,1495,null,5589,null,1339,null,20184,null,783,null,7373,null,514,null,6863,null,705,null,510,null,491,null,12811,null,700,null,8856,null,975,null,3955,null,731,null,0400000US02,Alaska,02
2031651,null,0,*****,1058398,null,1456,null,387813,null,1464,null,360360,null,3628,null,27453,null,3542,null,670585,null,450,null,360671,null,8273,null,309914,null,8319,null,973253,null,1456,null,366556,null,1466,null,342894,null,3605,null,23662,null,3420,null,606697,null,451,null,337935,null,8654,null,268762,null,8721,null,0400000US04,Arizona,04
172493,null,1908,null,90707,null,2230,null,37754,null,1584,null,33377,null,1359,null,4377,null,1093,null,52953,null,1460,null,14461,null,1599,null,38492,null,1798,null,81786,null,2208,null,34527,null,1863,null,30063,null,1926,null,4464,null,1112,null,47259,null,1365,null,18430,null,1823,null,28829,null,1569,null,0400000US05,Arkansas,05
13681370,null,0,*****,7038377,null,1913,null,2423982,null,1421,null,2248224,null,9317,null,175758,null,8982,null,4614395,null,1123,null,2003344,null,19394,null,2611051,null,19471,null,6642993,null,1914,null,2312748,null,1419,null,2146683,null,8097,null,166065,null,8096,null,4330245,null,1125,null,1944633,null,20726,null,2385612,null,20864,null,0400000US06,California,06
1018208,null,0,*****,530462,null,1631,null,186406,null,1430,null,173002,null,2906,null,13404,null,2631,null,344056,null,1131,null,205929,null,6400,null,138127,null,6365,null,487746,null,1632,null,179900,null,1449,null,166576,null,3094,null,13324,null,2570,null,307846,null,992,null,200040,null,4684,null,107806,null,4680,null,0400000US08,Colorado,08
434471,null,0,*****,219641,null,1068,null,73919,null,849,null,68628,null,1684,null,5291,null,1348,null,145722,null,555,null,87051,null,4112,null,58671,null,4109,null,214830,null,1068,null,70584,null,850,null,66162,null,1411,null,4422,null,1223,null,144246,null,555,null,97608,null,2717,null,46638,null,2759,null,0400000US09,Connecticut,09
63892,null,0,*****,33743,null,681,null,12905,null,543,null,11299,null,909,null,1606,null,789,null,20838,null,335,null,8869,null,1466,null,11969,null,1476,null,30149,null,681,null,12099,null,544,null,11127,null,741,null,972,null,526,null,18050,null,334,null,9409,null,1123,null,8641,null,1159,null,0400000US10,Delaware,10
53025,null,0,*****,27616,null,337,null,7060,null,337,null,6102,null,561,null,958,null,544,null,20556,null,0,*****,6654,null,1617,null,13902,null,1617,null,25409,null,337,null,6900,null,337,null,5339,null,743,null,1561,null,757,null,18509,null,0,*****,6609,null,1113,null,11900,null,1114,null,0400000US11,District of Columbia,11
3988758,null,1790,null,2028532,null,3628,null,549549,null,2942,null,483309,null,5418,null,66240,null,5022,null,1478983,null,2217,null,546958,null,14623,null,932025,null,14766,null,1960226,null,3546,null,519003,null,2668,null,457811,null,5424,null,61192,null,5019,null,1441223,null,1881,null,536346,null,10211,null,904877,null,10496,null,0400000US12,Florida,12
815966,null,2805,null,452784,null,4129,null,165354,null,3165,null,141135,null,4052,null,24219,null,2712,null,287430,null,2425,null,65323,null,4629,null,222107,null,4648,null,363182,null,3914,null,156298,null,3009,null,134648,null,3671,null,21650,null,2780,null,206884,null,1986,null,65976,null,4465,null,140908,null,4183,null,0400000US13,Georgia,13
115966,null,0,*****,60637,null,652,null,21886,null,632,null,21708,null,666,null,178,null,215,null,38751,null,129,null,33138,null,1359,null,5613,null,1370,null,55329,null,652,null,21623,null,632,null,21316,null,656,null,307,null,280,null,33706,null,130,null,28622,null,1085,null,5084,null,1067,null,0400000US15,Hawaii,15
165284,null,0,*****,87714,null,1695,null,36479,null,1543,null,33219,null,2011,null,3260,null,1103,null,51235,null,824,null,20860,null,2264,null,30375,null,2112,null,77570,null,1694,null,32578,null,1428,null,29664,null,1617,null,2914,null,1067,null,44992,null,900,null,24074,null,2049,null,20918,null,1928,null,0400000US16,Idaho,16
