B07004G_001E,B07004G_001EA,B07004G_001M,B07004G_001MA,B07004G_002E,B07004G_002EA,B07004G_002M,B07004G_002MA,B07004G_003E,B07004G_003EA,B07004G_003M,B07004G_003MA,B07004G_004E,B07004G_004EA,B07004G_004M,B07004G_004MA,B07004G_005E,B07004G_005EA,B07004G_005M,B07004G_005MA,B07004G_006E,B07004G_006EA,B07004G_006M,B07004G_006MA,GEO_ID,NAME,state
61858,null,5268,null,48104,null,4671,null,7372,null,1732,null,3381,null,1244,null,2489,null,966,null,512,null,554,null,0400000US01,Alabama,01
48579,null,3690,null,35891,null,3609,null,7513,null,1716,null,3659,null,1435,null,1464,null,707,null,52,null,78,null,0400000US02,Alaska,02
175497,null,10242,null,133977,null,8689,null,29425,null,4313,null,3311,null,1271,null,7696,null,2840,null,1088,null,692,null,0400000US04,Arizona,04
55304,null,4218,null,42425,null,3895,null,7646,null,1868,null,2407,null,935,null,2695,null,1364,null,131,null,172,null,0400000US05,Arkansas,05
1358702,null,27359,null,1100317,null,21186,null,173972,null,11676,null,56005,null,5577,null,18939,null,2702,null,9469,null,1934,null,0400000US06,California,06
156024,null,8695,null,113345,null,6729,null,26724,null,4744,null,8765,null,2047,null,6425,null,2049,null,765,null,558,null,0400000US08,Colorado,08
75662,null,5578,null,61511,null,5156,null,9851,null,2433,null,2324,null,670,null,1610,null,713,null,366,null,354,null,0400000US09,Connecticut,09
18696,null,2807,null,15416,null,2390,null,1540,null,938,null,221,null,170,null,1455,null,996,null,64,null,82,null,0400000US10,Delaware,10
10867,null,1932,null,7887,null,1814,null,1030,null,480,null,0,null,296,null,1878,null,851,null,72,null,123,null,0400000US11,District of Columbia,11
345688,null,14676,null,275727,null,12341,null,41868,null,5603,null,13780,null,3337,null,11839,null,2253,null,2474,null,951,null,0400000US12,Florida,12
153831,null,10628,null,118538,null,8403,null,17507,null,3677,null,9768,null,2152,null,7420,null,1903,null,598,null,500,null,0400000US13,Georgia,13
298710,null,12516,null,250397,null,12791,null,36153,null,4917,null,4694,null,2008,null,6298,null,2076,null,1168,null,600,null,0400000US15,Hawaii,15
37643,null,3606,null,29898,null,3500,null,3406,null,1217,null,2355,null,1127,null,1936,null,755,null,48,null,80,null,0400000US16,Idaho,16
219851,null,11501,null,176469,null,9751,null,28044,null,4531,null,8117,null,2349,null,6301,null,2483,null,920,null,471,null,0400000US17,Illinois,17
112773,null,6553,null,84024,null,6157,null,19995,null,2706,null,4982,null,1117,null,3443,null,928,null,329,null,228,null,0400000US18,Indiana,18
52653,null,4597,null,37940,null,4318,null,9518,null,2223,null,2491,null,987,null,2569,null,761,null,135,null,223,null,0400000US19,Iowa,19
