B10057_001E,B10057_001EA,B10057_001M,B10057_001MA,B10057_002E,B10057_002EA,B10057_002M,B10057_002MA,B10057_003E,B10057_003EA,B10057_003M,B10057_003MA,B10057_004E,B10057_004EA,B10057_004M,B10057_004MA,B10057_005E,B10057_005EA,B10057_005M,B10057_005MA,B10057_006E,B10057_006EA,B10057_006M,B10057_006MA,B10057_007E,B10057_007EA,B10057_007M,B10057_007MA,B10057_008E,B10057_008EA,B10057_008M,B10057_008MA,B10057_009E,B10057_009EA,B10057_009M,B10057_009MA,B10057_010E,B10057_010EA,B10057_010M,B10057_010MA,B10057_011E,B10057_011EA,B10057_011M,B10057_011MA,GEO_ID,NAME,state
116708,null,7329,null,72767,null,6580,null,43598,null,3942,null,30622,null,3386,null,12976,null,1813,null,29169,null,4298,null,43941,null,3442,null,21276,null,2376,null,14543,null,2152,null,6733,null,1096,null,22665,null,2487,null,0400000US01,Alabama,01
16036,null,2164,null,9186,null,1669,null,4659,null,1156,null,3588,null,1030,null,1071,null,394,null,4527,null,1147,null,6850,null,1692,null,2876,null,1373,null,1176,null,609,null,1700,null,1252,null,3974,null,1143,null,0400000US02,Alaska,02
168101,null,7973,null,105508,null,7397,null,47409,null,4628,null,31500,null,3905,null,15909,null,2078,null,58099,null,6061,null,62593,null,5163,null,17316,null,2551,null,11879,null,2400,null,5437,null,1076,null,45277,null,4625,null,0400000US04,Arizona,04
64123,null,4447,null,41954,null,3431,null,27152,null,3078,null,18029,null,2624,null,9123,null,1694,null,14802,null,2424,null,22169,null,2581,null,10714,null,1461,null,6933,null,1394,null,3781,null,913,null,11455,null,2100,null,0400000US05,Arkansas,05
1041855,null,18566,null,694532,null,15605,null,223032,null,10041,null,148224,null,8409,null,74808,null,5187,null,471500,null,12983,null,347323,null,10079,null,75525,null,4671,null,43325,null,4125,null,32200,null,2822,null,271798,null,8592,null,0400000US06,California,06
81255,null,4785,null,51965,null,4460,null,23033,null,3092,null,16750,null,2516,null,6283,null,1387,null,28932,null,3440,null,29290,null,3312,null,10079,null,1976,null,6745,null,1709,null,3334,null,810,null,19211,null,2527,null,0400000US08,Colorado,08
71536,null,5694,null,41716,null,4931,null,16090,null,2745,null,10899,null,2452,null,5191,null,1554,null,25626,null,3548,null,29820,null,2719,null,7884,null,1530,null,5011,null,1322,null,2873,null,792,null,21936,null,2483,null,0400000US09,Connecticut,09
17741,null,2101,null,10618,null,1907,null,5300,null,1363,null,3369,null,1025,null,1931,null,652,null,5318,null,1447,null,7123,null,1187,null,2802,null,744,null,2123,null,746,null,679,null,356,null,4321,null,996,null,0400000US10,Delaware,10
12024,null,1990,null,5485,null,1545,null,2014,null,823,null,1045,null,561,null,969,null,609,null,3471,null,1205,null,6539,null,1513,null,2047,null,745,null,1388,null,565,null,659,null,410,null,4492,null,1325,null,0400000US11,District of Columbia,11
425421,null,11945,null,254886,null,10304,null,113484,null,6396,null,71636,null,5344,null,41848,null,4081,null,141402,null,8480,null,170535,null,7973,null,47337,null,4021,null,27585,null,2887,null,19752,null,2277,null,123198,null,7167,null,0400000US12,Florida,12
