C14007G_001E,C14007G_001EA,C14007G_001M,C14007G_001MA,C14007G_002E,C14007G_002EA,C14007G_002M,C14007G_002MA,C14007G_003E,C14007G_003EA,C14007G_003M,C14007G_003MA,C14007G_004E,C14007G_004EA,C14007G_004M,C14007G_004MA,C14007G_005E,C14007G_005EA,C14007G_005M,C14007G_005MA,C14007G_006E,C14007G_006EA,C14007G_006M,C14007G_006MA,C14007G_007E,C14007G_007EA,C14007G_007M,C14007G_007MA,GEO_ID,NAME,state
57845,null,4909,null,23974,null,2905,null,3282,null,901,null,11680,null,2177,null,4415,null,1180,null,4597,null,1160,null,33871,null,2999,null,0400000US01,Alabama,01
44163,null,3479,null,19937,null,2501,null,2447,null,789,null,8962,null,1203,null,5061,null,1306,null,3467,null,1050,null,24226,null,2461,null,0400000US02,Alaska,02
164198,null,9668,null,86155,null,6539,null,11699,null,1920,null,40484,null,4025,null,17333,null,2863,null,16639,null,2393,null,78043,null,5849,null,0400000US04,Arizona,04
51090,null,4012,null,20313,null,2438,null,3091,null,999,null,9084,null,1738,null,4902,null,1161,null,3236,null,1031,null,30777,null,3201,null,0400000US05,Arkansas,05
1266873,null,26119,null,618245,null,16645,null,95447,null,5116,null,266904,null,9128,null,122910,null,5582,null,132984,null,6927,null,648628,null,16189,null,0400000US06,California,06
146272,null,8189,null,72788,null,5850,null,12879,null,1921,null,34131,null,3693,null,13183,null,1974,null,12595,null,1914,null,73484,null,5097,null,0400000US08,Colorado,08
69067,null,5536,null,38045,null,3954,null,5641,null,1537,null,17501,null,2304,null,7771,null,1424,null,7132,null,1445,null,31022,null,3121,null,0400000US09,Connecticut,09
16675,null,2641,null,9150,null,2105,null,1917,null,924,null,3839,null,1404,null,1430,null,680,null,1964,null,778,null,7525,null,1491,null,0400000US10,Delaware,10
9099,null,1676,null,3706,null,1085,null,1003,null,705,null,492,null,407,null,508,null,385,null,1703,null,801,null,5393,null,1196,null,0400000US11,District of Columbia,11
319676,null,13658,null,138619,null,8116,null,20202,null,2477,null,65337,null,5266,null,27354,null,2942,null,25726,null,3516,null,181057,null,8060,null,0400000US12,Florida,12
142023,null,10067,null,73008,null,6556,null,12660,null,1950,null,33048,null,4110,null,14071,null,2471,null,13229,null,2003,null,69015,null,5712,null,0400000US13,Georgia,13
283934,null,12196,null,113644,null,5602,null,16647,null,2046,null,49232,null,3664,null,25179,null,2111,null,22586,null,2213,null,170290,null,8481,null,0400000US15,Hawaii,15
34050,null,3473,null,17231,null,2505,null,3056,null,904,null,7112,null,1263,null,3970,null,1482,null,3093,null,900,null,16819,null,2307,null,0400000US16,Idaho,16
199867,null,10620,null,109292,null,6897,null,21557,null,2786,null,49746,null,4684,null,18313,null,2168,null,19676,null,2010,null,90575,null,6189,null,0400000US17,Illinois,17
105486,null,6295,null,53489,null,4353,null,7943,null,1572,null,26705,null,3214,null,10967,null,1657,null,7874,null,1337,null,51997,null,4000,null,0400000US18,Indiana,18
48275,null,4126,null,28082,null,3004,null,5114,null,1132,null,13974,null,1835,null,6406,null,1135,null,2588,null,606,null,20193,null,2779,null,0400000US19,Iowa,19
72808,null,5414,null,35747,null,3599,null,5328,null,1121,null,17951,null,2134,null,7134,null,1506,null,5334,null,1116,null,37061,null,3236,null,0400000US20,Kansas,20
59252,null,4956,null,29377,null,3377,null,4999,null,1076,null,15503,null,1988,null,5901,null,1236,null,2974,null,843,null,29875,null,2976,null,0400000US21,Kentucky,21
55210,null,5805,null,26819,null,4142,null,6340,null,1670,null,11641,null,2274,null,5614,null,1389,null,3224,null,1037,null,28391,null,2898,null,0400000US22,Louisiana,22
22925,null,2613,null,9236,null,1309,null,1050,null,539,null,3480,null,856,null,2239,null,666,null,2467,null,815,null,13689,null,1999,null,0400000US23,Maine,23
113671,null,7357,null,56642,null,5072,null,9407,null,1605,null,24131,null,2892,null,10752,null,1856,null,12352,null,2103,null,57029,null,4761,null,0400000US24,Maryland,24
137718,null,8655,null,64199,null,5206,null,11516,null,1636,null,29930,null,2901,null,12323,null,2030,null,10430,null,1491,null,73519,null,5582,null,0400000US25,Massachusetts,25
176850,null,9235,null,89559,null,6331,null,13486,null,1780,null,42053,null,3734,null,17849,null,2290,null,16171,null,1999,null,87291,null,5656,null,0400000US26,Michigan,26
92197,null,5060,null,50460,null,3804,null,8540,null,1238,null,25924,null,2581,null,9163,null,1267,null,6833,null,1418,null,41737,null,2909,null,0400000US27,Minnesota,27
32038,null,4020,null,13912,null,2642,null,1769,null,718,null,7262,null,1725,null,2691,null,974,null,2190,null,858,null,18126,null,2583,null,0400000US28,Mississippi,28
112881,null,7133,null,52366,null,4180,null,10551,null,1878,null,23611,null,2957,null,8647,null,1458,null,9557,null,1642,null,60515,null,4647,null,0400000US29,Missouri,29
19998,null,2250,null,11204,null,1402,null,1040,null,511,null,6447,null,1053,null,2178,null,908,null,1539,null,609,null,8794,null,1426,null,0400000US30,Montana,30
33418,null,2994,null,14381,null,1790,null,2052,null,670,null,6432,null,1253,null,2973,null,743,null,2924,null,692,null,19037,null,2213,null,0400000US31,Nebraska,31
78414,null,6605,null,32979,null,4121,null,3674,null,1147,null,16803,null,2595,null,7707,null,1733,null,4795,null,985,null,45435,null,4248,null,0400000US32,Nevada,32
15103,null,1967,null,6989,null,1291,null,1119,null,711,null,2934,null,706,null,1420,null,460,null,1516,null,557,null,8114,null,1245,null,0400000US33,New Hampshire,33
168138,null,10886,null,75950,null,6337,null,13148,null,1942,null,32005,null,3675,null,15900,null,2499,null,14897,null,2381,null,92188,null,6600,null,0400000US34,New Jersey,34
56114,null,5886,null,25354,null,3860,null,3269,null,1014,null,11410,null,2253,null,4552,null,1141,null,6123,null,1708,null,30760,null,3811,null,0400000US35,New Mexico,35
354913,null,14354,null,161261,null,9081,null,23521,null,3065,null,72395,null,5302,null,32273,null,3118,null,33072,null,3042,null,193652,null,9393,null,0400000US36,New York,36
171469,null,10310,null,88422,null,6506,null,14434,null,2482,null,39845,null,4138,null,14805,null,2144,null,19338,null,2388,null,83047,null,6692,null,0400000US37,North Carolina,37
8848,null,1472,null,4262,null,989,null,816,null,361,null,1847,null,677,null,992,null,479,null,607,null,345,null,4586,null,1008,null,0400000US38,North Dakota,38
180862,null,8631,null,97043,null,6190,null,15228,null,1903,null,45851,null,3977,null,21199,null,2686,null,14765,null,1884,null,83819,null,5366,null,0400000US39,Ohio,39
242042,null,7946,null,97912,null,4871,null,14951,null,1874,null,44929,null,2757,null,20429,null,2047,null,17603,null,2288,null,144130,null,5390,null,0400000US40,Oklahoma,40
120843,null,7434,null,55562,null,4284,null,8209,null,1184,null,25668,null,2890,null,12817,null,2053,null,8868,null,1821,null,65281,null,4628,null,0400000US41,Oregon,41
174712,null,8652,null,89426,null,5290,null,14397,null,1762,null,44424,null,4203,null,16249,null,2068,null,14356,null,1780,null,85286,null,5297,null,0400000US42,Pennsylvania,42
17016,null,2844,null,6292,null,1448,null,909,null,469,null,3464,null,1016,null,773,null,506,null,1146,null,570,null,10724,null,2120,null,0400000US44,Rhode Island,44
59076,null,5399,null,32435,null,3836,null,5652,null,1302,null,15492,null,2595,null,5799,null,1617,null,5492,null,1378,null,26641,null,3064,null,0400000US45,South Carolina,45
15096,null,2485,null,6913,null,1479,null,1731,null,659,null,2994,null,891,null,1294,null,541,null,894,null,426,null,8183,null,1788,null,0400000US46,South Dakota,46
90145,null,6198,null,39923,null,4051,null,6366,null,1196,null,19772,null,2949,null,7406,null,1450,null,6379,null,1315,null,50222,null,4306,null,0400000US47,Tennessee,47
475964,null,15200,null,216077,null,8505,null,32894,null,3317,null,104077,null,5916,null,42119,null,3643,null,36987,null,3162,null,259887,null,10774,null,0400000US48,Texas,48
54636,null,5346,null,32024,null,3841,null,4216,null,1203,null,15860,null,2567,null,6229,null,1470,null,5719,null,1560,null,22612,null,2537,null,0400000US49,Utah,49
10511,null,1357,null,4276,null,1019,null,517,null,308,null,2000,null,636,null,977,null,445,null,782,null,468,null,6235,null,790,null,0400000US50,Vermont,50
168899,null,11494,null,89445,null,7131,null,14163,null,2035,null,39844,null,4683,null,16951,null,2418,null,18487,null,2190,null,79454,null,6616,null,0400000US51,Virginia,51
254466,null,10233,null,122893,null,7294,null,18406,null,2444,null,57905,null,4682,null,24537,null,2410,null,22045,null,2880,null,131573,null,6212,null,0400000US53,Washington,53
26809,null,3069,null,10483,null,1787,null,1951,null,986,null,4714,null,1019,null,1653,null,597,null,2165,null,680,null,16326,null,2367,null,0400000US54,West Virginia,54
77680,null,5778,null,42906,null,4038,null,7937,null,1363,null,20654,null,2505,null,8453,null,1700,null,5862,null,1152,null,34774,null,3079,null,0400000US55,Wisconsin,55
12783,null,1884,null,6156,null,1282,null,1143,null,617,null,2935,null,1005,null,1338,null,504,null,740,null,436,null,6627,null,1377,null,0400000US56,Wyoming,56
420931,null,14464,null,131575,null,6581,null,12147,null,1824,null,56776,null,4284,null,30919,null,3421,null,31733,null,3042,null,289356,null,10055,null,0400000US72,Puerto Rico,72
