B17007_001E,B17007_001EA,B17007_001M,B17007_001MA,B17007_002E,B17007_002EA,B17007_002M,B17007_002MA,B17007_003E,B17007_003EA,B17007_003M,B17007_003MA,B17007_004E,B17007_004EA,B17007_004M,B17007_004MA,B17007_005E,B17007_005EA,B17007_005M,B17007_005MA,B17007_006E,B17007_006EA,B17007_006M,B17007_006MA,B17007_007E,B17007_007EA,B17007_007M,B17007_007MA,B17007_008E,B17007_008EA,B17007_008M,B17007_008MA,B17007_009E,B17007_009EA,B17007_009M,B17007_009MA,B17007_010E,B17007_010EA,B17007_010M,B17007_010MA,B17007_011E,B17007_011EA,B17007_011M,B17007_011MA,B17007_012E,B17007_012EA,B17007_012M,B17007_012MA,B17007_013E,B17007_013EA,B17007_013M,B17007_013MA,B17007_014E,B17007_014EA,B17007_014M,B17007_014MA,B17007_015E,B17007_015EA,B17007_015M,B17007_015MA,B17007_016E,B17007_016EA,B17007_016M,B17007_016MA,B17007_017E,B17007_017EA,B17007_017M,B17007_017MA,B17007_018E,B17007_018EA,B17007_018M,B17007_018MA,B17007_019E,B17007_019EA,B17007_019M,B17007_019MA,B17007_020E,B17007_020EA,B17007_020M,B17007_020MA,B17007_021E,B17007_021EA,B17007_021M,B17007_021MA,B17007_022E,B17007_022EA,B17007_022M,B17007_022MA,B17007_023E,B17007_023EA,B17007_023M,B17007_023MA,B17007_024E,B17007_024EA,B17007_024M,B17007_024MA,B17007_025E,B17007_025EA,B17007_025M,B17007_025MA,B17007_026E,B17007_026EA,B17007_026M,B17007_026MA,B17007_027E,B17007_027EA,B17007_027M,B17007_027MA,B17007_028E,B17007_028EA,B17007_028M,B17007_028MA,B17007_029E,B17007_029EA,B17007_029M,B17007_029MA,B17007_030E,B17007_030EA,B17007_030M,B17007_030MA,B17007_031E,B17007_031EA,B17007_031M,B17007_031MA,B17007_032E,B17007_032EA,B17007_032M,B17007_032MA,B17007_033E,B17007_033EA,B17007_033M,B17007_033MA,B17007_034E,B17007_034EA,B17007_034M,B17007_034MA,B17007_035E,B17007_035EA,B17007_035M,B17007_035MA,B17007_036E,B17007_036EA,B17007_036M,B17007_036MA,B17007_037E,B17007_037EA,B17007_037M,B17007_037MA,B17007_038E,B17007_038EA,B17007_038M,B17007_038MA,B17007_039E,B17007_039EA,B17007_039M,B17007_039MA,B17007_040E,B17007_040EA,B17007_040M,B17007_040MA,B17007_041E,B17007_041EA,B17007_041M,B17007_041MA,B17007_042E,B17007_042EA,B17007_042M,B17007_042MA,B17007_043E,B17007_043EA,B17007_043M,B17007_043MA,GEO_ID,NAME,state
771422,null,14196,null,235582,null,8138,null,104118,null,5428,null,502,null,392,null,630,null,369,null,27265,null,3544,null,19578,null,2924,null,12501,null,1890,null,17363,null,2564,null,14634,null,1808,null,6562,null,1147,null,5083,null,1080,null,131464,null,5406,null,308,null,281,null,906,null,398,null,28885,null,3079,null,13714,null,1827,null,12615,null,1588,null,20311,null,2561,null,19597,null,2063,null,14458,null,1742,null,20670,null,1845,null,535840,null,12605,null,263462,null,9327,null,0,null,273,null,44,null,75,null,24244,null,2990,null,62906,null,5339,null,46941,null,3294,null,50745,null,3544,null,36508,null,2937,null,21768,null,2164,null,20306,null,1882,null,272378,null,7118,null,0,null,273,null,68,null,104,null,21400,null,2964,null,36176,null,3214,null,24034,null,2827,null,38837,null,3061,null,45341,null,2776,null,45923,null,2724,null,60599,null,3004,null,0400000US01,Alabama,01
133040,null,5897,null,24475,null,2718,null,12053,null,1999,null,216,null,254,null,368,null,304,null,2254,null,977,null,2325,null,909,null,2346,null,669,null,2300,null,792,null,1856,null,619,null,315,null,210,null,73,null,137,null,12422,null,1698,null,113,null,173,null,552,null,342,null,4036,null,1246,null,1996,null,906,null,2056,null,709,null,1449,null,544,null,1250,null,478,null,329,null,247,null,641,null,318,null,108565,null,5433,null,61066,null,3932,null,0,null,244,null,0,null,244,null,7152,null,1470,null,17099,null,2142,null,10013,null,1263,null,12892,null,1634,null,7827,null,1328,null,4216,null,767,null,1867,null,481,null,47499,null,3173,null,0,null,244,null,183,null,297,null,7100,null,1601,null,8271,null,1375,null,6683,null,1515,null,9380,null,1292,null,8504,null,1261,null,4168,null,717,null,3210,null,690,null,0400000US02,Alaska,02
1193223,null,23390,null,310202,null,11252,null,153845,null,9089,null,800,null,536,null,2838,null,1130,null,40760,null,4971,null,32040,null,4616,null,21462,null,3355,null,22610,null,3233,null,21259,null,3035,null,6809,null,1447,null,5267,null,1229,null,156357,null,7108,null,1080,null,676,null,2114,null,795,null,36368,null,4079,null,27627,null,3420,null,16364,null,2672,null,23153,null,2602,null,21408,null,2434,null,11421,null,1390,null,16822,null,2133,null,883021,null,17941,null,458180,null,11454,null,35,null,63,null,0,null,305,null,39959,null,3971,null,126212,null,6964,null,85044,null,5545,null,78760,null,5206,null,57035,null,3875,null,36126,null,2552,null,35009,null,3079,null,424841,null,10830,null,0,null,305,null,56,null,91,null,34446,null,3447,null,74055,null,5472,null,48660,null,4319,null,64931,null,4069,null,68263,null,3802,null,56921,null,3094,null,77509,null,3832,null,0400000US04,Arizona,04
473201,null,12217,null,145162,null,6414,null,64405,null,4304,null,97,null,125,null,1021,null,566,null,17524,null,3142,null,12610,null,2121,null,7203,null,1307,null,11826,null,1622,null,7255,null,1370,null,3551,null,851,null,3318,null,826,null,80757,null,4530,null,179,null,191,null,1090,null,561,null,18364,null,2735,null,7972,null,1575,null,6298,null,1375,null,11324,null,1682,null,11752,null,1446,null,8656,null,1370,null,15122,null,1988,null,328039,null,10406,null,164450,null,7345,null,0,null,273,null,0,null,273,null,17697,null,2500,null,36690,null,3627,null,24894,null,2731,null,29553,null,2641,null,26442,null,2313,null,16038,null,1751,null,13136,null,1595,null,163589,null,5567,null,0,null,273,null,0,null,273,null,9861,null,1792,null,21750,null,2864,null,14547,null,2037,null,23181,null,2372,null,28200,null,2101,null,26788,null,1860,null,39262,null,2070,null,0400000US05,Arkansas,05
6411271,null,35784,null,1550665,null,23578,null,714349,null,17799,null,4968,null,1347,null,13701,null,2042,null,169341,null,10735,null,146059,null,7496,null,115599,null,7978,null,116214,null,6211,null,89029,null,4680,null,31015,null,3042,null,28423,null,3213,null,836316,null,15583,null,5039,null,1075,null,13637,null,2098,null,200115,null,9306,null,147539,null,8149,null,95666,null,5727,null,113356,null,6223,null,105993,null,4755,null,61150,null,4125,null,93821,null,5067,null,4860606,null,32057,null,2536595,null,24079,null,105,null,124,null,1297,null,870,null,215553,null,9793,null,712888,null,14333,null,485175,null,12609,null,462003,null,9586,null,328471,null,8443,null,177417,null,5123,null,153686,null,5042,null,2324011,null,23493,null,172,null,210,null,274,null,307,null,187231,null,8629,null,474563,null,10360,null,295934,null,8908,null,336227,null,8553,null,354225,null,8455,null,281660,null,7564,null,393725,null,6713,null,0400000US06,California,06
1006402,null,14958,null,230492,null,8870,null,112749,null,6764,null,596,null,458,null,1487,null,629,null,38251,null,3947,null,22803,null,2562,null,14920,null,2635,null,15314,null,2110,null,11711,null,1954,null,4639,null,994,null,3028,null,800,null,117743,null,6328,null,831,null,484,null,2094,null,818,null,40729,null,4046,null,15959,null,2294,null,11938,null,2111,null,12516,null,2205,null,10477,null,1487,null,9036,null,1503,null,14163,null,2056,null,775910,null,14398,null,412495,null,10238,null,0,null,279,null,256,null,343,null,51054,null,4402,null,114585,null,5702,null,76754,null,4818,null,73098,null,4361,null,53647,null,3837,null,23419,null,1938,null,19682,null,1914,null,363415,null,9264,null,82,null,137,null,0,null,279,null,36608,null,3234,null,75188,null,4172,null,43599,null,3075,null,54525,null,3032,null,60746,null,3307,null,40378,null,2510,null,52289,null,2938,null,0400000US08,Colorado,08
609146,null,13986,null,124542,null,7037,null,57270,null,4908,null,195,null,173,null,698,null,443,null,15294,null,3092,null,10254,null,1765,null,6835,null,1364,null,8935,null,1691,null,9496,null,1360,null,2907,null,735,null,2656,null,843,null,67272,null,4904,null,360,null,359,null,990,null,519,null,13850,null,2855,null,8020,null,1558,null,6347,null,1427,null,9830,null,1665,null,11365,null,1585,null,6303,null,1139,null,10207,null,1501,null,484604,null,12435,null,232885,null,7939,null,0,null,277,null,0,null,277,null,16095,null,2079,null,55256,null,4066,null,42683,null,3032,null,46714,null,3190,null,34360,null,2777,null,21085,null,1867,null,16692,null,1345,null,251719,null,7704,null,0,null,277,null,0,null,277,null,15080,null,2448,null,40512,null,3141,null,24640,null,2958,null,37760,null,3304,null,44271,null,2480,null,35636,null,2197,null,53820,null,2519,null,0400000US09,Connecticut,09
161111,null,7505,null,33795,null,3551,null,13848,null,2070,null,115,null,135,null,614,null,403,null,3092,null,919,null,1777,null,825,null,2119,null,780,null,2823,null,930,null,1957,null,682,null,931,null,571,null,420,null,237,null,19947,null,2524,null,122,null,146,null,137,null,144,null,4445,null,1469,null,2975,null,922,null,1790,null,595,null,3270,null,794,null,3082,null,887,null,1677,null,621,null,2449,null,679,null,127316,null,6025,null,65070,null,4208,null,0,null,263,null,0,null,263,null,5236,null,1347,null,17187,null,2273,null,10794,null,1668,null,12277,null,1574,null,9006,null,1252,null,5527,null,966,null,5043,null,867,null,62246,null,3457,null,0,null,263,null,59,null,102,null,4368,null,1130,null,8290,null,1361,null,7143,null,1368,null,10478,null,1424,null,10792,null,1524,null,8545,null,1126,null,12571,null,1233,null,0400000US10,Delaware,10
202021,null,6743,null,43648,null,3718,null,19436,null,2483,null,0,null,296,null,180,null,244,null,3864,null,1298,null,3577,null,1077,null,1232,null,666,null,4530,null,1067,null,3695,null,954,null,1324,null,591,null,1034,null,500,null,24212,null,2753,null,89,null,150,null,109,null,128,null,4422,null,1135,null,3799,null,1238,null,2247,null,908,null,4176,null,1043,null,4430,null,890,null,2478,null,787,null,2462,null,679,null,158373,null,6055,null,80662,null,3382,null,0,null,296,null,0,null,296,null,3404,null,963,null,27435,null,1970,null,17663,null,1947,null,13418,null,1383,null,10117,null,1229,null,5284,null,1050,null,3341,null,676,null,77711,null,4107,null,48,null,83,null,0,null,296,null,6475,null,1148,null,26018,null,1882,null,11726,null,1742,null,9591,null,1088,null,11583,null,1313,null,6359,null,1095,null,5911,null,1384,null,0400000US11,District of Columbia,11
3588848,null,34693,null,930392,null,20578,null,433344,null,13643,null,2978,null,1140,null,4996,null,1670,null,92689,null,6400,null,77200,null,5589,null,55861,null,5115,null,80946,null,6489,null,60602,null,4173,null,30664,null,3455,null,27408,null,2595,null,497048,null,12951,null,2009,null,810,null,5787,null,1505,null,103341,null,5333,null,61060,null,4735,null,50317,null,4331,null,69444,null,5272,null,64681,null,4528,null,51310,null,3432,null,89099,null,5916,null,2658456,null,29009,null,1331654,null,20907,null,163,null,254,null,118,null,124,null,103826,null,6813,null,301123,null,10321,null,242254,null,8495,null,244241,null,8367,null,183223,null,6460,null,122180,null,5209,null,134526,null,4786,null,1326802,null,16516,null,0,null,305,null,269,null,361,null,85779,null,5426,null,199573,null,9052,null,138286,null,6473,null,188184,null,6889,null,214362,null,7173,null,192299,null,5520,null,308050,null,7211,null,0400000US12,Florida,12
1590603,null,23648,null,433022,null,12706,null,189678,null,9142,null,937,null,505,null,2429,null,796,null,50998,null,5222,null,33196,null,4726,null,27456,null,4036,null,28973,null,3443,null,25859,null,2635,null,11293,null,1623,null,8537,null,1298,null,243344,null,9386,null,418,null,301,null,2757,null,1046,null,62676,null,5322,null,35439,null,3990,null,23553,null,2912,null,30294,null,3291,null,33574,null,3440,null,25614,null,2388,null,29019,null,2528,null,1157581,null,21814,null,591911,null,15731,null,40,null,102,null,208,null,214,null,56129,null,4823,null,158195,null,7352,null,125443,null,6426,null,112540,null,6594,null,72266,null,3902,null,40003,null,2820,null,27087,null,2484,null,565670,null,12813,null,0,null,296,null,191,null,191,null,38610,null,3862,null,103802,null,5627,null,78877,null,5155,null,92267,null,4787,null,96622,null,4600,null,71684,null,3832,null,83617,null,3522,null,0400000US13,Georgia,13
224060,null,8474,null,51554,null,4570,null,23410,null,3291,null,473,null,392,null,198,null,151,null,6860,null,1931,null,3466,null,1212,null,3084,null,938,null,3566,null,839,null,3042,null,772,null,1402,null,616,null,1319,null,534,null,28144,null,2964,null,348,null,350,null,220,null,193,null,6388,null,1440,null,5607,null,1740,null,1915,null,582,null,3089,null,900,null,5321,null,1319,null,2185,null,715,null,3071,null,711,null,172506,null,7755,null,95561,null,5701,null,0,null,275,null,0,null,275,null,9458,null,2005,null,29285,null,3391,null,15842,null,2301,null,14091,null,1739,null,14328,null,1831,null,7066,null,1026,null,5491,null,1057,null,76945,null,4216,null,0,null,275,null,0,null,275,null,6502,null,1402,null,14521,null,1839,null,9790,null,1667,null,11155,null,1638,null,11969,null,1498,null,8348,null,1084,null,14660,null,1631,null,0400000US15,Hawaii,15
243639,null,8132,null,72244,null,5479,null,32716,null,3826,null,46,null,65,null,589,null,430,null,11991,null,2504,null,7272,null,1614,null,2595,null,866,null,3979,null,909,null,3669,null,1112,null,1476,null,493,null,1099,null,448,null,39528,null,4068,null,42,null,68,null,1022,null,538,null,14628,null,2518,null,4125,null,1005,null,2667,null,1121,null,4700,null,1437,null,4325,null,1050,null,4004,null,905,null,4015,null,887,null,171395,null,5786,null,88953,null,4742,null,0,null,263,null,0,null,263,null,10747,null,2036,null,20601,null,2355,null,14568,null,1893,null,17132,null,1977,null,12828,null,1467,null,7087,null,1007,null,5990,null,947,null,82442,null,3176,null,0,null,263,null,0,null,263,null,7054,null,1088,null,12388,null,1850,null,6723,null,1121,null,12846,null,1468,null,14942,null,1614,null,10823,null,1329,null,17666,null,1542,null,0400000US16,Idaho,16
2280925,null,24577,null,530431,null,14346,null,241138,null,10111,null,1603,null,701,null,3088,null,956,null,62940,null,5808,null,45655,null,4697,null,31741,null,3327,null,43354,null,3327,null,28872,null,2604,null,12561,null,1590,null,11324,null,2452,null,289293,null,9292,null,1408,null,686,null,3261,null,975,null,76106,null,5579,null,42182,null,3776,null,27173,null,3096,null,40451,null,3648,null,36085,null,2612,null,27197,null,2357,null,35430,null,2531,null,1750494,null,23380,null,872491,null,16397,null,97,null,160,null,288,null,354,null,67875,null,5429,null,247023,null,8179,null,162864,null,7229,null,157094,null,6063,null,113439,null,5398,null,62274,null,3395,null,61537,null,3174,null,878003,null,12550,null,0,null,269,null,329,null,398,null,61832,null,4460,null,170085,null,6223,null,85976,null,4626,null,125693,null,4888,null,134238,null,5387,null,117543,null,3667,null,182307,null,4006,null,0400000US17,Illinois,17
