B27015_001E,B27015_001EA,B27015_001M,B27015_001MA,B27015_002E,B27015_002EA,B27015_002M,B27015_002MA,B27015_003E,B27015_003EA,B27015_003M,B27015_003MA,B27015_004E,B27015_004EA,B27015_004M,B27015_004MA,B27015_005E,B27015_005EA,B27015_005M,B27015_005MA,B27015_006E,B27015_006EA,B27015_006M,B27015_006MA,B27015_007E,B27015_007EA,B27015_007M,B27015_007MA,B27015_008E,B27015_008EA,B27015_008M,B27015_008MA,B27015_009E,B27015_009EA,B27015_009M,B27015_009MA,B27015_010E,B27015_010EA,B27015_010M,B27015_010MA,B27015_011E,B27015_011EA,B27015_011M,B27015_011MA,B27015_012E,B27015_012EA,B27015_012M,B27015_012MA,B27015_013E,B27015_013EA,B27015_013M,B27015_013MA,B27015_014E,B27015_014EA,B27015_014M,B27015_014MA,B27015_015E,B27015_015EA,B27015_015M,B27015_015MA,B27015_016E,B27015_016EA,B27015_016M,B27015_016MA,B27015_017E,B27015_017EA,B27015_017M,B27015_017MA,B27015_018E,B27015_018EA,B27015_018M,B27015_018MA,B27015_019E,B27015_019EA,B27015_019M,B27015_019MA,B27015_020E,B27015_020EA,B27015_020M,B27015_020MA,B27015_021E,B27015_021EA,B27015_021M,B27015_021MA,B27015_022E,B27015_022EA,B27015_022M,B27015_022MA,B27015_023E,B27015_023EA,B27015_023M,B27015_023MA,B27015_024E,B27015_024EA,B27015_024M,B27015_024MA,B27015_025E,B27015_025EA,B27015_025M,B27015_025MA,B27015_026E,B27015_026EA,B27015_026M,B27015_026MA,GEO_ID,NAME,state
4567356,null,1808,null,1149874,null,24499,null,884957,null,18420,null,387946,null,13116,null,654449,null,14278,null,264917,null,11951,null,1215775,null,25970,null,1000781,null,22322,null,755137,null,18072,null,438701,null,13814,null,214994,null,11462,null,869439,null,24959,null,789373,null,23190,null,712624,null,21124,null,187164,null,10032,null,80066,null,6199,null,576393,null,17135,null,537765,null,16577,null,509418,null,15704,null,85351,null,5925,null,38628,null,4559,null,755875,null,20472,null,726101,null,19789,null,699556,null,18736,null,91492,null,5507,null,29774,null,3678,null,0400000US01,Alabama,01
664059,null,2226,null,68190,null,6408,null,47436,null,5639,null,18099,null,3490,null,34389,null,4420,null,20754,null,2510,null,120705,null,7324,null,85287,null,6161,null,54380,null,4559,null,43314,null,5274,null,35418,null,4036,null,125059,null,9509,null,94858,null,7561,null,80007,null,6780,null,24159,null,3105,null,30201,null,5198,null,125412,null,10198,null,101873,null,8312,null,93516,null,7907,null,18513,null,3225,null,23539,null,4198,null,224693,null,9628,null,196607,null,8278,null,184471,null,8276,null,31747,null,3078,null,28086,null,4306,null,0400000US02,Alaska,02
6460767,null,2050,null,1273748,null,32064,null,972090,null,27288,null,367784,null,14517,null,749719,null,25557,null,301658,null,15130,null,1629858,null,36276,null,1256364,null,27198,null,825620,null,19055,null,657558,null,20833,null,373494,null,18609,null,1304958,null,34272,null,1076345,null,26926,null,891989,null,21124,null,340312,null,15764,null,228613,null,17821,null,886099,null,28763,null,781264,null,24781,null,702410,null,22921,null,163921,null,11422,null,104835,null,10606,null,1366104,null,30033,null,1255671,null,27512,null,1165972,null,25846,null,194248,null,11652,null,110433,null,9608,null,0400000US04,Arizona,04
2798256,null,1646,null,756026,null,19593,null,559519,null,16293,null,214699,null,8502,null,440801,null,14730,null,196507,null,9396,null,793756,null,21224,null,637192,null,17967,null,444354,null,14029,null,314404,null,14124,null,156564,null,8836,null,551709,null,19205,null,477190,null,17432,null,413009,null,16327,null,133549,null,7792,null,74519,null,6700,null,309024,null,14526,null,283033,null,13554,null,259156,null,12402,null,55127,null,5602,null,25991,null,3427,null,387741,null,13827,null,364086,null,12969,null,345544,null,12146,null,52342,null,4693,null,23655,null,3848,null,0400000US05,Arkansas,05
36004030,null,5691,null,5720625,null,68234,null,4262424,null,47812,null,1569519,null,26491,null,3236674,null,46032,null,1458201,null,34056,null,7684299,null,79887,null,5684867,null,64704,null,3612107,null,46227,null,2863693,null,49568,null,1999432,null,38969,null,6616318,null,81144,null,5268085,null,66696,null,4250312,null,61720,null,1597509,null,32985,null,1348233,null,34546,null,4996811,null,71917,null,4259697,null,62873,null,3762236,null,57456,null,871768,null,24338,null,737114,null,27790,null,10985977,null,89744,null,10036905,null,81553,null,9406384,null,75754,null,1363801,null,26289,null,949072,null,30374,null,0400000US06,California,06
4887250,null,2876,null,800636,null,19401,null,561964,null,15686,null,282015,null,10100,null,376162,null,13799,null,238672,null,12291,null,1037305,null,26437,null,793623,null,22117,null,606161,null,16723,null,316574,null,14827,null,243682,null,11421,null,956300,null,30801,null,811237,null,25840,null,733003,null,24009,null,179821,null,10682,null,145063,null,12531,null,738303,null,23502,null,668724,null,21874,null,629722,null,20169,null,98234,null,7653,null,69579,null,8118,null,1354706,null,25598,null,1281912,null,24181,null,1238621,null,22890,null,123054,null,8005,null,72794,null,8396,null,0400000US08,Colorado,08
3397417,null,1274,null,431117,null,16708,null,367171,null,14269,null,154167,null,7391,null,288878,null,12563,null,63946,null,7094,null,559081,null,19825,null,472955,null,17528,null,334306,null,13530,null,242967,null,9733,null,86126,null,7244,null,565689,null,17972,null,507620,null,16098,null,438851,null,14331,null,139453,null,8986,null,58069,null,5395,null,497127,null,18529,null,461116,null,17404,null,423327,null,16547,null,87681,null,7196,null,36011,null,5307,null,1344403,null,23827,null,1286026,null,22530,null,1236111,null,22342,null,143403,null,7282,null,58377,null,6935,null,0400000US09,Connecticut,09
856587,null,1017,null,124573,null,10784,null,105771,null,9334,null,47692,null,5395,null,82873,null,7956,null,18802,null,3594,null,180134,null,10752,null,156763,null,9437,null,108107,null,8249,null,81586,null,6498,null,23371,null,3654,null,177523,null,11120,null,158046,null,10253,null,136333,null,9082,null,45930,null,5270,null,19477,null,3167,null,136477,null,11186,null,122861,null,10363,null,114625,null,9476,null,23754,null,3235,null,13616,null,3808,null,237880,null,11197,null,224752,null,10302,null,213297,null,9946,null,32319,null,3640,null,13128,null,3816,null,0400000US10,Delaware,10
562016,null,861,null,120330,null,8575,null,109267,null,8021,null,34660,null,3033,null,89806,null,7684,null,11063,null,2068,null,101831,null,8806,null,90821,null,7972,null,60237,null,6088,null,43197,null,5958,null,11010,null,2969,null,85605,null,8941,null,77555,null,8204,null,58847,null,6144,null,29803,null,5557,null,8050,null,2053,null,59667,null,6512,null,56353,null,6127,null,49336,null,5139,null,13279,null,2980,null,3314,null,1077,null,194583,null,8567,null,187421,null,8401,null,175995,null,7267,null,28614,null,4257,null,7162,null,1932,null,0400000US11,District of Columbia,11
18051047,null,3804,null,3743290,null,47083,null,2649914,null,40395,null,1168425,null,25449,null,1997016,null,33318,null,1093376,null,26809,null,4910311,null,68078,null,3567525,null,54174,null,2559808,null,35776,null,1747729,null,35408,null,1342786,null,33911,null,3672415,null,53547,null,2947143,null,45708,null,2510185,null,40737,null,904214,null,23350,null,725272,null,22246,null,2292714,null,43207,null,1960350,null,35094,null,1776612,null,31773,null,425812,null,14103,null,332364,null,18011,null,3432317,null,53337,null,3158910,null,47310,null,2979284,null,43716,null,522958,null,14651,null,273407,null,17088,null,0400000US12,Florida,12
