B23006_001E,B23006_001EA,B23006_001M,B23006_001MA,B23006_002E,B23006_002EA,B23006_002M,B23006_002MA,B23006_003E,B23006_003EA,B23006_003M,B23006_003MA,B23006_004E,B23006_004EA,B23006_004M,B23006_004MA,B23006_005E,B23006_005EA,B23006_005M,B23006_005MA,B23006_006E,B23006_006EA,B23006_006M,B23006_006MA,B23006_007E,B23006_007EA,B23006_007M,B23006_007MA,B23006_008E,B23006_008EA,B23006_008M,B23006_008MA,B23006_009E,B23006_009EA,B23006_009M,B23006_009MA,B23006_010E,B23006_010EA,B23006_010M,B23006_010MA,B23006_011E,B23006_011EA,B23006_011M,B23006_011MA,B23006_012E,B23006_012EA,B23006_012M,B23006_012MA,B23006_013E,B23006_013EA,B23006_013M,B23006_013MA,B23006_014E,B23006_014EA,B23006_014M,B23006_014MA,B23006_015E,B23006_015EA,B23006_015M,B23006_015MA,B23006_016E,B23006_016EA,B23006_016M,B23006_016MA,B23006_017E,B23006_017EA,B23006_017M,B23006_017MA,B23006_018E,B23006_018EA,B23006_018M,B23006_018MA,B23006_019E,B23006_019EA,B23006_019M,B23006_019MA,B23006_020E,B23006_020EA,B23006_020M,B23006_020MA,B23006_021E,B23006_021EA,B23006_021M,B23006_021MA,B23006_022E,B23006_022EA,B23006_022M,B23006_022MA,B23006_023E,B23006_023EA,B23006_023M,B23006_023MA,B23006_024E,B23006_024EA,B23006_024M,B23006_024MA,B23006_025E,B23006_025EA,B23006_025M,B23006_025MA,B23006_026E,B23006_026EA,B23006_026M,B23006_026MA,B23006_027E,B23006_027EA,B23006_027M,B23006_027MA,B23006_028E,B23006_028EA,B23006_028M,B23006_028MA,B23006_029E,B23006_029EA,B23006_029M,B23006_029MA,GEO_ID,NAME,state
2466936,null,5579,null,368096,null,9811,null,201321,null,7102,null,0,null,273,null,201321,null,7102,null,159451,null,6045,null,41870,null,3508,null,166775,null,6603,null,738329,null,10403,null,521960,null,8803,null,1893,null,741,null,520067,null,8815,null,465028,null,8341,null,55039,null,3662,null,216369,null,6791,null,776814,null,13897,null,608566,null,12241,null,8859,null,2323,null,599707,null,11934,null,550949,null,11509,null,48758,null,4086,null,168248,null,6585,null,583697,null,10748,null,495049,null,10700,null,7097,null,1433,null,487952,null,10829,null,470571,null,10550,null,17381,null,2315,null,88648,null,4553,null,0400000US01,Alabama,01
379235,null,2979,null,26181,null,2491,null,16415,null,2001,null,37,null,73,null,16378,null,1988,null,14429,null,1795,null,1949,null,814,null,9766,null,1487,null,105878,null,4568,null,81483,null,4135,null,1325,null,690,null,80158,null,4064,null,71001,null,3829,null,9157,null,1481,null,24395,null,2363,null,144348,null,4768,null,117736,null,4512,null,6485,null,1828,null,111251,null,4463,null,101106,null,3905,null,10145,null,2017,null,26612,null,2056,null,102828,null,5351,null,88038,null,4473,null,2841,null,970,null,85197,null,4324,null,83570,null,4250,null,1627,null,587,null,14790,null,2285,null,0400000US02,Alaska,02
3381152,null,3655,null,506678,null,13103,null,315895,null,11878,null,0,null,305,null,315895,null,11878,null,261881,null,10579,null,54014,null,4270,null,190783,null,7956,null,802409,null,16823,null,585407,null,14890,null,825,null,384,null,584582,null,14851,null,518418,null,14682,null,66164,null,4438,null,217002,null,9287,null,1185620,null,16733,null,922245,null,17106,null,8314,null,1633,null,913931,null,16802,null,833245,null,16069,null,80686,null,4939,null,263375,null,7071,null,886445,null,13867,null,737899,null,12872,null,3324,null,917,null,734575,null,12881,null,699932,null,12499,null,34643,null,3460,null,148546,null,6296,null,0400000US04,Arizona,04
1491332,null,5493,null,215671,null,7725,null,118370,null,5423,null,0,null,273,null,118370,null,5423,null,103478,null,5174,null,14892,null,2158,null,97301,null,5456,null,511857,null,9938,null,374106,null,9853,null,1171,null,677,null,372935,null,9875,null,339846,null,10324,null,33089,null,3193,null,137751,null,5891,null,463624,null,8969,null,360075,null,8805,null,3294,null,945,null,356781,null,8794,null,329730,null,8735,null,27051,null,3075,null,103549,null,4757,null,300180,null,8993,null,258604,null,8525,null,1840,null,775,null,256764,null,8393,null,249076,null,8414,null,7688,null,1395,null,41576,null,3106,null,0400000US05,Arkansas,05
19638878,null,6091,null,3610955,null,34905,null,2452605,null,27803,null,492,null,351,null,2452113,null,27768,null,2113175,null,24042,null,338938,null,11011,null,1158350,null,19712,null,3979929,null,36595,null,2977139,null,34048,null,14858,null,2373,null,2962281,null,33762,null,2601874,null,33958,null,360407,null,10094,null,1002790,null,16131,null,5987590,null,39062,null,4761516,null,33487,null,45064,null,4024,null,4716452,null,32823,null,4253394,null,32499,null,463058,null,11585,null,1226074,null,18302,null,6060404,null,37086,null,5196221,null,34817,null,28382,null,2411,null,5167839,null,34863,null,4859647,null,32641,null,308192,null,8824,null,864183,null,15336,null,0400000US06,California,06
2759427,null,4399,null,270265,null,11086,null,180347,null,8410,null,0,null,279,null,180347,null,8410,null,154432,null,8178,null,25915,null,3515,null,89918,null,4579,null,584515,null,12475,null,455497,null,10714,null,3367,null,1009,null,452130,null,10699,null,415313,null,9643,null,36817,null,3667,null,129018,null,6314,null,873897,null,13017,null,711969,null,12866,null,10025,null,1924,null,701944,null,12828,null,650044,null,12369,null,51900,null,3283,null,161928,null,6615,null,1030750,null,14523,null,890331,null,14381,null,7045,null,1475,null,883286,null,14445,null,843938,null,14731,null,39348,null,3362,null,140419,null,6115,null,0400000US08,Colorado,08
1882991,null,2169,null,171104,null,8169,null,112529,null,6506,null,0,null,277,null,112529,null,6506,null,92551,null,5917,null,19978,null,2563,null,58575,null,4395,null,489979,null,11174,null,396637,null,9796,null,490,null,362,null,396147,null,9767,null,355076,null,9420,null,41071,null,3303,null,93342,null,4443,null,501657,null,8865,null,421427,null,7806,null,2490,null,714,null,418937,null,7860,null,383376,null,8234,null,35561,null,3030,null,80230,null,4071,null,720251,null,10831,null,629338,null,10376,null,1432,null,605,null,627906,null,10376,null,604065,null,10664,null,23841,null,2139,null,90913,null,3743,null,0400000US09,Connecticut,09
469311,null,1811,null,49575,null,4318,null,30749,null,3478,null,83,null,135,null,30666,null,3481,null,25778,null,3102,null,4888,null,1223,null,18826,null,2121,null,140083,null,5361,null,108486,null,4734,null,552,null,355,null,107934,null,4654,null,99190,null,4448,null,8744,null,1492,null,31597,null,2849,null,136805,null,6208,null,112679,null,5449,null,2356,null,877,null,110323,null,5122,null,102000,null,4963,null,8323,null,1386,null,24126,null,2882,null,142848,null,5671,null,123232,null,5535,null,947,null,493,null,122285,null,5562,null,118207,null,5602,null,4078,null,940,null,19616,null,2016,null,0400000US10,Delaware,10
343374,null,898,null,36554,null,3401,null,21766,null,2691,null,0,null,296,null,21766,null,2691,null,16325,null,2323,null,5441,null,1483,null,14788,null,2160,null,67461,null,3641,null,46740,null,3292,null,52,null,88,null,46688,null,3298,null,37466,null,3314,null,9222,null,1679,null,20721,null,2653,null,64142,null,4204,null,51783,null,3898,null,419,null,264,null,51364,null,3884,null,44879,null,3736,null,6485,null,1488,null,12359,null,2093,null,175217,null,4534,null,158497,null,4719,null,1644,null,760,null,156853,null,4602,null,152410,null,4541,null,4443,null,885,null,16720,null,2072,null,0400000US11,District of Columbia,11
9601979,null,9503,null,1202248,null,22456,null,774177,null,19569,null,83,null,120,null,774094,null,19564,null,632567,null,19074,null,141527,null,7269,null,428071,null,13025,null,2781597,null,27799,null,2074582,null,27356,null,4677,null,1380,null,2069905,null,27146,null,1792368,null,25126,null,277537,null,11122,null,707015,null,17507,null,3061541,null,25582,null,2464572,null,24173,null,25901,null,3087,null,2438671,null,24519,null,2203154,null,22163,null,235517,null,9533,null,596969,null,13116,null,2556593,null,23286,null,2164114,null,21990,null,15054,null,1963,null,2149060,null,21704,null,2020327,null,22186,null,128733,null,6393,null,392479,null,9553,null,0400000US12,Florida,12
