B16005A_001E,B16005A_001EA,B16005A_001M,B16005A_001MA,B16005A_002E,B16005A_002EA,B16005A_002M,B16005A_002MA,B16005A_003E,B16005A_003EA,B16005A_003M,B16005A_003MA,B16005A_004E,B16005A_004EA,B16005A_004M,B16005A_004MA,B16005A_005E,B16005A_005EA,B16005A_005M,B16005A_005MA,B16005A_006E,B16005A_006EA,B16005A_006M,B16005A_006MA,B16005A_007E,B16005A_007EA,B16005A_007M,B16005A_007MA,B16005A_008E,B16005A_008EA,B16005A_008M,B16005A_008MA,B16005A_009E,B16005A_009EA,B16005A_009M,B16005A_009MA,B16005A_010E,B16005A_010EA,B16005A_010M,B16005A_010MA,B16005A_011E,B16005A_011EA,B16005A_011M,B16005A_011MA,GEO_ID,NAME,state
3095187,null,4640,null,3022226,null,4215,null,2968650,null,5020,null,53576,null,4433,null,43615,null,4232,null,9961,null,1676,null,72961,null,4375,null,15472,null,2281,null,57489,null,4147,null,18412,null,2088,null,39077,null,3938,null,0400000US01,Alabama,01
446185,null,2460,null,431256,null,2799,null,410015,null,3560,null,21241,null,3076,null,19960,null,2935,null,1281,null,597,null,14929,null,2412,null,5421,null,1027,null,9508,null,2083,null,4697,null,1165,null,4811,null,1699,null,0400000US02,Alaska,02
4900086,null,20550,null,4259937,null,23163,null,3693093,null,21000,null,566844,null,17075,null,480214,null,14951,null,86630,null,6915,null,640149,null,19966,null,94417,null,5915,null,545732,null,19485,null,183964,null,10136,null,361768,null,14850,null,0400000US04,Arizona,04
2120555,null,5685,null,2063409,null,4712,null,2014092,null,5593,null,49317,null,4284,null,39387,null,3618,null,9930,null,1940,null,57146,null,4510,null,10253,null,2073,null,46893,null,4204,null,16382,null,2232,null,30511,null,3261,null,0400000US05,Arkansas,05
21593788,null,68247,null,17270169,null,59342,null,14136713,null,50638,null,3133456,null,44257,null,2597301,null,38594,null,536155,null,12804,null,4323619,null,41013,null,525090,null,13066,null,3798529,null,40143,null,1265508,null,20756,null,2533021,null,36896,null,0400000US06,California,06
3967510,null,13365,null,3671421,null,14405,null,3409214,null,14118,null,262207,null,8929,null,211130,null,8509,null,51077,null,4766,null,296089,null,12296,null,48587,null,4563,null,247502,null,10789,null,86018,null,5713,null,161484,null,9070,null,0400000US08,Colorado,08
2638949,null,10238,null,2411251,null,10931,null,2207645,null,11540,null,203606,null,9175,null,162245,null,8614,null,41361,null,4008,null,227698,null,9407,null,55095,null,4118,null,172603,null,9145,null,80100,null,5074,null,92503,null,6453,null,0400000US09,Connecticut,09
599289,null,3461,null,568816,null,3948,null,544239,null,4643,null,24577,null,3297,null,20055,null,2963,null,4522,null,1144,null,30473,null,4225,null,6982,null,1477,null,23491,null,3680,null,10244,null,2399,null,13247,null,2734,null,0400000US10,Delaware,10
219786,null,3360,null,185239,null,3267,null,170944,null,3004,null,14295,null,2102,null,12477,null,1982,null,1818,null,715,null,34547,null,3469,null,14685,null,2792,null,19862,null,2802,null,12950,null,2092,null,6912,null,1995,null,0400000US11,District of Columbia,11
13470793,null,25720,null,11205770,null,31296,null,9846245,null,25785,null,1359525,null,25349,null,1111035,null,21314,null,248490,null,9969,null,2265023,null,33695,null,320479,null,10885,null,1944544,null,31559,null,759431,null,17761,null,1185113,null,25588,null,0400000US12,Florida,12
5666302,null,16398,null,5308461,null,13109,null,5097792,null,13849,null,210669,null,11518,null,170770,null,10724,null,39899,null,3901,null,357841,null,15378,null,61192,null,4489,null,296649,null,14822,null,106451,null,7519,null,190198,null,11302,null,0400000US13,Georgia,13
