B07404A_001E,B07404A_001EA,B07404A_001M,B07404A_001MA,B07404A_002E,B07404A_002EA,B07404A_002M,B07404A_002MA,B07404A_003E,B07404A_003EA,B07404A_003M,B07404A_003MA,B07404A_004E,B07404A_004EA,B07404A_004M,B07404A_004MA,B07404A_005E,B07404A_005EA,B07404A_005M,B07404A_005MA,GEO_ID,NAME,state
3239673,null,11863,null,2811458,null,19850,null,246818,null,12596,null,105089,null,8872,null,76308,null,6856,null,0400000US01,Alabama,01
492504,null,9447,null,370056,null,7999,null,55362,null,6111,null,10587,null,2382,null,56499,null,6724,null,0400000US02,Alaska,02
5141698,null,28464,null,4175252,null,33938,null,723092,null,30506,null,88474,null,7932,null,154880,null,11026,null,0400000US04,Arizona,04
2220410,null,9460,null,1860930,null,17505,null,226548,null,15114,null,83104,null,7334,null,49828,null,5260,null,0400000US05,Arkansas,05
22817195,null,77955,null,19321479,null,84209,null,2414721,null,38070,null,688156,null,21671,null,392839,null,15019,null,0400000US06,California,06
4141056,null,17608,null,3435539,null,23316,null,396211,null,16549,null,184358,null,12159,null,124948,null,7977,null,0400000US08,Colorado,08
2761047,null,13323,null,2483021,null,14101,null,163697,null,10053,null,46083,null,5352,null,68246,null,5138,null,0400000US09,Connecticut,09
625559,null,6695,null,554483,null,8226,null,47804,null,5661,null,3650,null,1101,null,19622,null,3095,null,0400000US10,Delaware,10
229299,null,5809,null,185821,null,5190,null,16537,null,2304,null,0,null,271,null,26941,null,2951,null,0400000US11,District of Columbia,11
13982747,null,37530,null,11918070,null,48280,null,1303513,null,32825,null,423930,null,20400,null,337234,null,13497,null,0400000US12,Florida,12
5970382,null,24721,null,5127839,null,27544,null,423792,null,22524,null,259782,null,13386,null,158969,null,10318,null,0400000US13,Georgia,13
337729,null,7357,null,257008,null,6675,null,40058,null,4828,null,2605,null,1239,null,38058,null,4933,null,0400000US15,Hawaii,15
1400041,null,8585,null,1169003,null,10327,null,134732,null,9159,null,42600,null,5719,null,53706,null,5198,null,0400000US16,Idaho,16
9261970,null,28812,null,8162429,null,34031,null,673755,null,24084,null,228857,null,10569,null,196929,null,11251,null,0400000US17,Illinois,17
5435176,null,14727,null,4649518,null,21310,null,470343,null,17565,null,199325,null,10485,null,115990,null,8493,null,0400000US18,Indiana,18
2731999,null,9765,null,2334783,null,14010,null,244933,null,10228,null,94650,null,6328,null,57633,null,5474,null,0400000US19,Iowa,19
2386431,null,11034,null,2001270,null,13500,null,225967,null,9976,null,86878,null,7123,null,72316,null,5522,null,0400000US20,Kansas,20
3752850,null,12765,null,3218853,null,21348,null,329388,null,16566,null,125451,null,9724,null,79158,null,6657,null,0400000US21,Kentucky,21
2823992,null,10769,null,2447227,null,19078,null,215175,null,13375,null,97374,null,7740,null,64216,null,6629,null,0400000US22,Louisiana,22
1242235,null,6034,null,1088442,null,7662,null,88028,null,6252,null,37567,null,4063,null,28198,null,3367,null,0400000US23,Maine,23
3377506,null,17765,null,2988641,null,20373,null,202873,null,12187,null,79849,null,7370,null,106143,null,8258,null,0400000US24,Maryland,24
5354392,null,16694,null,4737558,null,17894,null,365979,null,15411,null,137102,null,7917,null,113753,null,7320,null,0400000US25,Massachusetts,25
