B14004_001E,B14004_001EA,B14004_001M,B14004_001MA,B14004_002E,B14004_002EA,B14004_002M,B14004_002MA,B14004_003E,B14004_003EA,B14004_003M,B14004_003MA,B14004_004E,B14004_004EA,B14004_004M,B14004_004MA,B14004_005E,B14004_005EA,B14004_005M,B14004_005MA,B14004_006E,B14004_006EA,B14004_006M,B14004_006MA,B14004_007E,B14004_007EA,B14004_007M,B14004_007MA,B14004_008E,B14004_008EA,B14004_008M,B14004_008MA,B14004_009E,B14004_009EA,B14004_009M,B14004_009MA,B14004_010E,B14004_010EA,B14004_010M,B14004_010MA,B14004_011E,B14004_011EA,B14004_011M,B14004_011MA,B14004_012E,B14004_012EA,B14004_012M,B14004_012MA,B14004_013E,B14004_013EA,B14004_013M,B14004_013MA,B14004_014E,B14004_014EA,B14004_014M,B14004_014MA,B14004_015E,B14004_015EA,B14004_015M,B14004_015MA,B14004_016E,B14004_016EA,B14004_016M,B14004_016MA,B14004_017E,B14004_017EA,B14004_017M,B14004_017MA,B14004_018E,B14004_018EA,B14004_018M,B14004_018MA,B14004_019E,B14004_019EA,B14004_019M,B14004_019MA,B14004_020E,B14004_020EA,B14004_020M,B14004_020MA,B14004_021E,B14004_021EA,B14004_021M,B14004_021MA,B14004_022E,B14004_022EA,B14004_022M,B14004_022MA,B14004_023E,B14004_023EA,B14004_023M,B14004_023MA,B14004_024E,B14004_024EA,B14004_024M,B14004_024MA,B14004_025E,B14004_025EA,B14004_025M,B14004_025MA,B14004_026E,B14004_026EA,B14004_026M,B14004_026MA,B14004_027E,B14004_027EA,B14004_027M,B14004_027MA,B14004_028E,B14004_028EA,B14004_028M,B14004_028MA,B14004_029E,B14004_029EA,B14004_029M,B14004_029MA,B14004_030E,B14004_030EA,B14004_030M,B14004_030MA,B14004_031E,B14004_031EA,B14004_031M,B14004_031MA,B14004_032E,B14004_032EA,B14004_032M,B14004_032MA,B14004_033E,B14004_033EA,B14004_033M,B14004_033MA,GEO_ID,NAME,state
3772855,null,3273,null,1804158,null,4012,null,108289,null,4885,null,786,null,414,null,71337,null,4182,null,21177,null,2270,null,14989,null,1996,null,24592,null,3259,null,0,null,273,null,14542,null,2747,null,5253,null,1396,null,4797,null,984,null,1671277,null,6499,null,97641,null,2219,null,149631,null,5550,null,283030,null,3956,null,1140975,null,4877,null,1968697,null,3728,null,150573,null,5010,null,644,null,407,null,88090,null,4104,null,35160,null,3009,null,26679,null,2661,null,32652,null,3879,null,299,null,262,null,17840,null,3097,null,8189,null,1630,null,6324,null,1241,null,1785472,null,6385,null,90952,null,2409,null,125111,null,4856,null,269228,null,4518,null,1300181,null,4434,null,0400000US01,Alabama,01
546524,null,1350,null,282361,null,1415,null,18896,null,2770,null,22,null,38,null,10534,null,2070,null,5406,null,1336,null,2934,null,840,null,4337,null,1302,null,63,null,105,null,1221,null,680,null,1539,null,806,null,1514,null,663,null,259128,null,3338,null,15531,null,1027,null,33799,null,2460,null,47971,null,2079,null,161827,null,2263,null,264163,null,1242,null,23885,null,2209,null,35,null,46,null,10727,null,1403,null,6778,null,1320,null,6345,null,1214,null,3806,null,999,null,0,null,244,null,999,null,535,null,1129,null,490,null,1678,null,566,null,236472,null,2275,null,15912,null,866,null,26503,null,1742,null,38966,null,1574,null,155091,null,1879,null,0400000US02,Alaska,02
5135919,null,1656,null,2559713,null,2119,null,165340,null,7642,null,988,null,611,null,94521,null,5388,null,43310,null,4475,null,26521,null,2475,null,37733,null,3813,null,116,null,159,null,12032,null,2313,null,14655,null,2576,null,10930,null,1474,null,2356640,null,8021,null,138180,null,1616,null,218363,null,4859,null,442397,null,5414,null,1557700,null,3406,null,2576206,null,1790,null,205203,null,7676,null,1851,null,625,null,101991,null,5357,null,53991,null,3851,null,47370,null,3656,null,39594,null,3723,null,26,null,52,null,10166,null,2143,null,14261,null,2307,null,15141,null,1776,null,2331409,null,8048,null,130844,null,1698,null,178610,null,6258,null,386796,null,4935,null,1635159,null,4607,null,0400000US04,Arizona,04
2297928,null,2637,null,1111422,null,2883,null,60792,null,4786,null,756,null,518,null,36986,null,3934,null,15034,null,2319,null,8016,null,1373,null,14260,null,3240,null,89,null,147,null,8316,null,2421,null,3402,null,1278,null,2453,null,701,null,1036370,null,6043,null,59666,null,1881,null,99187,null,4448,null,171755,null,4138,null,705762,null,3350,null,1186506,null,2752,null,87295,null,4514,null,342,null,275,null,46801,null,4009,null,20522,null,2342,null,19630,null,2039,null,15688,null,2745,null,0,null,273,null,6227,null,2202,null,4368,null,1268,null,5093,null,1214,null,1083523,null,5742,null,55352,null,1947,null,80292,null,4108,null,166912,null,3665,null,780967,null,3350,null,0400000US05,Arkansas,05
29134110,null,3342,null,14498917,null,3921,null,1071045,null,17472,null,9204,null,1628,null,649658,null,12496,null,251811,null,9783,null,160372,null,6643,null,266366,null,10987,null,1115,null,581,null,111911,null,7778,null,86302,null,5548,null,67038,null,5104,null,13161506,null,17171,null,813993,null,3059,null,1193734,null,12666,null,2461828,null,11181,null,8691951,null,9847,null,14635193,null,4093,null,1315115,null,18199,null,13910,null,2138,null,739721,null,12496,null,305554,null,9751,null,255930,null,6474,null,332670,null,9404,null,1318,null,590,null,143421,null,7538,null,100326,null,6553,null,87605,null,4229,null,12987408,null,17152,null,768008,null,3690,null,906008,null,10884,null,2168811,null,11128,null,9144581,null,8869,null,0400000US06,California,06
3991744,null,2059,null,2000508,null,2943,null,139364,null,6537,null,308,null,235,null,84809,null,4847,null,33914,null,3021,null,20333,null,2218,null,29747,null,2422,null,151,null,176,null,11441,null,1743,null,8459,null,1267,null,9696,null,1461,null,1831397,null,7651,null,99718,null,1509,null,167241,null,5377,null,339508,null,4587,null,1224930,null,3707,null,1991236,null,3117,null,158335,null,5881,null,243,null,208,null,89255,null,4613,null,36141,null,3116,null,32696,null,2736,null,43019,null,3978,null,130,null,212,null,15167,null,2776,null,12456,null,1766,null,15266,null,2136,null,1789882,null,7015,null,94535,null,1837,null,135378,null,4744,null,299060,null,4506,null,1260909,null,4320,null,0400000US08,Colorado,08
2857602,null,1159,null,1377893,null,1603,null,68926,null,3910,null,466,null,391,null,43695,null,3161,null,15279,null,1894,null,9486,null,1541,null,49945,null,3867,null,48,null,80,null,33390,null,3430,null,8845,null,1624,null,7662,null,1313,null,1259022,null,5185,null,74425,null,1140,null,98083,null,3868,null,185149,null,2951,null,901365,null,2310,null,1479709,null,1538,null,89105,null,4917,null,963,null,471,null,51498,null,3547,null,18887,null,2464,null,17757,null,1965,null,60313,null,4532,null,333,null,226,null,35638,null,3323,null,12474,null,1905,null,11868,null,2083,null,1330291,null,5635,null,70432,null,1098,null,78603,null,3459,null,171898,null,3060,null,1009358,null,3169,null,0400000US09,Connecticut,09
713071,null,782,null,340864,null,1185,null,20918,null,2067,null,166,null,157,null,14187,null,1827,null,3290,null,820,null,3275,null,725,null,7899,null,1864,null,0,null,263,null,3082,null,1239,null,2265,null,682,null,2552,null,962,null,312047,null,2818,null,17399,null,908,null,25185,null,2154,null,52008,null,1955,null,217455,null,1200,null,372207,null,1079,null,28031,null,2424,null,151,null,171,null,16667,null,1665,null,5232,null,1079,null,5981,null,1415,null,9775,null,1562,null,0,null,263,null,4148,null,1104,null,3214,null,877,null,2413,null,733,null,334401,null,2792,null,16997,null,912,null,19956,null,1769,null,50465,null,1654,null,246983,null,1723,null,0400000US10,Delaware,10
504809,null,352,null,233036,null,576,null,7546,null,1400,null,0,null,296,null,2482,null,900,null,3050,null,982,null,2014,null,857,null,19404,null,1690,null,0,null,296,null,12438,null,1391,null,4640,null,1134,null,2326,null,650,null,206086,null,2368,null,8592,null,501,null,17931,null,1736,null,45834,null,1508,null,133729,null,1122,null,271773,null,687,null,11109,null,1742,null,109,null,123,null,4869,null,1403,null,3986,null,922,null,2145,null,746,null,24945,null,1948,null,176,null,164,null,15930,null,1224,null,6298,null,1310,null,2541,null,745,null,235719,null,2189,null,9985,null,592,null,18901,null,1481,null,48879,null,1567,null,157954,null,991,null,0400000US11,District of Columbia,11
15173805,null,3705,null,7388421,null,4898,null,396722,null,11173,null,1889,null,732,null,248782,null,8446,null,92487,null,5278,null,53564,null,4054,null,137442,null,9331,null,2393,null,2101,null,65345,null,6748,null,36321,null,4244,null,33383,null,3113,null,6854257,null,14242,null,351441,null,3159,null,558993,null,10475,null,1077844,null,8695,null,4865979,null,7649,null,7785384,null,4193,null,514364,null,12094,null,4127,null,1238,null,291589,null,9314,null,120724,null,6781,null,97924,null,5147,null,168015,null,8312,null,743,null,594,null,67108,null,5142,null,49064,null,3605,null,51100,null,3633,null,7103005,null,13773,null,332662,null,3468,null,447789,null,9389,null,965053,null,8562,null,5357501,null,6560,null,0400000US12,Florida,12
