C27004_001E,C27004_001EA,C27004_001M,C27004_001MA,C27004_002E,C27004_002EA,C27004_002M,C27004_002MA,C27004_003E,C27004_003EA,C27004_003M,C27004_003MA,C27004_004E,C27004_004EA,C27004_004M,C27004_004MA,C27004_005E,C27004_005EA,C27004_005M,C27004_005MA,C27004_006E,C27004_006EA,C27004_006M,C27004_006MA,C27004_007E,C27004_007EA,C27004_007M,C27004_007MA,C27004_008E,C27004_008EA,C27004_008M,C27004_008MA,C27004_009E,C27004_009EA,C27004_009M,C27004_009MA,C27004_010E,C27004_010EA,C27004_010M,C27004_010MA,C27004_011E,C27004_011EA,C27004_011M,C27004_011MA,C27004_012E,C27004_012EA,C27004_012M,C27004_012MA,C27004_013E,C27004_013EA,C27004_013M,C27004_013MA,C27004_014E,C27004_014EA,C27004_014M,C27004_014MA,C27004_015E,C27004_015EA,C27004_015M,C27004_015MA,C27004_016E,C27004_016EA,C27004_016M,C27004_016MA,C27004_017E,C27004_017EA,C27004_017M,C27004_017MA,C27004_018E,C27004_018EA,C27004_018M,C27004_018MA,C27004_019E,C27004_019EA,C27004_019M,C27004_019MA,C27004_020E,C27004_020EA,C27004_020M,C27004_020MA,C27004_021E,C27004_021EA,C27004_021M,C27004_021MA,GEO_ID,NAME,state
4616028,null,1808,null,2216414,null,5319,null,573816,null,3795,null,289537,null,7791,null,284279,null,7823,null,1378994,null,3722,null,842419,null,11322,null,536575,null,10740,null,263604,null,2165,null,107306,null,3646,null,156298,null,3743,null,2399614,null,5277,null,550411,null,3893,null,282935,null,6630,null,267476,null,7181,null,1488722,null,3325,null,909105,null,11602,null,579617,null,11901,null,360481,null,2152,null,126681,null,4038,null,233800,null,4072,null,0400000US01,Alabama,01
678081,null,2615,null,344335,null,2643,null,93877,null,1414,null,44661,null,3277,null,49216,null,3124,null,226171,null,2648,null,128040,null,4304,null,98131,null,4362,null,24287,null,861,null,12039,null,1112,null,12248,null,1297,null,333746,null,1899,null,89384,null,1416,null,41547,null,2770,null,47837,null,3134,null,217556,null,1601,null,128231,null,4032,null,89325,null,4211,null,26806,null,946,null,12022,null,1322,null,14784,null,1434,null,0400000US02,Alaska,02
6501531,null,2050,null,3232732,null,3982,null,885157,null,2681,null,411483,null,11117,null,473674,null,11094,null,1960942,null,2813,null,1046495,null,13193,null,914447,null,13767,null,386633,null,1604,null,144960,null,4659,null,241673,null,4733,null,3268799,null,3527,null,844657,null,2773,null,400429,null,9536,null,444228,null,9696,null,1956699,null,2375,null,1086727,null,11482,null,869972,null,10986,null,467443,null,1886,null,150034,null,5012,null,317409,null,4800,null,0400000US04,Arizona,04
2833391,null,1646,null,1376266,null,4518,null,361673,null,3078,null,152956,null,6334,null,208717,null,6716,null,844601,null,2887,null,448252,null,8645,null,396349,null,8783,null,169992,null,1484,null,50419,null,2706,null,119573,null,2938,null,1457125,null,4146,null,345011,null,3309,null,150646,null,6426,null,194365,null,6443,null,890281,null,2626,null,496583,null,9173,null,393698,null,8937,null,221833,null,2063,null,54693,null,2568,null,167140,null,3447,null,0400000US05,Arkansas,05
36376938,null,5731,null,18072031,null,8343,null,4833502,null,4622,null,2381060,null,22674,null,2452442,null,22907,null,11498591,null,7798,null,6304823,null,35696,null,5193768,null,35446,null,1739938,null,3731,null,683170,null,9673,null,1056768,null,10141,null,18304907,null,7752,null,4589184,null,4115,null,2230238,null,25083,null,2358946,null,24873,null,11431245,null,5797,null,6473085,null,33954,null,4958160,null,33902,null,2284478,null,4506,null,739165,null,10946,null,1545313,null,9995,null,0400000US06,California,06
4930142,null,2876,null,2457378,null,4175,null,626239,null,2633,null,340945,null,8446,null,285294,null,8044,null,1602871,null,3911,null,955657,null,11725,null,647214,null,12285,null,228268,null,1588,null,96674,null,3283,null,131594,null,3303,null,2472764,null,3736,null,598972,null,2437,null,336721,null,7662,null,262251,null,7650,null,1585418,null,3309,null,991461,null,11306,null,593957,null,11028,null,288374,null,2165,null,103045,null,2892,null,185329,null,3110,null,0400000US08,Colorado,08
3456856,null,1297,null,1679224,null,2358,null,412724,null,1538,null,272630,null,5448,null,140094,null,5393,null,1071986,null,2152,null,746432,null,8468,null,325554,null,8322,null,194514,null,1526,null,96123,null,3217,null,98391,null,3244,null,1777632,null,2298,null,394075,null,1373,null,271526,null,5833,null,122549,null,5779,null,1118080,null,1965,null,798549,null,8880,null,319531,null,8946,null,265477,null,1588,null,111549,null,3552,null,153928,null,3806,null,0400000US09,Connecticut,09
869483,null,1017,null,418177,null,1741,null,105566,null,1078,null,65681,null,2976,null,39885,null,3024,null,259529,null,1344,null,176127,null,4294,null,83402,null,3993,null,53082,null,626,null,29967,null,1733,null,23115,null,1750,null,451306,null,1383,null,101198,null,1027,null,61651,null,3421,null,39547,null,3446,null,281863,null,1108,null,191197,null,4313,null,90666,null,4465,null,68245,null,939,null,34655,null,1622,null,33590,null,1720,null,0400000US10,Delaware,10
589408,null,861,null,275835,null,1117,null,57205,null,826,null,25059,null,2642,null,32146,null,2643,null,192046,null,1242,null,122985,null,3547,null,69061,null,3479,null,26584,null,883,null,14570,null,1223,null,12014,null,1360,null,313573,null,1063,null,56505,null,825,null,24953,null,2576,null,31552,null,2528,null,217888,null,586,null,137218,null,3638,null,80670,null,3686,null,39180,null,1205,null,20405,null,1567,null,18775,null,1531,null,0400000US11,District of Columbia,11
18192784,null,3804,null,8856789,null,8200,null,2072946,null,4614,null,932312,null,15334,null,1140634,null,14510,null,5404791,null,7884,null,2768245,null,19583,null,2636546,null,20787,null,1379052,null,3521,null,498507,null,8409,null,880545,null,8856,null,9335995,null,7600,null,1977715,null,4515,null,884466,null,14938,null,1093249,null,15102,null,5618927,null,7114,null,3089795,null,22976,null,2529132,null,22138,null,1739353,null,6174,null,523608,null,9169,null,1215745,null,9844,null,0400000US12,Florida,12
