B27019_001E,B27019_001EA,B27019_001M,B27019_001MA,B27019_002E,B27019_002EA,B27019_002M,B27019_002MA,B27019_003E,B27019_003EA,B27019_003M,B27019_003MA,B27019_004E,B27019_004EA,B27019_004M,B27019_004MA,B27019_005E,B27019_005EA,B27019_005M,B27019_005MA,B27019_006E,B27019_006EA,B27019_006M,B27019_006MA,B27019_007E,B27019_007EA,B27019_007M,B27019_007MA,B27019_008E,B27019_008EA,B27019_008M,B27019_008MA,B27019_009E,B27019_009EA,B27019_009M,B27019_009MA,B27019_010E,B27019_010EA,B27019_010M,B27019_010MA,B27019_011E,B27019_011EA,B27019_011M,B27019_011MA,B27019_012E,B27019_012EA,B27019_012M,B27019_012MA,B27019_013E,B27019_013EA,B27019_013M,B27019_013MA,B27019_014E,B27019_014EA,B27019_014M,B27019_014MA,B27019_015E,B27019_015EA,B27019_015M,B27019_015MA,B27019_016E,B27019_016EA,B27019_016M,B27019_016MA,B27019_017E,B27019_017EA,B27019_017M,B27019_017MA,B27019_018E,B27019_018EA,B27019_018M,B27019_018MA,B27019_019E,B27019_019EA,B27019_019M,B27019_019MA,B27019_020E,B27019_020EA,B27019_020M,B27019_020MA,B27019_021E,B27019_021EA,B27019_021M,B27019_021MA,B27019_022E,B27019_022EA,B27019_022M,B27019_022MA,B27019_023E,B27019_023EA,B27019_023M,B27019_023MA,B27019_024E,B27019_024EA,B27019_024M,B27019_024MA,B27019_025E,B27019_025EA,B27019_025M,B27019_025MA,B27019_026E,B27019_026EA,B27019_026M,B27019_026MA,B27019_027E,B27019_027EA,B27019_027M,B27019_027MA,B27019_028E,B27019_028EA,B27019_028M,B27019_028MA,B27019_029E,B27019_029EA,B27019_029M,B27019_029MA,B27019_030E,B27019_030EA,B27019_030M,B27019_030MA,B27019_031E,B27019_031EA,B27019_031M,B27019_031MA,B27019_032E,B27019_032EA,B27019_032M,B27019_032MA,B27019_033E,B27019_033EA,B27019_033M,B27019_033MA,B27019_034E,B27019_034EA,B27019_034M,B27019_034MA,B27019_035E,B27019_035EA,B27019_035M,B27019_035MA,B27019_036E,B27019_036EA,B27019_036M,B27019_036MA,B27019_037E,B27019_037EA,B27019_037M,B27019_037MA,B27019_038E,B27019_038EA,B27019_038M,B27019_038MA,B27019_039E,B27019_039EA,B27019_039M,B27019_039MA,B27019_040E,B27019_040EA,B27019_040M,B27019_040MA,B27019_041E,B27019_041EA,B27019_041M,B27019_041MA,B27019_042E,B27019_042EA,B27019_042M,B27019_042MA,B27019_043E,B27019_043EA,B27019_043M,B27019_043MA,GEO_ID,NAME,state
3037072,null,5823,null,2412987,null,5663,null,352342,null,9491,null,219730,null,8230,null,130298,null,6436,null,108728,null,5609,null,132612,null,6890,null,725098,null,10333,null,566972,null,10173,null,486280,null,10454,null,123812,null,6059,null,158126,null,6650,null,759636,null,13229,null,642347,null,12635,null,585563,null,12009,null,100600,null,5267,null,117289,null,6416,null,575911,null,10903,null,545278,null,10879,null,534976,null,10771,null,30077,null,1982,null,30633,null,3373,null,624085,null,2739,null,176266,null,5679,null,174807,null,5580,null,89678,null,4246,null,173923,null,5652,null,1459,null,679,null,220713,null,5171,null,219951,null,5100,null,149428,null,4333,null,217144,null,5152,null,762,null,467,null,126001,null,4826,null,125619,null,4806,null,97085,null,4187,null,124158,null,4734,null,382,null,293,null,101105,null,4537,null,100811,null,4576,null,85034,null,4203,null,98440,null,4625,null,294,null,223,null,0400000US01,Alabama,01
415662,null,3347,null,364569,null,3638,null,25483,null,2497,null,14234,null,1974,null,8331,null,1452,null,6893,null,1551,null,11249,null,1780,null,102627,null,4567,null,64530,null,4232,null,53654,null,3557,null,15003,null,2257,null,38097,null,3272,null,136518,null,4707,null,106316,null,4872,null,96497,null,4811,null,16334,null,2154,null,30202,null,3202,null,99941,null,5258,null,90952,null,4619,null,89384,null,4579,null,5569,null,1232,null,8989,null,2000,null,51093,null,1407,null,10685,null,1696,null,10533,null,1701,null,4219,null,1202,null,10451,null,1697,null,152,null,105,null,13300,null,1657,null,13211,null,1657,null,7597,null,1243,null,12591,null,1608,null,89,null,109,null,15601,null,1527,null,15545,null,1527,null,10705,null,1295,null,15191,null,1463,null,56,null,53,null,11507,null,1374,null,11454,null,1369,null,9454,null,1219,null,11089,null,1319,null,53,null,78,null,0400000US02,Alaska,02
4174481,null,3912,null,3320405,null,4391,null,490199,null,13055,null,269983,null,9990,null,138170,null,7253,null,142492,null,8084,null,220216,null,10348,null,786386,null,16689,null,566104,null,12600,null,433197,null,12788,null,163122,null,7972,null,220282,null,11268,null,1162228,null,16225,null,965735,null,12974,null,818684,null,13645,null,199479,null,8547,null,196493,null,10379,null,881592,null,13781,null,806925,null,13374,null,773146,null,13046,null,59009,null,4069,null,74667,null,5417,null,854076,null,2282,null,160447,null,5292,null,154548,null,5135,null,74187,null,4707,null,149395,null,5294,null,5899,null,1501,null,250254,null,7327,null,248231,null,7288,null,159239,null,6364,null,244723,null,7468,null,2023,null,791,null,244960,null,6007,null,243702,null,5980,null,171802,null,5631,null,239243,null,5943,null,1258,null,777,null,198415,null,5911,null,196758,null,5924,null,150221,null,5832,null,192067,null,5832,null,1657,null,676,null,0400000US04,Arizona,04
1855160,null,5593,null,1463335,null,5759,null,207809,null,7555,null,122767,null,6336,null,64563,null,4277,null,65878,null,4949,null,85042,null,5828,null,501748,null,9932,null,363330,null,9375,null,299487,null,9334,null,87807,null,5337,null,138418,null,7172,null,456037,null,8974,null,364629,null,8339,null,321347,null,9259,null,72104,null,4717,null,91408,null,5258,null,297741,null,8917,null,275289,null,8814,null,268584,null,8410,null,17173,null,2205,null,22452,null,2621,null,391825,null,2339,null,109817,null,4560,null,108588,null,4554,null,51529,null,2961,null,107756,null,4576,null,1229,null,560,null,143684,null,4674,null,143070,null,4675,null,97368,null,3974,null,142115,null,4630,null,614,null,404,null,81085,null,3393,null,80981,null,3406,null,61236,null,3131,null,79967,null,3316,null,104,null,118,null,57239,null,3347,null,57076,null,3321,null,43768,null,3099,null,56221,null,3253,null,163,null,147,null,0400000US05,Arkansas,05
23333750,null,8252,null,19309334,null,9086,null,3515022,null,35007,null,1894329,null,24340,null,1164490,null,19523,null,791444,null,17128,null,1620693,null,29162,null,3889345,null,35790,null,2756794,null,30924,null,2231605,null,30425,null,635238,null,14785,null,1132551,null,20197,null,5882307,null,38619,null,4810608,null,37023,null,4272473,null,34420,null,735081,null,16816,null,1071699,null,19800,null,6022660,null,37183,null,5466237,null,36318,null,5331862,null,35927,null,247552,null,7386,null,556423,null,16226,null,4024416,null,5114,null,960799,null,12961,null,915979,null,12926,null,312373,null,8723,null,897783,null,13444,null,44820,null,4250,null,962655,null,14494,null,952195,null,14700,null,576276,null,11038,null,923920,null,14248,null,10460,null,1928,null,1068064,null,13387,null,1062159,null,13398,null,740982,null,11968,null,1025323,null,13962,null,5905,null,1333,null,1032898,null,13836,null,1021483,null,13693,null,740364,null,11580,null,967112,null,13985,null,11415,null,1820,null,0400000US06,California,06
3221035,null,4422,null,2704393,null,4916,null,262245,null,11090,null,125944,null,7296,null,84226,null,5723,null,48974,null,4902,null,136301,null,8673,null,566299,null,11956,null,419333,null,9934,null,362155,null,9316,null,76062,null,4584,null,146966,null,6841,null,854454,null,13250,null,710011,null,12455,null,651910,null,12736,null,90639,null,4997,null,144443,null,8457,null,1021395,null,14481,null,944815,null,13431,null,928911,null,13496,null,36331,null,2726,null,76580,null,4779,null,516642,null,2502,null,76944,null,4001,null,73938,null,3528,null,38168,null,2990,null,72711,null,3361,null,3006,null,1324,null,152678,null,4844,null,151782,null,4880,null,106637,null,4570,null,148943,null,4803,null,896,null,600,null,139412,null,4341,null,138715,null,4389,null,104862,null,3737,null,135339,null,4294,null,697,null,522,null,147608,null,4524,null,146829,null,4570,null,116876,null,4598,null,142246,null,4339,null,779,null,436,null,0400000US08,Colorado,08
2316856,null,2118,null,1856865,null,2731,null,163434,null,8202,null,113213,null,7029,null,66637,null,4707,null,51321,null,4748,null,50221,null,4416,null,481280,null,10993,null,400876,null,8599,null,338015,null,7910,null,78622,null,4509,null,80404,null,6165,null,494301,null,8966,null,443684,null,8852,null,396050,null,8078,null,62567,null,3991,null,50617,null,4114,null,717850,null,10877,null,687996,null,11176,null,673644,null,11403,null,25617,null,2676,null,29854,null,2690,null,459991,null,1990,null,92164,null,5026,null,90566,null,4865,null,51498,null,3546,null,89306,null,4881,null,1598,null,682,null,165466,null,4431,null,164512,null,4477,null,120500,null,3937,null,161189,null,4345,null,954,null,567,null,82830,null,3338,null,82416,null,3410,null,64674,null,3390,null,80554,null,3342,null,414,null,433,null,119531,null,4170,null,119251,null,4138,null,97732,null,3939,null,112583,null,4064,null,280,null,252,null,0400000US09,Connecticut,09
581669,null,1553,null,460342,null,2055,null,47270,null,4359,null,31660,null,3487,null,18437,null,2684,null,15288,null,2326,null,15610,null,2389,null,137727,null,5231,null,116228,null,4819,null,96006,null,4610,null,26302,null,2397,null,21499,null,2604,null,133550,null,5947,null,117510,null,5818,null,103565,null,5096,null,21379,null,2932,null,16040,null,2174,null,141795,null,5650,null,134857,null,5532,null,130960,null,5504,null,7069,null,1308,null,6938,null,1402,null,121327,null,1136,null,23890,null,1880,null,23409,null,1844,null,14492,null,1733,null,23257,null,1853,null,481,null,400,null,43625,null,2477,null,43468,null,2515,null,32963,null,2204,null,42961,null,2570,null,157,null,179,null,25843,null,2154,null,25843,null,2154,null,21143,null,1916,null,25485,null,2136,null,0,null,263,null,27969,null,1879,null,27874,null,1867,null,24051,null,1747,null,26974,null,1950,null,95,null,154,null,0400000US10,Delaware,10
404238,null,1105,null,338474,null,1301,null,35461,null,3278,null,29764,null,3027,null,12977,null,2013,null,19758,null,2608,null,5697,null,1259,null,66490,null,3546,null,57592,null,3197,null,31850,null,3068,null,31276,null,2685,null,8898,null,1698,null,63025,null,4030,null,56573,null,3975,null,43422,null,3851,null,17142,null,2054,null,6452,null,1456,null,173498,null,4481,null,165399,null,4492,null,162243,null,4405,null,6316,null,1176,null,8099,null,1753,null,65764,null,1189,null,14697,null,1757,null,14551,null,1775,null,5411,null,974,null,14269,null,1722,null,146,null,176,null,14636,null,1554,null,14364,null,1592,null,9863,null,1401,null,13364,null,1479,null,272,null,347,null,12227,null,1684,null,12227,null,1684,null,9141,null,1495,null,11423,null,1606,null,0,null,296,null,24204,null,1962,null,24132,null,1953,null,19945,null,1835,null,21452,null,1869,null,72,null,92,null,0400000US11,District of Columbia,11
12515253,null,9306,null,9396848,null,12045,null,1137574,null,23252,null,571448,null,15234,null,356031,null,13441,null,250171,null,9981,null,566126,null,15343,null,2718539,null,26824,null,1769931,null,24476,null,1469721,null,23009,null,390151,null,11926,null,948608,null,22381,null,3005077,null,25737,null,2311631,null,23628,null,2089740,null,23015,null,344468,null,11684,null,693446,null,16208,null,2535658,null,22609,null,2208881,null,20985,null,2144924,null,20655,null,131854,null,6024,null,326777,null,9521,null,3118405,null,8168,null,657537,null,11693,null,639616,null,11931,null,268342,null,7735,null,629544,null,11626,null,17921,null,2830,null,1047509,null,13436,null,1039112,null,13442,null,657618,null,12352,null,1021812,null,13674,null,8397,null,1856,null,746413,null,11849,null,740155,null,11750,null,522981,null,11641,null,727152,null,11637,null,6258,null,1324,null,666946,null,10387,null,659579,null,10390,null,496288,null,10108,null,640495,null,10691,null,7367,null,1558,null,0400000US12,Florida,12
