C16010_001E,C16010_001EA,C16010_001M,C16010_001MA,C16010_002E,C16010_002EA,C16010_002M,C16010_002MA,C16010_003E,C16010_003EA,C16010_003M,C16010_003MA,C16010_004E,C16010_004EA,C16010_004M,C16010_004MA,C16010_005E,C16010_005EA,C16010_005M,C16010_005MA,C16010_006E,C16010_006EA,C16010_006M,C16010_006MA,C16010_007E,C16010_007EA,C16010_007M,C16010_007MA,C16010_008E,C16010_008EA,C16010_008M,C16010_008MA,C16010_009E,C16010_009EA,C16010_009M,C16010_009MA,C16010_010E,C16010_010EA,C16010_010M,C16010_010MA,C16010_011E,C16010_011EA,C16010_011M,C16010_011MA,C16010_012E,C16010_012EA,C16010_012M,C16010_012MA,C16010_013E,C16010_013EA,C16010_013M,C16010_013MA,C16010_014E,C16010_014EA,C16010_014M,C16010_014MA,C16010_015E,C16010_015EA,C16010_015M,C16010_015MA,C16010_016E,C16010_016EA,C16010_016M,C16010_016MA,C16010_017E,C16010_017EA,C16010_017M,C16010_017MA,C16010_018E,C16010_018EA,C16010_018M,C16010_018MA,C16010_019E,C16010_019EA,C16010_019M,C16010_019MA,C16010_020E,C16010_020EA,C16010_020M,C16010_020MA,C16010_021E,C16010_021EA,C16010_021M,C16010_021MA,C16010_022E,C16010_022EA,C16010_022M,C16010_022MA,C16010_023E,C16010_023EA,C16010_023M,C16010_023MA,C16010_024E,C16010_024EA,C16010_024M,C16010_024MA,C16010_025E,C16010_025EA,C16010_025M,C16010_025MA,C16010_026E,C16010_026EA,C16010_026M,C16010_026MA,C16010_027E,C16010_027EA,C16010_027M,C16010_027MA,C16010_028E,C16010_028EA,C16010_028M,C16010_028MA,C16010_029E,C16010_029EA,C16010_029M,C16010_029MA,C16010_030E,C16010_030EA,C16010_030M,C16010_030MA,C16010_031E,C16010_031EA,C16010_031M,C16010_031MA,C16010_032E,C16010_032EA,C16010_032M,C16010_032MA,C16010_033E,C16010_033EA,C16010_033M,C16010_033MA,C16010_034E,C16010_034EA,C16010_034M,C16010_034MA,C16010_035E,C16010_035EA,C16010_035M,C16010_035MA,C16010_036E,C16010_036EA,C16010_036M,C16010_036MA,C16010_037E,C16010_037EA,C16010_037M,C16010_037MA,GEO_ID,NAME,state
3115982,null,5413,null,557565,null,11987,null,215117,null,7565,null,187715,null,7699,null,23724,null,2534,null,3678,null,1197,null,342448,null,8344,null,332059,null,8271,null,7181,null,1261,null,3208,null,782,null,966912,null,12101,null,552830,null,9067,null,532940,null,8739,null,13269,null,1868,null,6621,null,1622,null,414082,null,8593,null,403268,null,8506,null,5882,null,1161,null,4932,null,1228,null,904962,null,14598,null,633502,null,12113,null,616525,null,12233,null,10849,null,1740,null,6128,null,1269,null,271460,null,8006,null,263651,null,7383,null,2435,null,716,null,5374,null,1230,null,686543,null,12245,null,517262,null,11079,null,486337,null,10499,null,10791,null,1618,null,20134,null,2175,null,169281,null,6259,null,159558,null,6209,null,3509,null,1054,null,6214,null,1181,null,0400000US01,Alabama,01
431178,null,2628,null,37072,null,2808,null,17461,null,2014,null,10760,null,1733,null,2025,null,787,null,4676,null,1079,null,19611,null,2170,null,12673,null,1970,null,910,null,485,null,6028,null,894,null,119495,null,4926,null,84539,null,4276,null,68193,null,3716,null,2552,null,949,null,13794,null,1492,null,34956,null,2634,null,30201,null,2431,null,571,null,342,null,4184,null,794,null,160076,null,5050,null,122271,null,4594,null,105652,null,4720,null,4292,null,1238,null,12327,null,1899,null,37805,null,2558,null,33386,null,2389,null,1268,null,405,null,3151,null,912,null,114535,null,5559,null,91851,null,4525,null,80641,null,4169,null,3399,null,1023,null,7811,null,1448,null,22684,null,2503,null,20092,null,2352,null,950,null,479,null,1642,null,626,null,0400000US02,Alaska,02
4248231,null,3428,null,672320,null,14528,null,330956,null,12161,null,106442,null,6802,null,204782,null,10356,null,19732,null,2715,null,341364,null,9140,null,158703,null,6338,null,147203,null,7175,null,35458,null,3130,null,1057329,null,19643,null,609726,null,15353,null,420306,null,12559,null,151226,null,7533,null,38194,null,4046,null,447603,null,12766,null,361326,null,11675,null,59850,null,4847,null,26427,null,2596,null,1432829,null,18992,null,961003,null,18110,null,774894,null,14715,null,140397,null,7930,null,45712,null,4166,null,471826,null,9518,null,406820,null,9266,null,39660,null,3952,null,25346,null,2446,null,1085753,null,14044,null,776025,null,13542,null,638850,null,13647,null,69279,null,5624,null,67896,null,4700,null,309728,null,8005,null,266722,null,6928,null,18039,null,2320,null,24967,null,3168,null,0400000US04,Arizona,04
1903914,null,5373,null,335417,null,9706,null,127651,null,5647,null,94069,null,4954,null,29799,null,2547,null,3783,null,1374,null,207766,null,7273,null,193909,null,7309,null,10307,null,1582,null,3550,null,894,null,662671,null,11417,null,394629,null,9920,null,377514,null,9670,null,14343,null,2207,null,2772,null,583,null,268042,null,7245,null,260139,null,7276,null,5551,null,1126,null,2352,null,704,null,546893,null,9619,null,373984,null,8964,null,360022,null,8661,null,8883,null,1680,null,5079,null,1201,null,172909,null,6131,null,168359,null,6014,null,1860,null,541,null,2690,null,708,null,358933,null,9504,null,271044,null,9005,null,256521,null,8646,null,6127,null,1357,null,8396,null,1553,null,87889,null,4999,null,82498,null,4612,null,1655,null,572,null,3736,null,1011,null,0400000US05,Arkansas,05
23782109,null,5693,null,4609666,null,39751,null,2532168,null,28889,null,410420,null,12427,null,1901974,null,24061,null,219774,null,7574,null,2077498,null,25236,null,662386,null,13608,null,1048886,null,16845,null,366226,null,11650,null,4979576,null,38931,null,3087548,null,34099,null,1652632,null,22673,null,1065172,null,20033,null,369744,null,12810,null,1892028,null,21446,null,1248893,null,17433,null,360767,null,9055,null,282368,null,9914,null,7082418,null,43815,null,4960926,null,34972,null,3376228,null,28083,null,963402,null,16800,null,621296,null,13350,null,2121492,null,23444,null,1600326,null,18909,null,242900,null,7550,null,278266,null,8237,null,7110449,null,41480,null,5456722,null,36444,null,3616753,null,31907,null,499678,null,13474,null,1340291,null,20315,null,1653727,null,21211,null,1139920,null,14795,null,100552,null,4480,null,413255,null,11292,null,0400000US06,California,06
3293368,null,3707,null,351496,null,12278,null,186777,null,8392,null,76861,null,5233,null,102144,null,6971,null,7772,null,1744,null,164719,null,6428,null,90659,null,4786,null,59929,null,4581,null,14131,null,2159,null,743807,null,13708,null,478291,null,10584,null,402822,null,10747,null,55115,null,5149,null,20354,null,2662,null,265516,null,8521,null,227670,null,7760,null,24413,null,2675,null,13433,null,1778,null,1016471,null,14181,null,739340,null,13139,null,664785,null,11700,null,44721,null,3564,null,29834,null,3383,null,277131,null,8291,null,248377,null,8292,null,17147,null,2461,null,11607,null,1899,null,1181594,null,15302,null,927054,null,14905,null,830849,null,13354,null,40417,null,4090,null,55788,null,4436,null,254540,null,7704,null,229946,null,7507,null,8273,null,1345,null,16321,null,1996,null,0400000US08,Colorado,08
2370028,null,1849,null,271097,null,9750,null,123220,null,6560,null,55425,null,4021,null,47009,null,3740,null,20786,null,2929,null,147877,null,7294,null,89559,null,5208,null,30560,null,2555,null,27758,null,3305,null,667775,null,12641,null,424980,null,10343,null,336938,null,9929,null,46834,null,3821,null,41208,null,3519,null,242795,null,6315,null,203843,null,5804,null,15110,null,1933,null,23842,null,2359,null,587654,null,10144,null,442902,null,8077,null,363919,null,7820,null,40165,null,3408,null,38818,null,3409,null,144752,null,5154,null,122274,null,4844,null,9162,null,1684,null,13316,null,1638,null,843502,null,11640,null,665076,null,11053,null,556296,null,10140,null,29134,null,3049,null,79646,null,4377,null,178426,null,5465,null,151021,null,4684,null,6041,null,1271,null,21364,null,2306,null,0400000US09,Connecticut,09
595133,null,1337,null,75068,null,4537,null,33148,null,3486,null,22931,null,2314,null,8275,null,1865,null,1942,null,842,null,41920,null,2745,null,34918,null,2274,null,3982,null,1014,null,3020,null,943,null,185594,null,5665,null,114405,null,4779,null,104517,null,4577,null,6262,null,1598,null,3626,null,1063,null,71189,null,3316,null,66799,null,3334,null,2363,null,1088,null,2027,null,752,null,163380,null,6456,null,118732,null,5620,null,109490,null,5555,null,4966,null,1271,null,4276,null,1154,null,44648,null,3464,null,41491,null,3344,null,895,null,524,null,2262,null,758,null,171091,null,6009,null,130349,null,5662,null,111994,null,5518,null,3373,null,1171,null,14982,null,1869,null,40742,null,2667,null,34797,null,2599,null,1156,null,705,null,4789,null,1056,null,0400000US10,Delaware,10
413396,null,601,null,53317,null,4067,null,23468,null,2832,null,17104,null,2753,null,5644,null,1361,null,720,null,395,null,29849,null,2935,null,27067,null,2804,null,2119,null,857,null,663,null,360,null,82834,null,3980,null,49567,null,3415,null,44088,null,3382,null,3077,null,1190,null,2402,null,830,null,33267,null,3211,null,31929,null,3087,null,438,null,338,null,900,null,467,null,76863,null,4467,null,54690,null,3821,null,48924,null,3817,null,1957,null,688,null,3809,null,934,null,22173,null,2593,null,20163,null,2411,null,890,null,496,null,1120,null,529,null,200382,null,5000,null,166856,null,4969,null,142196,null,4411,null,8978,null,1801,null,15682,null,1739,null,33526,null,2792,null,28294,null,2735,null,1270,null,608,null,3962,null,1004,null,0400000US11,District of Columbia,11
12800944,null,8517,null,1884001,null,25491,null,838900,null,19969,null,421895,null,13486,null,333105,null,12428,null,83900,null,5949,null,1045101,null,16039,null,656343,null,12590,null,298715,null,10097,null,90043,null,5675,null,3863394,null,31325,null,2205134,null,27307,null,1585578,null,22625,null,483753,null,14243,null,135803,null,6961,null,1658260,null,21360,null,1371680,null,17228,null,202753,null,8800,null,83827,null,5855,null,3819835,null,25316,null,2590751,null,24654,null,1961705,null,19094,null,469443,null,12412,null,159603,null,7630,null,1229084,null,14980,null,1025552,null,14212,null,133746,null,6894,null,69786,null,4985,null,3233714,null,25701,null,2286933,null,22329,null,1668518,null,18477,null,400450,null,11540,null,217965,null,9973,null,946781,null,14218,null,758819,null,12006,null,101875,null,6372,null,86087,null,5024,null,0400000US12,Florida,12
6230326,null,11842,null,1001937,null,16941,null,453943,null,11723,null,293139,null,10564,null,139796,null,6410,null,21008,null,2721,null,547994,null,10873,null,482962,null,10032,null,44545,null,3943,null,20487,null,2767,null,1799352,null,20768,null,1124896,null,16802,null,1006251,null,16163,null,72007,null,5919,null,46638,null,4837,null,674456,null,11669,null,630891,null,11122,null,22797,null,3110,null,20768,null,2490,null,1712992,null,18061,null,1272880,null,18012,null,1168320,null,16998,null,49442,null,4318,null,55118,null,5026,null,440112,null,11078,null,408108,null,10563,null,13355,null,2108,null,18649,null,2188,null,1716045,null,21504,null,1363954,null,19667,null,1186839,null,19452,null,47841,null,3887,null,129274,null,6172,null,352091,null,8736,null,310754,null,8721,null,10052,null,1851,null,31285,null,3186,null,0400000US13,Georgia,13
882883,null,2461,null,84651,null,4652,null,34761,null,3230,null,13536,null,2030,null,1261,null,662,null,19964,null,2418,null,49890,null,3396,null,25456,null,2446,null,468,null,365,null,23966,null,2572,null,254898,null,7116,null,154593,null,6632,null,114043,null,6359,null,3034,null,1190,null,37516,null,3726,null,100305,null,4027,null,73930,null,3734,null,1068,null,661,null,25307,null,2501,null,282239,null,7558,null,214074,null,6873,null,163297,null,6073,null,4711,null,1511,null,46066,null,3543,null,68165,null,3814,null,50738,null,3561,null,1470,null,625,null,15957,null,2294,null,261095,null,6888,null,199982,null,6045,null,153794,null,5714,null,5517,null,1564,null,40671,null,3538,null,61113,null,3054,null,44175,null,2773,null,1348,null,665,null,15590,null,1733,null,0400000US15,Hawaii,15
