C17026_001E,C17026_001EA,C17026_001M,C17026_001MA,C17026_002E,C17026_002EA,C17026_002M,C17026_002MA,C17026_003E,C17026_003EA,C17026_003M,C17026_003MA,C17026_004E,C17026_004EA,C17026_004M,C17026_004MA,C17026_005E,C17026_005EA,C17026_005M,C17026_005MA,C17026_006E,C17026_006EA,C17026_006M,C17026_006MA,C17026_007E,C17026_007EA,C17026_007M,C17026_007MA,C17026_008E,C17026_008EA,C17026_008M,C17026_008MA,GEO_ID,NAME,state
1246056,null,11767,null,69861,null,3586,null,96842,null,4484,null,58696,null,4477,null,61889,null,4596,null,87421,null,4804,null,32544,null,3051,null,838803,null,11540,null,0400000US01,Alabama,01
159940,null,3646,null,4152,null,961,null,5698,null,1061,null,3536,null,824,null,4004,null,860,null,7600,null,1361,null,3233,null,1037,null,131717,null,3562,null,0400000US02,Alaska,02
1514235,null,13945,null,74415,null,4697,null,101083,null,5403,null,62197,null,4957,null,64100,null,3967,null,91958,null,4703,null,36996,null,3778,null,1083486,null,12179,null,0400000US04,Arizona,04
768492,null,8905,null,43522,null,3241,null,69888,null,3833,null,39464,null,3263,null,41764,null,3214,null,57852,null,3654,null,22050,null,2412,null,493952,null,8276,null,0400000US05,Arkansas,05
8366253,null,25708,null,329779,null,9444,null,557632,null,12074,null,335466,null,10007,null,374422,null,9160,null,488569,null,12442,null,201373,null,8218,null,6079012,null,25454,null,0400000US06,California,06
1233139,null,11054,null,46948,null,3934,null,62678,null,4280,null,38998,null,3341,null,37205,null,3008,null,61333,null,4214,null,25150,null,2542,null,960827,null,9775,null,0400000US08,Colorado,08
890530,null,9200,null,25538,null,2906,null,33946,null,3096,null,18277,null,2189,null,20820,null,2541,null,35301,null,3114,null,15514,null,2367,null,741134,null,8724,null,0400000US09,Connecticut,09
220655,null,4595,null,6059,null,1303,null,9568,null,1854,null,6598,null,1489,null,6260,null,1239,null,13180,null,2100,null,4087,null,1005,null,174903,null,4459,null,0400000US10,Delaware,10
109030,null,4490,null,8595,null,1705,null,7370,null,1390,null,2970,null,914,null,3986,null,1112,null,4922,null,1141,null,2621,null,751,null,78566,null,4044,null,0400000US11,District of Columbia,11
4542466,null,26422,null,193688,null,8084,null,294569,null,9713,null,195973,null,7438,null,204683,null,6592,null,300247,null,11854,null,128744,null,6252,null,3224562,null,24265,null,0400000US12,Florida,12
2370143,null,18487,null,122782,null,5163,null,178166,null,7088,null,103210,null,6182,null,107245,null,5458,null,148328,null,7129,null,58304,null,4425,null,1652108,null,16863,null,0400000US13,Georgia,13
310366,null,5604,null,7756,null,1286,null,15525,null,2228,null,8315,null,1723,null,9489,null,1605,null,14372,null,2152,null,6506,null,1317,null,248403,null,6051,null,0400000US15,Hawaii,15
397214,null,6069,null,15128,null,2391,null,24259,null,2614,null,18638,null,2250,null,21378,null,2329,null,29145,null,2764,null,11533,null,1419,null,277133,null,6445,null,0400000US16,Idaho,16
3120138,null,16955,null,128883,null,5977,null,180426,null,6986,null,106257,null,5888,null,110252,null,5031,null,161430,null,5940,null,62334,null,4215,null,2370556,null,15709,null,0400000US17,Illinois,17
1657555,null,11425,null,74403,null,4743,null,103505,null,4736,null,58551,null,3835,null,68208,null,4543,null,96209,null,4557,null,46244,null,3414,null,1210435,null,11488,null,0400000US18,Indiana,18
798262,null,8113,null,23092,null,2666,null,38088,null,3174,null,25355,null,2514,null,28130,null,2748,null,44321,null,3100,null,18584,null,2041,null,620692,null,7685,null,0400000US19,Iowa,19
722181,null,7254,null,24093,null,2498,null,40768,null,2978,null,25615,null,2310,null,25826,null,2330,null,44737,null,3387,null,18012,null,1762,null,543130,null,7095,null,0400000US20,Kansas,20
1146621,null,11765,null,68340,null,5172,null,96637,null,5306,null,49159,null,3207,null,53516,null,3932,null,77601,null,4433,null,30100,null,2973,null,771268,null,10609,null,0400000US21,Kentucky,21
1128899,null,12816,null,58499,null,4155,null,91145,null,5086,null,55483,null,4401,null,52966,null,3643,null,69574,null,4040,null,27960,null,2557,null,773272,null,11340,null,0400000US22,Louisiana,22
347561,null,5549,null,10731,null,1610,null,18206,null,2254,null,13286,null,1424,null,15138,null,1793,null,19492,null,1806,null,10713,null,1575,null,259995,null,5615,null,0400000US23,Maine,23
1391688,null,11881,null,34772,null,3524,null,50586,null,4024,null,32412,null,3112,null,31052,null,2919,null,54667,null,4007,null,22657,null,2652,null,1165542,null,11283,null,0400000US24,Maryland,24
1557057,null,14586,null,44619,null,4022,null,63992,null,4515,null,37862,null,3593,null,37321,null,3317,null,61838,null,3951,null,28502,null,2712,null,1282923,null,13089,null,0400000US25,Massachusetts,25
2523758,null,15653,null,124070,null,6177,null,168046,null,6128,null,92093,null,4597,null,97978,null,4602,null,149864,null,5383,null,61696,null,3782,null,1830011,null,14208,null,0400000US26,Michigan,26
1349167,null,10514,null,39537,null,3192,null,55378,null,3035,null,38276,null,2671,null,39175,null,3084,null,61517,null,3606,null,28554,null,2104,null,1086730,null,10013,null,0400000US27,Minnesota,27
754131,null,10408,null,51454,null,4136,null,79090,null,4283,null,40955,null,3268,null,39615,null,3822,null,53676,null,3597,null,22554,null,2381,null,466787,null,9065,null,0400000US28,Mississippi,28
1543375,null,10732,null,72116,null,4768,null,96356,null,5070,null,57743,null,3913,null,64811,null,3741,null,95762,null,4998,null,37585,null,3081,null,1119002,null,11271,null,0400000US29,Missouri,29
235940,null,5112,null,10491,null,1655,null,12938,null,1596,null,8774,null,1429,null,9293,null,1428,null,16330,null,2148,null,5901,null,1032,null,172213,null,4863,null,0400000US30,Montana,30
457966,null,6887,null,13412,null,1792,null,25145,null,2558,null,17447,null,1853,null,17017,null,1835,null,27633,null,2845,null,9541,null,1257,null,347771,null,6402,null,0400000US31,Nebraska,31
632236,null,9999,null,22868,null,2775,null,33853,null,3516,null,24657,null,3216,null,27652,null,3086,null,38171,null,3309,null,15806,null,2103,null,469229,null,9341,null,0400000US32,Nevada,32
336491,null,4797,null,7045,null,1102,null,11627,null,1960,null,5396,null,1105,null,7980,null,1275,null,16372,null,2233,null,5713,null,1007,null,282358,null,4865,null,0400000US33,New Hampshire,33
2172031,null,12552,null,60499,null,4639,null,90505,null,5241,null,55107,null,3423,null,58902,null,4204,null,89143,null,4744,null,39147,null,3474,null,1778728,null,13025,null,0400000US34,New Jersey,34
489296,null,6847,null,24494,null,2483,null,41967,null,3647,null,23626,null,2236,null,25794,null,2922,null,33776,null,3078,null,12573,null,1854,null,327066,null,6240,null,0400000US35,New Mexico,35
4606840,null,20341,null,208462,null,6662,null,289755,null,9502,null,163358,null,6638,null,168218,null,6285,null,233464,null,7546,null,100550,null,5195,null,3443033,null,18707,null,0400000US36,New York,36
2430277,null,20042,null,118612,null,5889,null,170711,null,7290,null,102437,null,5890,null,116832,null,6345,null,154866,null,5761,null,65008,null,4116,null,1701811,null,17318,null,0400000US37,North Carolina,37
172152,null,3488,null,4730,null,1017,null,6606,null,1132,null,4493,null,954,null,5812,null,1074,null,7820,null,1125,null,5368,null,922,null,137323,null,3246,null,0400000US38,North Dakota,38
2947214,null,14853,null,141716,null,5605,null,186316,null,7550,null,104588,null,4931,null,107091,null,4815,null,165718,null,7183,null,72544,null,3333,null,2169241,null,14499,null,0400000US39,Ohio,39
949299,null,9633,null,45910,null,3318,null,69204,null,4470,null,43736,null,3124,null,46629,null,3079,null,63911,null,3537,null,29418,null,2532,null,650491,null,8668,null,0400000US40,Oklahoma,40
956627,null,9956,null,38236,null,3514,null,55979,null,3892,null,33803,null,2950,null,40069,null,3594,null,57695,null,3809,null,21858,null,2069,null,708987,null,9273,null,0400000US41,Oregon,41
3195832,null,16060,null,109151,null,5079,null,166036,null,5822,null,98171,null,4588,null,107592,null,4922,null,166428,null,7308,null,79384,null,4898,null,2469070,null,14696,null,0400000US42,Pennsylvania,42
257514,null,5605,null,9651,null,1773,null,12416,null,1995,null,7643,null,1377,null,10565,null,1957,null,13319,null,2113,null,5325,null,1271,null,198595,null,4961,null,0400000US44,Rhode Island,44
