C17023_001E,C17023_001EA,C17023_001M,C17023_001MA,C17023_002E,C17023_002EA,C17023_002M,C17023_002MA,C17023_003E,C17023_003EA,C17023_003M,C17023_003MA,C17023_004E,C17023_004EA,C17023_004M,C17023_004MA,C17023_005E,C17023_005EA,C17023_005M,C17023_005MA,C17023_006E,C17023_006EA,C17023_006M,C17023_006MA,C17023_007E,C17023_007EA,C17023_007M,C17023_007MA,C17023_008E,C17023_008EA,C17023_008M,C17023_008MA,C17023_009E,C17023_009EA,C17023_009M,C17023_009MA,C17023_010E,C17023_010EA,C17023_010M,C17023_010MA,C17023_011E,C17023_011EA,C17023_011M,C17023_011MA,C17023_012E,C17023_012EA,C17023_012M,C17023_012MA,C17023_013E,C17023_013EA,C17023_013M,C17023_013MA,C17023_014E,C17023_014EA,C17023_014M,C17023_014MA,C17023_015E,C17023_015EA,C17023_015M,C17023_015MA,C17023_016E,C17023_016EA,C17023_016M,C17023_016MA,C17023_017E,C17023_017EA,C17023_017M,C17023_017MA,C17023_018E,C17023_018EA,C17023_018M,C17023_018MA,C17023_019E,C17023_019EA,C17023_019M,C17023_019MA,C17023_020E,C17023_020EA,C17023_020M,C17023_020MA,C17023_021E,C17023_021EA,C17023_021M,C17023_021MA,C17023_022E,C17023_022EA,C17023_022M,C17023_022MA,C17023_023E,C17023_023EA,C17023_023M,C17023_023MA,GEO_ID,NAME,state
1246056,null,11767,null,166703,null,5280,null,51081,null,3470,null,22902,null,1978,null,28179,null,2946,null,115622,null,4531,null,13304,null,2007,null,5280,null,1180,null,8024,null,1647,null,102318,null,4068,null,27025,null,2386,null,75293,null,3527,null,1079353,null,12047,null,833452,null,11027,null,522652,null,9005,null,310800,null,6882,null,245901,null,7893,null,63729,null,4207,null,37144,null,3133,null,26585,null,3114,null,182172,null,7676,null,98320,null,4943,null,83852,null,5195,null,0400000US01,Alabama,01
159940,null,3646,null,9850,null,1365,null,2625,null,686,null,456,null,254,null,2169,null,600,null,7225,null,1361,null,1319,null,615,null,243,null,140,null,1076,null,601,null,5906,null,1216,null,418,null,176,null,5488,null,1202,null,150090,null,3688,null,116518,null,3220,null,63527,null,2797,null,52991,null,2760,null,33572,null,2634,null,12461,null,1669,null,6415,null,1459,null,6046,null,1047,null,21111,null,2081,null,8908,null,1288,null,12203,null,1530,null,0400000US02,Alaska,02
1514235,null,13945,null,175498,null,7259,null,79652,null,4954,null,29655,null,3007,null,49997,null,4160,null,95846,null,5146,null,20151,null,2636,null,5503,null,1311,null,14648,null,2392,null,75695,null,5147,null,15949,null,2117,null,59746,null,4752,null,1338737,null,13081,null,1046173,null,12194,null,636659,null,10026,null,409514,null,8187,null,292564,null,8661,null,96639,null,6054,null,47374,null,4170,null,49265,null,4492,null,195925,null,6956,null,92879,null,5507,null,103046,null,5380,null,0400000US04,Arizona,04
768492,null,8905,null,113410,null,4531,null,42448,null,2721,null,18374,null,1981,null,24074,null,2563,null,70962,null,4404,null,9088,null,1766,null,3827,null,1200,null,5261,null,1316,null,61874,null,4077,null,12145,null,1831,null,49729,null,3545,null,655082,null,7950,null,523949,null,8443,null,330514,null,6578,null,193435,null,5218,null,131133,null,5330,null,40414,null,3461,null,23191,null,2266,null,17223,null,2438,null,90719,null,4490,null,43662,null,2850,null,47057,null,3442,null,0400000US05,Arkansas,05
8366253,null,25708,null,887411,null,13879,null,383236,null,10824,null,114691,null,5469,null,268545,null,9195,null,504175,null,12303,null,106471,null,6044,null,29516,null,3345,null,76955,null,4849,null,397704,null,10265,null,84602,null,4144,null,313102,null,10090,null,7478842,null,27770,null,5657974,null,30044,null,3051518,null,20468,null,2606456,null,24651,null,1820868,null,24083,null,625098,null,14682,null,360827,null,10568,null,264271,null,9361,null,1195770,null,16812,null,645384,null,13809,null,550386,null,11653,null,0400000US06,California,06
1233139,null,11054,null,109626,null,5252,null,47715,null,3972,null,17481,null,2223,null,30234,null,3400,null,61911,null,4325,null,10894,null,1902,null,4222,null,1389,null,6672,null,1382,null,51017,null,3855,null,8681,null,1720,null,42336,null,3498,null,1123513,null,10157,null,922053,null,10702,null,531711,null,7950,null,390342,null,8302,null,201460,null,6908,null,65210,null,4379,null,33443,null,3237,null,31767,null,3145,null,136250,null,5728,null,61512,null,3402,null,74738,null,4751,null,0400000US08,Colorado,08
890530,null,9200,null,59484,null,4290,null,14009,null,1938,null,5535,null,1110,null,8474,null,1579,null,45475,null,3661,null,5119,null,1217,null,1676,null,645,null,3443,null,1185,null,40356,null,3452,null,9318,null,1603,null,31038,null,3001,null,831046,null,9223,null,653939,null,8630,null,369661,null,7432,null,284278,null,6146,null,177107,null,5856,null,50346,null,3797,null,29265,null,2679,null,21081,null,2462,null,126761,null,4600,null,60116,null,3270,null,66645,null,3724,null,0400000US09,Connecticut,09
220655,null,4595,null,15627,null,2343,null,4115,null,1091,null,1142,null,389,null,2973,null,972,null,11512,null,2117,null,1917,null,802,null,866,null,512,null,1051,null,628,null,9595,null,1794,null,1754,null,694,null,7841,null,1572,null,205028,null,4752,null,155747,null,4527,null,97308,null,3420,null,58439,null,3466,null,49281,null,3041,null,13338,null,1956,null,7250,null,1396,null,6088,null,1231,null,35943,null,2283,null,17154,null,1882,null,18789,null,2191,null,0400000US10,Delaware,10
109030,null,4490,null,15965,null,2196,null,1175,null,453,null,670,null,305,null,505,null,347,null,14790,null,2107,null,1994,null,721,null,798,null,460,null,1196,null,655,null,12796,null,2031,null,3391,null,946,null,9405,null,1930,null,93065,null,4537,null,55520,null,3162,null,37623,null,2411,null,17897,null,1998,null,37545,null,3087,null,6799,null,1289,null,3961,null,989,null,2838,null,872,null,30746,null,2857,null,18463,null,2293,null,12283,null,1974,null,0400000US11,District of Columbia,11
4542466,null,26422,null,488257,null,11108,null,192017,null,7854,null,93098,null,5450,null,98919,null,6156,null,296240,null,10087,null,55004,null,4318,null,18767,null,2635,null,36237,null,3580,null,241236,null,9765,null,55473,null,4172,null,185763,null,8455,null,4054209,null,24841,null,3143382,null,23398,null,2058681,null,16865,null,1084701,null,13623,null,910827,null,17910,null,254755,null,8633,null,143413,null,6350,null,111342,null,7102,null,656072,null,14252,null,342479,null,11132,null,313593,null,8410,null,0400000US12,Florida,12
