B12002H_001E,B12002H_001EA,B12002H_001M,B12002H_001MA,B12002H_002E,B12002H_002EA,B12002H_002M,B12002H_002MA,B12002H_003E,B12002H_003EA,B12002H_003M,B12002H_003MA,B12002H_004E,B12002H_004EA,B12002H_004M,B12002H_004MA,B12002H_005E,B12002H_005EA,B12002H_005M,B12002H_005MA,B12002H_006E,B12002H_006EA,B12002H_006M,B12002H_006MA,B12002H_007E,B12002H_007EA,B12002H_007M,B12002H_007MA,B12002H_008E,B12002H_008EA,B12002H_008M,B12002H_008MA,B12002H_009E,B12002H_009EA,B12002H_009M,B12002H_009MA,B12002H_010E,B12002H_010EA,B12002H_010M,B12002H_010MA,B12002H_011E,B12002H_011EA,B12002H_011M,B12002H_011MA,B12002H_012E,B12002H_012EA,B12002H_012M,B12002H_012MA,B12002H_013E,B12002H_013EA,B12002H_013M,B12002H_013MA,GEO_ID,NAME,state
2634469,null,1524,null,1274665,null,2035,null,320604,null,6781,null,756687,null,10116,null,20907,null,2312,null,34111,null,2622,null,142356,null,7404,null,1359804,null,2480,null,250597,null,5893,null,741153,null,10188,null,29486,null,3163,null,169435,null,5150,null,169133,null,6118,null,0400000US01,Alabama,01
370511,null,697,null,195435,null,550,null,65625,null,2960,null,101493,null,3417,null,3103,null,1012,null,3487,null,969,null,21727,null,2459,null,175076,null,483,null,43357,null,2257,null,92490,null,3437,null,4167,null,1148,null,9964,null,1355,null,25098,null,2898,null,0400000US02,Alaska,02
3171492,null,2517,null,1551160,null,1418,null,458376,null,8594,null,835670,null,11230,null,20662,null,2979,null,47007,null,3023,null,189445,null,7722,null,1620332,null,1853,null,355250,null,7898,null,813124,null,12228,null,26196,null,2713,null,167300,null,5594,null,258462,null,8558,null,0400000US04,Arizona,04
1777595,null,1887,null,862568,null,1569,null,208765,null,5501,null,504144,null,7445,null,13444,null,2002,null,28215,null,2445,null,108000,null,5457,null,915027,null,1727,null,162852,null,5551,null,496814,null,8782,null,21411,null,2828,null,110274,null,3959,null,123676,null,4629,null,0400000US05,Arkansas,05
13097863,null,5455,null,6463340,null,4221,null,2187613,null,16311,null,3328527,null,17679,null,95967,null,4809,null,184489,null,6499,null,666744,null,11998,null,6634523,null,3296,null,1709981,null,15395,null,3177428,null,19611,null,123023,null,6277,null,693892,null,8632,null,930199,null,13866,null,0400000US06,California,06
2948165,null,3050,null,1460277,null,2499,null,465016,null,7258,null,802278,null,7885,null,16566,null,2695,null,28792,null,2426,null,147625,null,5631,null,1487888,null,1420,null,358860,null,6733,null,797446,null,9641,null,21052,null,2745,null,110494,null,4056,null,200036,null,6196,null,0400000US08,Colorado,08
2148259,null,2801,null,1031943,null,1655,null,325044,null,5535,null,573710,null,7641,null,7660,null,1401,null,30666,null,2487,null,94863,null,4605,null,1116316,null,1354,null,288033,null,6179,null,564292,null,8785,null,9019,null,1554,null,120963,null,3561,null,134009,null,4622,null,0400000US09,Connecticut,09
499401,null,450,null,239411,null,271,null,72560,null,2385,null,129815,null,3207,null,4144,null,1165,null,8406,null,1348,null,24486,null,1729,null,259990,null,295,null,60819,null,2617,null,133568,null,3545,null,4737,null,1303,null,28526,null,1940,null,32340,null,2266,null,0400000US10,Delaware,10
179383,null,609,null,88110,null,381,null,48271,null,2025,null,32366,null,2173,null,682,null,404,null,1268,null,629,null,5523,null,1054,null,91273,null,655,null,48507,null,2041,null,30542,null,2062,null,912,null,520,null,3851,null,752,null,7461,null,1078,null,0400000US11,District of Columbia,11
9398505,null,4556,null,4555768,null,3129,null,1292658,null,13592,null,2472245,null,16048,null,68140,null,5243,null,173720,null,5998,null,549005,null,12456,null,4842737,null,2800,null,998885,null,14539,null,2408269,null,18808,null,90097,null,5510,null,647699,null,9783,null,697787,null,13208,null,0400000US12,Florida,12
4568559,null,2486,null,2227216,null,6518,null,630379,null,10042,null,1270615,null,13373,null,30113,null,3484,null,56423,null,3271,null,239686,null,9111,null,2341343,null,6039,null,501857,null,12592,null,1265719,null,12401,null,40568,null,3633,null,233772,null,5205,null,299427,null,8591,null,0400000US13,Georgia,13
