B05003I_001E,B05003I_001EA,B05003I_001M,B05003I_001MA,B05003I_002E,B05003I_002EA,B05003I_002M,B05003I_002MA,B05003I_003E,B05003I_003EA,B05003I_003M,B05003I_003MA,B05003I_004E,B05003I_004EA,B05003I_004M,B05003I_004MA,B05003I_005E,B05003I_005EA,B05003I_005M,B05003I_005MA,B05003I_006E,B05003I_006EA,B05003I_006M,B05003I_006MA,B05003I_007E,B05003I_007EA,B05003I_007M,B05003I_007MA,B05003I_008E,B05003I_008EA,B05003I_008M,B05003I_008MA,B05003I_009E,B05003I_009EA,B05003I_009M,B05003I_009MA,B05003I_010E,B05003I_010EA,B05003I_010M,B05003I_010MA,B05003I_011E,B05003I_011EA,B05003I_011M,B05003I_011MA,B05003I_012E,B05003I_012EA,B05003I_012M,B05003I_012MA,B05003I_013E,B05003I_013EA,B05003I_013M,B05003I_013MA,B05003I_014E,B05003I_014EA,B05003I_014M,B05003I_014MA,B05003I_015E,B05003I_015EA,B05003I_015M,B05003I_015MA,B05003I_016E,B05003I_016EA,B05003I_016M,B05003I_016MA,B05003I_017E,B05003I_017EA,B05003I_017M,B05003I_017MA,B05003I_018E,B05003I_018EA,B05003I_018M,B05003I_018MA,B05003I_019E,B05003I_019EA,B05003I_019M,B05003I_019MA,B05003I_020E,B05003I_020EA,B05003I_020M,B05003I_020MA,B05003I_021E,B05003I_021EA,B05003I_021M,B05003I_021MA,B05003I_022E,B05003I_022EA,B05003I_022M,B05003I_022MA,B05003I_023E,B05003I_023EA,B05003I_023M,B05003I_023MA,GEO_ID,NAME,state
148279,null,1956,null,79182,null,2397,null,30880,null,1660,null,26928,null,1954,null,3952,null,1167,null,264,null,206,null,3688,null,1158,null,48302,null,2026,null,11564,null,1582,null,36738,null,2050,null,4092,null,1133,null,32646,null,2223,null,69097,null,2208,null,30980,null,1963,null,27188,null,1864,null,3792,null,1030,null,557,null,368,null,3235,null,980,null,38117,null,1486,null,13903,null,1648,null,24214,null,1406,null,3353,null,1148,null,20861,null,1585,null,0400000US01,Alabama,01
43373,null,231,null,23189,null,828,null,8109,null,583,null,7525,null,751,null,584,null,614,null,91,null,141,null,493,null,603,null,15080,null,724,null,9491,null,1495,null,5589,null,1339,null,2324,null,848,null,3265,null,1399,null,20184,null,783,null,7373,null,514,null,6863,null,705,null,510,null,491,null,74,null,126,null,436,null,474,null,12811,null,700,null,8856,null,975,null,3955,null,731,null,2462,null,666,null,1493,null,597,null,0400000US02,Alaska,02
2031651,null,0,*****,1058398,null,1456,null,387813,null,1464,null,360360,null,3628,null,27453,null,3542,null,1542,null,809,null,25911,null,3487,null,670585,null,450,null,360671,null,8273,null,309914,null,8319,null,70801,null,5503,null,239113,null,8757,null,973253,null,1456,null,366556,null,1466,null,342894,null,3605,null,23662,null,3420,null,1511,null,753,null,22151,null,3251,null,606697,null,451,null,337935,null,8654,null,268762,null,8721,null,78265,null,5494,null,190497,null,8597,null,0400000US04,Arizona,04
172493,null,1908,null,90707,null,2230,null,37754,null,1584,null,33377,null,1359,null,4377,null,1093,null,486,null,403,null,3891,null,1061,null,52953,null,1460,null,14461,null,1599,null,38492,null,1798,null,6947,null,1415,null,31545,null,2043,null,81786,null,2208,null,34527,null,1863,null,30063,null,1926,null,4464,null,1112,null,581,null,430,null,3883,null,1097,null,47259,null,1365,null,18430,null,1823,null,28829,null,1569,null,5715,null,1233,null,23114,null,1826,null,0400000US05,Arkansas,05
13681370,null,0,*****,7038377,null,1913,null,2423982,null,1421,null,2248224,null,9317,null,175758,null,8982,null,14035,null,2308,null,161723,null,8464,null,4614395,null,1123,null,2003344,null,19394,null,2611051,null,19471,null,766642,null,16096,null,1844409,null,23568,null,6642993,null,1914,null,2312748,null,1419,null,2146683,null,8097,null,166065,null,8096,null,13214,null,2482,null,152851,null,8163,null,4330245,null,1125,null,1944633,null,20726,null,2385612,null,20864,null,843541,null,13835,null,1542071,null,21364,null,0400000US06,California,06
1018208,null,0,*****,530462,null,1631,null,186406,null,1430,null,173002,null,2906,null,13404,null,2631,null,656,null,443,null,12748,null,2623,null,344056,null,1131,null,205929,null,6400,null,138127,null,6365,null,25081,null,3141,null,113046,null,6290,null,487746,null,1632,null,179900,null,1449,null,166576,null,3094,null,13324,null,2570,null,751,null,458,null,12573,null,2547,null,307846,null,992,null,200040,null,4684,null,107806,null,4680,null,20671,null,2413,null,87135,null,4790,null,0400000US08,Colorado,08
434471,null,0,*****,219641,null,1068,null,73919,null,849,null,68628,null,1684,null,5291,null,1348,null,896,null,555,null,4395,null,1327,null,145722,null,555,null,87051,null,4112,null,58671,null,4109,null,14483,null,2077,null,44188,null,4222,null,214830,null,1068,null,70584,null,850,null,66162,null,1411,null,4422,null,1223,null,501,null,375,null,3921,null,1154,null,144246,null,555,null,97608,null,2717,null,46638,null,2759,null,16735,null,1755,null,29903,null,2775,null,0400000US09,Connecticut,09
63892,null,0,*****,33743,null,681,null,12905,null,543,null,11299,null,909,null,1606,null,789,null,540,null,484,null,1066,null,648,null,20838,null,335,null,8869,null,1466,null,11969,null,1476,null,2255,null,746,null,9714,null,1733,null,30149,null,681,null,12099,null,544,null,11127,null,741,null,972,null,526,null,442,null,378,null,530,null,446,null,18050,null,334,null,9409,null,1123,null,8641,null,1159,null,1884,null,539,null,6757,null,1211,null,0400000US10,Delaware,10
53025,null,0,*****,27616,null,337,null,7060,null,337,null,6102,null,561,null,958,null,544,null,148,null,238,null,810,null,533,null,20556,null,0,*****,6654,null,1617,null,13902,null,1617,null,3770,null,969,null,10132,null,1741,null,25409,null,337,null,6900,null,337,null,5339,null,743,null,1561,null,757,null,73,null,128,null,1488,null,736,null,18509,null,0,*****,6609,null,1113,null,11900,null,1114,null,3641,null,859,null,8259,null,1275,null,0400000US11,District of Columbia,11
3988758,null,1790,null,2028532,null,3628,null,549549,null,2942,null,483309,null,5418,null,66240,null,5022,null,9275,null,2194,null,56965,null,4339,null,1478983,null,2217,null,546958,null,14623,null,932025,null,14766,null,376755,null,8291,null,555270,null,16271,null,1960226,null,3546,null,519003,null,2668,null,457811,null,5424,null,61192,null,5019,null,7163,null,1451,null,54029,null,4642,null,1441223,null,1881,null,536346,null,10211,null,904877,null,10496,null,461193,null,10766,null,443684,null,11555,null,0400000US12,Florida,12
