C12002H_001E,C12002H_001EA,C12002H_001M,C12002H_001MA,C12002H_002E,C12002H_002EA,C12002H_002M,C12002H_002MA,C12002H_003E,C12002H_003EA,C12002H_003M,C12002H_003MA,C12002H_004E,C12002H_004EA,C12002H_004M,C12002H_004MA,C12002H_005E,C12002H_005EA,C12002H_005M,C12002H_005MA,C12002H_006E,C12002H_006EA,C12002H_006M,C12002H_006MA,GEO_ID,NAME,state
2634469,null,1524,null,571201,null,9790,null,1497840,null,18049,null,50393,null,3939,null,203546,null,6050,null,311489,null,10924,null,0400000US01,Alabama,01
370511,null,697,null,108982,null,4033,null,193983,null,5530,null,7270,null,1585,null,13451,null,1587,null,46825,null,4345,null,0400000US02,Alaska,02
3171492,null,2517,null,813626,null,13372,null,1648794,null,19713,null,46858,null,4003,null,214307,null,6506,null,447907,null,12726,null,0400000US04,Arizona,04
1777595,null,1887,null,371617,null,8538,null,1000958,null,13979,null,34855,null,3786,null,138489,null,5123,null,231676,null,7930,null,0400000US05,Arkansas,05
13097863,null,5455,null,3897594,null,24903,null,6505955,null,29682,null,218990,null,7987,null,878381,null,11536,null,1596943,null,18243,null,0400000US06,California,06
2948165,null,3050,null,823876,null,11511,null,1599724,null,14614,null,37618,null,4199,null,139286,null,5181,null,347661,null,8618,null,0400000US08,Colorado,08
2148259,null,2801,null,613077,null,9546,null,1138002,null,14650,null,16679,null,2157,null,151629,null,4495,null,228872,null,6905,null,0400000US09,Connecticut,09
499401,null,450,null,133379,null,3884,null,263383,null,5913,null,8881,null,1925,null,36932,null,2552,null,56826,null,3193,null,0400000US10,Delaware,10
179383,null,609,null,96778,null,3222,null,62908,null,3395,null,1594,null,639,null,5119,null,1013,null,12984,null,1537,null,0400000US11,District of Columbia,11
9398505,null,4556,null,2291543,null,22762,null,4880514,null,28999,null,158237,null,7904,null,821419,null,11505,null,1246792,null,20690,null,0400000US12,Florida,12
4568559,null,2486,null,1132236,null,15197,null,2536334,null,22342,null,70681,null,5146,null,290195,null,6888,null,539113,null,13881,null,0400000US13,Georgia,13
276841,null,776,null,82364,null,3722,null,146522,null,4912,null,3661,null,1197,null,13053,null,1327,null,31241,null,2647,null,0400000US15,Hawaii,15
1037663,null,636,null,245292,null,6510,null,598400,null,10680,null,16548,null,2389,null,56743,null,3335,null,120680,null,5378,null,0400000US16,Idaho,16
6910209,null,4652,null,1989989,null,17667,null,3654030,null,23860,null,75016,null,4660,null,470081,null,8592,null,721093,null,14042,null,0400000US17,Illinois,17
4313470,null,2543,null,1121859,null,11219,null,2334170,null,19062,null,52645,null,3828,null,282859,null,6368,null,521937,null,13019,null,0400000US18,Indiana,18
2217031,null,1258,null,584439,null,10045,null,1228346,null,13791,null,22262,null,2484,null,152201,null,4091,null,229783,null,7866,null,0400000US19,Iowa,19
1834431,null,1920,null,475152,null,8316,null,1000756,null,11378,null,19989,null,2274,null,124842,null,4644,null,213692,null,6549,null,0400000US20,Kansas,20
3074921,null,2802,null,753901,null,13396,null,1660946,null,21410,null,61382,null,4673,null,226021,null,6136,null,372671,null,11134,null,0400000US21,Kentucky,21
2255009,null,1446,null,563537,null,9806,null,1232058,null,17649,null,43712,null,3536,null,160580,null,4654,null,255122,null,9160,null,0400000US22,Louisiana,22
1046054,null,2362,null,284489,null,5714,null,544464,null,8762,null,11136,null,1572,null,72902,null,2526,null,133063,null,5521,null,0400000US23,Maine,23
2685019,null,2079,null,744693,null,8585,null,1462994,null,14149,null,47142,null,3496,null,177914,null,5383,null,252276,null,7684,null,0400000US24,Maryland,24
4342362,null,4447,null,1437961,null,16141,null,2105267,null,22164,null,63514,null,3792,null,302062,null,7199,null,433558,null,10386,null,0400000US25,Massachusetts,25
6362038,null,1677,null,1764258,null,16084,null,3396606,null,24207,null,68994,null,4237,null,415587,null,7528,null,716593,null,14374,null,0400000US26,Michigan,26
3675370,null,2185,null,1062062,null,10739,null,2022103,null,16732,null,29412,null,2718,null,203189,null,5032,null,358604,null,8599,null,0400000US27,Minnesota,27
1399485,null,1334,null,303399,null,7167,null,803728,null,13875,null,26376,null,3342,null,104785,null,5197,null,161197,null,8055,null,0400000US28,Mississippi,28
4007610,null,1561,null,1045332,null,11971,null,2160127,null,17809,null,64813,null,4837,null,266627,null,6876,null,470711,null,10615,null,0400000US29,Missouri,29
711368,null,601,null,195753,null,5414,null,367109,null,9532,null,9889,null,1732,null,49789,null,3330,null,88828,null,5528,null,0400000US30,Montana,30
1219939,null,1358,null,334014,null,6889,null,672702,null,10626,null,12921,null,1918,null,78997,null,3347,null,121305,null,5411,null,0400000US31,Nebraska,31
1233495,null,1807,null,319658,null,8113,null,620671,null,10545,null,21293,null,2704,null,77519,null,3975,null,194354,null,7784,null,0400000US32,Nevada,32
1022361,null,593,null,286573,null,6346,null,537574,null,9260,null,11040,null,1910,null,63362,null,3229,null,123812,null,5357,null,0400000US33,New Hampshire,33
4424327,null,3514,null,1254150,null,12148,null,2382851,null,18991,null,55168,null,3986,null,344672,null,7124,null,387486,null,11115,null,0400000US34,New Jersey,34
701448,null,2625,null,166230,null,5567,null,375666,null,7568,null,10518,null,1782,null,50445,null,3051,null,98589,null,5111,null,0400000US35,New Mexico,35
9818839,null,4260,null,3121050,null,23339,null,4933687,null,27958,null,183492,null,7251,null,714136,null,9841,null,866474,null,13956,null,0400000US36,New York,36
5168477,null,2977,null,1240241,null,16861,null,2909423,null,22364,null,128007,null,6765,null,344069,null,7372,null,546737,null,10976,null,0400000US37,North Carolina,37
480091,null,285,null,135420,null,3943,null,269644,null,5089,null,3750,null,923,null,32540,null,1606,null,38737,null,2707,null,0400000US38,North Dakota,38
7786177,null,1865,null,2136945,null,17259,null,4060619,null,28178,null,125429,null,5884,null,540025,null,8247,null,923159,null,16005,null,0400000US39,Ohio,39
2145572,null,1678,null,490141,null,9321,null,1178701,null,14815,null,37873,null,3390,null,156597,null,4934,null,282260,null,8501,null,0400000US40,Oklahoma,40
2556183,null,1666,null,699519,null,11641,null,1325782,null,19045,null,37654,null,3082,null,156745,null,6043,null,336483,null,9059,null,0400000US41,Oregon,41
8548282,null,3187,null,2447629,null,16759,null,4495064,null,24429,null,154189,null,6403,null,663844,null,8475,null,787556,null,13064,null,0400000US42,Pennsylvania,42
698696,null,2130,null,219162,null,5860,null,342623,null,8175,null,9136,null,1543,null,52152,null,3604,null,75623,null,4595,null,0400000US44,Rhode Island,44
2448431,null,2201,null,600025,null,10567,null,1368478,null,15112,null,53633,null,3256,null,172809,null,5245,null,253486,null,8501,null,0400000US45,South Carolina,45
568459,null,1128,null,149808,null,4242,null,313528,null,6889,null,7829,null,1709,null,39643,null,2201,null,57651,null,3890,null,0400000US46,South Dakota,46
3967997,null,1024,null,908455,null,12482,null,2192475,null,20452,null,76921,null,4895,null,279732,null,6432,null,510414,null,11101,null,0400000US47,Tennessee,47
9500837,null,4113,null,2378679,null,20113,null,5187671,null,32957,null,158683,null,7331,null,608652,null,11412,null,1167152,null,20982,null,0400000US48,Texas,48
1700571,null,1260,null,472454,null,8678,null,975152,null,11266,null,21178,null,2308,null,70164,null,3202,null,161623,null,6572,null,0400000US49,Utah,49
496591,null,515,null,149839,null,4410,null,253511,null,5628,null,5704,null,923,null,29027,null,1834,null,58510,null,3497,null,0400000US50,Vermont,50
4319924,null,3251,null,1159556,null,14054,null,2375204,null,21291,null,92361,null,5021,null,259905,null,6678,null,432898,null,11487,null,0400000US51,Virginia,51
4144383,null,2492,null,1144863,null,14677,null,2168194,null,19944,null,65001,null,4605,null,224854,null,6894,null,541471,null,11586,null,0400000US53,Washington,53
