C17001H_001E,C17001H_001EA,C17001H_001M,C17001H_001MA,C17001H_002E,C17001H_002EA,C17001H_002M,C17001H_002MA,C17001H_003E,C17001H_003EA,C17001H_003M,C17001H_003MA,C17001H_004E,C17001H_004EA,C17001H_004M,C17001H_004MA,C17001H_005E,C17001H_005EA,C17001H_005M,C17001H_005MA,C17001H_006E,C17001H_006EA,C17001H_006M,C17001H_006MA,C17001H_007E,C17001H_007EA,C17001H_007M,C17001H_007MA,C17001H_008E,C17001H_008EA,C17001H_008M,C17001H_008MA,C17001H_009E,C17001H_009EA,C17001H_009M,C17001H_009MA,C17001H_010E,C17001H_010EA,C17001H_010M,C17001H_010MA,C17001H_011E,C17001H_011EA,C17001H_011M,C17001H_011MA,C17001H_012E,C17001H_012EA,C17001H_012M,C17001H_012MA,C17001H_013E,C17001H_013EA,C17001H_013M,C17001H_013MA,C17001H_014E,C17001H_014EA,C17001H_014M,C17001H_014MA,C17001H_015E,C17001H_015EA,C17001H_015M,C17001H_015MA,C17001H_016E,C17001H_016EA,C17001H_016M,C17001H_016MA,C17001H_017E,C17001H_017EA,C17001H_017M,C17001H_017MA,C17001H_018E,C17001H_018EA,C17001H_018M,C17001H_018MA,C17001H_019E,C17001H_019EA,C17001H_019M,C17001H_019MA,GEO_ID,NAME,state
3134274,null,4564,null,364772,null,14069,null,159111,null,7864,null,49891,null,4056,null,96030,null,5567,null,13190,null,1540,null,205661,null,8082,null,44367,null,3140,null,132296,null,6069,null,28998,null,2308,null,2769502,null,14415,null,1373823,null,8013,null,297617,null,4558,null,873377,null,6026,null,202829,null,1684,null,1395679,null,8711,null,285126,null,3782,null,856077,null,6408,null,254476,null,2649,null,0400000US01,Alabama,01
444882,null,1395,null,28130,null,3946,null,13338,null,2427,null,5220,null,1315,null,7789,null,1667,null,329,null,249,null,14792,null,2310,null,3564,null,1137,null,10479,null,1624,null,749,null,355,null,416752,null,4613,null,219384,null,2733,null,46360,null,1614,null,154504,null,1965,null,18520,null,423,null,197368,null,2867,null,44664,null,1514,null,134385,null,1892,null,18319,null,387,null,0400000US02,Alaska,02
3711343,null,5017,null,366687,null,16019,null,168443,null,10010,null,39975,null,4316,null,112798,null,7646,null,15670,null,2097,null,198244,null,8782,null,40012,null,4699,null,129158,null,6883,null,29074,null,2832,null,3344656,null,16310,null,1656778,null,10164,null,325087,null,5143,null,1026294,null,7569,null,305397,null,2323,null,1687878,null,8752,null,305361,null,4775,null,1028232,null,7084,null,354285,null,3354,null,0400000US04,Arizona,04
2109262,null,3859,null,288673,null,12595,null,128065,null,7068,null,43680,null,3766,null,74092,null,5215,null,10293,null,1534,null,160608,null,7915,null,40867,null,3845,null,96291,null,5465,null,23450,null,1998,null,1820589,null,13970,null,903246,null,7869,null,192795,null,4451,null,569303,null,5262,null,141148,null,1958,null,917343,null,9044,null,184048,null,4555,null,563358,null,6183,null,169937,null,2504,null,0400000US05,Arkansas,05
15020586,null,9877,null,1302997,null,26192,null,585201,null,15509,null,120035,null,7572,null,412512,null,11509,null,52654,null,3478,null,717796,null,16682,null,123845,null,6896,null,482622,null,12428,null,111329,null,4999,null,13717589,null,27471,null,6848682,null,17062,null,1274051,null,8058,null,4527183,null,12803,null,1047448,null,4358,null,6868907,null,17402,null,1194101,null,7718,null,4368225,null,13580,null,1306581,null,5931,null,0400000US06,California,06
3476703,null,4354,null,296098,null,12592,null,137066,null,7927,null,30188,null,3632,null,97145,null,6208,null,9733,null,1646,null,159032,null,6928,null,28106,null,3450,null,109055,null,5476,null,21871,null,2395,null,3180605,null,12008,null,1591735,null,7657,null,335145,null,3748,null,1073819,null,6186,null,182771,null,1803,null,1588870,null,7531,null,316020,null,3990,null,1052583,null,5288,null,220267,null,2672,null,0400000US08,Colorado,08
2491200,null,4442,null,138373,null,10017,null,61979,null,5882,null,14473,null,2640,null,42002,null,4153,null,5504,null,978,null,76394,null,5937,null,11631,null,2190,null,50941,null,4287,null,13822,null,1712,null,2352827,null,10279,null,1152527,null,6640,null,247142,null,2848,null,740100,null,4864,null,165285,null,1534,null,1200300,null,6105,null,236922,null,2411,null,745110,null,4521,null,218268,null,2149,null,0400000US09,Connecticut,09
581686,null,1733,null,43981,null,6201,null,18215,null,3369,null,5758,null,1834,null,10726,null,1979,null,1731,null,652,null,25766,null,3767,null,6647,null,1945,null,15722,null,2361,null,3397,null,834,null,537705,null,6574,null,264587,null,3670,null,54296,null,1981,null,166471,null,2218,null,43820,null,687,null,273118,null,3994,null,50118,null,2025,null,170111,null,2452,null,52889,null,959,null,0400000US10,Delaware,10
182505,null,1996,null,12844,null,2026,null,6760,null,1332,null,273,null,437,null,6193,null,1315,null,294,null,262,null,6084,null,1362,null,340,null,322,null,5473,null,1297,null,271,null,256,null,169661,null,2535,null,84891,null,1498,null,10985,null,618,null,64045,null,1539,null,9861,null,273,null,84770,null,2245,null,11191,null,557,null,63561,null,1558,null,10018,null,1569,null,0400000US11,District of Columbia,11
10768242,null,7901,null,1134181,null,22729,null,511081,null,14226,null,123162,null,7603,null,327425,null,10466,null,60494,null,3969,null,623100,null,15813,null,126967,null,7073,null,381855,null,10152,null,114278,null,5986,null,9634061,null,24433,null,4737453,null,14439,null,858979,null,8184,null,2849659,null,11357,null,1028815,null,4788,null,4896608,null,17197,null,807460,null,7896,null,2868562,null,12017,null,1220586,null,6863,null,0400000US12,Florida,12
