C12002B_001E,C12002B_001EA,C12002B_001M,C12002B_001MA,C12002B_002E,C12002B_002EA,C12002B_002M,C12002B_002MA,C12002B_003E,C12002B_003EA,C12002B_003M,C12002B_003MA,C12002B_004E,C12002B_004EA,C12002B_004M,C12002B_004MA,C12002B_005E,C12002B_005EA,C12002B_005M,C12002B_005MA,C12002B_006E,C12002B_006EA,C12002B_006M,C12002B_006MA,GEO_ID,NAME,state
949978,null,4194,null,428567,null,9374,null,282005,null,9684,null,49742,null,3320,null,67050,null,3778,null,122614,null,5412,null,0400000US01,Alabama,01
20291,null,976,null,9724,null,1391,null,6939,null,1217,null,682,null,421,null,190,null,182,null,2756,null,742,null,0400000US02,Alaska,02
185661,null,4405,null,88532,null,4831,null,59932,null,4259,null,5240,null,1414,null,8865,null,1450,null,23092,null,2922,null,0400000US04,Arizona,04
337487,null,3909,null,152296,null,5120,null,101511,null,5485,null,19741,null,2847,null,22650,null,2014,null,41289,null,3709,null,0400000US05,Arkansas,05
1784587,null,9088,null,872842,null,12423,null,515029,null,11091,null,71024,null,4380,null,95312,null,4439,null,230380,null,8513,null,0400000US06,California,06
149634,null,3516,null,70075,null,3735,null,46682,null,3486,null,5813,null,1555,null,8079,null,1581,null,18985,null,2281,null,0400000US08,Colorado,08
263203,null,3482,null,128132,null,4216,null,84107,null,4366,null,10307,null,1655,null,11829,null,1204,null,28828,null,2517,null,0400000US09,Connecticut,09
142720,null,1859,null,67862,null,3612,null,45154,null,4495,null,4719,null,1165,null,8468,null,1468,null,16517,null,2049,null,0400000US10,Delaware,10
261527,null,1814,null,148854,null,4621,null,48271,null,3928,null,11931,null,2219,null,20967,null,2145,null,31504,null,2846,null,0400000US11,District of Columbia,11
2213588,null,11532,null,1038422,null,14546,null,703021,null,14862,null,93903,null,5744,null,117420,null,4869,null,260822,null,9182,null,0400000US12,Florida,12
2256709,null,9268,null,1058164,null,12999,null,705887,null,14026,null,93724,null,5762,null,119761,null,4409,null,279173,null,9126,null,0400000US13,Georgia,13
22913,null,2289,null,6919,null,1983,null,13067,null,2545,null,379,null,453,null,121,null,198,null,2427,null,898,null,0400000US15,Hawaii,15
6657,null,1454,null,3062,null,886,null,2270,null,750,null,551,null,572,null,115,null,131,null,659,null,442,null,0400000US16,Idaho,16
1451754,null,6546,null,774306,null,10527,null,357214,null,10462,null,56511,null,4928,null,94718,null,3628,null,169005,null,6366,null,0400000US17,Illinois,17
427266,null,3465,null,214667,null,6215,null,115173,null,7258,null,15748,null,2162,null,24082,null,1941,null,57596,null,4232,null,0400000US18,Indiana,18
57448,null,2202,null,29042,null,2406,null,15921,null,2035,null,2954,null,947,null,2160,null,715,null,7371,null,1546,null,0400000US19,Iowa,19
120706,null,3164,null,56795,null,3033,null,35756,null,2393,null,3426,null,1010,null,6712,null,1067,null,18017,null,2301,null,0400000US20,Kansas,20
252239,null,4969,null,122182,null,5035,null,76180,null,4972,null,9509,null,1705,null,12291,null,1368,null,32077,null,3220,null,0400000US21,Kentucky,21
1089319,null,4393,null,525567,null,8862,null,309008,null,9779,null,50847,null,4014,null,73387,null,3641,null,130510,null,6040,null,0400000US22,Louisiana,22
10540,null,1908,null,5570,null,1174,null,3671,null,1163,null,105,null,125,null,195,null,216,null,999,null,523,null,0400000US23,Maine,23
1307264,null,6153,null,599008,null,11887,null,432168,null,12853,null,55049,null,4457,null,71238,null,4221,null,149801,null,7553,null,0400000US24,Maryland,24
322146,null,5719,null,165150,null,5814,null,95981,null,6069,null,15431,null,2343,null,14525,null,1886,null,31059,null,3482,null,0400000US25,Massachusetts,25
1079533,null,5610,null,577639,null,10421,null,264160,null,9441,null,38718,null,3157,null,60766,null,3800,null,138250,null,5600,null,0400000US26,Michigan,26
167981,null,2592,null,85297,null,3578,null,47220,null,3365,null,7898,null,1497,null,5216,null,1090,null,22350,null,2262,null,0400000US27,Minnesota,27
818956,null,4182,null,397472,null,7451,null,232255,null,8707,null,41998,null,3369,null,57755,null,3567,null,89476,null,4825,null,0400000US28,Mississippi,28
514011,null,3865,null,257460,null,6948,null,133275,null,6751,null,24165,null,2919,null,31116,null,2349,null,67995,null,4065,null,0400000US29,Missouri,29
