C01001B_001E,C01001B_001EA,C01001B_001M,C01001B_001MA,C01001B_002E,C01001B_002EA,C01001B_002M,C01001B_002MA,C01001B_003E,C01001B_003EA,C01001B_003M,C01001B_003MA,C01001B_004E,C01001B_004EA,C01001B_004M,C01001B_004MA,C01001B_005E,C01001B_005EA,C01001B_005M,C01001B_005MA,C01001B_006E,C01001B_006EA,C01001B_006M,C01001B_006MA,C01001B_007E,C01001B_007EA,C01001B_007M,C01001B_007MA,C01001B_008E,C01001B_008EA,C01001B_008M,C01001B_008MA,C01001B_009E,C01001B_009EA,C01001B_009M,C01001B_009MA,GEO_ID,NAME,state
1229268,null,5545,null,572904,null,4012,null,171145,null,2965,null,359288,null,2934,null,42471,null,1409,null,656364,null,3868,null,167738,null,2745,null,416680,null,2776,null,71946,null,1404,null,0400000US01,Alabama,01
27067,null,1511,null,14602,null,1134,null,4161,null,842,null,10230,null,842,null,211,null,178,null,12465,null,1029,null,4151,null,704,null,7278,null,582,null,1036,null,263,null,0400000US02,Alaska,02
254011,null,7261,null,133908,null,4282,null,41752,null,3082,null,84606,null,2145,null,7550,null,460,null,120103,null,4168,null,38625,null,2958,null,72631,null,2438,null,8847,null,456,null,0400000US04,Arizona,04
447786,null,5069,null,211023,null,3181,null,67269,null,2126,null,129210,null,2566,null,14544,null,914,null,236763,null,3898,null,64594,null,2648,null,149208,null,2190,null,22961,null,1348,null,0400000US05,Arkansas,05
2247948,null,13760,null,1108370,null,8517,null,295734,null,5792,null,724474,null,5652,null,88162,null,1427,null,1139578,null,8243,null,283793,null,4825,null,730553,null,5366,null,125232,null,1669,null,0400000US06,California,06
194951,null,5530,null,100829,null,3642,null,27418,null,2564,null,67691,null,2375,null,5720,null,445,null,94122,null,2909,null,27967,null,2065,null,58216,null,1781,null,7939,null,554,null,0400000US08,Colorado,08
337293,null,5466,null,162084,null,3072,null,46303,null,2136,null,104718,null,1799,null,11063,null,684,null,175209,null,3614,null,44942,null,2284,null,113141,null,2303,null,17126,null,562,null,0400000US09,Connecticut,09
183790,null,3416,null,86097,null,1859,null,24606,null,1423,null,55103,null,1001,null,6388,null,86,null,97693,null,2235,null,25222,null,1704,null,63162,null,1023,null,9309,null,158,null,0400000US10,Delaware,10
319119,null,2130,null,143464,null,1225,null,36507,null,665,null,91240,null,1112,null,15717,null,160,null,175655,null,1290,null,35219,null,515,null,112741,null,842,null,27695,null,274,null,0400000US11,District of Columbia,11
2898631,null,16932,null,1397496,null,10925,null,426045,null,6975,null,872948,null,6390,null,98503,null,2031,null,1501135,null,9807,null,408058,null,6158,null,947345,null,6002,null,145732,null,2220,null,0400000US12,Florida,12
2946121,null,12586,null,1387674,null,8392,null,431059,null,5273,null,878134,null,5124,null,78481,null,1998,null,1558447,null,7215,null,409597,null,4354,null,1017532,null,5261,null,131318,null,1900,null,0400000US13,Georgia,13
29307,null,3852,null,17983,null,2393,null,4636,null,1709,null,12677,null,1466,null,670,null,478,null,11324,null,2133,null,2779,null,1248,null,7952,null,1332,null,593,null,414,null,0400000US15,Hawaii,15
10240,null,1849,null,6138,null,1200,null,2564,null,766,null,3472,null,888,null,102,null,155,null,4102,null,1121,null,1771,null,695,null,2177,null,788,null,154,null,180,null,0400000US16,Idaho,16
1878098,null,9494,null,878561,null,6578,null,265875,null,4422,null,543708,null,4234,null,68978,null,1072,null,999537,null,5555,null,260705,null,3670,null,628209,null,3553,null,110623,null,915,null,0400000US17,Illinois,17
566692,null,5579,null,268267,null,3335,null,85489,null,2690,null,164481,null,2483,null,18297,null,895,null,298425,null,4312,null,83258,null,2731,null,185043,null,2831,null,30124,null,1165,null,0400000US18,Indiana,18
76411,null,3649,null,38229,null,2408,null,10789,null,1453,null,25215,null,1745,null,2225,null,674,null,38182,null,2753,null,12094,null,1706,null,23289,null,1665,null,2799,null,730,null,0400000US19,Iowa,19
157223,null,4450,null,78417,null,2872,null,21028,null,1739,null,52403,null,2303,null,4986,null,728,null,78806,null,3235,null,22436,null,2011,null,48757,null,1944,null,7613,null,733,null,0400000US20,Kansas,20
323189,null,6246,null,159134,null,4477,null,46705,null,2420,null,101426,null,3290,null,11003,null,1098,null,164055,null,3898,null,40968,null,2122,null,105717,null,2560,null,17370,null,1281,null,0400000US21,Kentucky,21
1435911,null,6488,null,674285,null,4236,null,210192,null,3281,null,415644,null,2387,null,48449,null,1320,null,761626,null,4646,null,208889,null,3603,null,476771,null,2289,null,75966,null,1029,null,0400000US22,Louisiana,22
