C18131_001E,C18131_001EA,C18131_001M,C18131_001MA,C18131_002E,C18131_002EA,C18131_002M,C18131_002MA,C18131_003E,C18131_003EA,C18131_003M,C18131_003MA,C18131_004E,C18131_004EA,C18131_004M,C18131_004MA,C18131_005E,C18131_005EA,C18131_005M,C18131_005MA,C18131_006E,C18131_006EA,C18131_006M,C18131_006MA,C18131_007E,C18131_007EA,C18131_007M,C18131_007MA,C18131_008E,C18131_008EA,C18131_008M,C18131_008MA,C18131_009E,C18131_009EA,C18131_009M,C18131_009MA,C18131_010E,C18131_010EA,C18131_010M,C18131_010MA,C18131_011E,C18131_011EA,C18131_011M,C18131_011MA,C18131_012E,C18131_012EA,C18131_012M,C18131_012MA,C18131_013E,C18131_013EA,C18131_013M,C18131_013MA,C18131_014E,C18131_014EA,C18131_014M,C18131_014MA,C18131_015E,C18131_015EA,C18131_015M,C18131_015MA,C18131_016E,C18131_016EA,C18131_016M,C18131_016MA,GEO_ID,NAME,state
4570286,null,2777,null,343855,null,15516,null,69183,null,5726,null,274672,null,13224,null,460705,null,18158,null,125727,null,6690,null,334978,null,15706,null,502700,null,18361,null,116430,null,6205,null,386270,null,15636,null,476994,null,18328,null,95443,null,6236,null,381551,null,16332,null,2786032,null,28784,null,350350,null,10495,null,2435682,null,26788,null,0400000US01,Alabama,01
669435,null,2355,null,27286,null,4300,null,3408,null,1062,null,23878,null,4037,null,34194,null,4477,null,5918,null,1543,null,28276,null,3780,null,46772,null,5126,null,10054,null,1940,null,36718,null,4339,null,54678,null,6008,null,7311,null,1423,null,47367,null,5753,null,506505,null,8632,null,51838,null,4409,null,454667,null,9065,null,0400000US02,Alaska,02
6459484,null,5326,null,490820,null,23535,null,62297,null,5235,null,428523,null,22012,null,578491,null,25119,null,88566,null,6800,null,489925,null,23817,null,651679,null,25224,null,94672,null,7072,null,557007,null,24145,null,626929,null,29042,null,85785,null,6037,null,541144,null,27145,null,4111565,null,39111,null,419946,null,10269,null,3691619,null,36392,null,0400000US04,Arizona,04
2797577,null,2603,null,215352,null,12679,null,42690,null,4288,null,172662,null,11327,null,311703,null,13967,null,80894,null,5666,null,230809,null,11897,null,338195,null,16225,null,75605,null,4815,null,262590,null,14800,null,306199,null,13878,null,61365,null,4143,null,244834,null,12779,null,1626128,null,21512,null,228271,null,8652,null,1397857,null,21900,null,0400000US05,Arkansas,05
36088833,null,11483,null,2172079,null,44142,null,264893,null,10884,null,1907186,null,40480,null,2954543,null,57866,null,423362,null,10987,null,2531181,null,54965,null,3608686,null,60921,null,534483,null,14383,null,3074203,null,56598,null,3433393,null,60233,null,406458,null,12828,null,3026935,null,54816,null,23920132,null,90885,null,1996395,null,22292,null,21923737,null,86980,null,0400000US06,California,06
4892137,null,3619,null,290037,null,15913,null,30159,null,3210,null,259878,null,15363,null,343874,null,17993,null,48531,null,4022,null,295343,null,16503,null,376790,null,16471,null,61181,null,4751,null,315609,null,15933,null,410596,null,21625,null,52175,null,3874,null,358421,null,20540,null,3470840,null,21622,null,281857,null,9326,null,3188983,null,21526,null,0400000US08,Colorado,08
3403567,null,2329,null,149731,null,10797,null,23979,null,2726,null,125752,null,9954,null,170738,null,10802,null,39881,null,3619,null,130857,null,9682,null,183000,null,12447,null,33959,null,3118,null,149041,null,11341,null,215782,null,15038,null,38371,null,3368,null,177411,null,14201,null,2684316,null,19966,null,221833,null,7077,null,2462483,null,19643,null,0400000US09,Connecticut,09
856425,null,1789,null,42128,null,6577,null,8397,null,1643,null,33731,null,6224,null,51089,null,6865,null,9433,null,1806,null,41656,null,6339,null,62227,null,6546,null,14616,null,2374,null,47611,null,5588,null,75218,null,8294,null,13899,null,2042,null,61319,null,7487,null,625763,null,12161,null,64364,null,3946,null,561399,null,12676,null,0400000US10,Delaware,10
567810,null,1273,null,61128,null,7228,null,12212,null,2274,null,48916,null,6559,null,43372,null,5181,null,12952,null,2308,null,30420,null,4285,null,40558,null,6876,null,9331,null,1820,null,31227,null,6025,null,42754,null,6795,null,5974,null,1518,null,36780,null,6127,null,379998,null,9397,null,31500,null,3278,null,348498,null,9491,null,0400000US11,District of Columbia,11
18070029,null,6455,null,1180036,null,30439,null,175859,null,8844,null,1004177,null,29065,null,1527292,null,37160,null,285698,null,11410,null,1241594,null,32580,null,1872337,null,43294,null,316781,null,11307,null,1555556,null,40848,null,1910971,null,51963,null,294408,null,11325,null,1616563,null,45921,null,11579393,null,61935,null,1248497,null,18250,null,10330896,null,61671,null,0400000US12,Florida,12
9485463,null,8128,null,695158,null,24485,null,95469,null,6592,null,599689,null,22540,null,878266,null,30428,null,161302,null,8581,null,716964,null,26709,null,978415,null,31205,null,165927,null,8218,null,812488,null,29594,null,903912,null,33546,null,132142,null,7014,null,771770,null,30150,null,6029712,null,46403,null,539917,null,11273,null,5489795,null,45866,null,0400000US13,Georgia,13
1223281,null,4350,null,55959,null,5712,null,7075,null,1341,null,48884,null,5329,null,74215,null,8488,null,13835,null,2307,null,60380,null,7485,null,85704,null,8666,null,11973,null,2089,null,73731,null,8388,null,87035,null,9321,null,11979,null,2022,null,75056,null,8752,null,920368,null,14279,null,85080,null,4573,null,835288,null,14269,null,0400000US15,Hawaii,15
1507239,null,1793,null,90502,null,9293,null,14174,null,2756,null,76328,null,8280,null,125565,null,10770,null,20095,null,2645,null,105470,null,9958,null,182785,null,12149,null,28384,null,3084,null,154401,null,11985,null,174769,null,11528,null,24094,null,2574,null,150675,null,11061,null,933618,null,16585,null,93996,null,4310,null,839622,null,15823,null,0400000US16,Idaho,16
12559019,null,4962,null,759538,null,25441,null,99974,null,7101,null,659564,null,23133,null,917291,null,26667,null,157756,null,7348,null,759535,null,25238,null,1068938,null,32759,null,161725,null,6990,null,907213,null,31569,null,1057259,null,33444,null,142740,null,6001,null,914519,null,31253,null,8755993,null,47673,null,716491,null,12902,null,8039502,null,47051,null,0400000US17,Illinois,17
6221842,null,3733,null,401193,null,18427,null,62467,null,4770,null,338726,null,16537,null,495566,null,18099,null,103654,null,6145,null,391912,null,17046,null,565309,null,20427,null,109073,null,6152,null,456236,null,18339,null,611415,null,18980,null,96086,null,5393,null,515329,null,17056,null,4148359,null,29381,null,420964,null,10232,null,3727395,null,30158,null,0400000US18,Indiana,18
2901855,null,2330,null,143724,null,8785,null,20591,null,2761,null,123133,null,7919,null,199093,null,12577,null,41741,null,3113,null,157352,null,11472,null,250797,null,12502,null,46152,null,2617,null,204645,null,11917,null,271295,null,12996,null,43716,null,3477,null,227579,null,11732,null,2036946,null,20033,null,181854,null,6193,null,1855092,null,18821,null,0400000US19,Iowa,19
2716687,null,3152,null,153696,null,9778,null,24853,null,3498,null,128843,null,8621,null,211015,null,13105,null,44134,null,3510,null,166881,null,11891,null,247787,null,12612,null,46549,null,3305,null,201238,null,12018,null,260936,null,12457,null,42282,null,2823,null,218654,null,11831,null,1843253,null,18354,null,177628,null,6699,null,1665625,null,18701,null,0400000US20,Kansas,20
4172902,null,3753,null,333571,null,15370,null,69339,null,5367,null,264232,null,14144,null,443017,null,18575,null,132170,null,7272,null,310847,null,15787,null,433536,null,16687,null,116396,null,6204,null,317140,null,15706,null,413600,null,17424,null,81034,null,5448,null,332566,null,16152,null,2549178,null,28322,null,311250,null,8529,null,2237928,null,27475,null,0400000US21,Kentucky,21
4352342,null,3416,null,315223,null,16960,null,47154,null,4182,null,268069,null,15767,null,439852,null,18433,null,104273,null,6371,null,335579,null,16504,null,469533,null,20795,null,100395,null,5944,null,369138,null,18234,null,400996,null,15657,null,73541,null,4765,null,327455,null,14819,null,2726738,null,24653,null,306411,null,8626,null,2420327,null,25232,null,0400000US22,Louisiana,22
