B18101F_001E,B18101F_001EA,B18101F_001M,B18101F_001MA,B18101F_002E,B18101F_002EA,B18101F_002M,B18101F_002MA,B18101F_003E,B18101F_003EA,B18101F_003M,B18101F_003MA,B18101F_004E,B18101F_004EA,B18101F_004M,B18101F_004MA,B18101F_005E,B18101F_005EA,B18101F_005M,B18101F_005MA,B18101F_006E,B18101F_006EA,B18101F_006M,B18101F_006MA,B18101F_007E,B18101F_007EA,B18101F_007M,B18101F_007MA,B18101F_008E,B18101F_008EA,B18101F_008M,B18101F_008MA,B18101F_009E,B18101F_009EA,B18101F_009M,B18101F_009MA,B18101F_010E,B18101F_010EA,B18101F_010M,B18101F_010MA,GEO_ID,NAME,state
42188,null,5289,null,15107,null,2699,null,395,null,292,null,14712,null,2697,null,26279,null,3281,null,1727,null,692,null,24552,null,3142,null,802,null,423,null,594,null,374,null,208,null,218,null,0400000US01,Alabama,01
11576,null,2551,null,2510,null,1023,null,265,null,236,null,2245,null,983,null,8670,null,1841,null,1434,null,881,null,7236,null,1773,null,396,null,266,null,139,null,218,null,257,null,207,null,0400000US02,Alaska,02
403160,null,20140,null,147019,null,9329,null,4917,null,1532,null,142102,null,9301,null,238495,null,12508,null,20369,null,2954,null,218126,null,11191,null,17646,null,1824,null,9081,null,1461,null,8565,null,1437,null,0400000US04,Arizona,04
65327,null,6118,null,26592,null,3374,null,495,null,327,null,26097,null,3355,null,36946,null,3619,null,2792,null,987,null,34154,null,3323,null,1789,null,1026,null,1116,null,772,null,673,null,432,null,0400000US05,Arkansas,05
5025245,null,73330,null,1661221,null,32376,null,40599,null,2986,null,1620622,null,32229,null,3158879,null,47983,null,206919,null,8503,null,2951960,null,45359,null,205145,null,7616,null,87124,null,5685,null,118021,null,5325,null,0400000US06,California,06
229067,null,15873,null,81734,null,7485,null,2178,null,790,null,79556,null,7469,null,138558,null,9894,null,13231,null,2284,null,125327,null,9250,null,8775,null,1397,null,3315,null,838,null,5460,null,1276,null,0400000US08,Colorado,08
180461,null,11558,null,58800,null,5335,null,3530,null,1219,null,55270,null,5171,null,115001,null,7478,null,13545,null,2768,null,101456,null,6958,null,6660,null,1315,null,3891,null,951,null,2769,null,918,null,0400000US09,Connecticut,09
15970,null,3254,null,5017,null,1479,null,159,null,115,null,4858,null,1439,null,10710,null,2255,null,762,null,418,null,9948,null,2114,null,243,null,267,null,155,null,232,null,88,null,132,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
507713,null,26184,null,142649,null,10109,null,7340,null,1890,null,135309,null,9758,null,339497,null,19095,null,22592,null,3093,null,316905,null,17774,null,25567,null,3479,null,10205,null,1931,null,15362,null,2448,null,0400000US12,Florida,12
317175,null,18047,null,122922,null,8266,null,3980,null,1635,null,118942,null,8087,null,189942,null,11517,null,9729,null,2335,null,180213,null,10941,null,4311,null,1362,null,1768,null,899,null,2543,null,1149,null,0400000US13,Georgia,13
