C27001G_001E,C27001G_001EA,C27001G_001M,C27001G_001MA,C27001G_002E,C27001G_002EA,C27001G_002M,C27001G_002MA,C27001G_003E,C27001G_003EA,C27001G_003M,C27001G_003MA,C27001G_004E,C27001G_004EA,C27001G_004M,C27001G_004MA,C27001G_005E,C27001G_005EA,C27001G_005M,C27001G_005MA,C27001G_006E,C27001G_006EA,C27001G_006M,C27001G_006MA,C27001G_007E,C27001G_007EA,C27001G_007M,C27001G_007MA,C27001G_008E,C27001G_008EA,C27001G_008M,C27001G_008MA,C27001G_009E,C27001G_009EA,C27001G_009M,C27001G_009MA,C27001G_010E,C27001G_010EA,C27001G_010M,C27001G_010MA,GEO_ID,NAME,state
62774,null,5552,null,28030,null,3266,null,26187,null,3287,null,1843,null,737,null,28915,null,3161,null,21147,null,2445,null,7768,null,1757,null,5829,null,992,null,5829,null,992,null,0,null,273,null,0400000US01,Alabama,01
50147,null,3877,null,25372,null,2353,null,20244,null,2419,null,5128,null,1227,null,23436,null,2473,null,15554,null,2050,null,7882,null,1556,null,1339,null,483,null,1339,null,483,null,0,null,244,null,0400000US02,Alaska,02
181972,null,10455,null,94543,null,6861,null,87170,null,6261,null,7373,null,2289,null,80131,null,6086,null,61575,null,4878,null,18556,null,2847,null,7298,null,1255,null,7155,null,1211,null,143,null,262,null,0400000US04,Arizona,04
55631,null,4308,null,25033,null,2678,null,23706,null,2628,null,1327,null,632,null,26514,null,2955,null,17588,null,2327,null,8926,null,1824,null,4084,null,966,null,4084,null,966,null,0,null,273,null,0400000US05,Arkansas,05
1385620,null,28100,null,654469,null,16753,null,614905,null,15561,null,39564,null,4710,null,667741,null,17046,null,524241,null,13438,null,143500,null,7876,null,63410,null,3949,null,61658,null,3817,null,1752,null,674,null,0400000US06,California,06
159102,null,8606,null,81189,null,5620,null,76125,null,5102,null,5064,null,2002,null,71716,null,4956,null,55371,null,4331,null,16345,null,1992,null,6197,null,1227,null,6197,null,1227,null,0,null,279,null,0400000US08,Colorado,08
77306,null,5616,null,42291,null,3866,null,41088,null,3850,null,1203,null,736,null,32629,null,3027,null,27043,null,2701,null,5586,null,1482,null,2386,null,791,null,2386,null,791,null,0,null,277,null,0400000US09,Connecticut,09
18591,null,2867,null,9828,null,2084,null,9591,null,2058,null,237,null,205,null,7754,null,1582,null,6057,null,1387,null,1697,null,699,null,1009,null,655,null,1009,null,655,null,0,null,263,null,0400000US10,Delaware,10
10807,null,1930,null,4056,null,1345,null,4056,null,1345,null,0,null,296,null,6286,null,1235,null,5350,null,1192,null,936,null,491,null,465,null,270,null,465,null,270,null,0,null,296,null,0400000US11,District of Columbia,11
351464,null,15587,null,159407,null,9401,null,140712,null,8568,null,18695,null,3891,null,168486,null,9038,null,118028,null,7148,null,50458,null,5260,null,23571,null,2885,null,22811,null,2787,null,760,null,406,null,0400000US12,Florida,12
155647,null,10275,null,81563,null,6532,null,74908,null,6023,null,6655,null,1897,null,69498,null,5796,null,50495,null,4243,null,19003,null,3098,null,4586,null,1053,null,4523,null,1047,null,63,null,91,null,0400000US13,Georgia,13
297982,null,12962,null,118077,null,6412,null,115067,null,6354,null,3010,null,1562,null,163110,null,8454,null,147492,null,7986,null,15618,null,2715,null,16795,null,1451,null,16795,null,1451,null,0,null,275,null,0400000US15,Hawaii,15
37620,null,3790,null,19880,null,2809,null,18202,null,2603,null,1678,null,669,null,16461,null,2163,null,11982,null,1854,null,4479,null,1371,null,1279,null,513,null,1279,null,513,null,0,null,263,null,0400000US16,Idaho,16
229146,null,12435,null,128461,null,9039,null,123669,null,9290,null,4792,null,1736,null,92631,null,5803,null,74927,null,4781,null,17704,null,2550,null,8054,null,1574,null,7758,null,1507,null,296,null,308,null,0400000US17,Illinois,17
115351,null,6834,null,63088,null,5147,null,57187,null,4303,null,5901,null,2160,null,47726,null,3609,null,36323,null,3047,null,11403,null,1850,null,4537,null,1084,null,4537,null,1084,null,0,null,269,null,0400000US18,Indiana,18
53514,null,4619,null,31574,null,3622,null,30094,null,3536,null,1480,null,783,null,20544,null,2536,null,15353,null,2128,null,5191,null,1487,null,1396,null,639,null,1396,null,639,null,0,null,228,null,0400000US19,Iowa,19
79366,null,6043,null,42831,null,4115,null,38991,null,3788,null,3840,null,1272,null,33772,null,3092,null,25254,null,2537,null,8518,null,1911,null,2763,null,750,null,2651,null,742,null,112,null,134,null,0400000US20,Kansas,20
69922,null,5562,null,39954,null,3862,null,37140,null,4006,null,2814,null,1108,null,25098,null,2819,null,17017,null,2344,null,8081,null,1850,null,4870,null,1350,null,4870,null,1350,null,0,null,273,null,0400000US21,Kentucky,21
61521,null,5926,null,31680,null,4171,null,30003,null,4139,null,1677,null,889,null,26442,null,3003,null,18451,null,2324,null,7991,null,1814,null,3399,null,965,null,3399,null,965,null,0,null,281,null,0400000US22,Louisiana,22
25937,null,2914,null,10589,null,1760,null,9886,null,1652,null,703,null,530,null,14329,null,2143,null,10601,null,1616,null,3728,null,1360,null,1019,null,389,null,1019,null,389,null,0,null,230,null,0400000US23,Maine,23
127743,null,8924,null,63191,null,5830,null,61094,null,5872,null,2097,null,943,null,60000,null,4382,null,49806,null,3889,null,10194,null,2348,null,4552,null,1237,null,4552,null,1237,null,0,null,285,null,0400000US24,Maryland,24
151818,null,9354,null,72603,null,4910,null,72131,null,4963,null,472,null,386,null,73785,null,5787,null,65197,null,4911,null,8588,null,2522,null,5430,null,1242,null,5430,null,1242,null,0,null,283,null,0400000US25,Massachusetts,25
194852,null,9932,null,98362,null,6301,null,94949,null,6260,null,3413,null,1031,null,89083,null,5533,null,69739,null,5005,null,19344,null,2073,null,7407,null,1199,null,7227,null,1209,null,180,null,172,null,0400000US26,Michigan,26
103073,null,5437,null,59638,null,3603,null,55976,null,3543,null,3662,null,907,null,41034,null,3094,null,31659,null,2772,null,9375,null,2048,null,2401,null,625,null,2330,null,619,null,71,null,126,null,0400000US27,Minnesota,27
35929,null,4373,null,17371,null,3030,null,15625,null,2889,null,1746,null,940,null,15863,null,2315,null,10718,null,1943,null,5145,null,1216,null,2695,null,1026,null,2695,null,1026,null,0,null,291,null,0400000US28,Mississippi,28
124490,null,7635,null,62217,null,5201,null,57688,null,5364,null,4529,null,1476,null,55621,null,4424,null,38666,null,3124,null,16955,null,2452,null,6652,null,1227,null,6502,null,1206,null,150,null,187,null,0400000US29,Missouri,29
21349,null,2452,null,11958,null,1594,null,10376,null,1671,null,1582,null,680,null,8506,null,1581,null,6255,null,1419,null,2251,null,759,null,885,null,429,null,885,null,429,null,0,null,240,null,0400000US30,Montana,30
36467,null,3242,null,16657,null,2209,null,15358,null,2050,null,1299,null,970,null,18514,null,1885,null,12837,null,1602,null,5677,null,1368,null,1296,null,530,null,1296,null,530,null,0,null,228,null,0400000US31,Nebraska,31
86119,null,7326,null,41372,null,4573,null,36479,null,4345,null,4893,null,1359,null,40214,null,3834,null,28794,null,2780,null,11420,null,2295,null,4533,null,1291,null,4174,null,1211,null,359,null,340,null,0400000US32,Nevada,32
16546,null,2267,null,8146,null,1410,null,7995,null,1401,null,151,null,134,null,8116,null,1292,null,6741,null,1287,null,1375,null,538,null,284,null,239,null,284,null,239,null,0,null,255,null,0400000US33,New Hampshire,33
185798,null,11699,null,81158,null,6774,null,74334,null,6375,null,6824,null,1865,null,97499,null,7238,null,67885,null,5156,null,29614,null,4673,null,7141,null,1300,null,6553,null,1247,null,588,null,413,null,0400000US34,New Jersey,34
59401,null,6511,null,26528,null,3816,null,25412,null,3650,null,1116,null,641,null,28368,null,3897,null,21560,null,3147,null,6808,null,1644,null,4505,null,1074,null,4344,null,1052,null,161,null,204,null,0400000US35,New Mexico,35
385875,null,16018,null,170602,null,9484,null,162395,null,9144,null,8207,null,2171,null,193055,null,9639,null,152231,null,8054,null,40824,null,4680,null,22218,null,2549,null,22166,null,2544,null,52,null,88,null,0400000US36,New York,36
184717,null,10432,null,98051,null,6938,null,89044,null,6530,null,9007,null,2628,null,80930,null,5602,null,56973,null,4447,null,23957,null,3153,null,5736,null,1390,null,5661,null,1394,null,75,null,99,null,0400000US37,North Carolina,37
10174,null,1651,null,5583,null,1233,null,5369,null,1211,null,214,null,181,null,4204,null,967,null,3390,null,817,null,814,null,490,null,387,null,246,null,387,null,246,null,0,null,208,null,0400000US38,North Dakota,38
201613,null,9132,null,110248,null,6757,null,103953,null,6521,null,6295,null,1882,null,83925,null,5100,null,64655,null,4344,null,19270,null,2357,null,7440,null,1374,null,7440,null,1374,null,0,null,267,null,0400000US39,Ohio,39
256158,null,8495,null,106861,null,5564,null,93383,null,5495,null,13478,null,2528,null,133043,null,4998,null,85280,null,4460,null,47763,null,3540,null,16254,null,1420,null,16254,null,1420,null,0,null,251,null,0400000US40,Oklahoma,40
131511,null,7788,null,60630,null,4590,null,55788,null,4532,null,4842,null,1519,null,64816,null,4767,null,48335,null,3547,null,16481,null,2748,null,6065,null,1017,null,6005,null,1011,null,60,null,83,null,0400000US41,Oregon,41
190092,null,9177,null,101044,null,6381,null,97384,null,6220,null,3660,null,1430,null,81662,null,4420,null,65696,null,4057,null,15966,null,2549,null,7386,null,1306,null,7100,null,1305,null,286,null,263,null,0400000US42,Pennsylvania,42
18665,null,3017,null,8756,null,1832,null,8001,null,1781,null,755,null,531,null,8721,null,1911,null,7400,null,1553,null,1321,null,725,null,1188,null,636,null,1188,null,636,null,0,null,287,null,0400000US44,Rhode Island,44
64886,null,5698,null,37283,null,4381,null,34061,null,4275,null,3222,null,1042,null,24784,null,2968,null,16642,null,2298,null,8142,null,1856,null,2819,null,816,null,2682,null,798,null,137,null,160,null,0400000US45,South Carolina,45
16446,null,2508,null,8207,null,1388,null,7255,null,1208,null,952,null,609,null,7451,null,1599,null,4905,null,1422,null,2546,null,951,null,788,null,537,null,788,null,537,null,0,null,223,null,0400000US46,South Dakota,46
100010,null,6890,null,50064,null,5018,null,48396,null,4958,null,1668,null,826,null,44737,null,4199,null,33510,null,3588,null,11227,null,2130,null,5209,null,941,null,5144,null,951,null,65,null,103,null,0400000US47,Tennessee,47
521974,null,16862,null,251935,null,10544,null,217912,null,9923,null,34023,null,4030,null,244224,null,10723,null,168789,null,8285,null,75435,null,6255,null,25815,null,2533,null,25441,null,2507,null,374,null,285,null,0400000US48,Texas,48
60382,null,5474,null,35657,null,4090,null,32183,null,3801,null,3474,null,1369,null,23315,null,2491,null,18777,null,2232,null,4538,null,1173,null,1410,null,730,null,1358,null,727,null,52,null,86,null,0400000US49,Utah,49
11047,null,1374,null,4406,null,855,null,4267,null,821,null,139,null,144,null,6288,null,896,null,5330,null,924,null,958,null,396,null,353,null,171,null,353,null,171,null,0,null,211,null,0400000US50,Vermont,50
