B14007I_001E,B14007I_001EA,B14007I_001M,B14007I_001MA,B14007I_002E,B14007I_002EA,B14007I_002M,B14007I_002MA,B14007I_003E,B14007I_003EA,B14007I_003M,B14007I_003MA,B14007I_004E,B14007I_004EA,B14007I_004M,B14007I_004MA,B14007I_005E,B14007I_005EA,B14007I_005M,B14007I_005MA,B14007I_006E,B14007I_006EA,B14007I_006M,B14007I_006MA,B14007I_007E,B14007I_007EA,B14007I_007M,B14007I_007MA,B14007I_008E,B14007I_008EA,B14007I_008M,B14007I_008MA,B14007I_009E,B14007I_009EA,B14007I_009M,B14007I_009MA,B14007I_010E,B14007I_010EA,B14007I_010M,B14007I_010MA,B14007I_011E,B14007I_011EA,B14007I_011M,B14007I_011MA,B14007I_012E,B14007I_012EA,B14007I_012M,B14007I_012MA,B14007I_013E,B14007I_013EA,B14007I_013M,B14007I_013MA,B14007I_014E,B14007I_014EA,B14007I_014M,B14007I_014MA,B14007I_015E,B14007I_015EA,B14007I_015M,B14007I_015MA,B14007I_016E,B14007I_016EA,B14007I_016M,B14007I_016MA,B14007I_017E,B14007I_017EA,B14007I_017M,B14007I_017MA,B14007I_018E,B14007I_018EA,B14007I_018M,B14007I_018MA,B14007I_019E,B14007I_019EA,B14007I_019M,B14007I_019MA,GEO_ID,NAME,state
133884,null,2524,null,40541,null,2192,null,3045,null,878,null,4968,null,1176,null,3660,null,688,null,3622,null,1014,null,3648,null,1040,null,3328,null,821,null,2738,null,841,null,2588,null,733,null,2173,null,630,null,1717,null,720,null,1246,null,491,null,1893,null,784,null,895,null,374,null,846,null,434,null,3523,null,878,null,651,null,369,null,93343,null,2601,null,0400000US01,Alabama,01
40421,null,736,null,14168,null,1418,null,710,null,422,null,633,null,363,null,978,null,364,null,388,null,240,null,703,null,390,null,1127,null,462,null,723,null,325,null,891,null,412,null,725,null,425,null,996,null,538,null,946,null,448,null,794,null,310,null,718,null,370,null,785,null,632,null,2313,null,903,null,738,null,382,null,26253,null,1334,null,0400000US02,Alaska,02
1888248,null,5459,null,652300,null,7657,null,30481,null,3381,null,43541,null,4059,null,40293,null,3604,null,39828,null,3639,null,38424,null,4047,null,42905,null,3937,null,41043,null,3962,null,40886,null,3381,null,36232,null,3173,null,42085,null,3668,null,39869,null,3096,null,35908,null,2761,null,31354,null,2989,null,42249,null,3474,null,96514,null,5453,null,10688,null,1771,null,1235948,null,7814,null,0400000US04,Arizona,04
157761,null,2162,null,59327,null,2573,null,5262,null,1530,null,5459,null,1117,null,3535,null,801,null,4394,null,1116,null,3766,null,886,null,3870,null,898,null,4468,null,1098,null,3512,null,880,null,1693,null,609,null,3585,null,1038,null,4121,null,894,null,2791,null,728,null,2250,null,718,null,3717,null,1262,null,6446,null,1401,null,458,null,366,null,98434,null,2832,null,0400000US05,Arkansas,05
12802627,null,10918,null,4512696,null,21432,null,260945,null,9130,null,265656,null,8712,null,249681,null,8381,null,252760,null,8086,null,256917,null,8361,null,246809,null,8992,null,249303,null,7672,null,261743,null,9093,null,257995,null,8429,null,253420,null,6963,null,257543,null,7272,null,257115,null,7484,null,249121,null,8139,null,318337,null,9220,null,790049,null,14447,null,85302,null,5039,null,8289931,null,18555,null,0400000US06,California,06
947686,null,3191,null,314173,null,4911,null,23897,null,2818,null,20449,null,2038,null,20986,null,2373,null,21968,null,2361,null,20920,null,2704,null,19126,null,2246,null,18272,null,2288,null,19583,null,2230,null,15058,null,2250,null,19360,null,2205,null,18846,null,2306,null,15080,null,1696,null,15389,null,1863,null,18656,null,2588,null,41017,null,3954,null,5566,null,1247,null,633513,null,5176,null,0400000US08,Colorado,08
410927,null,1774,null,141979,null,3602,null,12596,null,1529,null,7899,null,1316,null,9653,null,1556,null,8230,null,1212,null,7159,null,1560,null,6929,null,1365,null,7506,null,1356,null,8158,null,1431,null,6604,null,1276,null,9307,null,1534,null,7806,null,1403,null,8416,null,1252,null,5456,null,1008,null,7973,null,1295,null,24979,null,2755,null,3308,null,833,null,268948,null,3738,null,0400000US09,Connecticut,09
59002,null,900,null,20467,null,1447,null,1820,null,961,null,1636,null,737,null,1515,null,678,null,962,null,451,null,1839,null,813,null,1870,null,574,null,1077,null,484,null,874,null,433,null,1222,null,512,null,1053,null,417,null,1124,null,540,null,615,null,289,null,1176,null,563,null,866,null,469,null,2250,null,664,null,568,null,318,null,38535,null,1284,null,0400000US10,Delaware,10
49386,null,593,null,14043,null,1528,null,563,null,395,null,606,null,502,null,825,null,393,null,733,null,422,null,825,null,564,null,814,null,423,null,734,null,385,null,1001,null,515,null,397,null,337,null,237,null,297,null,664,null,512,null,570,null,473,null,913,null,605,null,1103,null,856,null,2362,null,794,null,1696,null,712,null,35343,null,1751,null,0400000US11,District of Columbia,11
3771927,null,5973,null,1036377,null,9633,null,72704,null,5371,null,52426,null,3917,null,53790,null,3413,null,56255,null,4581,null,60121,null,3916,null,58004,null,3561,null,54990,null,3557,null,56113,null,3939,null,58552,null,4273,null,53693,null,4801,null,49959,null,3961,null,51452,null,3631,null,51292,null,4029,null,59320,null,4311,null,214214,null,7521,null,33492,null,2687,null,2735550,null,10116,null,0400000US12,Florida,12
