C19001G_001E,C19001G_001EA,C19001G_001M,C19001G_001MA,C19001G_002E,C19001G_002EA,C19001G_002M,C19001G_002MA,C19001G_003E,C19001G_003EA,C19001G_003M,C19001G_003MA,C19001G_004E,C19001G_004EA,C19001G_004M,C19001G_004MA,C19001G_005E,C19001G_005EA,C19001G_005M,C19001G_005MA,C19001G_006E,C19001G_006EA,C19001G_006M,C19001G_006MA,C19001G_007E,C19001G_007EA,C19001G_007M,C19001G_007MA,C19001G_008E,C19001G_008EA,C19001G_008M,C19001G_008MA,C19001G_009E,C19001G_009EA,C19001G_009M,C19001G_009MA,C19001G_010E,C19001G_010EA,C19001G_010M,C19001G_010MA,C19001G_011E,C19001G_011EA,C19001G_011M,C19001G_011MA,GEO_ID,NAME,state
17707,null,1875,null,2911,null,856,null,1449,null,562,null,3020,null,891,null,1998,null,689,null,2629,null,764,null,2284,null,713,null,1587,null,492,null,1161,null,436,null,311,null,177,null,357,null,255,null,0400000US01,Alabama,01
10910,null,1522,null,1271,null,552,null,281,null,220,null,1484,null,650,null,1062,null,431,null,1687,null,684,null,2195,null,737,null,913,null,364,null,1183,null,631,null,263,null,226,null,571,null,440,null,0400000US02,Alaska,02
33070,null,3060,null,4035,null,1082,null,1756,null,693,null,3429,null,819,null,3857,null,1120,null,4834,null,1019,null,7663,null,1546,null,3096,null,910,null,2506,null,802,null,1176,null,619,null,718,null,424,null,0400000US04,Arizona,04
16648,null,2018,null,1769,null,511,null,1541,null,624,null,3964,null,1057,null,1958,null,578,null,2222,null,689,null,3236,null,992,null,1406,null,799,null,509,null,322,null,0,null,273,null,43,null,71,null,0400000US05,Arkansas,05
301207,null,7951,null,17347,null,1992,null,18385,null,2064,null,29808,null,2488,null,25121,null,2366,null,44288,null,2900,null,57942,null,3914,null,39405,null,2907,null,40946,null,3251,null,15440,null,1886,null,12525,null,2078,null,0400000US06,California,06
37763,null,2981,null,4428,null,968,null,1945,null,700,null,4557,null,1086,null,5145,null,1198,null,4918,null,1303,null,7152,null,1266,null,4427,null,941,null,2819,null,781,null,1348,null,517,null,1024,null,542,null,0400000US08,Colorado,08
15219,null,1821,null,1549,null,615,null,858,null,413,null,1831,null,740,null,1399,null,710,null,2836,null,894,null,2216,null,649,null,1529,null,546,null,1784,null,541,null,833,null,500,null,384,null,272,null,0400000US09,Connecticut,09
3730,null,873,null,355,null,308,null,392,null,351,null,627,null,385,null,354,null,296,null,316,null,259,null,613,null,363,null,335,null,251,null,436,null,258,null,173,null,248,null,129,null,157,null,0400000US10,Delaware,10
3573,null,860,null,104,null,132,null,390,null,349,null,334,null,237,null,359,null,320,null,431,null,269,null,772,null,410,null,503,null,421,null,443,null,281,null,128,null,109,null,109,null,125,null,0400000US11,District of Columbia,11
88716,null,4433,null,7738,null,1498,null,5669,null,1212,null,12554,null,2084,null,10943,null,1930,null,14821,null,1742,null,16649,null,2353,null,9027,null,1464,null,8031,null,1479,null,2226,null,648,null,1058,null,469,null,0400000US12,Florida,12
