B27001B_001E,B27001B_001EA,B27001B_001M,B27001B_001MA,B27001B_002E,B27001B_002EA,B27001B_002M,B27001B_002MA,B27001B_003E,B27001B_003EA,B27001B_003M,B27001B_003MA,B27001B_004E,B27001B_004EA,B27001B_004M,B27001B_004MA,B27001B_005E,B27001B_005EA,B27001B_005M,B27001B_005MA,B27001B_006E,B27001B_006EA,B27001B_006M,B27001B_006MA,B27001B_007E,B27001B_007EA,B27001B_007M,B27001B_007MA,B27001B_008E,B27001B_008EA,B27001B_008M,B27001B_008MA,B27001B_009E,B27001B_009EA,B27001B_009M,B27001B_009MA,B27001B_010E,B27001B_010EA,B27001B_010M,B27001B_010MA,B27001B_011E,B27001B_011EA,B27001B_011M,B27001B_011MA,B27001B_012E,B27001B_012EA,B27001B_012M,B27001B_012MA,B27001B_013E,B27001B_013EA,B27001B_013M,B27001B_013MA,B27001B_014E,B27001B_014EA,B27001B_014M,B27001B_014MA,B27001B_015E,B27001B_015EA,B27001B_015M,B27001B_015MA,B27001B_016E,B27001B_016EA,B27001B_016M,B27001B_016MA,B27001B_017E,B27001B_017EA,B27001B_017M,B27001B_017MA,B27001B_018E,B27001B_018EA,B27001B_018M,B27001B_018MA,B27001B_019E,B27001B_019EA,B27001B_019M,B27001B_019MA,B27001B_020E,B27001B_020EA,B27001B_020M,B27001B_020MA,B27001B_021E,B27001B_021EA,B27001B_021M,B27001B_021MA,B27001B_022E,B27001B_022EA,B27001B_022M,B27001B_022MA,B27001B_023E,B27001B_023EA,B27001B_023M,B27001B_023MA,B27001B_024E,B27001B_024EA,B27001B_024M,B27001B_024MA,B27001B_025E,B27001B_025EA,B27001B_025M,B27001B_025MA,B27001B_026E,B27001B_026EA,B27001B_026M,B27001B_026MA,B27001B_027E,B27001B_027EA,B27001B_027M,B27001B_027MA,B27001B_028E,B27001B_028EA,B27001B_028M,B27001B_028MA,GEO_ID,NAME,state
1197404,null,5901,null,106920,null,3059,null,101659,null,3404,null,5261,null,1538,null,230973,null,3656,null,215570,null,4348,null,15403,null,2466,null,145155,null,3938,null,94360,null,5127,null,50795,null,4691,null,170562,null,4363,null,112168,null,5225,null,58394,null,4462,null,152699,null,3212,null,120188,null,4143,null,32511,null,3250,null,161595,null,3029,null,129509,null,3424,null,32086,null,2788,null,119665,null,1957,null,103541,null,2448,null,16124,null,2110,null,62609,null,2746,null,62140,null,2726,null,469,null,330,null,47226,null,1795,null,46929,null,1814,null,297,null,239,null,0400000US01,Alabama,01
25501,null,1656,null,2666,null,626,null,2146,null,727,null,520,null,535,null,5646,null,844,null,5453,null,898,null,193,null,315,null,4489,null,1086,null,2979,null,936,null,1510,null,935,null,3283,null,1051,null,2270,null,866,null,1013,null,712,null,2714,null,914,null,2339,null,933,null,375,null,296,null,3951,null,1131,null,2773,null,934,null,1178,null,746,null,1521,null,471,null,1344,null,410,null,177,null,187,null,731,null,423,null,731,null,423,null,0,null,244,null,500,null,333,null,500,null,333,null,0,null,244,null,0400000US02,Alaska,02
243851,null,7642,null,28986,null,2797,null,27514,null,2792,null,1472,null,752,null,51212,null,3637,null,44995,null,3837,null,6217,null,2116,null,27578,null,2594,null,20506,null,2530,null,7072,null,1599,null,38589,null,2045,null,28430,null,2387,null,10159,null,1766,null,33462,null,1309,null,27064,null,2037,null,6398,null,1762,null,29425,null,1370,null,24445,null,1456,null,4980,null,1271,null,18549,null,813,null,16232,null,1103,null,2317,null,878,null,9409,null,678,null,9285,null,655,null,124,null,160,null,6641,null,670,null,6641,null,670,null,0,null,305,null,0400000US04,Arizona,04
435174,null,4941,null,42873,null,2432,null,42255,null,2503,null,618,null,471,null,88442,null,3103,null,85200,null,3377,null,3242,null,1218,null,54182,null,2771,null,33116,null,2875,null,21066,null,2784,null,60206,null,3572,null,38495,null,3474,null,21711,null,2735,null,55198,null,2963,null,43289,null,3093,null,11909,null,2133,null,57879,null,2797,null,44547,null,2824,null,13332,null,1982,null,41349,null,1807,null,35580,null,1904,null,5769,null,1225,null,20935,null,1383,null,20303,null,1439,null,632,null,415,null,14110,null,1466,null,14014,null,1410,null,96,null,176,null,0400000US05,Arkansas,05
2146013,null,14108,null,178797,null,6175,null,166838,null,5530,null,11959,null,2841,null,397320,null,6300,null,365158,null,6623,null,32162,null,4128,null,244042,null,4402,null,172475,null,5551,null,71567,null,4674,null,292930,null,4383,null,211172,null,5594,null,81758,null,4342,null,297268,null,4034,null,235354,null,5454,null,61914,null,4414,null,318808,null,3560,null,264101,null,5034,null,54707,null,4090,null,214439,null,2507,null,183994,null,3641,null,30445,null,3341,null,121239,null,1918,null,119560,null,2006,null,1679,null,850,null,81170,null,2001,null,80987,null,1989,null,183,null,213,null,0400000US06,California,06
182942,null,5231,null,19729,null,2085,null,18092,null,2195,null,1637,null,1038,null,35124,null,2902,null,31740,null,3042,null,3384,null,1038,null,20814,null,1896,null,13860,null,1910,null,6954,null,1223,null,27212,null,2161,null,18178,null,2144,null,9034,null,1618,null,25451,null,1529,null,18808,null,1718,null,6643,null,1513,null,26809,null,1654,null,21149,null,1854,null,5660,null,1225,null,14675,null,804,null,13070,null,954,null,1605,null,657,null,7939,null,707,null,7939,null,707,null,0,null,279,null,5189,null,754,null,5189,null,754,null,0,null,279,null,0400000US08,Colorado,08
325146,null,5431,null,28470,null,2209,null,27271,null,2303,null,1199,null,811,null,62488,null,2783,null,58690,null,2698,null,3798,null,1532,null,35682,null,1811,null,28571,null,1975,null,7111,null,1391,null,48911,null,1972,null,38306,null,2116,null,10605,null,1893,null,48034,null,1509,null,40699,null,1736,null,7335,null,1374,null,45171,null,1664,null,38766,null,1849,null,6405,null,1393,null,29530,null,905,null,25814,null,1174,null,3716,null,1030,null,16610,null,698,null,16085,null,739,null,525,null,364,null,10250,null,611,null,9924,null,722,null,326,null,404,null,0400000US09,Connecticut,09
178139,null,3405,null,16278,null,1264,null,15702,null,1343,null,576,null,522,null,33550,null,2039,null,32528,null,2055,null,1022,null,519,null,20278,null,1281,null,15367,null,1802,null,4911,null,1452,null,23981,null,1324,null,20249,null,1678,null,3732,null,1334,null,27554,null,1231,null,22041,null,1554,null,5513,null,1122,null,24549,null,961,null,22317,null,991,null,2232,null,778,null,16996,null,455,null,15109,null,677,null,1887,null,643,null,9101,null,655,null,9030,null,685,null,71,null,126,null,5852,null,582,null,5801,null,586,null,51,null,86,null,0400000US10,Delaware,10
312964,null,2514,null,21543,null,912,null,21249,null,918,null,294,null,311,null,50183,null,1266,null,48886,null,1522,null,1297,null,731,null,34352,null,766,null,28640,null,1871,null,5712,null,1769,null,41475,null,522,null,36052,null,1631,null,5423,null,1480,null,37980,null,778,null,34119,null,1390,null,3861,null,1254,null,48000,null,542,null,43428,null,1146,null,4572,null,980,null,38835,null,735,null,35343,null,1191,null,3492,null,978,null,22186,null,451,null,21865,null,584,null,321,null,360,null,18410,null,887,null,18324,null,927,null,86,null,110,null,0400000US11,District of Columbia,11
2787526,null,17000,null,276671,null,5419,null,243222,null,6743,null,33449,null,3650,null,553352,null,7892,null,452342,null,10575,null,101010,null,7522,null,339809,null,5731,null,193980,null,7930,null,145829,null,7744,null,407727,null,6424,null,244969,null,7991,null,162758,null,7488,null,365506,null,6603,null,252249,null,6894,null,113257,null,6562,null,369448,null,5534,null,262891,null,5178,null,106557,null,6673,null,242403,null,2602,null,186157,null,4399,null,56246,null,4078,null,137000,null,2463,null,132853,null,2585,null,4147,null,1213,null,95610,null,3198,null,93182,null,3298,null,2428,null,997,null,0400000US12,Florida,12
