C01001D_001E,C01001D_001EA,C01001D_001M,C01001D_001MA,C01001D_002E,C01001D_002EA,C01001D_002M,C01001D_002MA,C01001D_003E,C01001D_003EA,C01001D_003M,C01001D_003MA,C01001D_004E,C01001D_004EA,C01001D_004M,C01001D_004MA,C01001D_005E,C01001D_005EA,C01001D_005M,C01001D_005MA,C01001D_006E,C01001D_006EA,C01001D_006M,C01001D_006MA,C01001D_007E,C01001D_007EA,C01001D_007M,C01001D_007MA,C01001D_008E,C01001D_008EA,C01001D_008M,C01001D_008MA,C01001D_009E,C01001D_009EA,C01001D_009M,C01001D_009MA,GEO_ID,NAME,state
51410,null,2190,null,24410,null,1625,null,6795,null,1144,null,15912,null,1124,null,1703,null,446,null,27000,null,1921,null,6451,null,1273,null,18554,null,1313,null,1995,null,757,null,0400000US01,Alabama,01
33636,null,1807,null,15637,null,1079,null,3493,null,586,null,11151,null,873,null,993,null,479,null,17999,null,1117,null,4003,null,760,null,11935,null,771,null,2061,null,495,null,0400000US02,Alaska,02
167881,null,3725,null,80020,null,3082,null,18905,null,1776,null,54744,null,2310,null,6371,null,618,null,87861,null,2053,null,18481,null,1326,null,60708,null,1417,null,8672,null,630,null,0400000US04,Arizona,04
32202,null,2525,null,15234,null,1372,null,3670,null,806,null,10263,null,1001,null,1301,null,501,null,16968,null,1779,null,4445,null,1025,null,11491,null,1119,null,1032,null,424,null,0400000US05,Arkansas,05
4618747,null,13431,null,2211243,null,9052,null,488364,null,5299,null,1495306,null,6208,null,227573,null,1650,null,2407504,null,7595,null,467508,null,5393,null,1631415,null,6001,null,308581,null,1592,null,0400000US06,California,06
130216,null,3502,null,59484,null,2850,null,14326,null,1513,null,40749,null,1788,null,4409,null,706,null,70732,null,2124,null,15701,null,1367,null,47889,null,1761,null,7142,null,765,null,0400000US08,Colorado,08
124037,null,2221,null,60174,null,1437,null,14540,null,1159,null,42282,null,896,null,3352,null,382,null,63863,null,1462,null,16182,null,1071,null,43748,null,1187,null,3933,null,558,null,0400000US09,Connecticut,09
27132,null,956,null,13850,null,813,null,3921,null,653,null,9035,null,508,null,894,null,466,null,13282,null,741,null,2852,null,604,null,9357,null,442,null,1073,null,204,null,0400000US10,Delaware,10
17268,null,980,null,7397,null,705,null,662,null,591,null,6273,null,521,null,462,null,300,null,9871,null,739,null,1156,null,728,null,7911,null,345,null,804,null,98,null,0400000US11,District of Columbia,11
442687,null,6207,null,206541,null,4364,null,51426,null,2998,null,138093,null,2748,null,17022,null,1028,null,236146,null,4125,null,49394,null,2616,null,162290,null,2685,null,24462,null,1328,null,0400000US12,Florida,12
291741,null,4651,null,143445,null,3267,null,37505,null,1803,null,97580,null,2695,null,8360,null,877,null,148296,null,3129,null,37054,null,1927,null,101520,null,2237,null,9722,null,798,null,0400000US13,Georgia,13
480137,null,10327,null,223571,null,5951,null,35907,null,2717,null,142596,null,4269,null,45068,null,869,null,256566,null,5751,null,32874,null,2855,null,156851,null,4075,null,66841,null,1082,null,0400000US15,Hawaii,15
17263,null,1442,null,7596,null,926,null,1782,null,559,null,5365,null,677,null,449,null,255,null,9667,null,1075,null,2286,null,724,null,6621,null,821,null,760,null,452,null,0400000US16,Idaho,16
565429,null,4712,null,276935,null,3204,null,67295,null,2234,null,188253,null,2223,null,21387,null,684,null,288494,null,3182,null,65646,null,1951,null,194760,null,2227,null,28088,null,1144,null,0400000US17,Illinois,17
90593,null,2842,null,42459,null,2259,null,10713,null,1464,null,29226,null,1527,null,2520,null,617,null,48134,null,2189,null,12050,null,1261,null,32700,null,1746,null,3384,null,764,null,0400000US18,Indiana,18
45771,null,2202,null,20458,null,1862,null,4957,null,899,null,14655,null,1430,null,846,null,317,null,25313,null,1534,null,5783,null,933,null,18392,null,1332,null,1138,null,406,null,0400000US19,Iowa,19
61630,null,1797,null,29513,null,1430,null,7553,null,831,null,20438,null,936,null,1522,null,479,null,32117,null,1178,null,7248,null,785,null,23443,null,966,null,1426,null,181,null,0400000US20,Kansas,20
42155,null,1890,null,19068,null,1266,null,5517,null,980,null,13072,null,876,null,479,null,253,null,23087,null,1629,null,6108,null,947,null,15372,null,1328,null,1607,null,519,null,0400000US21,Kentucky,21
66977,null,2472,null,32404,null,1823,null,9821,null,1252,null,20989,null,1427,null,1594,null,609,null,34573,null,1782,null,8032,null,1324,null,23835,null,1215,null,2706,null,710,null,0400000US22,Louisiana,22
12270,null,1042,null,5020,null,839,null,1416,null,640,null,3510,null,604,null,94,null,88,null,7250,null,754,null,1848,null,471,null,5177,null,609,null,225,null,211,null,0400000US23,Maine,23
290108,null,3691,null,140252,null,2464,null,32818,null,1821,null,94932,null,1571,null,12502,null,691,null,149856,null,2321,null,30961,null,1483,null,104651,null,1583,null,14244,null,484,null,0400000US24,Maryland,24
328684,null,3749,null,161136,null,2483,null,37863,null,2008,null,113499,null,1511,null,9774,null,590,null,167548,null,2365,null,37136,null,1326,null,118267,null,1804,null,12145,null,614,null,0400000US25,Massachusetts,25
241867,null,3794,null,118092,null,2435,null,30975,null,1400,null,79885,null,1524,null,7232,null,746,null,123775,null,2315,null,31980,null,1520,null,83200,null,1461,null,8595,null,706,null,0400000US26,Michigan,26
196043,null,2790,null,93535,null,1843,null,29531,null,1312,null,60044,null,1216,null,3960,null,492,null,102508,null,2037,null,31706,null,1317,null,65795,null,1606,null,5007,null,579,null,0400000US27,Minnesota,27
23046,null,2602,null,11184,null,1683,null,2002,null,1110,null,8701,null,1300,null,481,null,361,null,11862,null,1687,null,1993,null,767,null,8566,null,1539,null,1303,null,647,null,0400000US28,Mississippi,28
